Citance Number: 1 | Reference Article:  P05-1052.txt | Citing Article:  W06-0508.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Also using kernel methods and support vector machines, (Zhao and Grishman, 2005) combine clues from different levels of syntactic information and applies composite kernels to integrate the individual kernels.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Then composite kernels are developed to integrate and extend individual kernels so that processing errors occurring at one level can be overcome by information from other levels.</S><S sid = NA ssid = NA>Based on these observations, Zhao et al. (2004) proposed a discriminative model to combine information from different syntactic sources using a kernel SVM (Support Vector Machine).</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  P05-1052.txt | Citing Article:  N07-1015.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We wish to thank Adam Meyers of the NYU NLP group for his help in producing deep dependency analyses.</S><S sid = NA ssid = NA>In this sentence, we expect to find a PHYS relation between Hezbollah forces and areas, a PHYS relation between Syrian troops and areas and an EMP-ORG relation between Syrian troops and Syrian.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P05-1052.txt | Citing Article:  D07-1076.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Zhao and Grishman (2005) defined several feature based composite kernels to integrate diverse features for relation extraction and achieved the F-measure of 70.4 on the 7 relation types of the ACE RDC 2004 corpus.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>There are also 27 relation subtypes defined by ACE, but this paper only focuses on detection of relation types.</S><S sid = NA ssid = NA>The 2004 evaluation defined seven major types of relations between seven types of entities.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P05-1052.txt | Citing Article:  D07-1076.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We wish to thank Adam Meyers of the NYU NLP group for his help in producing deep dependency analyses.</S><S sid = NA ssid = NA>In this sentence, we expect to find a PHYS relation between Hezbollah forces and areas, a PHYS relation between Syrian troops and areas and an EMP-ORG relation between Syrian troops and Syrian.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P05-1052.txt | Citing Article:  P06-1104.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Since Zhao and Grishman (2005) use a 5-fold cross-validation on a subset of the 2004 data (newswire and broadcast news domains, containing 348 documents and 4400 relation instances), for comparison, we use the same setting (5-fold cross-validation on the same subset of the 2004 data, but the 5 partitions may not be the same) for the ACE 2004 data.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Evaluation of kernels was done on the training data using 5-fold cross-validation.</S><S sid = NA ssid = NA>Each setup adds one level of kernels to the previous one except setup F. Evaluated on the ACE training data with 5-fold cross-validation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P05-1052.txt | Citing Article:  P06-1104.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We wish to thank Adam Meyers of the NYU NLP group for his help in producing deep dependency analyses.</S><S sid = NA ssid = NA>In this sentence, we expect to find a PHYS relation between Hezbollah forces and areas, a PHYS relation between Syrian troops and areas and an EMP-ORG relation between Syrian troops and Syrian.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P05-1052.txt | Citing Article:  P09-1114.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We wish to thank Adam Meyers of the NYU NLP group for his help in producing deep dependency analyses.</S><S sid = NA ssid = NA>In this sentence, we expect to find a PHYS relation between Hezbollah forces and areas, a PHYS relation between Syrian troops and areas and an EMP-ORG relation between Syrian troops and Syrian.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P05-1052.txt | Citing Article:  D11-1132.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This kernel is formally defined in (Zhao and Grishman, 2005).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Using the notation just defined, we can write the two surface kernels as follows: KT is a kernel that matches two tokens.</S><S sid = NA ssid = NA>There are also 27 relation subtypes defined by ACE, but this paper only focuses on detection of relation types.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P05-1052.txt | Citing Article:  W06-1634.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Zhao and Grishman (2005) reported that adding local information to deep syntactic information improved IE results.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Another observation is that adding the bigram kernel in the presence of all other level of kernels improved both precision and recall, indicating that it helped in both correcting errors in other processing results and providing supplementary information missed by other levels of analysis.</S><S sid = NA ssid = NA>Especially, low level information obtained with high reliability helped with the other deep processing results.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P05-1052.txt | Citing Article:  W09-2421.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The main concerns here (see e.g. (Zhao and Grishman, 2005)) are the extraction of large quantities of facts, generally coupled with machine learning approaches.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>So their approaches are vulnerable to errors in parsing.</S><S sid = NA ssid = NA>Many machine learning algorithms involve only the dot product of vectors in a feature space, in which each vector represents an object in the object domain.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P05-1052.txt | Citing Article:  P11-1053.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Bigram of the words between the two mentions: This was extracted by both Zhao and Grishman (2005) and Jiang and Zhai (2007), aiming to provide more order information of the tokens between the two mentions.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Combining them may provide complementary information to overcome errors arising from linguistic analysis.</S><S sid = NA ssid = NA>Some of the kernels are extended to generate high order features.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P05-1052.txt | Citing Article:  P11-1053.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We wish to thank Adam Meyers of the NYU NLP group for his help in producing deep dependency analyses.</S><S sid = NA ssid = NA>In this sentence, we expect to find a PHYS relation between Hezbollah forces and areas, a PHYS relation between Syrian troops and areas and an EMP-ORG relation between Syrian troops and Syrian.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P05-1052.txt | Citing Article:  N06-1037.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This is a strong constraint on the matching of syntax so it is not surprising that the model has good precision but very low recall on the ACE corpus (Zhao and Grishman, 2005).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This is a strong constraint on the matching of syntax so it is not surprising that the model has good precision but very low recall.</S><S sid = NA ssid = NA>Another observation is that adding the bigram kernel in the presence of all other level of kernels improved both precision and recall, indicating that it helped in both correcting errors in other processing results and providing supplementary information missed by other levels of analysis.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P05-1052.txt | Citing Article:  N06-1037.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Zhao and Grishman (2005) define a feature based composite kernel to integrate diverse features.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Normal feature-based learning can be implemented in kernel functions, but we can do more than that with kernels.</S><S sid = NA ssid = NA>The reason might be that all kernels (features) were weighted equally in the composite kernel Φ2 and this may not be optimal for KNN.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  P05-1052.txt | Citing Article:  N06-1037.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Zhao and Grishman (2005) also evaluated their algorithm on the ACE corpus and got good performance.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For the last three types with many fewer examples, performance of SVM is not as good as KNN.</S><S sid = NA ssid = NA>The performance is not as good as setup B, indicating that dependency information alone is not as crucial as the link sequence. setups.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  P05-1052.txt | Citing Article:  C08-1088.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Zhao and Grishman (2005) define several feature-based composite kernels to capture diverse linguistic knowledge and achieve the F-measure of 70.4 on the 7 relation types in the ACE RDC 2004 corpus.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We define two kernels to match relation examples at surface level.</S><S sid = NA ssid = NA>Types are listed in decreasing order of frequency of occurrence in the ACE corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


