run  name,task1 method,task2 method
run41,Jaccard-Focused_POS-XGB,Jaccard-Focused_QD-DPPs
run42,Jaccard-Focused_POS-XGB,Jaccard-Focused_SV-DPPs
run43,Voting-1.2_CON-CT-FastText,Voting-1.2_GCN
run44,Voting-1.2_CON-CT-FastText,Voting-1.2_QD-DPPs
run45,Voting-1.2_CON-CT-FastText,Voting-1.2_SV-DPPs
run46,Voting-1.2_CON-POS-Vote,Voting-1.2_GCN
run47,Voting-1.2_CON-POS-Vote,Voting-1.2_QD-DPPs
run48,Voting-1.2_CON-POS-Vote,Voting-1.2_SV-DPPs
run49,Voting-1.2_CON-RT-FastText,Voting-1.2_GCN
run50,Voting-1.2_CON-RT-FastText,Voting-1.2_QD-DPPs
run51,Voting-1.2_CON-RT-FastText,Voting-1.2_SV-DPPs
run52,Voting-1.2_POS-ADB,Voting-1.2_GCN
run53,Voting-1.2_POS-ADB,Voting-1.2_QD-DPPs
run54,Voting-1.2_POS-ADB,Voting-1.2_SV-DPPs
run55,Voting-1.2_POS-LR,Voting-1.2_GCN
run56,Voting-1.2_POS-LR,Voting-1.2_QD-DPPs
run57,Voting-1.2_POS-LR,Voting-1.2_SV-DPPs
run58,Voting-1.2_POS-Vote,Voting-1.2_GCN
run59,Voting-1.2_POS-Vote,Voting-1.2_QD-DPPs
run60,Voting-1.2_POS-Vote,Voting-1.2_SV-DPPs
run61,Voting-1.2_POS-XGB,Voting-1.2_GCN
run62,Voting-1.2_POS-XGB,Voting-1.2_QD-DPPs
run63,Voting-1.2_POS-XGB,Voting-1.2_SV-DPPs
run64,Voting-2.1_CON-CT-FastText,Voting-2.1_GCN
run65,Voting-2.1_CON-CT-FastText,Voting-2.1_QD-DPPs
run66,Voting-2.1_CON-CT-FastText,Voting-2.1_SV-DPPs
run67,Voting-2.1_CON-POS-Vote,Voting-2.1_GCN
run68,Voting-2.1_CON-POS-Vote,Voting-2.1_QD-DPPs
run69,Voting-2.1_CON-POS-Vote,Voting-2.1_SV-DPPs
run70,Voting-2.1_CON-RT-FastText,Voting-2.1_GCN
run71,Voting-2.1_CON-RT-FastText,Voting-2.1_QD-DPPs
run72,Voting-2.1_CON-RT-FastText,Voting-2.1_SV-DPPs
run73,Voting-2.1_POS-ADB,Voting-2.1_GCN
run74,Voting-2.1_POS-ADB,Voting-2.1_QD-DPPs
run75,Voting-2.1_POS-ADB,Voting-2.1_SV-DPPs
run76,Voting-2.1_POS-LR,Voting-2.1_GCN
run77,Voting-2.1_POS-LR,Voting-2.1_QD-DPPs
run78,Voting-2.1_POS-LR,Voting-2.1_SV-DPPs
run79,Voting-2.1_POS-Vote,Voting-2.1_GCN
run80,Voting-2.1_POS-Vote,Voting-2.1_QD-DPPs
run81,Voting-2.1_POS-Vote,Voting-2.1_SV-DPPs
run82,Voting-2.1_POS-XGB,Voting-2.1_GCN
run83,Voting-2.1_POS-XGB,Voting-2.1_QD-DPPs
run84,Voting-2.1_POS-XGB,Voting-2.1_SV-DPPs
