Citance Number: 1 | Reference Article:  W07-2016.txt | Citing Article:  P08-1063.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We call this setting 'SemEval' because the SemEval-2007 competition (Pradhan et al, 2007) was performed using this configuration.</S> | Reference Offset:  ['0','1'] | Reference Text:  <S sid = 0 ssid = >SemEval-2007 Task-17: English Lexical Sample SRL and All Words</S><S sid = 1 ssid = >This paper describes our experience in preparing the data and evaluating the results for three subtasks of SemEval-2007 Task-17 ? Lexical Sample, Semantic Role Labeling(SRL) and All-Words respectively.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  W07-2016.txt | Citing Article:  C10-1013.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >English Lexical Sample The Semeval workshop holds WSD tasks such as the English Lexical Sample (ELS) (Pradhan et al, 2007).</S> | Reference Offset:  ['0','26'] | Reference Text:  <S sid = 0 ssid = >SemEval-2007 Task-17: English Lexical Sample SRL and All Words</S><S sid = 26 ssid = >2.2 OntoNotes English Lexical Sample WSD.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  W07-2016.txt | Citing Article:  C10-1013.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >It outperforms most of the systems participating in the task (Pradhan et al., 2007).</S> | Reference Offset:  ['2','22'] | Reference Text:  <S sid = 2 ssid = >We tab ulate and analyze the results of participating systems.</S><S sid = 22 ssid = >2.1.2 Results A total of 14 systems were evaluated on the All Words task.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  W07-2016.txt | Citing Article:  W10-2309.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Experimental results are provided for two datasets: the Semeval-2007 lexical sample task (Pradhanetal., 2007) and the Turk bootstrap Word Sense Inventory (TWSI1, (Biemann and Nygaard, 2010)).</S> | Reference Offset:  ['0','1'] | Reference Text:  <S sid = 0 ssid = >SemEval-2007 Task-17: English Lexical Sample SRL and All Words</S><S sid = 1 ssid = >This paper describes our experience in preparing the data and evaluating the results for three subtasks of SemEval-2007 Task-17 ? Lexical Sample, Semantic Role Labeling(SRL) and All-Words respectively.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  W07-2016.txt | Citing Article:  W10-2309.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['36','146'] | Reference Text:  <S sid = 36 ssid = >Train Test Total Verb 8988 2292 11280 Noun 13293 2559 15852 Total 22281 4851 Table 2: The number of instances for Verbs andNouns in the Train and Test sets for the Lexical Sam ple WSD task.</S><S sid = 146 ssid = >HR0011-06-C-0022; National Science Foundation Grant NSF-0415923, Word Sense Disambiguation; the DTO-AQUAINT NBCHC040036 grant under the University of Illinois subcontract to University of Pennsylvania 2003-07911-01; and NSF-ITR-0325646: Domain-Independent Semantic Interpretation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  W07-2016.txt | Citing Article:  N10-1053.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In this paper the relevance feedback approach described by Stevenson et al (2008a) is evaluated using three data sets: the NLM-WSD corpus (Weeber et al, 2001) which Stevenson et al (2008a) used for their experiments, the Senseval-3 lexical sample task (Mihalcea et al, 2004) and the coarse grained version of the SemEval English lexical sample task (Pradhan et al, 2007).</S> | Reference Offset:  ['0','26'] | Reference Text:  <S sid = 0 ssid = >SemEval-2007 Task-17: English Lexical Sample SRL and All Words</S><S sid = 26 ssid = >2.2 OntoNotes English Lexical Sample WSD.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  W07-2016.txt | Citing Article:  D11-1051.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We prefer SemCor to all-words datasets available in Senseval-3 (Snyder and Palmer, 2004) or SemEval-2007 (Pradhan et al, 2007), since it includes many more documents than either set (350 versus 3) and therefore allowing more reliable results.</S> | Reference Offset:  ['0','123'] | Reference Text:  <S sid = 0 ssid = >SemEval-2007 Task-17: English Lexical Sample SRL and All Words</S><S sid = 123 ssid = >3.2 Results.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  W07-2016.txt | Citing Article:  S10-1084.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Lexical Sample The Semeval workshop holds WSD tasks such as the English Lexical Sample (ELS) (Pradhan et al, 2007).</S> | Reference Offset:  ['0','26'] | Reference Text:  <S sid = 0 ssid = >SemEval-2007 Task-17: English Lexical Sample SRL and All Words</S><S sid = 26 ssid = >2.2 OntoNotes English Lexical Sample WSD.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  W07-2016.txt | Citing Article:  S10-1084.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The improvements seen using our system are substantial, beating most of the systems originally proposed for the task (Pradhan et al, 2007).</S> | Reference Offset:  ['114','117'] | Reference Text:  <S sid = 114 ssid = >VerbNet roles were generated using the SemLink mapping (Loper et al,2007), which provides a mapping between Prop Bank and VerbNet role labels.</S><S sid = 117 ssid = >We proposed two levels of participation in thistask: i) Closed ? the systems could use only the an notated data provided and nothing else.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  W07-2016.txt | Citing Article:  W10-2803.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The use of coarse-grained sense groups (Palmer et al, 2007) has led to considerable advances in WSD performance, with accuracies of around 90% (Pradhan et al, 2007).</S> | Reference Offset:  ['28','49'] | Reference Text:  <S sid = 28 ssid = >OntoNotes (Hovy et al, 2006) is a project that has annotated several layers of semantic information ? including word senses, at a high inter-annotator agreement of over 90%.</S><S sid = 49 ssid = >For the fine-grained All Words sense tagging task, which has always used WordNet, the systemperformance has ranged from our 59% to 65.2 (Sen seval3, (Decadt et al, 2004)) to 69% (Seneval2, (Chklovski and Mihalcea, 2002)).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  W07-2016.txt | Citing Article:  C08-1003.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Given that the WSD literature has shown that all features, including local and syntactic features, are necessary for optimal performance (Pradhan et al, 2007), we propose the following alternative to construct the matrix.</S> | Reference Offset:  ['31','127'] | Reference Text:  <S sid = 31 ssid = >For the convenience of the partici pants who wanted to use syntactic parse information as features using an off-the-shelf syntactic parser, we decided to compose the training data of Sections 02-21.</S><S sid = 127 ssid = >The performance of these two teams is shown in Table 5 and Table 6.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  W07-2016.txt | Citing Article:  D09-1029.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The algorithm proved effective at Senseval-3 (Mihalcea and Edmonds, 2004) and, nowadays, it still represents the state-of-the-art in WSD (Pradhan et al, 2007). Specifically, they addressed these issues: (i) independently modeling domain and syntagmatic aspects of sense distinction to improve feature representativeness; and (ii) exploiting external knowledge acquired from unlabeled data, with the purpose of drastically reducing the amount of labeled 3http: //download.wikimedia.org/enwiki/ 20090306 4 A context corresponds to a line of text in the Wikipedia dump and it is represented as a paragraph in a Wikipedia article.</S> | Reference Offset:  ['49','119'] | Reference Text:  <S sid = 49 ssid = >For the fine-grained All Words sense tagging task, which has always used WordNet, the systemperformance has ranged from our 59% to 65.2 (Sen seval3, (Decadt et al, 2004)) to 69% (Seneval2, (Chklovski and Mihalcea, 2002)).</S><S sid = 119 ssid = >3.1 Data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  W07-2016.txt | Citing Article:  S12-1014.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For unsupervised WSD (applied to text only), we use WordNet: :SenseRelate: :TargetWord, here after PBP (Patwardhan et al, 2007), the highest scoring unsupervised lexical sample word sense disambiguation algorithm at SemEval07 (Pradhan et al., 2007).</S> | Reference Offset:  ['26','29'] | Reference Text:  <S sid = 26 ssid = >2.2 OntoNotes English Lexical Sample WSD.</S><S sid = 29 ssid = >Therefore we decided to use this data for the lexical sample task.</S> | Discourse Facet:  NA | Annotator: Automatic


