Citance Number: 1 | Reference Article:  W11-1801.txt | Citing Article:  W11-1828.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In the current BioNLP 11 Shared Task1 (Kim et al, 2011), we demonstrate its generalizability to different event extraction tasks by applying what is, to a large extent, the same system to every single task and subtask.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The BioNLP Shared Task (BioNLP-ST, hereafter) series represents a community-wide move toward fine-grained information extraction (IE), in particular biomolecular event extraction (Kim et al., 2009; Ananiadou et al., 2010).</S><S sid = NA ssid = NA>Overview of BioNLP Shared Task 2011</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  W11-1801.txt | Citing Article:  W11-1806.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We describe the Stanford entry to the BioNLP2011 shared task on biomolecular event extraction (Kim et al, 2011a).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The BioNLP Shared Task (BioNLP-ST, hereafter) series represents a community-wide move toward fine-grained information extraction (IE), in particular biomolecular event extraction (Kim et al., 2009; Ananiadou et al., 2010).</S><S sid = NA ssid = NA>The ID task (Pyysalo et al., 2011a) concerns the extraction of events relevant to biomolecular mechanisms of infectious diseases from full-text publications.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  W11-1801.txt | Citing Article:  W11-1804.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The Infectious Diseases (ID) task of the BioNLPShared Task 2011 (Kim et al, 2011a) is an information extraction task focusing on the biomolecular mechanisms of infectious diseases.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The ID task (Pyysalo et al., 2011a) concerns the extraction of events relevant to biomolecular mechanisms of infectious diseases from full-text publications.</S><S sid = NA ssid = NA>The BioNLP Shared Task (BioNLP-ST, hereafter) series represents a community-wide move toward fine-grained information extraction (IE), in particular biomolecular event extraction (Kim et al., 2009; Ananiadou et al., 2010).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  W11-1801.txt | Citing Article:  W11-1804.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>These are a superset of those targeted in the BioNLP ST 09 and its repeat, the 2011 GE task (Kim et al, 2011b).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The GE task (Kim et al., 2011) preserves the task definition of BioNLP-ST 2009, arranged based on the Genia corpus (Kim et al., 2008).</S><S sid = NA ssid = NA>The BioNLP Shared Task (BioNLP-ST, hereafter) series represents a community-wide move toward fine-grained information extraction (IE), in particular biomolecular event extraction (Kim et al., 2009; Ananiadou et al., 2010).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  W11-1801.txt | Citing Article:  W11-1804.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Nevertheless, extraction performance for the top systems is comparable to the state-of-the-art results for the established BioNLP ST 09 task (Miwa et al, 2010) as well as its repetition as the 2011 GE task (Kim et al, 2011b), where the highest overall result for the primary evaluation criteria was also 56% F score for the FAUST system (Riedel et al, 2011).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The GE task (Kim et al., 2011) preserves the task definition of BioNLP-ST 2009, arranged based on the Genia corpus (Kim et al., 2008).</S><S sid = NA ssid = NA>The task setup and data since have served as the basis for numerous studies (Miwa et al., 2010b; Poon and Vanderwende, 2010; Vlachos, 2010; Miwa et al., 2010a; Bj¨orne et al., 2010).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  W11-1801.txt | Citing Article:  W11-1804.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The five top-ranking systems participated also in the GE task (Kim et al, 2011b), which involves asubset of the ID extraction targets.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The task follows the basic design of BioNLPST 2009, and the ID entities and extraction targets are a superset of the GE ones.</S><S sid = NA ssid = NA>The GE task (Kim et al., 2011) preserves the task definition of BioNLP-ST 2009, arranged based on the Genia corpus (Kim et al., 2008).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  W11-1801.txt | Citing Article:  W11-1826.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We participated in the BioNLP-ST 2011 (Kim et al, 2011a), and applied a graph matching-based approach (Liu et al, 2010) to tackling the Task 1 of the GE NIA event extraction (GE) task (Kim et al, 2011b), and the core task of the Epigenetics and Post-translational Modifications (EPI) task (Ohta et al, 2011), two main tasks of the BioNLP-ST 2011.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The GE task (Kim et al., 2011) preserves the task definition of BioNLP-ST 2009, arranged based on the Genia corpus (Kim et al., 2008).</S><S sid = NA ssid = NA>The BioNLP Shared Task (BioNLP-ST, hereafter) series represents a community-wide move toward fine-grained information extraction (IE), in particular biomolecular event extraction (Kim et al., 2009; Ananiadou et al., 2010).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  W11-1801.txt | Citing Article:  W11-1826.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This section presents our results on the GE and the EPI tasks (Kim et al, 2011b; Ohta et al, 2011) respectively. Different experimental methods in processing the obtained event rules are described for the purpose of improving the precision of both tasks and increasing the recall of the EPI task.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The EPI task (Ohta et al., 2011) focuses on IE for protein and DNA modifications, with particular emphasis on events of epigenetics interest.</S><S sid = NA ssid = NA>The GE task (Kim et al., 2011) preserves the task definition of BioNLP-ST 2009, arranged based on the Genia corpus (Kim et al., 2008).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  W11-1801.txt | Citing Article:  W11-1803.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The Epigenetics and Post-translational Modifications (EPI) task is a shared task on event extraction from biomedical domain scientific publications, first introduced as a main task in the BioNLP Shared Task 2011 (Kim et al, 2011a). The EPI task focuses on events relating to epigenetic change, including DNA methylation and hi stone methylation and acetylation (see e.g.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The EPI task (Ohta et al., 2011) focuses on IE for protein and DNA modifications, with particular emphasis on events of epigenetics interest.</S><S sid = NA ssid = NA>Overview of BioNLP Shared Task 2011</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  W11-1801.txt | Citing Article:  W11-1803.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Basic modification events are defined similarly to the PHOSPHORYLATION event type targeted in the 09 and the 2011 GE and ID tasks (Kim et al, 2011b; Pyysalo et al, 2011b), with the full task extending previously defined arguments with two additional ones, Sidechain and Contextgene.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The task data, consisting of new annotations for GE data, extends a previously introduced resource (Pyysalo et al., 2009; Ohta et al., 2010a).</S><S sid = NA ssid = NA>In terms of the target event types, ID targets a superset of GE events and EPI extends on the representation for PHOSPHORYLATION events of GE.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  W11-1801.txt | Citing Article:  W11-1803.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>These choices may be motivated in part by the success of systems using the tools in the previous shared task and the availability of the analyses as supporting resources (Stenetorp et al., 2011). Despite the availability of PTM and DNAmethylation resources other than those specifically introduced for the task and the PHOSPHORYLATION annotations in the GE task (Kim et al, 2011b), no participant chose to apply other corpora for training.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Other supporting resources made available to participants are presented in (Stenetorp et al., 2011).</S><S sid = NA ssid = NA>The task data, consisting of new annotations for GE data, extends a previously introduced resource (Pyysalo et al., 2009; Ohta et al., 2010a).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  W11-1801.txt | Citing Article:  W11-1818.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The BioNLP 2011 Shared Task ((Kim et al, 2011)) series generalized this defining a series of tasks involving more text types, domains and target event types.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The BioNLP Shared Task (BioNLP-ST, hereafter) series represents a community-wide move toward fine-grained information extraction (IE), in particular biomolecular event extraction (Kim et al., 2009; Ananiadou et al., 2010).</S><S sid = NA ssid = NA>BioNLPST 2011 is organized as a joint effort of several groups preparing various tasks and resources, in which variability is pursued in three primary directions: text types, event types, and subject domains.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  W11-1801.txt | Citing Article:  W11-1802.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For example, Miwa et al (Miwa et al, 2010b) reported a significant improvement with binding events, achieving 50% of performance level. The task introduced in BioNLP-ST 2009 was re named to Genia event (GE) task, and was hosted again in BioNLP-ST 2011, which also hosted four other IE tasks and three supporting tasks (Kim et al, 2011).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The GE task (Kim et al., 2011) preserves the task definition of BioNLP-ST 2009, arranged based on the Genia corpus (Kim et al., 2008).</S><S sid = NA ssid = NA>The task setup and data since have served as the basis for numerous studies (Miwa et al., 2010b; Poon and Vanderwende, 2010; Vlachos, 2010; Miwa et al., 2010a; Bj¨orne et al., 2010).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  W11-1801.txt | Citing Article:  W11-1827.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>There have been ongoing efforts since BioNLP-ST 2009 to develop IE systems based on the task resources, and we hope to see continued efforts also following BioNLP-ST 2011, especially exploring the use of supporting task resources for main tasks.</S><S sid = NA ssid = NA>In this way, the GE task is intended to connect the entire event to the previous one.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  W11-1801.txt | Citing Article:  W11-1827.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>There are 4 event extraction tracks: in addition to the GENIA track that again focuses on transcription factors (Kim et al, 2011b), the epigenetics and post translational modification track (EPI) focuses on events relating to epigenetic change, such as DNAmethylation and hi stone modification, as well asother common post-translational protein modifications (Ohta et al, 2011), whereas the infectious diseases track (ID) focuses on bio-molecular mechanisms of infectious diseases (Pyysalo et al, 2011a).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The EPI task (Ohta et al., 2011) focuses on IE for protein and DNA modifications, with particular emphasis on events of epigenetics interest.</S><S sid = NA ssid = NA>The ID task (Pyysalo et al., 2011a) concerns the extraction of events relevant to biomolecular mechanisms of infectious diseases from full-text publications.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  W11-1801.txt | Citing Article:  W11-1807.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This paper presents the UMass entry to the BioNLP 2011 shared task (Kim et al, 2011a).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Overview of BioNLP Shared Task 2011</S><S sid = NA ssid = NA>The GE task (Kim et al., 2011) preserves the task definition of BioNLP-ST 2009, arranged based on the Genia corpus (Kim et al., 2008).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  W11-1801.txt | Citing Article:  W11-1807.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For Genia (GE) Task 1 (Kim et al, 2011b) we achieve the second best results.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The GE task (Kim et al., 2011) preserves the task definition of BioNLP-ST 2009, arranged based on the Genia corpus (Kim et al., 2008).</S><S sid = NA ssid = NA>Table 4 summarizes best results for various criteria (Note that the results shown for e.g.</S> | Discourse Facet:  NA | Annotator: Automatic


