Citance Number: 1 | Reference Article:  N06-1039.txt | Citing Article:  L08-1001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our work is related to previous work on domain independent unsupervised relation extraction, in particular Sekine (2006), Shinyama and Sekine (2006) and Banko et al (2007).</S> | Reference Offset:  ['11','17'] | Reference Text:  <S sid = 11 ssid = >First, it is hard to estimate how good the system can be after months of work.</S><S sid = 17 ssid = >There are many existing works on obtaining extraction patterns for pre-defined relations (Riloff, 1996; Yangarber et al., 2000; Agichtein and Gravano, 2000; Sudo et al., 2003).</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  N06-1039.txt | Citing Article:  P10-1013.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >An alternative paradigm, Open IE, pioneered by the TextRunner system (Banko et al., 2007) and the "preemptive IE" in (Shinyama and Sekine, 2006), aims to handle an unbounded number of relations and run quickly enough to process Webscale corpora.</S> | Reference Offset:  ['17','61'] | Reference Text:  <S sid = 17 ssid = >There are many existing works on obtaining extraction patterns for pre-defined relations (Riloff, 1996; Yangarber et al., 2000; Agichtein and Gravano, 2000; Sudo et al., 2003).</S><S sid = 61 ssid = >Hasegawa et al. (2004) tried to extract multiple relations by choosing entity types.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  N06-1039.txt | Citing Article:  P10-1013.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Shinyama and Sekine proposed the "preemptive IE" framework to avoid relation-specificity (Shinyama and Sekine, 2006).</S> | Reference Offset:  ['0','179'] | Reference Text:  <S sid = 0 ssid = >Preemptive Information Extraction Using Unrestricted Relation Discovery</S><S sid = 179 ssid = >In this paper we proposed Preemptive Information Extraction as a new direction of IE research.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  N06-1039.txt | Citing Article:  W10-0913.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our work focuses on a recent line of exploratory work in the direction of Unrestricted Relation Discovery which is defined as: the automatic identification of different relations in text without specifying a relation or set of relations in advance (Shinyama and Sekine, 2006).</S> | Reference Offset:  ['0','28'] | Reference Text:  <S sid = 0 ssid = >Preemptive Information Extraction Using Unrestricted Relation Discovery</S><S sid = 28 ssid = >In Unrestricted Relation Discovery, the discovery process (i.e. creating new tables) can be formulated as a clustering task.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  N06-1039.txt | Citing Article:  W10-0913.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Shinyama and Sekine (2006) developed an approach to preemptively discover relations in a corpus and present them as tables with all the entity pairs in the table having the same relations between them.</S> | Reference Offset:  ['18','100'] | Reference Text:  <S sid = 18 ssid = >Unrestricted Relation Discovery is a technique to automatically discover such relations that repeatedly appear in a corpus and present them as a table, with absolutely no human intervention.</S><S sid = 100 ssid = >The overall process to generate basic patterns and discover relations from unannotated news articles is shown in Figure 4.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  N06-1039.txt | Citing Article:  W10-0907.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >A paradigm related to Open IE is Preemptive IE (Shinyama and Sekine, 2006).</S> | Reference Offset:  ['30','172'] | Reference Text:  <S sid = 30 ssid = >Suppose that there are two articles A and B, and both report hurricane-related news.</S><S sid = 172 ssid = >We have a couple of open questions.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  N06-1039.txt | Citing Article:  D12-1094.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >However, most algorithms (Hasegawa et al 2004, Shinyama and Sekine, 2006, Chen et. al, 2005) rely on tagging predefined types of entities as relation arguments, and thus are not well-suited for the open domain.</S> | Reference Offset:  ['17','61'] | Reference Text:  <S sid = 17 ssid = >There are many existing works on obtaining extraction patterns for pre-defined relations (Riloff, 1996; Yangarber et al., 2000; Agichtein and Gravano, 2000; Sudo et al., 2003).</S><S sid = 61 ssid = >Hasegawa et al. (2004) tried to extract multiple relations by choosing entity types.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  N06-1039.txt | Citing Article:  D10-1106.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Prior work in relation discovery (Shinyama and Sekine, 2006) has investigated the problem of finding relationships between different classes.</S> | Reference Offset:  ['0','28'] | Reference Text:  <S sid = 0 ssid = >Preemptive Information Extraction Using Unrestricted Relation Discovery</S><S sid = 28 ssid = >In Unrestricted Relation Discovery, the discovery process (i.e. creating new tables) can be formulated as a clustering task.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  N06-1039.txt | Citing Article:  P13-1131.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Inference rules for predicates have been identified as an important component in semantic applications, such as Question Answering (QA) (Ravichandran and Hovy, 2002) and Information Extraction (IE) (Shinyama and Sekine, 2006).</S> | Reference Offset:  ['1','60'] | Reference Text:  <S sid = 1 ssid = >surface text patterns for a question answering system. of the 40th Annual Meeting of the As</S><S sid = 60 ssid = >Several existing works have tried to extract a certain type of relation by manually choosing different pairs of entities (Brin, 1998; Ravichandran and Hovy, 2002).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  N06-1039.txt | Citing Article:  D08-1062.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(Shinyama and Sekine, 2006) rely further on supervised methods, defining features over a full syntactic parse, and exploit multiple descriptions of the same event in newswire to identify useful relations.</S> | Reference Offset:  ['94','162'] | Reference Text:  <S sid = 94 ssid = >A GLARF converter takes a syntactic tree as an input and augments it with several features.</S><S sid = 162 ssid = >Table 4 shows the descriptions of the selected tables.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  N06-1039.txt | Citing Article:  P11-1098.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Shinyama and Sekine (2006) describe an approach to template learning without labeled data.</S> | Reference Offset:  ['75','90'] | Reference Text:  <S sid = 75 ssid = >We call this cluster of articles a “basic cluster.” Using basic clusters instead of single articles also helps to increase the redundancy of data.</S><S sid = 90 ssid = >But at the same time a basic pattern should be general enough to reduce data sparseness.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  N06-1039.txt | Citing Article:  D12-1048.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Preemptive IE (Shinyama and Sekine, 2006) is a paradigm related to Open IE that first groups documents based on pairwise vector clustering, then applies additional clustering to group entities based on document clusters.</S> | Reference Offset:  ['67','81'] | Reference Text:  <S sid = 67 ssid = >To alleviate this problem, we put an additional restriction on clustering.</S><S sid = 81 ssid = >We use a clustering algorithm that uses a vector-space-model to obtain basic clusters.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  N06-1039.txt | Citing Article:  P12-2031.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Inference rules are an important component in semantic applications, such as Question Answering (QA) (Ravichandran and Hovy, 2002) and Information Extraction (IE) (Shinyama and Sekine, 2006), describing a directional inference relation between two text patterns with variables.</S> | Reference Offset:  ['1','60'] | Reference Text:  <S sid = 1 ssid = >surface text patterns for a question answering system. of the 40th Annual Meeting of the As</S><S sid = 60 ssid = >Several existing works have tried to extract a certain type of relation by manually choosing different pairs of entities (Brin, 1998; Ravichandran and Hovy, 2002).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  N06-1039.txt | Citing Article:  P13-2051.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The benefit of utilizing template-based inference rules between predicates was demonstrated in NLP tasks such as Question Answering (QA) (Ravichandran and Hovy, 2002) and Information Extraction (IE) (Shinyama and Sekine, 2006).</S> | Reference Offset:  ['1','60'] | Reference Text:  <S sid = 1 ssid = >surface text patterns for a question answering system. of the 40th Annual Meeting of the As</S><S sid = 60 ssid = >Several existing works have tried to extract a certain type of relation by manually choosing different pairs of entities (Brin, 1998; Ravichandran and Hovy, 2002).</S> | Discourse Facet:  NA | Annotator: Automatic


