Citance Number: 1 | Reference Article:  P03-1002.txt | Citing Article:  D09-1002.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['57','183'] | Reference Text:  <S sid = 57 ssid = >− POSITION (pos) − Indicates if the constituent appears before or after the the predicate in the sentence.</S><S sid = 183 ssid = >The performance degradation of this paradigm when compared to IE systems based on hand-crafted patterns is only 10%.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  P03-1002.txt | Citing Article:  P05-1026.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We have found that the identification of the association between a candidate answer and a question depends on (a) the recognition of predicates and entities based on both the output of a named entity recognizer and a semantic parser (Surdeanu et al, 2003) and their structuring into predicate-argument frames.</S> | Reference Offset:  ['48','89'] | Reference Text:  <S sid = 48 ssid = >This statistical technique of labeling predicate argument operates on the output of the probabilistic parser reported in (Collins, 1997).</S><S sid = 89 ssid = >In FS2 we added the following features: (a) the named entity class of the content word (cNE); and (b) a set of NE features that can take only Boolean values grouped as BOOLEAN NAMED ENTITY FEATURES and defined in Figure 4.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  P03-1002.txt | Citing Article:  C10-1079.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >However, it is a daunting task for people to find out information they are interested in from such a huge number of news tweets, thus motivating us to conduct some kind of information extraction such as event mining, where SRL plays a crucial role (Surdeanu et al, 2003).</S> | Reference Offset:  ['0','5'] | Reference Text:  <S sid = 0 ssid = >Using Predicate-Argument Structures For Information Extraction</S><S sid = 5 ssid = >The goal of recent Information Extraction (IE) tasks was to provide event-level indexing into news stories, including news wire, radio and television sources.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P03-1002.txt | Citing Article:  P07-1075.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Surdeanu et al (2003) applied semantic parsing to capture the predicate-argument sentence structure.</S> | Reference Offset:  ['57','96'] | Reference Text:  <S sid = 57 ssid = >− POSITION (pos) − Indicates if the constituent appears before or after the the predicate in the sentence.</S><S sid = 96 ssid = >To identify correctly the verb particle and capture it in the structure of predicates instead of the argument structure, we introduced two collocation features that measure the frequency with which verbs and succeeding prepositions cooccurr in the corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P03-1002.txt | Citing Article:  W05-0620.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In the same line, some systems also use features of the content words of the argument, using the heuristics of Surdeanu et al (2003).</S> | Reference Offset:  ['0','81'] | Reference Text:  <S sid = 0 ssid = >Using Predicate-Argument Structures For Information Extraction</S><S sid = 81 ssid = >To select the content words we used the heuristics illustrated in Figure 6.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P03-1002.txt | Citing Article:  W04-2412.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Concerning lexicalization of the argument, most of the techniques rely on head word rules based on Collins, or content word rules as in Surdeanu et al (2003).</S> | Reference Offset:  ['59','80'] | Reference Text:  <S sid = 59 ssid = >− HEAD WORD (hw) − This feature contains the head word of the evaluated phrase.</S><S sid = 80 ssid = >Based on these observations, we introduced in FS2 the CONTENT WORD (cw), which adds a new lexicalization from the argument constituent for better content representation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P03-1002.txt | Citing Article:  P05-1072.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The baseline feature set is a combination of features introduced by Gildea and Jurafsky (2002) and ones proposed in Pradhan et al, (2004), Surdeanu et al., (2003) and the syntactic-frame feature proposed in (Xue and Palmer, 2004).</S> | Reference Offset:  ['47','73'] | Reference Text:  <S sid = 47 ssid = >In previous work using the PropBank corpus, (Gildea and Palmer, 2002) proposed a model predicting argument roles using the same statistical method as the one employed by (Gildea and Jurafsky, 2002) for predicting semantic roles based on the FrameNet corpus (Baker et al., 1998).</S><S sid = 73 ssid = >Our model considers two sets of features: Feature Set 1 (FS1): features used in the work reported in (Gildea and Palmer, 2002) and (Gildea and Jurafsky, 2002) ; and Feature Set 2 (FS2): a novel set of features introduced in this paper.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P03-1002.txt | Citing Article:  N04-1032.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Due to the sparsity of the head word feature, we also use the part-of-speech of the head word, following Surdeanu et al (2003).</S> | Reference Offset:  ['59','77'] | Reference Text:  <S sid = 59 ssid = >− HEAD WORD (hw) − This feature contains the head word of the evaluated phrase.</S><S sid = 77 ssid = >In Figure 5(a), the head word of the PP phrase is the preposition in, but June is at least as informative as the head word.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P03-1002.txt | Citing Article:  W05-0634.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >They are a combination of features introduced by Gildea and Jurafsky (2002), ones proposed in Pradhan et al (2004), Surdeanu et al (2003) and the syntactic-frame feature proposed in (Xue and Palmer, 2004).</S> | Reference Offset:  ['47','73'] | Reference Text:  <S sid = 47 ssid = >In previous work using the PropBank corpus, (Gildea and Palmer, 2002) proposed a model predicting argument roles using the same statistical method as the one employed by (Gildea and Jurafsky, 2002) for predicting semantic roles based on the FrameNet corpus (Baker et al., 1998).</S><S sid = 73 ssid = >Our model considers two sets of features: Feature Set 1 (FS1): features used in the work reported in (Gildea and Palmer, 2002) and (Gildea and Jurafsky, 2002) ; and Feature Set 2 (FS2): a novel set of features introduced in this paper.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P03-1002.txt | Citing Article:  P09-1003.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Figure 1: A comparison of frames for buy.v defined in PropBank and FrameNet (Moschitti et al, 2007), and information extraction (Surdeanu et al, 2003) .</S> | Reference Offset:  ['0','98'] | Reference Text:  <S sid = 0 ssid = >Using Predicate-Argument Structures For Information Extraction</S><S sid = 98 ssid = >The results presented in this paper were obtained by training on Proposition Bank (PropBank) release 2002/7/15 (Kingsbury et al., 2002).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P03-1002.txt | Citing Article:  W05-0635.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Content words, which add informative lexicalized information different from the head word, were detected using the heuristics of (Surdeanu et al, 2003).</S> | Reference Offset:  ['81','84'] | Reference Text:  <S sid = 81 ssid = >To select the content words we used the heuristics illustrated in Figure 6.</S><S sid = 84 ssid = >Therefore we decided to add two new features, namely the parts of speech of the head word and the content word respectively.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P03-1002.txt | Citing Article:  D08-1034.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Since the arguments can provide useful semantic information, the SRL is crucial to many natural language processing tasks, such as Question and Answering (Narayanan and Harabagiu 2004), Information Extraction (Surdeanu et al 2003), and Machine Translation (Boas 2002).</S> | Reference Offset:  ['0','92'] | Reference Text:  <S sid = 0 ssid = >Using Predicate-Argument Structures For Information Extraction</S><S sid = 92 ssid = >The Boolean NE flags provide information useful in processing complex nominals occurring in argument constituents.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P03-1002.txt | Citing Article:  P08-3010.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >SCFs can be useful for many NLP applications, such as parsing (John Carroll and Briscoe, 1998) or information extraction (Surdeanu et al, 2003).</S> | Reference Offset:  ['0','92'] | Reference Text:  <S sid = 0 ssid = >Using Predicate-Argument Structures For Information Extraction</S><S sid = 92 ssid = >The Boolean NE flags provide information useful in processing complex nominals occurring in argument constituents.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P03-1002.txt | Citing Article:  D10-1104.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Surdeanu et al (2003) employ predicate-argument structures for information extraction.</S> | Reference Offset:  ['0','132'] | Reference Text:  <S sid = 0 ssid = >Using Predicate-Argument Structures For Information Extraction</S><S sid = 132 ssid = >Figure 7(a) illustrates an IE architecture that employs predicate argument structures.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P03-1002.txt | Citing Article:  D11-1122.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Semantic role analysis has the potential of benefiting a wide spectrum of applications ranging from information extraction (Surdeanu et al, 2003) and question answering (Shen and Lapata, 2007), to machine translation (Wu and Fung, 2009) and summarization (Melli et al, 2005).</S> | Reference Offset:  ['0','18'] | Reference Text:  <S sid = 0 ssid = >Using Predicate-Argument Structures For Information Extraction</S><S sid = 18 ssid = >Some of the most recent methods were reported in (Riloff, 1996; Yangarber et al., 2000).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  P03-1002.txt | Citing Article:  H05-1108.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For instance, information extraction (Surdeanu et al, 2003), question answering (Narayanan and Harabagiu, 2004) and machine translation (Boas, 2002) could stand to benefit from broad coverage semantic processing.</S> | Reference Offset:  ['0','153'] | Reference Text:  <S sid = 0 ssid = >Using Predicate-Argument Structures For Information Extraction</S><S sid = 153 ssid = >The IE architecture in Figure 7(a) may be compared with the IE architecture with cascaded FSA represented in Figure 7(b) and reported in (Surdeanu and Harabagiu, 2002).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  P03-1002.txt | Citing Article:  W04-2501.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our method first converts the extracted answers into a series of open-domain templates, which are based on predicate-argument frames (Surdeanu et al 2003).</S> | Reference Offset:  ['24','179'] | Reference Text:  <S sid = 24 ssid = >In this paper we describe a domain-independent IE paradigm that is based on predicate-argument structures identified automatically by two different methods: (1) the statistical method reported in (Gildea and Palmer, 2002); and (2) a new method based on inductive learning which obtains 17% higher Fscore over the first method when tested on the same data.</S><S sid = 179 ssid = >This paper reports on a novel inductive learning method for identifying predicate argument structures in text.</S> | Discourse Facet:  NA | Annotator: Automatic


