Citance Number: 1 | Reference Article:  P06-4020.txt | Citing Article:  W07-1031.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Its main components are the Conditional Random Fields toolkit MALLET (McCallum, 2002) and the RASP syntactic parsing toolkit (Briscoe et al, 2006), which are both publicly available.</S> | Reference Offset:  ['1','5'] | Reference Text:  <S sid = 1 ssid = >We describe the new release of the RASP (robust accurate statistical parsing) system, designed for syntactic annotation of free text.</S><S sid = 5 ssid = >Briscoe & Carroll (2002) give further details about the first release.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  P06-4020.txt | Citing Article:  N10-2001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The RASP toolkit (Briscoe et al, 2006) is used for sentence boundary detection, tokenisation, PoStagging and finding grammatical relations (GR) between words in the text.</S> | Reference Offset:  ['18','64'] | Reference Text:  <S sid = 18 ssid = >Sentence boundary detection and tokenisation modules, implemented as a set of deterministic finite-state rules in Flex (an open source re-implementation of the original Unix Lex utility) Proceedings of the COLING/ACL 2006 Interactive Presentation Sessions, pages 77–80, Sydney, July 2006. c�2006 Association for Computational Linguistics tagger implements the Forward-Backward algorithm as well as the Viterbi algorithm, so users can opt for tag thresholding rather than forced-choice tagging (giving >99% tag recall on DepBank, at some cost to overall system speed).</S><S sid = 64 ssid = >We determine for each sentence the relations in the test set which are correct at each level of the relational hierarchy.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  P06-4020.txt | Citing Article:  C10-1113.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The search space for metaphor identification was the British National Corpus (BNC) that was parsed using the RASP parser of Briscoe et al (2006).</S> | Reference Offset:  ['50','71'] | Reference Text:  <S sid = 50 ssid = >The probabilities of actions in the LR table are computed using bootstrapping methods which utilise an unlabelled bracketing of the Susanne Treebank (Watson et al., 2006).</S><S sid = 71 ssid = >On the reannotated DepBank, the system achieves a microaveraged F1 score of 76.3% across all relations, using our new training method (Watson et al., 2006).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P06-4020.txt | Citing Article:  P12-1044.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The Preiss system extracts a verb instance's GRs using the Rasp general-language unlexicalized parser (Briscoe et al, 2006) as input, and based on hand crafted rules, maps verb instances to a predefined inventory of 168 SCFs.</S> | Reference Offset:  ['43','59'] | Reference Text:  <S sid = 43 ssid = >In cases where there is no parse rooted in S, the parser returns a connected sequence of partial parses covering the input.</S><S sid = 59 ssid = >A weighted set of GRs from the parse forest is now computed efficiently using a variant of the inside-outside algorithm (Watson et al., 2005).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P06-4020.txt | Citing Article:  P12-1044.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our input has been parsed into Rasp-style tGRs (Briscoe et al, 2006), which facilitates comparison with previous work based on the same data set.</S> | Reference Offset:  ['13','17'] | Reference Text:  <S sid = 13 ssid = >RASP is implemented as a series of modules written in C and Common Lisp, which are pipelined, working as a series of Unix-style filters.</S><S sid = 17 ssid = >The system is designed to take unannotated text or transcribed (and punctuated) speech as input, and not simply to run on pre-tokenised input such as that typically found in corpora produced for NLP purposes.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P06-4020.txt | Citing Article:  P12-1044.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Since the parser that produced them is known to perform well on general language (Briscoe et al, 2006), the tGRs are of high quality: it makes sense that reverting to the pg Rs is unnecessary in this case.</S> | Reference Offset:  ['4','58'] | Reference Text:  <S sid = 4 ssid = >The first public release of the RASP system (Briscoe & Carroll, 2002) has been downloaded by over 120 sites and used in diverse natural language processing tasks, such as anaphora resolution, word sense disambiguation, identifying rhetorical relations, resolving metonymy, detecting compositionality in phrasal verbs, and diverse applications, such as topic and sentiment classification, text anonymisation, summarisation, information extraction, and open domain question answering.</S><S sid = 58 ssid = >Factoring rooted, directed graphs of GRs into a set of bilexical dependencies makes it possible to compute the transderivational support for a particular relation and thus compute a weighting which takes account both of the probability of derivations yielding a specific relation and of the proportion of such derivations in the forest produced by the parser.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P06-4020.txt | Citing Article:  W08-1308.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['27','75'] | Reference Text:  <S sid = 27 ssid = >Many of the ori tags2. ginal The tokenised text is tagged with one of 150 part-of-speech (PoS) and punctuation labels (derived from the CLAWS tagset).</S><S sid = 75 ssid = >Much of the system rests on earlier work on the ANLT or associated tools by Bran Boguraev, David Elworthy, Claire Grover, Kevin Humphries, Guido Minnen, and Larry Piano.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P06-4020.txt | Citing Article:  S12-1025.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >All models were trained on the 90-million word written component of the British National Corpus, lemmatised, POS-tagged and parsed with the RASP toolkit (Briscoe et al., 2006).</S> | Reference Offset:  ['20','27'] | Reference Text:  <S sid = 20 ssid = >� ��������� �� ncmod xmod cmod pmod subj or dob Vlachos es already determined. parsing if desired (e.g. et al., 2006), as well as, for example, handling of text with senusing a first-order hidden markov model (HMM) tagger implemented in C (Elworthy, 1994) and trained on the manually-corrected tagged versions of the Susanne, LOB and (subset of) BNC corpora.</S><S sid = 27 ssid = >Many of the ori tags2. ginal The tokenised text is tagged with one of 150 part-of-speech (PoS) and punctuation labels (derived from the CLAWS tagset).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P06-4020.txt | Citing Article:  W11-0118.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >All features are automatically extracted from the Robust Minimal Recursion Semantics (RMRS, Copestake, 2004) representation of the sentence in which the noun phrase appears (obtained via a RASP parse, Briscoe et al, 2006).</S> | Reference Offset:  ['1','72'] | Reference Text:  <S sid = 1 ssid = >We describe the new release of the RASP (robust accurate statistical parsing) system, designed for syntactic annotation of free text.</S><S sid = 72 ssid = >Briscoe and Carroll (2006) show that the system has equivalent accuracy to the PARC XLE parser when the morphosyntactic features in the original DepBank gold standard are taken into account.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P06-4020.txt | Citing Article:  E09-3004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The corpus used for our distributional similarity baseline consists of a subset of Wikipedia to talling 500 MB in size, parsed first with RASP (Briscoe et al, 2006) and then into a Robust Minimal Recursion Semantics form (RMRS, Copes take, 2004) using a RASP-to-RMRS converter.</S> | Reference Offset:  ['1','41'] | Reference Text:  <S sid = 1 ssid = >We describe the new release of the RASP (robust accurate statistical parsing) system, designed for syntactic annotation of free text.</S><S sid = 41 ssid = >The current version of the grammar finds at least one parse rooted in S for about 85% of the Susanne corpus (used for grammar development), and most of the remainder consists of phrasal fragments marked as independent text sentences in passages of dialogue.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P06-4020.txt | Citing Article:  P09-3001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We expect our reimplementation of the method to extract data more accurately, since we use a more robust parser (RASP (Briscoe et al, 2006)), take into account more syntactic structures (coordination, passive), and extract our data from a newer version of the BNC.</S> | Reference Offset:  ['1','42'] | Reference Text:  <S sid = 1 ssid = >We describe the new release of the RASP (robust accurate statistical parsing) system, designed for syntactic annotation of free text.</S><S sid = 42 ssid = >The coverage of our WSJ test data is 84%.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P06-4020.txt | Citing Article:  P09-3001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The parameters of the model were estimated from the British National Corpus (BNC) (Burnard, 2007) that was parsed using the RASP parser of Briscoe et al (2006).</S> | Reference Offset:  ['20','71'] | Reference Text:  <S sid = 20 ssid = >� ��������� �� ncmod xmod cmod pmod subj or dob Vlachos es already determined. parsing if desired (e.g. et al., 2006), as well as, for example, handling of text with senusing a first-order hidden markov model (HMM) tagger implemented in C (Elworthy, 1994) and trained on the manually-corrected tagged versions of the Susanne, LOB and (subset of) BNC corpora.</S><S sid = 71 ssid = >On the reannotated DepBank, the system achieves a microaveraged F1 score of 76.3% across all relations, using our new training method (Watson et al., 2006).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P06-4020.txt | Citing Article:  W12-0910.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In addition we use a version annotated with the Rasp system (Briscoe et al, 2006), that tokenizes, tags, lemmatizes and parses the input sentences, outputting syntactic trees and then adding grammatical relations (GR) as described by (Buttery and Korhonen, 2005).</S> | Reference Offset:  ['23','74'] | Reference Text:  <S sid = 23 ssid = >A series of manually developed rules has been semiautomatically applied to the lexicon to ameliorate this problem by adding further tags with low counts to rare words.</S><S sid = 74 ssid = >Development has been partially funded by the EPSRC RASP project (GR/N36462 and GR/N36493) and greatly facilitated by Anna Korhonen, Diana McCarthy, Judita Preiss and Andreas Vlachos.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P06-4020.txt | Citing Article:  E09-1071.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Conjunctions are identified in the BNC by first parsing the corpus with Rasp (Briscoe et al, 2006) and extracting in stances of the conj grammatical relation.</S> | Reference Offset:  ['20','63'] | Reference Text:  <S sid = 20 ssid = >� ��������� �� ncmod xmod cmod pmod subj or dob Vlachos es already determined. parsing if desired (e.g. et al., 2006), as well as, for example, handling of text with senusing a first-order hidden markov model (HMM) tagger implemented in C (Elworthy, 1994) and trained on the manually-corrected tagged versions of the Susanne, LOB and (subset of) BNC corpora.</S><S sid = 63 ssid = >The remaining subtype and initial slots encode additional specifications of the relation type for some relations and the initial or underlying logical relation of the grammatical subject in constructions such as passive.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P06-4020.txt | Citing Article:  W09-1410.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Several methods exist to do this - e.g. producing RMRS output from RASP (Briscoe et al, 2006) is described in Frank (2004).</S> | Reference Offset:  ['11','50'] | Reference Text:  <S sid = 11 ssid = >Fourthly, the grammatical relations output has been redesigned to better support further processing.</S><S sid = 50 ssid = >The probabilities of actions in the LR table are computed using bootstrapping methods which utilise an unlabelled bracketing of the Susanne Treebank (Watson et al., 2006).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  P06-4020.txt | Citing Article:  D09-1003.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The only major differences with (Furstenau and Lapata, 2009) are the dependency parser which was used (the MALT parser (Nivre et al, 2006) instead of the RASP parser (Briscoe et al, 2006)) and the corpus employed to learn semantic similarities (the Reuters corpus instead of the British National Corpus).</S> | Reference Offset:  ['68','72'] | Reference Text:  <S sid = 68 ssid = >Thus, the evaluation scheme calculates unlabelled dependency accuracy at the dependency (most general) level in the hierarchy.</S><S sid = 72 ssid = >Briscoe and Carroll (2006) show that the system has equivalent accuracy to the PARC XLE parser when the morphosyntactic features in the original DepBank gold standard are taken into account.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  P06-4020.txt | Citing Article:  P13-1085.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We parsed the BNC corpus with the RASP parser (Briscoe et al, 2006) and used it for feature extraction.</S> | Reference Offset:  ['4','45'] | Reference Text:  <S sid = 4 ssid = >The first public release of the RASP system (Briscoe & Carroll, 2002) has been downloaded by over 120 sites and used in diverse natural language processing tasks, such as anaphora resolution, word sense disambiguation, identifying rhetorical relations, resolving metonymy, detecting compositionality in phrasal verbs, and diverse applications, such as topic and sentiment classification, text anonymisation, summarisation, information extraction, and open domain question answering.</S><S sid = 45 ssid = >A non-deterministic LALR(1) table is constructed automatically from a CF ‘backbone’ compiled from the feature-based grammar.</S> | Discourse Facet:  NA | Annotator: Automatic


