Citance Number: 1 | Reference Article:  P07-1049.txt | Citing Article:  C08-1042.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Seginer (2007) has an incremental parsing approach using a novel representation called common-cover-links, which can be converted to constituent brackets.</S> | Reference Offset:  ['2','14'] | Reference Text:  <S sid = 2 ssid = >The parser uses a representation for syntactic structure similar to dependency links which is well-suited for incremental parsing.</S><S sid = 14 ssid = >The parser is incremental, using a new link representation for syntactic structure.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  P07-1049.txt | Citing Article:  W09-1009.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Incremental refers to the results reported in Seginer (2007).</S> | Reference Offset:  ['0','23'] | Reference Text:  <S sid = 0 ssid = >Fast Unsupervised Incremental Parsing</S><S sid = 23 ssid = >Section 6 gives experimental results.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P07-1049.txt | Citing Article:  D11-1005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We note that some recent work gives a treatment to unsupervised parsing (but not of dependencies) directly from words (Seginer, 2007).</S> | Reference Offset:  ['0','23'] | Reference Text:  <S sid = 0 ssid = >Fast Unsupervised Incremental Parsing</S><S sid = 23 ssid = >Section 6 gives experimental results.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P07-1049.txt | Citing Article:  P09-1004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >As is customary in unsupervised parsing work (e.g. (Seginer, 2007)), we bounded sentence length by 10 (excluding punctuation).</S> | Reference Offset:  ['0','140'] | Reference Text:  <S sid = 0 ssid = >Fast Unsupervised Incremental Parsing</S><S sid = 140 ssid = >In practice, as before, only the top 10 labels in Axi and AySign(−i) are considered.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P07-1049.txt | Citing Article:  P09-1004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >As pre-processing, we use an unsupervised parser that generates an unlabeled parse tree for each sentence (Seginer, 2007).</S> | Reference Offset:  ['9','11'] | Reference Text:  <S sid = 9 ssid = >All these parsers learn and parse from sequences of part-of-speech tags and select, for each sentence, the binary parse tree which maximizes some objective function.</S><S sid = 11 ssid = >In this paper I present an unsupervised parser from plain text which does not use parts-of-speech.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P07-1049.txt | Citing Article:  P09-1004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >As is customary in unsupervised parsing (e.g. (Seginer, 2007)), we bounded the lengths of the sentences in the corpus to be at most 10 (excluding punctuation).</S> | Reference Offset:  ['0','95'] | Reference Text:  <S sid = 0 ssid = >Fast Unsupervised Incremental Parsing</S><S sid = 95 ssid = >Let W be the set of words in the corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P07-1049.txt | Citing Article:  P10-1024.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We start by parsing the corpus using the Seginer parser (Seginer, 2007).</S> | Reference Offset:  ['14','95'] | Reference Text:  <S sid = 14 ssid = >The parser is incremental, using a new link representation for syntactic structure.</S><S sid = 95 ssid = >Let W be the set of words in the corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P07-1049.txt | Citing Article:  W09-1120.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For example, the Seginer (2007) parser achieves an F-score of 75.9% on the WSJ10 corpus and 59% on the NEGRA10 corpus, but the percentage of individual sentences with an F-score of 100% is 21.5% for WSJ10 and 11% for NEGRA10.</S> | Reference Offset:  ['10','95'] | Reference Text:  <S sid = 10 ssid = >Learning is based on global maximization of this objective function over the whole corpus.</S><S sid = 95 ssid = >Let W be the set of words in the corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P07-1049.txt | Citing Article:  W09-1120.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The unsupervised parser we use is the Seginer (2007) incremental parser, which achieves state-of-the-art results without using manually created POS tags.</S> | Reference Offset:  ['14','65'] | Reference Text:  <S sid = 14 ssid = >The parser is incremental, using a new link representation for syntactic structure.</S><S sid = 65 ssid = >To calculate a shortest common cover link for an utterance, I will use an incremental parser.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P07-1049.txt | Citing Article:  W09-1120.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The incremental parser of (Seginer, 2007) does not give any prediction of its output quality, and extracting such a prediction from its internal data structures is not straightforward.</S> | Reference Offset:  ['1','55'] | Reference Text:  <S sid = 1 ssid = >This paper describes an incremental parser and an unsupervised learning algorithm for inducing this parser from plain text.</S><S sid = 55 ssid = >The second difference between the structures can be seen in the link from know to sleeps.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P07-1049.txt | Citing Article:  W09-1120.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['48','156'] | Reference Text:  <S sid = 48 ssid = >For each representative subset R C_ this defines a unique shortest common cover link set (see figure 1(c)).</S><S sid = 156 ssid = >The same conclusion cannot be drawn from a negative value for the In property when l = (w, 1) because, as with standard dependencies, a word determines its outbound links much more strongly than its inbound links.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P07-1049.txt | Citing Article:  W09-1120.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The parser we use is the incremental parser of (Seginer, 2007), POS tags are induced using the unsupervised POS tagger of ((Clark, 2003), neyessen morph model).</S> | Reference Offset:  ['14','65'] | Reference Text:  <S sid = 14 ssid = >The parser is incremental, using a new link representation for syntactic structure.</S><S sid = 65 ssid = >To calculate a shortest common cover link for an utterance, I will use an incremental parser.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P07-1049.txt | Citing Article:  W10-2901.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Seginer (2007)'s common cover links model (CCL) does not need any prior tagging and is applied on word strings directly.</S> | Reference Offset:  ['39','61'] | Reference Text:  <S sid = 39 ssid = >The common cover link set RB associated with a bracketing 13 is the set of common cover links over U such that x d* y E RB iff the word x is a generator of depth d of the smallest bracket B E 13 such that x, y E B (see figure 1(a)).</S><S sid = 61 ssid = >In what follows, I will restrict common cover links to having depth 0 or 1.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P07-1049.txt | Citing Article:  W10-2901.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >As most unsupervised parsing models (except (Seginer, 2007)), we apply the hand annotated data of the NEGRA corpus.</S> | Reference Offset:  ['0','7'] | Reference Text:  <S sid = 0 ssid = >Fast Unsupervised Incremental Parsing</S><S sid = 7 ssid = >This can either be semi-supervised parsing, using both annotated and unannotated data (McClosky et al., 2006) or unsupervised parsing, training entirely on unannotated text.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  P07-1049.txt | Citing Article:  P11-1108.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >An exception which learns from raw text and makes no use of POS tags is the common cover link sparser (CCL, Seginer 2007).</S> | Reference Offset:  ['65','70'] | Reference Text:  <S sid = 65 ssid = >To calculate a shortest common cover link for an utterance, I will use an incremental parser.</S><S sid = 70 ssid = >The adjacency property described in the previous section makes shortest common cover link sets especially suitable for incremental parsing.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  P07-1049.txt | Citing Article:  P11-1108.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Though punctuation is usually entirely ignored in unsupervised parsing research, Seginer (2007) departs from this in one key aspect: the use of phrasal punctuation - punctuation symbols that often mark phrasal boundaries within a sentence.</S> | Reference Offset:  ['123','145'] | Reference Text:  <S sid = 123 ssid = >The update of Axi by a is given by operations The update of Axi by a begins by incrementing the count: #(Axi ) += 1 If a is a boundary symbol (0l or 0r) or if x and a are words separated by stopping punctuation (full stop, question mark, exclamation mark, semicolon, comma or dash): (In practice, only l = [a] and the 10 strongest labels in AαSign(−i) are updated.</S><S sid = 145 ssid = >As in the learning process, label matching is blocked between words which are separated by stopping punctuation.</S> | Discourse Facet:  NA | Annotator: Automatic


