Citance Number: 1 | Reference Article:  D07-1101.txt | Citing Article:  D07-1096.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Carreras (2007) extends the first-order model to incorporate a sum over scores for pairs of adjacent arcs in the tree, yielding a second-order model.</S> | Reference Offset:  ['34','91'] | Reference Text:  <S sid = 34 ssid = >The first-order model scores a factor as score1(w,x, ?h, m, l?)</S><S sid = 91 ssid = >The first is a first-order model.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 7 | Reference Article:  D07-1101.txt | Citing Article:  W09-1218.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For more details of the second-order parsing algorithm, see (Carreras, 2007).</S> | Reference Offset:  ['12','51'] | Reference Text:  <S sid = 12 ssid = >In this paper we extend the parsing model with other typesof second-order relations.</S><S sid = 51 ssid = >2.1 Parsing Algorithm.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  D07-1101.txt | Citing Article:  C10-1011.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We employ, as a basis for our parser, the second order maximum spanning tree dependency parsing algorithm of Carreras (2007).</S> | Reference Offset:  ['26','51'] | Reference Text:  <S sid = 26 ssid = >A dependency parser receives a sentence x of n to kens, and outputs a labeled dependency tree y. In the tree, a labeled dependency is a triple ?h, m, l?, where h ? [0 . . .</S><S sid = 51 ssid = >2.1 Parsing Algorithm.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  D07-1101.txt | Citing Article:  C10-1011.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The second order algorithm of Carreras (2007) uses in addition to McDonald and Pereira (2006) the child of the dependent occurring in the sentence between the head and the dependent, and the an edge to a grandchild.</S> | Reference Offset:  ['43','92'] | Reference Text:  <S sid = 43 ssid = >The second-order model of McDonald and Pereira (2006) considers ?h, m, ch?.</S><S sid = 92 ssid = >The second model is similar to that of McDonald and Pereira (2006): a factor consists of a main labeleddependency and the head child closest to the modifier (ch).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  D07-1101.txt | Citing Article:  C10-1011.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Johansson and Nugues (2008) reported training times of 2.4 days for English with the high-order parsing algorithm of Carreras (2007).</S> | Reference Offset:  ['51','107'] | Reference Text:  <S sid = 51 ssid = >2.1 Parsing Algorithm.</S><S sid = 107 ssid = >days of computation, or a maximum of 15 epochs.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  D07-1101.txt | Citing Article:  C10-1011.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >It consists of the second order parsing algorithm of Carreras (2007), the non-projective approximation algorithm (McDonald and Pereira, 2006), the passive aggressive support vector machine, and a feature extraction component.</S> | Reference Offset:  ['43','51'] | Reference Text:  <S sid = 43 ssid = >The second-order model of McDonald and Pereira (2006) considers ?h, m, ch?.</S><S sid = 51 ssid = >2.1 Parsing Algorithm.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  D07-1101.txt | Citing Article:  C10-2129.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The second order algorithm of Carreras (2007) uses in addition to McDonaldand Pereira (2006) the child of the dependent occurring in the sentence between the head and the dependent as well as the edge from the dependents to a grandchild.</S> | Reference Offset:  ['43','92'] | Reference Text:  <S sid = 43 ssid = >The second-order model of McDonald and Pereira (2006) considers ?h, m, ch?.</S><S sid = 92 ssid = >The second model is similar to that of McDonald and Pereira (2006): a factor consists of a main labeleddependency and the head child closest to the modifier (ch).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  D07-1101.txt | Citing Article:  C10-3009.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The dependency parser is based on Carreras's algorithm (Carreras, 2007) and second order spanning trees.</S> | Reference Offset:  ['0','111'] | Reference Text:  <S sid = 0 ssid = >Experiments with a Higher-Order Projective Dependency Parser</S><S sid = 111 ssid = >We have presented dependency parsing models that exploit higher-order factorizations of trees.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  D07-1101.txt | Citing Article:  C10-3009.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['118','119'] | Reference Text:  <S sid = 118 ssid = >The author was supported by the Catalan Ministry of Innovation, Universities and Enterprise.</S><S sid = 119 ssid = >960</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  D07-1101.txt | Citing Article:  E12-1009.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Carreras (2007) introduced the left-most and right-most grandchild as factors.</S> | Reference Offset:  ['75','76'] | Reference Text:  <S sid = 75 ssid = >Let dir be ?right?</S><S sid = 76 ssid = >if h < m, and ?left?</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  D07-1101.txt | Citing Article:  E12-1009.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We use the factor model of Carreras (2007) as starting point for our experiments, cf. Section 4.</S> | Reference Offset:  ['34','91'] | Reference Text:  <S sid = 34 ssid = >The first-order model scores a factor as score1(w,x, ?h, m, l?)</S><S sid = 91 ssid = >The first is a first-order model.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  D07-1101.txt | Citing Article:  E12-1009.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We extend Carreras (2007) graph based model with factors involving three edges similar to that of Koo and Collins (2010).</S> | Reference Offset:  ['12','65'] | Reference Text:  <S sid = 12 ssid = >In this paper we extend the parsing model with other typesof second-order relations.</S><S sid = 65 ssid = >The second allows many dependencies involving the root token.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  D07-1101.txt | Citing Article:  E12-1009.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We start with the model introduced by Carreras (2007).</S> | Reference Offset:  ['91','97'] | Reference Text:  <S sid = 91 ssid = >The first is a first-order model.</S><S sid = 97 ssid = >The richest model obtains the best accu racy in the three languages, being much better than that of the first-order model.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  D07-1101.txt | Citing Article:  E12-1009.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Second order factors of Carreras (2007).</S> | Reference Offset:  ['73','91'] | Reference Text:  <S sid = 73 ssid = >As for the second-order features, we again base our features with those of McDonald and Pereira (2006), who reported successful experiments with second-order models.</S><S sid = 91 ssid = >The first is a first-order model.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  D07-1101.txt | Citing Article:  P08-1068.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['118','119'] | Reference Text:  <S sid = 118 ssid = >The author was supported by the Catalan Ministry of Innovation, Universities and Enterprise.</S><S sid = 119 ssid = >960</S> | Discourse Facet:  NA | Annotator: Automatic


