Citance Number: 1 | Reference Article:  P11-1061.txt | Citing Article:  P11-1144.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Subramanya et al's model was extended by Das and Petrov (2011) to induce part-of-speech dictionaries for unsupervised learning of taggers.</S> | Reference Offset:  ['18','38'] | Reference Text:  <S sid = 18 ssid = >To make the projection practical, we rely on the twelve universal part-of-speech tags of Petrov et al. (2011).</S><S sid = 38 ssid = >More recently, Subramanya et al. (2010) defined a graph over the cliques in an underlying structured prediction model.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  P11-1061.txt | Citing Article:  N12-1086.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Following Das and Petrov (2011) and Subramanya et al (2010), a similarity score between two trigram types was computed by measuring the cosine similarity between their empirical sentential context statistics.</S> | Reference Offset:  ['42','47'] | Reference Text:  <S sid = 42 ssid = >The foreign language vertices (denoted by Vf) correspond to foreign trigram types, exactly as in Subramanya et al. (2010).</S><S sid = 47 ssid = >Our monolingual similarity function (for connecting pairs of foreign trigram types) is the same as the one used by Subramanya et al. (2010).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  P11-1061.txt | Citing Article:  N12-1086.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Sparsity is desirable in settings where labeled development data for tuning thresholds that select the most probable labels for a given type is unavailable (e.g., Das and Petrov, 2011).</S> | Reference Offset:  ['70','134'] | Reference Text:  <S sid = 70 ssid = >Given the bilingual graph described in the previous section, we can use label propagation to project the English POS labels to the foreign language.</S><S sid = 134 ssid = >Because we don’t have a separate development set, we used the training set to select among them and found 0.2 to work slightly better than 0.1 and 0.3.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P11-1061.txt | Citing Article:  N12-1052.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Specifically, by replacing fine-grained language specific part-of-speech tags with universal part-of-speech tags, generated with the method described by Das and Petrov (2011), a universal parser is achieved that can be applied to any language for which universal part-of-speech tags are available.</S> | Reference Offset:  ['18','113'] | Reference Text:  <S sid = 18 ssid = >To make the projection practical, we rely on the twelve universal part-of-speech tags of Petrov et al. (2011).</S><S sid = 113 ssid = >For each language under consideration, Petrov et al. (2011) provide a mapping A from the fine-grained language specific POS tags in the foreign treebank to the universal POS tags.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P11-1061.txt | Citing Article:  N12-1052.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We study the impact of using cross-lingual cluster features by comparing the strong delexicalized baseline model of McDonald et al (2011), which only has features derived from universal part-of-speech tags, projected from English with the method of Das and Petrov (2011), to the same model when adding features derived from cross-lingual clusters.</S> | Reference Offset:  ['3','17'] | Reference Text:  <S sid = 3 ssid = >We use graph-based label propagation for cross-lingual knowledge transfer and use the projected labels as features in an unsupervised model (Berg- Kirkpatrick et al., 2010).</S><S sid = 17 ssid = >Second, we treat the projected labels as features in an unsupervised model (§5), rather than using them directly for supervised training.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P11-1061.txt | Citing Article:  N12-1090.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >MT-based projection has been applied to various NLP tasks, such as part of-speech tagging (e.g., Das and Petrov (2011)), mention detection (e.g., Zitouni and Florian (2008)), and sentiment analysis (e.g., Mihalcea et al (2007)).</S> | Reference Offset:  ['0','18'] | Reference Text:  <S sid = 0 ssid = >Unsupervised Part-of-Speech Tagging with Bilingual Graph-Based Projections</S><S sid = 18 ssid = >To make the projection practical, we rely on the twelve universal part-of-speech tags of Petrov et al. (2011).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P11-1061.txt | Citing Article:  W11-2205.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For example, the multilingual PoS induction approach of Das and Petrov (2011) assumes no supervision for the language whose PoS tags are being 35 induced, but it assumes access to a labeled dataset of a different language.</S> | Reference Offset:  ['13','113'] | Reference Text:  <S sid = 13 ssid = >(2009) study related but different multilingual grammar and tagger induction tasks, where it is assumed that no labeled data at all is available.</S><S sid = 113 ssid = >For each language under consideration, Petrov et al. (2011) provide a mapping A from the fine-grained language specific POS tags in the foreign treebank to the universal POS tags.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P11-1061.txt | Citing Article:  P13-1155.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(Das and Petrov, 2011) used graph-based label propagation for cross-lingual knowledge transfers to induce POS tags between two languages.</S> | Reference Offset:  ['3','158'] | Reference Text:  <S sid = 3 ssid = >We use graph-based label propagation for cross-lingual knowledge transfer and use the projected labels as features in an unsupervised model (Berg- Kirkpatrick et al., 2010).</S><S sid = 158 ssid = >We have shown the efficacy of graph-based label propagation for projecting part-of-speech information across languages.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P11-1061.txt | Citing Article:  D12-1127.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Recent work by Das and Petrov (2011) builds a dictionary for a particular language by transferring annotated data from a resource-rich language through the use of word alignments in parallel text.</S> | Reference Offset:  ['10','160'] | Reference Text:  <S sid = 10 ssid = >To bridge this gap, we consider a practically motivated scenario, in which we want to leverage existing resources from a resource-rich language (like English) when building tools for resource-poor foreign languages.1 We assume that absolutely no labeled training data is available for the foreign language of interest, but that we have access to parallel data with a resource-rich language.</S><S sid = 160 ssid = >Our results suggest that it is possible to learn accurate POS taggers for languages which do not have any annotated data, but have translations into a resource-rich language.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P11-1061.txt | Citing Article:  D12-1127.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >These approaches build a dictionary by transferring labeled data from a resource rich language (English) to a resource poor language (Das and Petrov, 2011).</S> | Reference Offset:  ['1','10'] | Reference Text:  <S sid = 1 ssid = >We describe a novel approach for inducing unsupervised part-of-speech taggers for languages that have no labeled training data, but have translated text in a resource-rich language.</S><S sid = 10 ssid = >To bridge this gap, we consider a practically motivated scenario, in which we want to leverage existing resources from a resource-rich language (like English) when building tools for resource-poor foreign languages.1 We assume that absolutely no labeled training data is available for the foreign language of interest, but that we have access to parallel data with a resource-rich language.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P11-1061.txt | Citing Article:  P12-3012.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In recent years research in Natural Language Processing (NLP) has been steadily moving towards multilingual processing: the availability of ever growing amounts of text in different languages, in fact, has been a major driving force behind research on multilingual approaches, from morphosyntactic (Das and Petrov, 2011) and syntactico semantic (Peirsman and Pado?, 2010) phenomena to high-end tasks like textual entailment (Mehdad et al., 2011) and sentiment analysis (Lu et al, 2011).</S> | Reference Offset:  ['5','18'] | Reference Text:  <S sid = 5 ssid = >Supervised learning approaches have advanced the state-of-the-art on a variety of tasks in natural language processing, resulting in highly accurate systems.</S><S sid = 18 ssid = >To make the projection practical, we rely on the twelve universal part-of-speech tags of Petrov et al. (2011).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P11-1061.txt | Citing Article:  D11-1006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Furthermore, we evaluate with both gold-standard part-of-speech tags, as well as predicted part-of speech tags from the projected part-of-speech tagger of Das and Petrov (2011).</S> | Reference Offset:  ['0','18'] | Reference Text:  <S sid = 0 ssid = >Unsupervised Part-of-Speech Tagging with Bilingual Graph-Based Projections</S><S sid = 18 ssid = >To make the projection practical, we rely on the twelve universal part-of-speech tags of Petrov et al. (2011).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P11-1061.txt | Citing Article:  D11-1006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In the first, we assumed that the test set for each target language had gold part-of-speech tags, and in the second we used predicted part-of-speech tags from the projection tagger of Das and Petrov (2011), which also uses English as the source language.</S> | Reference Offset:  ['18','153'] | Reference Text:  <S sid = 18 ssid = >To make the projection practical, we rely on the twelve universal part-of-speech tags of Petrov et al. (2011).</S><S sid = 153 ssid = >Figure 2 shows an excerpt of a sentence from the Italian test set and the tags assigned by four different models, as well as the gold tags.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P11-1061.txt | Citing Article:  P13-2112.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In this paper, we propose an unsupervised approach to POS tagging in a similar vein to the work of Das and Petrov (2011).</S> | Reference Offset:  ['0','161'] | Reference Text:  <S sid = 0 ssid = >Unsupervised Part-of-Speech Tagging with Bilingual Graph-Based Projections</S><S sid = 161 ssid = >Our results outperform strong unsupervised baselines as well as approaches that rely on direct projections, and bridge the gap between purely supervised and unsupervised POS tagging models.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P11-1061.txt | Citing Article:  P13-2112.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Das and Petrov (2011) achieved the current state-of-the-art for unsupervised tagging by exploiting high confidence alignments to copy tags from the source language to the target language.</S> | Reference Offset:  ['56','73'] | Reference Text:  <S sid = 56 ssid = >To define a similarity function between the English and the foreign vertices, we rely on high-confidence word alignments.</S><S sid = 73 ssid = >Note that because we extracted only high-confidence alignments, many foreign vertices will not be connected to any English vertices.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  P11-1061.txt | Citing Article:  P13-2112.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['60','164'] | Reference Text:  <S sid = 60 ssid = >To initialize the graph for label propagation we use a supervised English tagger to label the English side of the bitext.7 We then simply count the individual labels of the English tokens and normalize the counts to produce tag distributions over English word types.</S><S sid = 164 ssid = >Finally, we thank Kuzman Ganchev and the three anonymous reviewers for helpful suggestions and comments on earlier drafts of this paper.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  P11-1061.txt | Citing Article:  P13-2112.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We have proposed a method for unsupervised POS tagging that performs on par with the current state of-the-art (Das and Petrov, 2011), but is substantially less-sophisticated (specifically not requiring convex optimization or a feature-based HMM).</S> | Reference Offset:  ['0','85'] | Reference Text:  <S sid = 0 ssid = >Unsupervised Part-of-Speech Tagging with Bilingual Graph-Based Projections</S><S sid = 85 ssid = >We develop our POS induction model based on the feature-based HMM of Berg-Kirkpatrick et al. (2010).</S> | Discourse Facet:  NA | Annotator: Automatic


