Citance Number: 1 | Reference Article:  D08-1021.txt | Citing Article:  W09-1704.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For example, (Bannard and Callison-Burch, 2005) and (Callison-Burch, 2008) described a method to extract paraphrases from largely available bilingual corpora.</S> | Reference Offset:  ['38','96'] | Reference Text:  <S sid = 38 ssid = >Bannard and Callison-Burch (2005) extract paraphrases from bilingual parallel corpora.</S><S sid = 96 ssid = >We compare their quality against the Bannard and Callison-Burch (2005) baseline.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  D08-1021.txt | Citing Article:  D12-1058.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Note that Callison-Burch (2008) might possibly underestimate the chance agreement and overestimate the ? values, because the distribution of human scores would not be uniform.</S> | Reference Offset:  ['137','139'] | Reference Text:  <S sid = 137 ssid = >If we consider chance agreement to be 20% for 5-point scales, then K = 0.33, which is commonly interpreted as “fair” (Landis and Koch, 1977).</S><S sid = 139 ssid = >In this case chance agreement would be 50%, so K = 0.61, which is “substantial”.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  D08-1021.txt | Citing Article:  W10-3304.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In a more recent publication Callison-Burch (2008) improved this method by using syntactic constraints and multiple languages in parallel.</S> | Reference Offset:  ['0','33'] | Reference Text:  <S sid = 0 ssid = >Syntactic Constraints on Paraphrases Extracted from Parallel Corpora</S><S sid = 33 ssid = >Perhaps the most closely related work is a recent extension to Bannard and Callison-Burch’s paraphrasing method.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  D08-1021.txt | Citing Article:  W10-3304.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['53','170'] | Reference Text:  <S sid = 53 ssid = >The most probable paraphrase was a super- or sub-string of the phrase 73% of the time.</S><S sid = 170 ssid = >The views and findings are the author’s alone.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  D08-1021.txt | Citing Article:  W10-3304.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >A well-known problem of phrase-based methods to paraphrase or term variation acquisition is the fact that a large proportion of the term variations or paraphrases proposed by the system are superor sub-strings of the original term (Callison-Burch, 2008).</S> | Reference Offset:  ['50','52'] | Reference Text:  <S sid = 50 ssid = >This problem is pervasive.</S><S sid = 52 ssid = >It generated a total of 3.7 million paraphrases for 400,000 phrases in the list.1 We observed that 34% of the paraphrases (excluding the phrase itself) were super- or sub-strings of the original phrase.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  D08-1021.txt | Citing Article:  W10-3304.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In some sense this is a sort of syntactic constraint introduced in Callison-Burch (2008).</S> | Reference Offset:  ['3','93'] | Reference Text:  <S sid = 3 ssid = >In order to retain broad coverage of non-constituent phrases, complex syntactic labels are introduced.</S><S sid = 93 ssid = >Therefore we also investigated a looser constraint.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  D08-1021.txt | Citing Article:  W11-1602.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['53','170'] | Reference Text:  <S sid = 53 ssid = >The most probable paraphrase was a super- or sub-string of the phrase 73% of the time.</S><S sid = 170 ssid = >The views and findings are the author’s alone.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  D08-1021.txt | Citing Article:  W11-2504.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Callison-Burch (2008) attempts to improve the ranking by limiting paraphrases to be the same syntactic type.</S> | Reference Offset:  ['1','57'] | Reference Text:  <S sid = 1 ssid = >We improve the quality of paraphrases extracted from parallel corpora by requiring that phrases and their paraphrases be the same syntactic type.</S><S sid = 57 ssid = >The essence of our strategy is to constrain paraphrases to be the same syntactic type as the phrases that they are paraphrasing.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  D08-1021.txt | Citing Article:  W11-2504.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This refinement to BiP, proposed in Callison-Burch (2008), constrains paraphrases to be the same syntactic type as the original phrase in the pivoting step of the paraphrase table construction.</S> | Reference Offset:  ['87','159'] | Reference Text:  <S sid = 87 ssid = >To do so, we limit the paraphrases to be the same syntactic type as the phrase that it is replacing, based on the syntactic labels that are derived from the phrase tree for a test sentence.</S><S sid = 159 ssid = >We illustrated that a significantly higher performance can be achieved by constraining paraphrases to have the same syntactic type as the original phrase.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  D08-1021.txt | Citing Article:  D09-1040.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >More recently, Callison-Burch (2008) has improved performance of this pivoting technique by imposing syntactic constraints on the paraphrases.</S> | Reference Offset:  ['9','155'] | Reference Text:  <S sid = 9 ssid = >In this paper we examine the effectiveness of placing syntactic constraints on a commonly used paraphrasing technique that extracts paraphrases from parallel corpora (Bannard and Callison-Burch, 2005).</S><S sid = 155 ssid = >Given that the extraction constraints have better coverage and nearly identical performance on 3Our results show a significantly lower score for the baseline than reported in Bannard and Callison-Burch (2005).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  D08-1021.txt | Citing Article:  W12-3205.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Subsequently, Prasad et al (2010b) used Callison-Burch's technique for identifying syntax-constrained paraphrases (Callison-Burch, 2008) to identify additional discourse connectives, some of which don't appear in the PDTB corpus and some of which appear in the corpus but were not identified and annotated as discourse connectives.</S> | Reference Offset:  ['7','9'] | Reference Text:  <S sid = 7 ssid = >Recent work has shown how paraphrases can improve question answering through query expansion (Riezler et al., 2007), automatic evaluation of translation and summarization by modeling alternative lexicalization (Kauchak and Barzilay, 2006; Zhou et al., 2006; Owczarzak et al., 2006), and machine translation both by dealing with out of vocabulary words and phrases (Callison-Burch et al., 2006) and by expanding the set of reference translations for minimum error rate training (Madnani et al., 2007).</S><S sid = 9 ssid = >In this paper we examine the effectiveness of placing syntactic constraints on a commonly used paraphrasing technique that extracts paraphrases from parallel corpora (Bannard and Callison-Burch, 2005).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  D08-1021.txt | Citing Article:  P11-2051.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >While syntactical constraints have been proven to helpful in identifying good paraphrases (Callison-Burch, 2008), it is insufficient in our task because it cannot properly filter the candidates for the replacement.</S> | Reference Offset:  ['38','106'] | Reference Text:  <S sid = 38 ssid = >Bannard and Callison-Burch (2005) extract paraphrases from bilingual parallel corpora.</S><S sid = 106 ssid = >The test set was the English portion of test sets used in the shared translation task of the ACL2007 Workshop on Statistical Machine Translation (Callison-Burch et al., 2007).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  D08-1021.txt | Citing Article:  W11-1610.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Following Callison-Burch (2008), we refine selection by requiring both the original phrase and paraphrase to be of the same syntactic type, which leads to more grammatical paraphrases.</S> | Reference Offset:  ['1','98'] | Reference Text:  <S sid = 1 ssid = >We improve the quality of paraphrases extracted from parallel corpora by requiring that phrases and their paraphrases be the same syntactic type.</S><S sid = 98 ssid = >We evaluated whether paraphrases retained the meaning of their original phrases and whether they remained grammatical when they replaced the original phrase in a sentence.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  D08-1021.txt | Citing Article:  W11-1208.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Furthermore, we compared our fragment pair collection with Callison-Burch (2008)'s approach on the same MSR corpus, only about 21% of the extracted paraphrases appear on both sides, which shows the potential to combine different resources.</S> | Reference Offset:  ['0','80'] | Reference Text:  <S sid = 0 ssid = >Syntactic Constraints on Paraphrases Extracted from Parallel Corpora</S><S sid = 80 ssid = >For example, Table 4 shows the paraphrases and syntactic labels that are generated for the non-constituent phrase create equal.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  D08-1021.txt | Citing Article:  W11-1208.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >As for comparison, we choose two other paraphrase collections, one is acquired from parallel bilingual corpora (Callison-Burch, 2008) and the other is using the same fragment extraction algorithm on the MSR corpus.</S> | Reference Offset:  ['2','38'] | Reference Text:  <S sid = 2 ssid = >This is achieved by parsing the English side of a parallel corpus and altering the phrase extraction algorithm to extract phrase labels alongside bilingual phrase pairs.</S><S sid = 38 ssid = >Bannard and Callison-Burch (2005) extract paraphrases from bilingual parallel corpora.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  D08-1021.txt | Citing Article:  N10-1084.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our proposed method is based on the automatically acquired paraphrase dictionary described in Callison-Burch (2008), in which the application of paraphrases from the dictionary encodes secret bits.</S> | Reference Offset:  ['51','59'] | Reference Text:  <S sid = 51 ssid = >To test its extent we attempted to generate paraphrases for 900,000 phrases using Bannard and Callison-Burch’s method trained on the Europarl corpora (as described in Section 4).</S><S sid = 59 ssid = >These are described in sections 3.1 and 3.2.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  D08-1021.txt | Citing Article:  N10-1084.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The paraphrase dictionary that we use was generated for us by Chris Callison-Burch, using the technique described in Callison-Burch (2008), which exploits a parallel corpus and methods developed for statistical machine translation.</S> | Reference Offset:  ['38','106'] | Reference Text:  <S sid = 38 ssid = >Bannard and Callison-Burch (2005) extract paraphrases from bilingual parallel corpora.</S><S sid = 106 ssid = >The test set was the English portion of test sets used in the shared translation task of the ACL2007 Workshop on Statistical Machine Translation (Callison-Burch et al., 2007).</S> | Discourse Facet:  NA | Annotator: Automatic


