Citance Number: 1 | Reference Article:  N06-1025.txt | Citing Article:  W11-1913.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The use of predicate-argument structure has been explored by Ponzetto and Strube (2006b; 2006a).</S> | Reference Offset:  ['29','117'] | Reference Text:  <S sid = 29 ssid = >Kehler et al. (2004) observe no significant improvement due to predicate argument statistics.</S><S sid = 117 ssid = >Binarizing the features — i.e. do REi and REj have the same argument or predicate label with respect to their closest predicate?</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  N06-1025.txt | Citing Article:  D12-1071.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Note that there has been a recent surge of interest in extracting world knowledge from online encyclopedias such as Wikipedia (e.g., Ponzetto and Strube (2006, 2007), Poesio et al).</S> | Reference Offset:  ['6','48'] | Reference Text:  <S sid = 6 ssid = >However, the literature emphasizes since the very beginning the relevance of world knowledge and inference for coreference resolution (Charniak, 1973).</S><S sid = 48 ssid = >Luo et al. (2004), Kehler et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  N06-1025.txt | Citing Article:  N09-1065.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our baseline coreference system implements the standard machine learning approach to coreference resolution (see Ng and Cardie (2002b), Ponzetto and Strube (2006), Yang and Su (2007), for instance), which consists of probabilistic classification and clustering, as described below.</S> | Reference Offset:  ['4','8'] | Reference Text:  <S sid = 4 ssid = >The last years have seen a boost of work devoted to the development of machine learning based coreference resolution systems (Soon et al., 2001; Ng & Cardie, 2002; Yang et al., 2003; Luo et al., 2004, inter alia).</S><S sid = 8 ssid = >More specifically, whether a machine learning based approach to coreference resolution can be improved and which phenomena are affected by such information.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  N06-1025.txt | Citing Article:  D09-1101.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Traditional learning-based coreference resolvers operate by training a model for classifying whether two mentions are co-referring or not (e.g., Soon et al (2001), Ng and Cardie (2002b), Kehler et al (2004), Ponzetto and Strube (2006)).</S> | Reference Offset:  ['4','48'] | Reference Text:  <S sid = 4 ssid = >The last years have seen a boost of work devoted to the development of machine learning based coreference resolution systems (Soon et al., 2001; Ng & Cardie, 2002; Yang et al., 2003; Luo et al., 2004, inter alia).</S><S sid = 48 ssid = >Luo et al. (2004), Kehler et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  N06-1025.txt | Citing Article:  W11-1901.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Given that WordNet is a static ontology and as such has limitation on coverage, more recently, there have been successful attempts to utilize information from much larger, collaboratively built resources such as Wikipedia (Ponzetto and Strube, 2006).</S> | Reference Offset:  ['74','166'] | Reference Text:  <S sid = 74 ssid = >Wikipedia mining works as follows (for an indepth description of the methods for computing semantic relatedness in Wikipedia see Strube & Ponzetto (2006)): given the candidate referring expressions REZ and REj we first pull the pages they refer to.</S><S sid = 166 ssid = >We believe that an interesting aspect of Wikipedia is that it offers large coverage resources for many languages, thus making it a natural choice for multilingual NLP systems.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  N06-1025.txt | Citing Article:  S12-1002.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The use of semantic knowledge for coreference resolution has been studied before in a number of works, among them (Ponzetto and Strube, 2006), (Bengtson and Roth, 2008), (Lee et al, 2011), and (Rahman and Ng, 2011).</S> | Reference Offset:  ['4','47'] | Reference Text:  <S sid = 4 ssid = >The last years have seen a boost of work devoted to the development of machine learning based coreference resolution systems (Soon et al., 2001; Ng & Cardie, 2002; Yang et al., 2003; Luo et al., 2004, inter alia).</S><S sid = 47 ssid = >This is in contrast to other related works in coreference resolution (e.g.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  N06-1025.txt | Citing Article:  W12-4508.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Semantic features: semantic class agreement, governing verb and its grammatical role, predicate (Ponzetto and Strube, 2006) For English, the number agreement and gender agreement features can be obtained through the gender corpus provided.</S> | Reference Offset:  ['2','57'] | Reference Text:  <S sid = 2 ssid = >These features represent knowledge mined from WordNet and Wikipedia, as well as information about semantic role labels.</S><S sid = 57 ssid = >Given a potential antecedent REi and a potential anaphor REQ the features are computed as follows3. those; else F. NUMBER T if both REi and REQ agree in number; else F. GENDER U if either REi or REQ have an undefined gender.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  N06-1025.txt | Citing Article:  P07-1067.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Recently, Ponzetto and Strube (2006) suggest to mine semantic relatedness from Wikipedia, which can deal with the data sparseness problem suffered by using WordNet.</S> | Reference Offset:  ['74','88'] | Reference Text:  <S sid = 74 ssid = >Wikipedia mining works as follows (for an indepth description of the methods for computing semantic relatedness in Wikipedia see Strube & Ponzetto (2006)): given the candidate referring expressions REZ and REj we first pull the pages they refer to.</S><S sid = 88 ssid = >Therefore, the Wikipedia-based measures are to be taken as semantic relatedness measures.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  N06-1025.txt | Citing Article:  P10-1142.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Some researchers simply use the first sense (Soon et al, 2001) or all possible senses (Ponzetto and Strube, 2006a), while others overcome this problem with word sense disambiguation (Nicolae and Nicolae, 2006).</S> | Reference Offset:  ['50','63'] | Reference Text:  <S sid = 50 ssid = >Instances are created following Soon et al. (2001).</S><S sid = 63 ssid = >In order to overcome the sense disambiguation problem, we factorise over all possible sense pairs: given a candidate pair, we take the cross product of each antecedent and anaphor sense to form pairs of synsets.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  N06-1025.txt | Citing Article:  P10-1142.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Knowledge has also been mined from Wikipedia for measuring the semantic relatedness of two NPs, NPj and NPk (Ponzetto and Strube (2006a; 2007)).</S> | Reference Offset:  ['2','74'] | Reference Text:  <S sid = 2 ssid = >These features represent knowledge mined from WordNet and Wikipedia, as well as information about semantic role labels.</S><S sid = 74 ssid = >Wikipedia mining works as follows (for an indepth description of the methods for computing semantic relatedness in Wikipedia see Strube & Ponzetto (2006)): given the candidate referring expressions REZ and REj we first pull the pages they refer to.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  N06-1025.txt | Citing Article:  P10-1142.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Contextual roles (Bean and Riloff, 2004), semantic relations (Ji et al, 2005), semantic roles (Ponzetto and Strube, 2006b; Kong et al, 2009), and animacy (Orasan and Evans, 2007) have also been exploited to improve coreference resolution.</S> | Reference Offset:  ['31','48'] | Reference Text:  <S sid = 31 ssid = >Employing SRL is closer in spirit to Ji et al. (2005), who explore the employment of the ACE 2004 relation ontology as a semantic filter.</S><S sid = 48 ssid = >Luo et al. (2004), Kehler et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  N06-1025.txt | Citing Article:  D12-1113.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We use Wikipedia differently from (Ponzetto and Strube, 2006) who focus on using WikiRelate, a Wikipedia-based relatedness metric (Strube and Ponzetto, 2006).</S> | Reference Offset:  ['74','91'] | Reference Text:  <S sid = 74 ssid = >Wikipedia mining works as follows (for an indepth description of the methods for computing semantic relatedness in Wikipedia see Strube & Ponzetto (2006)): given the candidate referring expressions REZ and REj we first pull the pages they refer to.</S><S sid = 91 ssid = >We noticed that limiting the search improves the results as it yields a better correlation of the relatedness scores with human judgements (Strube & Ponzetto, 2006).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  N06-1025.txt | Citing Article:  W12-4501.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['53','172'] | Reference Text:  <S sid = 53 ssid = >During testing each text is processed from left to right: each RE is paired with any preceding RE from right to left, until a pair labeled as coreferent is output, or the beginning of the document is reached.</S><S sid = 172 ssid = >We thank Katja Filippova, Margot Mieskes and the three anonymous reviewers for their useful comments.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  N06-1025.txt | Citing Article:  P07-1068.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >As a result, researchers have re-adopted the once-popular knowledge-rich approach ,investigating a variety of semantic knowledge sources for common noun resolution, such as the semantic relations between two NPs (e.g., Ji et al (2005)), their semantic similarity as computed using WordNet (e.g., Poesio et al (2004)) or Wikipedia (Ponzetto and Strube, 2006), and the contextual role played by an NP (see Bean and Riloff (2004)).</S> | Reference Offset:  ['48','60'] | Reference Text:  <S sid = 48 ssid = >Luo et al. (2004), Kehler et al.</S><S sid = 60 ssid = >We enrich the semantic information available to the classifier by using semantic similarity measures based on the WordNet taxonomy (Pedersen et al., 2004).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  N06-1025.txt | Citing Article:  P07-1068.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Following Ponzetto and Strube (2006), we consider an anaphoric reference, NPi, correctly resolved if NPi and its closest antecedent are in the same coreference chain in the resulting partition.</S> | Reference Offset:  ['52','114'] | Reference Text:  <S sid = 52 ssid = >Negative instances are obtained by pairing the anaphoric REs with any RE occurring between the anaphor and the antecedent.</S><S sid = 114 ssid = >A RE is said to be correctly resolved when both it and its direct antecedent are placed by the key in the same coreference class.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  N06-1025.txt | Citing Article:  P07-1068.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Following previous work (e.g., Soon et al (2001) and Ponzetto and Strube (2006)), we generate training instances as follows: a positive instance is created for each anaphoric NP, NPj, and its closest antecedent, NPi; and a negative instance is created for NPj paired with each of the intervening NPs, NPi+1, NPi+2,..., NPj-1.</S> | Reference Offset:  ['50','51'] | Reference Text:  <S sid = 50 ssid = >Instances are created following Soon et al. (2001).</S><S sid = 51 ssid = >We create a positive training instance from each pair of adjacent coreferent REs.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  N06-1025.txt | Citing Article:  W10-3503.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In alternative, it has been recently shown that Wikipedia can be a promising source of semantic knowledge for coreference resolution between nominals (Ponzetto and Strube, 2006).</S> | Reference Offset:  ['0','7'] | Reference Text:  <S sid = 0 ssid = >Exploiting Semantic Role Labeling WordNet And Wikipedia For Coreference Resolution</S><S sid = 7 ssid = >This paper explores whether coreference resolution can benefit from semantic knowledge sources.</S> | Discourse Facet:  NA | Annotator: Automatic


