Citance Number: 1 | Reference Article:  N03-1026.txt | Citing Article:  W05-0908.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Furthermore, we consider an F-score measure that is adapted from dependency-based parsing (Crouch et al., 2002) and sentence-condensation (Riezler et al,2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Similar to stochastic disambiguation for constraint-based parsing (Johnson et al., 1999; Riezler et al., 2002), an exponential (a.k.a. log-linear or maximumentropy) probability model on transferred structures is estimated from a set of training data.</S><S sid = NA ssid = NA>Alternatively, a single input parse could be selected by stochastic models such as the one described in Riezler et al. (2002).</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  N03-1026.txt | Citing Article:  P06-1048.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Our results show that grammatical relations based F-score (Riezler et al 2003) correlates reliably with human judgements and could thus be used to measure compression performance automatically.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>These results show a close correspondence between automatically produced evaluation results and human judgments on the quality of generated condensed strings.</S><S sid = NA ssid = NA>Similar to stochastic disambiguation for constraint-based parsing (Johnson et al., 1999; Riezler et al., 2002), an exponential (a.k.a. log-linear or maximumentropy) probability model on transferred structures is estimated from a set of training data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  N03-1026.txt | Citing Article:  E06-1038.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Riezler et al (2003) present a discriminative sentence compressor over the output of an LFG parser that is a packed representation of possible compressions.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In this project, a broad-coverage LFG grammar and parser for English was employed (see Riezler et al. (2002)).</S><S sid = NA ssid = NA>For example, one possible post-transfer output of the sentence in Fig.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  N03-1026.txt | Citing Article:  D07-1028.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>It is an important and growing field of natural language processing with applications in areas such as transfer based machine translation (Riezler and Maxwell, 2006) and sentence condensation (Riezler et al, 2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The transfer component for the sentence condensation system is based on a component previously used in a machine translation system (see Frank (1999)).</S><S sid = NA ssid = NA>(2001) for evaluation of machine translation systems.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  N03-1026.txt | Citing Article:  P09-2026.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Riezler et al (2003) applied linguistically rich LFG grammars to a sentence compression system.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We presented an approach to sentence condensation that employs linguistically rich LFG grammars in a parsing/generation-based stochastic sentence condensation system.</S><S sid = NA ssid = NA>In this project, a broad-coverage LFG grammar and parser for English was employed (see Riezler et al. (2002)).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  N03-1026.txt | Citing Article:  W11-1611.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>One of the most widely used automatic metrics is the F1 measure over grammatical relations of the gold standard compressions (Riezler et al, 2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The standard metrics of precision, recall, and F-score from statistical parsing can be used as evaluation metrics for measuring matching quality: Precision measures the number of matching structural items in the parses of the system output and the gold standard, out of all structural items in the system output’s parse; recall measures the number of matches, out of all items in the gold standard’s parse.</S><S sid = NA ssid = NA>Given such a gold standard, summarization quality of a system can be evaluated automatically and repeatedly by matching the structures of the system output against the gold standard structures.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  N03-1026.txt | Citing Article:  P10-1096.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>As an automated metric of quality, we compute F-score based on grammatical relations (relational F1, or RelF1) (Riezler et al, 2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Similar to stochastic disambiguation for constraint-based parsing (Johnson et al., 1999; Riezler et al., 2002), an exponential (a.k.a. log-linear or maximumentropy) probability model on transferred structures is estimated from a set of training data.</S><S sid = NA ssid = NA>Alternatively, a single input parse could be selected by stochastic models such as the one described in Riezler et al. (2002).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  N03-1026.txt | Citing Article:  D07-1008.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We also report results using F1 computed over grammatical relations (Riezler et al, 2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The third rows report compression ratios.</S><S sid = NA ssid = NA>Similar to stochastic disambiguation for constraint-based parsing (Johnson et al., 1999; Riezler et al., 2002), an exponential (a.k.a. log-linear or maximumentropy) probability model on transferred structures is estimated from a set of training data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  N03-1026.txt | Citing Article:  P12-2068.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The first evaluation is dependency base devaluation same as Riezler et al (2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Similar to stochastic disambiguation for constraint-based parsing (Johnson et al., 1999; Riezler et al., 2002), an exponential (a.k.a. log-linear or maximumentropy) probability model on transferred structures is estimated from a set of training data.</S><S sid = NA ssid = NA>Alternatively, a single input parse could be selected by stochastic models such as the one described in Riezler et al. (2002).</S> | Discourse Facet:  NA | Annotator: Automatic


