Citance Number: 1 | Reference Article:  W04-2319.txt | Citing Article:  W12-1616.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Following the work of Shriberg et al (2004), we use the 5 general tags in our experiments: Disruption indicates the current Dialogue Act is interrupted.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The MRDA system requires one “general tag” per DA, and attaches a variable number of following “specific tags”.</S><S sid = NA ssid = NA>If instead we look at only the 11 obligatory general tags, for which there is one per DA, and if we split labels at the pipe bar, the total is 113,560 (excluding tags that only include a disruption label).</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  W04-2319.txt | Citing Article:  W06-3401.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The following experiments used manual meeting transcripts and relied on manual dialogue act segmentation (Shriberg et al, 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>As a very strict measure of reliability, we used the following approach: (1) Take one labeler’s transcript as a reference.</S><S sid = NA ssid = NA>The ICSI Meeting Recorder Dialog Act (MRDA) Corpus</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  W04-2319.txt | Citing Article:  W08-0112.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>All of them have been transcribed and annotated with dialog acts (DA) (Shriberg et al, 2004), topics, and abstractive and extractive summaries in the AMI project (Murray et al, 2005).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We describe a new corpus of hand-annotated dialog acts and adjacency pairs for roughly 72 hours of naturally occurring multi-party meetings.</S><S sid = NA ssid = NA>This work was supported by an ICSI subcontract to the University of Washington on a DARPA Communicator project, ICSI NSF ITR Award IIS-0121396, SRI NASA Award NCC2-1256, SRI NSF IRI-9619921, an SRI DARPA ROAR project, an ICSI award from the Swiss National Science Foundation through the research network IM2, and by the EU Framework 6 project on Augmented Multi-party Interaction (AMI).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  W04-2319.txt | Citing Article:  W06-3405.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>While there are related tags for dialogue act tagging schema? like DAMSL (Core and Allen, 1997), which includes tags such as Action-Directive and Commit, and the ICSI MRDA schema (Shriberg et al, 2004) which includes a committag these classes are too general to allow identification of action items specifically.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The ordering of tags in the table is explained as follows: In the mapping of DAMSL tags to SWBD-DAMSL tags in the SWBDDAMSL manual, tags were ordered in categories such as “Communication Status”, “Information Requests”, and so on.</S><S sid = NA ssid = NA>In the mapping of MRDA tags to SWBD-DAMSL tags here, we have retained the same overall ordering of tags within the table, but we do not explicitly mark the higher-level SWBD-DAMSL categories in order to avoid confusion, since categorical structure differs in the two systems (see [7]).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  W04-2319.txt | Citing Article:  N09-1070.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>All the meetings have been transcribed and annotated with dialog acts (DA) (Shriberg et al, 2004), topics, and extractive summaries (Murray et al, 2005).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We describe a new corpus of hand-annotated dialog acts and adjacency pairs for roughly 72 hours of naturally occurring multi-party meetings.</S><S sid = NA ssid = NA>In addition, meetings that occur naturally involve real topics, debates, issues, and social dynamics that should generalize more readily to other real meetings than might data collected using artificial scenarios.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  W04-2319.txt | Citing Article:  N06-1036.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>First, it is rare to have sub DAs labeled in training data, and indeed this is true of the corpus (Shriberg et al, 2004) that we use.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The ICSI Meeting Corpus data is described in detail in [9].</S><S sid = NA ssid = NA>To distinguish utterances that are prosodically one unit but which contain multiple DAs, we use a pipe bar (  |) in the annotations.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  W04-2319.txt | Citing Article:  N06-1036.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We evaluate our methods on the ICSI meeting recorder dialog act (MRDA) (Shriberg et al, 2004) corpus, and find that our novel hidden back off model can significantly improve dialog tagging accuracy.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The ICSI Meeting Recorder Dialog Act (MRDA) Corpus</S><S sid = NA ssid = NA>In this paper, we provide a first description of the meeting recorder dialog act (MRDA) corpus, a companion set of annotations that augment the word transcriptions with discourse-level segmentations, dialog act (DA) information, and adjacency pair information.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  W04-2319.txt | Citing Article:  N06-1036.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In all our models, to simplify we assume that the sentence change information is known (as is common with this corpus (Shriberg et al, 2004)).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We include other useful information with the corpus.</S><S sid = NA ssid = NA>Thus meetings pose interesting challenges to descriptive and theoretical models of discourse, as well as to researchers in the speech recognition community [4,7,9,13,14,15].</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  W04-2319.txt | Citing Article:  N06-1036.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We evaluated our hidden back off model on the ICSI meeting recorder dialog act (MRDA) corpus (Shriberg et al, 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The ICSI Meeting Recorder Dialog Act (MRDA) Corpus</S><S sid = NA ssid = NA>In this paper, we provide a first description of the meeting recorder dialog act (MRDA) corpus, a companion set of annotations that augment the word transcriptions with discourse-level segmentations, dialog act (DA) information, and adjacency pair information.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  W04-2319.txt | Citing Article:  P08-2051.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>All the meetings have been transcribed and annotated with dialog acts (DA) (Shriberg et al, 2004), topics, and extractive summaries (Murray et al, 2005).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We describe a new corpus of hand-annotated dialog acts and adjacency pairs for roughly 72 hours of naturally occurring multi-party meetings.</S><S sid = NA ssid = NA>In addition, meetings that occur naturally involve real topics, debates, issues, and social dynamics that should generalize more readily to other real meetings than might data collected using artificial scenarios.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  W04-2319.txt | Citing Article:  N07-1003.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In our future work, we plan to examine initiative conflicts in face-to-face multi-party conversation, such as the ICSI corpus (Shriberg et al, 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The corpus is currently available online for research purposes [16], and we plan a future release through the LDC.</S><S sid = NA ssid = NA>We describe a new corpus of hand-annotated dialog acts and adjacency pairs for roughly 72 hours of naturally occurring multi-party meetings.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  W04-2319.txt | Citing Article:  W05-0905.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This GUI showed both their textual summary and the orthographic transcription, without topic segmentation but with one line per dialogue act based on the pre-existing MRDA coding (Shriberg et al, 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The ICSI Meeting Recorder Dialog Act (MRDA) Corpus</S><S sid = NA ssid = NA>We provide basic statistics based on the dialog act labels for the 75 meetings.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  W04-2319.txt | Citing Article:  W08-0124.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We use only the forced alignments of these meetings, available in the accompanying MRDA Corpus (Shriberg et al 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Word-level time information is available, based on alignments from an automatic speech recognizer.</S><S sid = NA ssid = NA>We describe a new corpus of over 180,000 handannotated dialog act tags and accompanying adjacency pair annotations for roughly 72 hours of speech from 75 naturally-occurring meetings.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  W04-2319.txt | Citing Article:  W10-2607.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Experiments are performed using all train/test pairs among three conversational speech corpora: the Meeting Recorder Dialog Actcorpus (MRDA) (Shriberg et al, 2004), Switch board DAMSL (Swbd) (Jurafsky et al, 1997), and the Spanish Callhome dialog act corpus (SpCH) (Levin et al, 1998).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The ICSI Meeting Recorder Dialog Act (MRDA) Corpus</S><S sid = NA ssid = NA>In this paper, we provide a first description of the meeting recorder dialog act (MRDA) corpus, a companion set of annotations that augment the word transcriptions with discourse-level segmentations, dialog act (DA) information, and adjacency pair information.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  W04-2319.txt | Citing Article:  W04-2328.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Each channel was manually transcribed and timed, then annotated with dialogue act and adjacency pair information (Shriberg et al, 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In this paper, we provide a first description of the meeting recorder dialog act (MRDA) corpus, a companion set of annotations that augment the word transcriptions with discourse-level segmentations, dialog act (DA) information, and adjacency pair information.</S><S sid = NA ssid = NA>The example also provides a taste of the frequency and complexity of adjacency pair information.</S> | Discourse Facet:  NA | Annotator: Automatic


