Citance Number: 1 | Reference Article:  W03-1014.txt | Citing Article:  P04-1035.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We are very grateful to Theresa Wilson for her invaluable programming support and help with data preparation.</S><S sid = NA ssid = NA>In future work, we plan to experiment with different configurations of these classifiers, add new subjective language learners in the bootstrapping process, and address the problem of how to identify new objective sentences during bootstrapping.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  W03-1014.txt | Citing Article:  D12-1006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We are very grateful to Theresa Wilson for her invaluable programming support and help with data preparation.</S><S sid = NA ssid = NA>In future work, we plan to experiment with different configurations of these classifiers, add new subjective language learners in the bootstrapping process, and address the problem of how to identify new objective sentences during bootstrapping.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  W03-1014.txt | Citing Article:  P07-1123.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Starting with the Romanian lexicon, we developed a lexical classifier similar to the one introduced by (Riloff and Wiebe, 2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In 2002, a detailed annotation scheme (Wilson and Wiebe, 2003) was developed for a government-sponsored project.</S><S sid = NA ssid = NA>To automatically learn extraction patterns that are associated with subjectivity, we use a learning algorithm similar to AutoSlog-TS (Riloff, 1996).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  W03-1014.txt | Citing Article:  P08-1041.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The major source of this list is from (Riloff and Wiebe, 2003) with additional words from other sources.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>An open question was whether the new patterns provide additional coverage.</S><S sid = NA ssid = NA>AutoSlog-TS then ranks the extraction patterns using a metric called RlogF (Riloff, 1996) and asks a human to review the ranked list and make the final decision about which patterns to keep.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  W03-1014.txt | Citing Article:  P13-2090.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Most of the previous work on sentiment lexicon construction relies on existing natural language processing tools, e.g., syntactic parsers (Wiebe, 2000), information extraction (IE) tools (Riloff and Wiebe, 2003) or rich lexical resources such as WordNet (Esuli and Sebastiani, 2006).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Many natural language processing applications could benefit from being able to distinguish between factual and subjective information.</S><S sid = NA ssid = NA>Some existing resources contain lists of subjective words (e.g., Levin’s desire verbs (1993)), and some empirical methods in NLP have automatically identified adjectives, verbs, and N-grams that are statistically associated with subjective language (e.g., (Turney, 2002; Hatzivassiloglou and McKeown, 1997; Wiebe, 2000; Wiebe et al., 2001)).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  W03-1014.txt | Citing Article:  P13-2090.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>These terms have been previously shown to be high precision for recognizing subjective sentences (Riloff and Wiebe, 2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This experiment confirms that the extraction patterns are effective at recognizing subjective expressions.</S><S sid = NA ssid = NA>This process produced approximately 9,500 new subjective sentences that were previously unlabeled.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  W03-1014.txt | Citing Article:  P13-2090.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We are very grateful to Theresa Wilson for her invaluable programming support and help with data preparation.</S><S sid = NA ssid = NA>In future work, we plan to experiment with different configurations of these classifiers, add new subjective language learners in the bootstrapping process, and address the problem of how to identify new objective sentences during bootstrapping.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  W03-1014.txt | Citing Article:  W11-1704.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We decided to expand our subjective term lists by using automatic term extraction, inspired by (Riloff and Wiebe, 2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Private state is a general covering term for opinions, evaluations, emotions, and speculations (Quirk et al., 1985).</S><S sid = NA ssid = NA>Others were derived from corpora, including subjective nouns learned from unannotated data using bootstrapping (Riloff et al., 2003).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  W03-1014.txt | Citing Article:  D09-1140.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>All trigrams are then scored according to their prevalence in relevant versus irrelevant documents (e.g. subjective vs. non-subjective sentences), following the scoring methodology of Riloff and Wiebe (2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Not surprisingly, longer expressions tend to be more idiomatic (and subjective) than shorter expressions (e.g., put an end (to) vs. put; is going to be vs. is going; was expectedfrom vs. was expected).</S><S sid = NA ssid = NA>But in reality, most documents contain a mix of both subjective and objective sentences.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  W03-1014.txt | Citing Article:  D09-1140.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We are very grateful to Theresa Wilson for her invaluable programming support and help with data preparation.</S><S sid = NA ssid = NA>In future work, we plan to experiment with different configurations of these classifiers, add new subjective language learners in the bootstrapping process, and address the problem of how to identify new objective sentences during bootstrapping.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  W03-1014.txt | Citing Article:  D09-1140.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Believing that the current approach may offer benefits over state-of-the-art pattern-based subjectivity detection, we also implement the AutoSlogTS method of Riloff and Wiebe (2003) for extracting subjective extraction patterns.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This research explored several avenues for improving the state-of-the-art in subjectivity analysis.</S><S sid = NA ssid = NA>This example illustrates that the corpus-based learning method can find phrases that might not seem subjective to a person intuitively, but that are reliable indicators of subjectivity.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  W03-1014.txt | Citing Article:  P13-1173.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Riloff and Wiebe (2003) performed pattern learning through bootstrapping while extracting subjective expressions.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Learning Extraction Patterns For Subjective Expressions</S><S sid = NA ssid = NA>Others were derived from corpora, including subjective nouns learned from unannotated data using bootstrapping (Riloff et al., 2003).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  W03-1014.txt | Citing Article:  W11-0323.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For example, Riloff and Wiebe (2003) proposed a bootstrapping process to automatically identify subjective patterns.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The learned patterns can be used to automatically identify more subjective sentences, which grows the training set, and the entire process can then be bootstrapped.</S><S sid = NA ssid = NA>We have developed a bootstrapping process for subjectivity classification that explores three ideas: (1) highprecision classifiers can be used to automatically identify subjective and objective sentences from unannotated texts, (2) this data can be used as a training set to automatically learn extraction patterns associated with subjectivity, and (3) the learned patterns can be used to grow the training set, allowing this entire process to be bootstrapped.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  W03-1014.txt | Citing Article:  W06-1650.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Riloff and Wiebe (2003) extracted subjective expressions from sentences using a bootstrapping pattern learning process.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Learning Extraction Patterns For Subjective Expressions</S><S sid = NA ssid = NA>In this section, we will describe the high-precision sentence classifiers, the extraction pattern learning process, and the details of the bootstrapping process.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  W03-1014.txt | Citing Article:  P10-1060.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Riloff and Wiebe (2003) describe a bootstrapping method to learn subjective extraction patterns that match specific syntactic templates, using a high-precision sentence-level subjectivity classifier and a large unannotated corpus.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>First, the syntactic templates are applied to the training corpus in an exhaustive fashion, so that extraction patterns are generated for (literally) every possible instantiation of the templates that appears in the corpus.</S><S sid = NA ssid = NA>The process begins with a large collection of unannotated text and two high precision subjectivity classifiers.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  W03-1014.txt | Citing Article:  C10-1004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>As shown in previous work, a high-precision classifier can be used to automatically generate subjectivity annotated data (Riloff and Wiebe, 2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Previous work on sentence-level subjectivity classification (Wiebe et al., 1999) used training corpora that had been manually annotated for subjectivity.</S><S sid = NA ssid = NA>The high-precision classifiers (HP-Subj and HP-Obj) use lists of lexical items that have been shown in previous work to be good subjectivity clues.</S> | Discourse Facet:  NA | Annotator: Automatic


