Citance Number: 1 | Reference Article:  N06-2033.txt | Citing Article:  P07-1079.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Parser combination has been shown to be a powerful way to obtain very high accuracy in dependency parsing (Sagae and Lavie, 2006).</S> | Reference Offset:  ['0','85'] | Reference Text:  <S sid = 0 ssid = >Parser Combination By Reparsing</S><S sid = 85 ssid = >We have shown that in the case of dependencies, the reparsing approach successfully addresses the issue of constructing high-accuracy well-formed structures from the output of several parsers.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  N06-2033.txt | Citing Article:  P11-1069.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >A key difference with previous work on shift reduce dependency (Nivre et al, 2006) and CFG (Sagae and Lavie, 2006b) parsing is that, for CCG, there are many more shift actions - a shift action for each word-lexical category pair.</S> | Reference Offset:  ['4','55'] | Reference Text:  <S sid = 4 ssid = >Much of this work has been fueled by the availability of large corpora annotated with syntactic structures, especially the Penn Treebank (Marcus et al., 1993).</S><S sid = 55 ssid = >The deterministic shift-reduce parsing algorithm of (Nivre & Scholz, 2004) was used to create two parsers2, one that processes the input sentence from left-to-right (LR), and one that goes from right-toleft (RL).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  N06-2033.txt | Citing Article:  P11-1069.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Sagae and Lavie (2006a) describes a shift-reduce parser for the Penn Treebank parsing task which uses best-first search to allow some ambiguity into the parsing process.</S> | Reference Offset:  ['7','53'] | Reference Text:  <S sid = 7 ssid = >This is done in a two stage process of reparsing.</S><S sid = 53 ssid = >For constituent parsing, we used the section splits of the Penn Treebank as described above, as has become standard in statistical parsing research.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  N06-2033.txt | Citing Article:  P11-1069.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Differences with our approach are that we use a beam, rather than best-first, search; we use a global model rather than local models chained together; and finally, our results surpass the best published results on the CCG parsing task, whereas Sagae and Lavie (2006a) matched the best PTB results only by using a parser combination.</S> | Reference Offset:  ['10','84'] | Reference Text:  <S sid = 10 ssid = >Our approach produces results with accuracy above those of the best individual parsers on both dependency and constituent parsing of the standard WSJ test set.</S><S sid = 84 ssid = >We have presented a reparsing scheme that produces results with accuracy higher than the best individual parsers available by combining their results.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  N06-2033.txt | Citing Article:  D08-1059.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >An existing method to combine multiple parsing algorithms is the ensemble approach (Sagae and Lavie, 2006a), which was reported to be useful in improving dependency parsing (Hall et al., 2007).</S> | Reference Offset:  ['10','22'] | Reference Text:  <S sid = 10 ssid = >Our approach produces results with accuracy above those of the best individual parsers on both dependency and constituent parsing of the standard WSJ test set.</S><S sid = 22 ssid = >Once this graph is created, we reparse the sentence using a dependency parsing algorithm such as, for example, one of the algorithms described by McDonald et al. (2005).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  N06-2033.txt | Citing Article:  P11-2126.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The heterogeneous parser used in this paper is based on the shift-reduce parsing algorithm described in Sagae and Lavie (2006a) and Wang et al (2006).</S> | Reference Offset:  ['22','62'] | Reference Text:  <S sid = 22 ssid = >Once this graph is created, we reparse the sentence using a dependency parsing algorithm such as, for example, one of the algorithms described by McDonald et al. (2005).</S><S sid = 62 ssid = >The large-margin parser described in (McDonald et al., 2005) was used with no alterations.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  N06-2033.txt | Citing Article:  P11-2126.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Moreover, beam search strategies can be used to expand the search space of a shift-reduce-based heterogeneous parser (Sagae and Lavie, 2006a).</S> | Reference Offset:  ['40','72'] | Reference Text:  <S sid = 40 ssid = >Balancing precision and recall is accomplished by discarding every constituent with weight below a threshold t before the search for the final parse tree starts.</S><S sid = 72 ssid = >The parsers that were used in the constituent reparsing experiments are: (1) Charniak and Johnson’s (2005) reranking parser; (2) Henderson’s (2004) synchronous neural network parser; (3) Bikel’s (2002) implementation of the Collins (1999) model 2 parser; and (4) two versions of Sagae and Lavie’s (2005) shift-reduce parser, one using a maximum entropy classifier, and one using support vector machines.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  N06-2033.txt | Citing Article:  P11-2126.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This group of features are completely identical to those used in Sagae and Lavie (2006a).</S> | Reference Offset:  ['52','54'] | Reference Text:  <S sid = 52 ssid = >Dependencies extracted from section 00 were used as held-out data, and section 22 was used as additional development data.</S><S sid = 54 ssid = >Six dependency parsers were used in our combination experiments, as described below.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  N06-2033.txt | Citing Article:  W10-2927.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Sagae and Lavie (2006) demonstrated that a simple combination scheme of the outputs of different parsers can obtain substantially improved accuracies.</S> | Reference Offset:  ['1','54'] | Reference Text:  <S sid = 1 ssid = >We present a novel parser combination scheme that works by reparsing input sentences once they have already been parsed by several different parsers.</S><S sid = 54 ssid = >Six dependency parsers were used in our combination experiments, as described below.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  N06-2033.txt | Citing Article:  N09-2064.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(Henderson and Brill, 1999) and (Sagae and Lavie, 2006) propose methods for parse hybridization by recombining constituents.</S> | Reference Offset:  ['44','81'] | Reference Text:  <S sid = 44 ssid = >Henderson and Brill (1999) proposed two parser combination schemes, one that picks an entire tree from one of the parsers, and one that, like ours, builds a new tree from constituents from the initial trees.</S><S sid = 81 ssid = >Setting 1 is the emulation of Henderson and Brill’s voting.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  N06-2033.txt | Citing Article:  D09-1161.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Sagae and Lavie (2006) improve this second scheme by introducing a threshold for the constituent count, and search for the tree with the largest number of count from all the possible constituent combination.</S> | Reference Offset:  ['40','47'] | Reference Text:  <S sid = 40 ssid = >Balancing precision and recall is accomplished by discarding every constituent with weight below a threshold t before the search for the final parse tree starts.</S><S sid = 47 ssid = >In other words, if a constituent appears at least (m + 1)/2 times in the output of the m parsers, the constituent is added to the final tree.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  N06-2033.txt | Citing Article:  D09-1161.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Sagae and Lavie (2006) combine 5 parsers to obtain a score of 92.1, while they report a score of 91.0 for the best single parser in their paper.</S> | Reference Offset:  ['50','87'] | Reference Text:  <S sid = 50 ssid = >Their results on WSJ section 23 were 92.1 precision and 89.2 recall (90.61 f-score), well above the most accurate parser in their experiments (88.6 f-score).</S><S sid = 87 ssid = >By combining several parsers with f-scores ranging from 91.0% to 86.7%, we obtain reparsed results with a 92.1% f-score.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  N06-2033.txt | Citing Article:  D09-1161.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Besides the two model scores, we also adopt constituent count as an additional feature inspired by (Henderson and Brill 1999) and (Sagae and Lavie 2006).</S> | Reference Offset:  ['44','81'] | Reference Text:  <S sid = 44 ssid = >Henderson and Brill (1999) proposed two parser combination schemes, one that picks an entire tree from one of the parsers, and one that, like ours, builds a new tree from constituents from the initial trees.</S><S sid = 81 ssid = >Setting 1 is the emulation of Henderson and Brill’s voting.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  N06-2033.txt | Citing Article:  D09-1161.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >However, as suggested in (Sagae and Lavie 2006), this feature favours precision over recall.</S> | Reference Offset:  ['49','82'] | Reference Text:  <S sid = 49 ssid = >However, the scheme heavily favors precision over recall.</S><S sid = 82 ssid = >In setting 2, t is set for balancing precision and recall.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  N06-2033.txt | Citing Article:  D09-1161.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >To solve this issue, Sagae and Lavie (2006) use a threshold to balance them.</S> | Reference Offset:  ['43','85'] | Reference Text:  <S sid = 43 ssid = >By changing the threshold t we can control the precision/recall tradeoff.</S><S sid = 85 ssid = >We have shown that in the case of dependencies, the reparsing approach successfully addresses the issue of constructing high-accuracy well-formed structures from the output of several parsers.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  N06-2033.txt | Citing Article:  D09-1161.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['86','87'] | Reference Text:  <S sid = 86 ssid = >In constituent reparsing, held-out data can be used for setting a parameter that allows for balancing precision and recall, or increasing f-score.</S><S sid = 87 ssid = >By combining several parsers with f-scores ranging from 91.0% to 86.7%, we obtain reparsed results with a 92.1% f-score.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  N06-2033.txt | Citing Article:  D07-1111.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We provide additional evidence that the parser ensemble approach proposed by Sagae and Lavie (2006a) can be used to improve parsing accuracy, even when only a single parsing algorithm is used, as long as variation can be obtained, for example, by using different learning techniques or changing parsing direction from forward to backward (of course, even greater gains may be achieved when different algorithms are used, although this is not pursued here).</S> | Reference Offset:  ['22','57'] | Reference Text:  <S sid = 22 ssid = >Once this graph is created, we reparse the sentence using a dependency parsing algorithm such as, for example, one of the algorithms described by McDonald et al. (2005).</S><S sid = 57 ssid = >Therefore, we achieve additional parser diversity with the same algorithm, simply by varying the direction of parsing.</S> | Discourse Facet:  NA | Annotator: Automatic


