Citance Number: 1 | Reference Article:  P08-1064.txt | Citing Article:  D09-1108.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This method generates all possible tree fragments rooted by each node in the source parse tree or forest, and then matches all the generated tree fragments against the source parts (left hand side) of translation rules to extract the useful rules (Zhang et al, 2008a).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Next, the source parse tree is detached into two source tree sequences (the left hand side of rules in Fig.</S><S sid = NA ssid = NA>First, the source sentence is parsed into a source parse tree.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  P08-1064.txt | Citing Article:  P10-1032.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Recent research on tree based systems shows that relaxing the restriction from tree structure to tree sequence structure (Synchronous Tree Sequence Substitution Grammar: STSSG) significantly improves the translation performance (Zhang et al, 2008).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A Tree Sequence Alignment-based Tree-to-Tree Translation Model</S><S sid = NA ssid = NA>In this paper, we propose a tree-to-tree translation model that is based on tree sequence alignment.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P08-1064.txt | Citing Article:  P10-1146.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Synchronous tree-sequence substitution grammar (STSSG) al lows either side of a rule to comprise a sequence of trees instead of a single tree (Zhang et al, 2008).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>1, where r1 is a tree-to-tree rule and r2 is a tree sequence-to-tree sequence rule.</S><S sid = NA ssid = NA>A Tree Sequence Alignment-based Tree-to-Tree Translation Model</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P08-1064.txt | Citing Article:  P11-1083.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Finally, STSSG, which have been derived from rational tree relations (Raoult, 1997), have been discussed by Zhang et al (2008a), Zhang et al (2008b), and Sun et al (2009).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For significance test, we used Zhang et al’s implementation (Zhang et al, 2004).</S><S sid = NA ssid = NA>Xiong et al. (2006) propose a MaxEnt-based reordering model for BTG (Wu, 1997) while Setiawan et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P08-1064.txt | Citing Article:  P11-1083.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>However, Zhang et al (2008b) and Sunet al (2009) demonstrate that the additional expressivity gained from non-contiguous rules greatly improves the translation quality.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For significance test, we used Zhang et al’s implementation (Zhang et al, 2004).</S><S sid = NA ssid = NA>Zhang et al. (2007b) present a STSG-based tree-to-tree translation model.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P08-1064.txt | Citing Article:  P11-1083.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>A model that is even more powerful than LMBOT is the non-contiguous version of STSSG (synchronous tree-sequence substitution grammar) of Zhang et al (2008a), Zhanget al (2008b), and Sun et al (2009), which allows sequences of trees on both sides of rules [see also (Raoult, 1997)].</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For significance test, we used Zhang et al’s implementation (Zhang et al, 2004).</S><S sid = NA ssid = NA>Xiong et al. (2006) propose a MaxEnt-based reordering model for BTG (Wu, 1997) while Setiawan et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P08-1064.txt | Citing Article:  P11-1083.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Chiang (2005) and Graehl et al (2008) argue that STSG have sufficient expressive power for syntax based machine translation, but Zhang et al (2008a) show that the additional expressive power of tree sequences helps the translation process.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>These give our model much more expressive power and flexibility than those previous models.</S><S sid = NA ssid = NA>Zhang et al. (2007b) present a STSG-based tree-to-tree translation model.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P08-1064.txt | Citing Article:  C10-1118.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Recent research on tree based systems shows that relaxing the restriction from tree structure to tree sequence structure (Synchronous Tree Sequence Substitution Grammar: STSSG) significantly improves the translation performance (Zhang et al, 2008).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A Tree Sequence Alignment-based Tree-to-Tree Translation Model</S><S sid = NA ssid = NA>In this paper, we propose a tree-to-tree translation model that is based on tree sequence alignment.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P08-1064.txt | Citing Article:  P09-1020.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Finally, we would also like to study unsupervised learningbased bilingual parsing for SMT.</S><S sid = NA ssid = NA>Obviously, tree sequence rules are more powerful than phrases or tree rules as they can capture all phrases (including both syntactic and non-syntactic phrases) with syntactic structure information and allow any tree node operations in a longer span.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P08-1064.txt | Citing Article:  P09-1020.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Similar to the definition of tree sequence used in a single parse tree defined in Liu et al (2007) and Zhang et al (2008a), a tree sequence in a forest also refers to an ordered sub-tree sequence that covers a continuous phrase without overlapping.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A Tree Sequence Alignment-based Tree-to-Tree Translation Model</S><S sid = NA ssid = NA>We go beyond the single sub-tree mapping model to propose a tree sequence alignment-based translation model.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P08-1064.txt | Citing Article:  P09-1020.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Finally, we would also like to study unsupervised learningbased bilingual parsing for SMT.</S><S sid = NA ssid = NA>Obviously, tree sequence rules are more powerful than phrases or tree rules as they can capture all phrases (including both syntactic and non-syntactic phrases) with syntactic structure information and allow any tree node operations in a longer span.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P08-1064.txt | Citing Article:  P09-1103.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Among them, Zhang et al (2008a) acquire the non-contiguous phrasal rules from the contiguous tree sequence pairs, and find them useless via real syntax-based translation systems.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We set three baseline systems: Moses (Koehn et al., 2007), and SCFG-based and STSG-based treeto-tree translation models (Zhang et al., 2007).</S><S sid = NA ssid = NA>We model it using our tree sequence-based translation rules.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P08-1064.txt | Citing Article:  P09-1103.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In our opinion, the non-contiguous phrasal rules themselves may not play a trivial role, as reported in Zhang et al (2008a).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For significance test, we used Zhang et al’s implementation (Zhang et al, 2004).</S><S sid = NA ssid = NA>The experimental results are reported in Section 6.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P08-1064.txt | Citing Article:  P09-1103.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>tree-to-tree translation model based on tree sequence alignment (Zhang et al 2008a) without losing of generality to most syntactic tree based models.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A Tree Sequence Alignment-based Tree-to-Tree Translation Model</S><S sid = NA ssid = NA>In this paper, we propose a tree-to-tree translation model that is based on tree sequence alignment.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  P08-1064.txt | Citing Article:  P09-1103.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>By means of the Initial rules, we derive the Abstract rules similarly as in Zhang et al (2008a).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We then derive abstract rules from initial rules by removing one or more of its sub initial rules.</S><S sid = NA ssid = NA>Rules are extracted from word-aligned, bi-parsed sentence pairs < T (fJ ), T (e; ), A > , which are classified into two categories: 2) Extracting abstract rules from extracted initial rules with the help of sub initial rules.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  P08-1064.txt | Citing Article:  P09-1103.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>ncPR refers to non-contiguous phrasal rules derived from contiguous tree sequence pairs with at least one non-terminal leaf node between two lexicalized leaf nodes (i.e., all non-contiguous rules in STSSG defined as in Zhang et al (2008a).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Note that the reordering between lexical words and non-terminal leaf nodes is not considered here) and Discontinuous Phrase Rules (DPR: refers to these rules having at least one non-terminal leaf node between two lexicalized leaf nodes) in our tree sequence-based model (d = 4 and h = 6 ) Table 3 shows the contributions of SRR and DPR.</S><S sid = NA ssid = NA>These overlapped rules contain at least two non-terminal leaf nodes plus two terminal leaf nodes, which implies that longer rules do not affect performance too much.</S> | Discourse Facet:  NA | Annotator: Automatic


