Citance Number: 1 | Reference Article:  P07-1007.txt | Citing Article:  C08-1003.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Chan and Ng (2007) performed supervised domain adaptation on a manually selected subset of 21 nouns from the DSO corpus.</S> | Reference Offset:  ['46','122'] | Reference Text:  <S sid = 46 ssid = >The row 21 nouns in Table 1 shows some information about these 21 nouns.</S><S sid = 122 ssid = >Out of the 21 nouns, 12 nouns have the same predominant sense in both BC and WSJ.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  P07-1007.txt | Citing Article:  P08-2059.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Active learning has been widely used for NLP tasks such as part of speech tagging (Ringger et al, 2007), parsing (Tang et al, 2002) and word sense disambiguation (Chan and Ng, 2007).</S> | Reference Offset:  ['0','117'] | Reference Text:  <S sid = 0 ssid = >Domain Adaptation with Active Learning for Word Sense Disambiguation</S><S sid = 117 ssid = >Research by McCarthy et al. (2004) and Koeling et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P07-1007.txt | Citing Article:  S10-1094.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Here, we take inspiration from the target-word specific results reported by Chan and Ng (2007) where by using just 30% of the target data they obtained the same performance as that obtained by using the entire target data.</S> | Reference Offset:  ['18','33'] | Reference Text:  <S sid = 18 ssid = >Domain adaptation is necessary when the training and target domains are different.</S><S sid = 33 ssid = >Next, we show that by using the predominant sense of the target domain as predicted by the EM-based algorithm, we improve the effectiveness of the adaptation process.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P07-1007.txt | Citing Article:  E09-1006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['53','169'] | Reference Text:  <S sid = 53 ssid = >These knowledge sources were effectively used to build a state-of-the-art WSD program in one of our prior work (Lee and Ng, 2002).</S><S sid = 169 ssid = >SMF-20041076).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P07-1007.txt | Citing Article:  P10-1155.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Domain specific WSD for selected target words has been attempted by Ng and Lee (1996), Agirre and de Lacalle (2009), Chan and Ng (2007), Koeling et al (2005) and Agirre et al (2009b).</S> | Reference Offset:  ['117','160'] | Reference Text:  <S sid = 117 ssid = >Research by McCarthy et al. (2004) and Koeling et al.</S><S sid = 160 ssid = >For WSD, Fujii et al. (1998) used selective sampling for a Japanese language WSD system, Chen et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P07-1007.txt | Citing Article:  P10-1155.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our main inspiration comes from the target word specific results reported by Chan and Ng (2007) and Agirre and de Lacalle (2009).</S> | Reference Offset:  ['18','34'] | Reference Text:  <S sid = 18 ssid = >Domain adaptation is necessary when the training and target domains are different.</S><S sid = 34 ssid = >Our empirical results show that for the set of nouns which have different predominant senses between the training and target domains, we are able to reduce the annotation effort by 71%.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P07-1007.txt | Citing Article:  D08-1105.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >With the exception of (Chan and Ng, 2007) which tried to adapt a WSD system trained on the BC part of the DSO corpus to the WSJ part of the DSO corpus, the other researchers simply applied active learning to reduce the annotation effort required and did not deal with the issue of adapting a WSD system to a new domain.</S> | Reference Offset:  ['17','162'] | Reference Text:  <S sid = 17 ssid = >In that work, the authors only used active learning to reduce the annotation effort and did not deal with the porting of a WSD system to a new domain.</S><S sid = 162 ssid = >However, their work only investigated the use of active learning to reduce the annotation effort necessary for WSD, but did not deal with the porting of a WSD system to a different domain.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P07-1007.txt | Citing Article:  D09-1158.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >It has also been applied to the problem of domain adaptation for word sense disambiguation in (Chan and Ng, 2007).</S> | Reference Offset:  ['0','1'] | Reference Text:  <S sid = 0 ssid = >Domain Adaptation with Active Learning for Word Sense Disambiguation</S><S sid = 1 ssid = >When a word sense disambiguation (WSD) system is trained on one domain but applied to a different domain, a drop in accuracy is frequently observed.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P07-1007.txt | Citing Article:  P13-1141.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Chan and Ng (2007) notably show that detecting changes in predominant sense as modeled by domain sense priors can improve sense disambiguation, even after performing adaptation using active learning.</S> | Reference Offset:  ['0','33'] | Reference Text:  <S sid = 0 ssid = >Domain Adaptation with Active Learning for Word Sense Disambiguation</S><S sid = 33 ssid = >Next, we show that by using the predominant sense of the target domain as predicted by the EM-based algorithm, we improve the effectiveness of the adaptation process.</S> | Discourse Facet:  NA | Annotator: Automatic


