Citance Number: 1 | Reference Article:  D11-1062.txt | Citing Article:  P12-2024.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In our first experiment we used the English-German portion of the CLTE corpus described in (Negri et al., 2011), consisting of 500 multi-directional entailment pairs which we equally divided into training and test sets.</S> | Reference Offset:  ['6','58'] | Reference Text:  <S sid = 6 ssid = >Cross-lingual Textual Entailment (CLTE) has been recently proposed by (Mehdad et al., 2010; Mehdad et al., 2011) as an extension of Textual Entailment (Dagan and Glickman, 2004).</S><S sid = 58 ssid = >As a useful extension, we annotate any possible entailment relation between the two text fragments, including: i) bidirectional entailment (i.e. semantic equivalence between T and H), ii) unidirectional entailment from T to H, and iii) unidirectional entailment from H to T. The resulting pairs can be easily used to generate not only standard RTE datasets9, but also general-purpose collections featuring multi-directional entailment relations.</S> | Discourse Facet:  NA | Annotator: Automatic

Citance Number: 5 | Reference Article:  D11-1062.txt | Citing Article:  S12-1109.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The dataset provided by the organizers consists of 500 CLTE pairs translated to four languages following the crowdsourcing-based methodology proposed in (Negri et al., 2011).</S> | Reference Offset:  ['6','169'] | Reference Text:  <S sid = 6 ssid = >Cross-lingual Textual Entailment (CLTE) has been recently proposed by (Mehdad et al., 2010; Mehdad et al., 2011) as an extension of Textual Entailment (Dagan and Glickman, 2004).</S><S sid = 169 ssid = >To achieve our objectives, we developed a “divide and conquer” methodology based on crowdsourcing.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  D11-1062.txt | Citing Article:  S12-1053.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The dataset was created following the crowdsourcing methodology proposed in (Negri et al, 2011), which consists of the following steps.</S> | Reference Offset:  ['6','83'] | Reference Text:  <S sid = 6 ssid = >Cross-lingual Textual Entailment (CLTE) has been recently proposed by (Mehdad et al., 2010; Mehdad et al., 2011) as an extension of Textual Entailment (Dagan and Glickman, 2004).</S><S sid = 83 ssid = >Instead, the following sections will focus on the more challenging tasks of sentence modification and TE annotation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  D11-1062.txt | Citing Article:  S12-1065.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Two datasets were provided by the organization of SemEval 2012 (Negri et al, 2011): a training set and a test set, both composed by a set of 500 pairs of sentences.</S> | Reference Offset:  ['60','66'] | Reference Text:  <S sid = 60 ssid = >Starting from a set of parallel sentences in n languages, (e.g.</S><S sid = 66 ssid = >The first one, at the beginning of the process, aims to obtain a set of parallel sentences to start with, and can be done in different ways (e.g. crowdsourcing the translation of a set of sentences).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  D11-1062.txt | Citing Article:  S12-1107.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >There was one training set for each French-English, German-English, Italian-English, Spanish-English language combination (Negri et al, 2011).</S> | Reference Offset:  ['5','33'] | Reference Text:  <S sid = 5 ssid = >The resulting dataset, obtained from a pipeline of different jobs routed to Amazon Mechanical Turk, contains more than 1,600 aligned pairs for each combination of texts-hypotheses in English, Italian and German.</S><S sid = 33 ssid = >Related research in the CLTE direction is reported in (Negri and Mehdad, 2010), which describes the creation of an English-Spanish corpus obtained from the RTE-3 dataset by translating the English hypotheses into Spanish.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  D11-1062.txt | Citing Article:  S12-1107.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The values of the parameters were chosen based on the CLTE development dataset (Negri et al, 2011) and were as follows.</S> | Reference Offset:  ['6','8'] | Reference Text:  <S sid = 6 ssid = >Cross-lingual Textual Entailment (CLTE) has been recently proposed by (Mehdad et al., 2010; Mehdad et al., 2011) as an extension of Textual Entailment (Dagan and Glickman, 2004).</S><S sid = 8 ssid = >the availability of large quantities of annotated data is an enabling factor for systems development and evaluation.</S> | Discourse Facet:  NA | Annotator: Automatic


