Citance Number: 1 | Reference Article:  P93-1032.txt | Citing Article:  P06-2067.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Following Manning (1993), we empirically determined the value of p.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>At the moment, the false cue rates B, in my system have been set empirically.</S><S sid = NA ssid = NA>14The number 2000 is arbitrary, but was chosen following the intuition that one wanted to test the program's performance on verbs of at least moderate frequency.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  P93-1032.txt | Citing Article:  P98-2184.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This can be done automatically with unparsed corpora (Briscoe and Carroll 1997, Manning 1993, Ushioda et al 1993), from parsed corpora such as Marcus et al's (1993) Treebank (Merlo 1994, Framis 1994) or manually as was done for COMLEX (Macleod and Grishman 1994).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Automatic Acquisition Of A Large Sub Categorization Dictionary From Corpora</S><S sid = NA ssid = NA>This paper presents a new method for producing a dictionary of subcategorization frames from unlabelled text corpora.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P93-1032.txt | Citing Article:  P98-2184.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Our eventual goal is to develop a set of regular expressions that work on fiat tagged corpora instead of TreeBank parsed structures to allow us to gather information from larger corpora than have been done by the TreeBank project (see Manning 1993 and Gahl 1998).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Thus there is a need for a program that can acquire a subcategorization dictionary from on-line corpora of unrestricted text: and easily as different usages develop.</S><S sid = NA ssid = NA>Automatic Acquisition Of A Large Sub Categorization Dictionary From Corpora</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P93-1032.txt | Citing Article:  W02-0906.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This shows to which extent the range of arguments is fine grained, in contrast to other works where the range is at the categorial level, such as NP or PP (M. Brent 1993, C. Manning 1993, P. Merlo & M. Leybold 2001).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For example, when the recorded subcategorization is NP PP(of), it is likely that the PP should actually be attached to the NP rather than the verb.</S><S sid = NA ssid = NA>As well as the issues discussed above, another question is how to represent the subcategorization frames of verbs that take a range of prepositional complements (but not all).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P93-1032.txt | Citing Article:  W02-0906.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>C. Manning (1993) presents the acquisition of sub categorization frames from unlabelled text corpora.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This paper presents a new method for producing a dictionary of subcategorization frames from unlabelled text corpora.</S><S sid = NA ssid = NA>Automatic Acquisition Of A Large Sub Categorization Dictionary From Corpora</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P93-1032.txt | Citing Article:  W02-0906.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Initial experiments suggest that this technique works at least as well as previously tried techniques, and yields a method that can learn all the possible subcategorization frames of verbs.</S><S sid = NA ssid = NA>As well as (3b), chip can also just be a TV: John chipped his tooth.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P93-1032.txt | Citing Article:  W10-1612.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The same year, (Manning, 1993) used 4 million words of the New York Times (Sandhaus,), selected only clauses with auxiliary verbs and automatically analyzed them with a finite-state parser.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For two randomly selected pieces of text from other parts of the New York Times newswire, a portion of which is shown in Fig.</S><S sid = NA ssid = NA>One month (approximately 4 million words) of the New York Times newswire was tagged using a version of Julian Kupiec's stochastic part-of-speech tagger (Kupiec 1992).1° Subcategorization learning was then performed by a program that processed the output of the tagger.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P93-1032.txt | Citing Article:  P98-1071.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Increasingly, tools are also becoming available for acquiring sub categorization information from corpora, i.e. for inferring the sub categorization frames of a given lemma (e.g. Manning 1993).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Automatic Acquisition Of A Large Sub Categorization Dictionary From Corpora</S><S sid = NA ssid = NA>Different classifications of sub categorization frames can be found in each of the dictionaries mentioned above, and in other places in the linguistics literature.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P93-1032.txt | Citing Article:  C96-2213.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Both Brcnt (1993) and Manning (1993), who attempt to induce a lexicon of sub categorization features do so by completely discarding all preexisting knowledge; both systems are stand-ahmc, without a parsing engine to test or use the "learned" information.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Further, the learned corpus may reflect language use more accurately than the dictionary.</S><S sid = NA ssid = NA>Automatic Acquisition Of A Large Sub Categorization Dictionary From Corpora</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P93-1032.txt | Citing Article:  P04-2007.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Initial experiments suggest that this technique works at least as well as previously tried techniques, and yields a method that can learn all the possible subcategorization frames of verbs.</S><S sid = NA ssid = NA>As well as (3b), chip can also just be a TV: John chipped his tooth.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P93-1032.txt | Citing Article:  P04-1047.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Manning, 1993) observes that Brent's recognition technique is a rather simplistic and inadequate approach to verb detection, with a very high error rate.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>More recently, Brent (1992) substituted a very simple heuristic method to detect verbs (anything that occurs both with and without the suffix -ing in the text is taken as a potential verb, and every potential verb token is taken as an actual verb unless it is preceded by a determiner or a preposition other than to.4 This is a rather simplistic and inadequate approach to verb detection, with a very high error rate.</S><S sid = NA ssid = NA>Rather one must collect cooccurrence statistics, and use significance testing, a mutual information measure or some other form of statistic to try and judge whether a particular verb subcategorizes for in or just sometimes the stochastic tagger (Kupiec 1992), and a presumably higher error rate on Brent's technique for detecting verbs. appears with a locative phrase.'</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P93-1032.txt | Citing Article:  P04-1047.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Briscoe and Carroll, 1997) observe that in the work of (Brent, 1993), (Manning, 1993) and (Ushioda et al, 1993), the maximum number of distinct sub categorization classes recognized is sixteen, and only Ushioda et al attempt to derive relative sub cat egorization frequency for individual predicates.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Automatic Acquisition Of A Large Sub Categorization Dictionary From Corpora</S><S sid = NA ssid = NA>&quot;The verb redesign does not appear in the OALD, so its subcategorization entry was determined by me, based on the entry in the OALD for design. egorization frame (that is in the resulting sub categorization dictionary).</S> | Discourse Facet:  NA | Annotator: Automatic


