Citance Number: 1 | Reference Article:  W09-1401.txt | Citing Article:  P14-1049.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Due to the increasing demand on deep understanding of natural language text, negation recognition has been drawing more and more attention in recent years, with a series of shared tasks and workshops, however, with focus on cue detection and scope resolution, such as the BioNLP 2009 shared task for negative event detection (Kim et al, 2009) and the ACL 2010 Workshop for scope resolution of negation and speculation (Morante and Sporleder, 2010), followed by a special issue of Computational Linguistics (Morante and Sporleder, 2012) for modality and negation.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Negation/Speculation detection detection of negations and speculation statements concerning extracted events.</S><S sid = NA ssid = NA>Core event detection detection of typed, text-bound events and assignment of given proteins as their primary arguments.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  W09-1401.txt | Citing Article:  S10-1006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This is in the tradition of the Textual Entailment or Information Validation paradigm (Dagan et al., 2009), and in contrast to aboutness annotation such as semantic roles (Carreras and Marquez, 2004) or the BioNLP2009 task (Kim et al, 2009) where negated relations are also labelled as positive.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Examples include the TREC Genomics track (Hersh et al., 2007), JNLPBA (Kim et al., 2004), LLL (N´edellec, 2005), and BioCreative (Hirschman et al., 2007).</S><S sid = NA ssid = NA>For details, we refer to (Ohta et al., 2009).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  W09-1401.txt | Citing Article:  W10-3113.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In recent years, several challenges and shared tasks have included the extraction of negations, typically as part of other tasks (e.g. the BioNLP 09 Shared Task 3 (Kim et al 2009)).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Overview of BioNLP&rsquo;09 Shared Task on Event Extraction</S><S sid = NA ssid = NA>All 24 teams participated in the obligatory Task 1, six in each of Tasks 2 and 3, and two teams completed all the three tasks.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  W09-1401.txt | Citing Article:  W10-3113.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We use molecular events as a case study and experiment on the BioNLP 09 data, which comprises a gold standard corpus of research abstracts manually annotated for events and negations (Kim et al 2009).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Thus of the above example events, the latter would be annotated.</S><S sid = NA ssid = NA>The data for the training and development sets were derived from the publicly available event corpus (Kim et al., 2008), and the data for the test set from an unpublished portion of the corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  W09-1401.txt | Citing Article:  W10-3113.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The corpus used in this study is provided by the BioNLP 09 challenge (Kim et al 2009).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The data for the training and development sets were derived from the publicly available event corpus (Kim et al., 2008), and the data for the test set from an unpublished portion of the corpus.</S><S sid = NA ssid = NA>For details, we refer to (Ohta et al., 2009).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  W09-1401.txt | Citing Article:  W10-1903.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The recent BioNLP 09 Shared Task on Event Extraction (Kim et al, 2009a) (below, BioNLP shared task) represented the first community-wide step toward the extraction of fine-grained event representations of information from biomolecular domain publications (Ananiadou et al, 2010).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Meeting with the community-wide participation, the BioNLP Shared Task was successful in introducing fine-grained event extraction to the domain.</S><S sid = NA ssid = NA>Overview of BioNLP&rsquo;09 Shared Task on Event Extraction</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  W09-1401.txt | Citing Article:  W10-1903.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>To estimate the capacity of the newly annotated resource to support the extraction of the targeted PTM events and the performance of current event extraction methods at open-domain PTM extraction, we performed a set of experiments using an event extraction method competitive with the state of the art, as established in the BioNLP shared task on event extraction (Kim et al, 2009a; Bjorne et al., 2009).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>It has been revealed that state-of-the-art performance in event extraction is approaching a practically applicable level for simple events, and also that there are many remaining challenges in the extraction of complex events.</S><S sid = NA ssid = NA>The BioNLP task targets semantically rich event extraction, involving the extraction of several different classes of information.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  W09-1401.txt | Citing Article:  W10-1903.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We note that while these results fall notably below the best result reported for Phosphorylation events in the BioNLP shared task, they are comparable to the best results reported in the task for Regulation and Binding events (Kim et al, 2009a), suggesting that the dataset allows the extraction of the novel PTM events with Theme and Site arguments at levels comparable to multi-argument shared task events.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Regulation events always take a Theme argument and, when expressed, also a Cause argument.</S><S sid = NA ssid = NA>As one possible explanation, we find that the latter two differentiate binding events by their number of themes, while the former two give no specific treatment to multi-theme binding events.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  W09-1401.txt | Citing Article:  W10-1903.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Lee et al (2008) present E3Miner, a tool for automatically extracting information related to ubiquitination, and Kim et al (2009b) present a preliminary study adapting the E3Miner approach to the mining of acetylation events. It should be noted that while studies targeting single specific PTM types report better results than found in the initial evaluation presented here (in many cases dramatically so), different 25extraction targets and evaluation criteria complicate direct comparison.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The evaluation results show considerable differences between the criteria.</S><S sid = NA ssid = NA>The evaluation results are reported using the standard recall/precision/f-score metrics, under different criteria defined through the equalities.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  W09-1401.txt | Citing Article:  W11-1816.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For the BioNLP 09 Shared Task (Kim et al, 2009), the first in the ongoing series, the organisers provided the participants with automatically generated syntactic analyses for the sentences from the annotated data.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Participants were also provided with the syntactic analyses created by a selection of parsers.</S><S sid = NA ssid = NA>Several fundamental BioNLP tools were provided through U-Compare (Kano et al., 2009)2, which included tools for tokenization, sentence segmentation, part-of-speech tagging, chunking and syntactic parsing.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  W09-1401.txt | Citing Article:  W10-3010.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The term hedging is often used as an umbrella term to refer to an array of extra-factual phenomena in natural language and is the focus of the CoNLL-2010 Shared Task on Hedge Detection. The CoNLL-2010 Shared Task on Hedge Detection (Farkas et al, 2010) follows in the steps of the recent BioNLP? 09 Shared Task on Event Extraction (Kim et al, 2009), in which one task (speculation and negation detection) was concerned with notions related to hedging in biomedical abstracts.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Negation/Speculation detection detection of negations and speculation statements concerning extracted events.</S><S sid = NA ssid = NA>Task 1.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  W09-1401.txt | Citing Article:  W10-3010.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The BioNLP? 09 Shared Task on Event Extraction (Kim et al, 2009) dedicated a task to detecting negation and speculation in biomedical abstracts, based on the GENIA event corpus annotations.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The BioNLP task data were prepared based on the GENIA event corpus.</S><S sid = NA ssid = NA>The data was developed based on the GENIA event corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  W09-1401.txt | Citing Article:  W11-0218.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The majority of our corpora are available in the common stand-off style format introduced for the BioNLP 2009 Shared Task (BioNLP 09 ST) (Kim et al, 2009).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Overview of BioNLP&rsquo;09 Shared Task on Event Extraction</S><S sid = NA ssid = NA>To allow participants to focus development efforts on novel aspects of event extraction, we prepared publicly available BioNLP resources readily available for the shared task.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  W09-1401.txt | Citing Article:  W10-1914.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>A recent shared task in biomedical text mining, the BioNLP 09 Shared Task on Event Extraction (Kim et al, 2009), showed that the biomedical natural language processing (BioNLP) community is greatly interested in heading towards the extraction of deep, semantically rich relationships.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The BioNLP task targets semantically rich event extraction, involving the extraction of several different classes of information.</S><S sid = NA ssid = NA>Overview of BioNLP&rsquo;09 Shared Task on Event Extraction</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  W09-1401.txt | Citing Article:  D11-1070.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The approach of classifying identified events into whether they fall under negation or speculation was followed by Sauri and Pustejovsky (2009) and the participants of the BioNLP? 09 Shared Task (Kim et al., 2009).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Negation/Speculation detection detection of negations and speculation statements concerning extracted events.</S><S sid = NA ssid = NA>For details, we refer to (Ohta et al., 2009).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  W09-1401.txt | Citing Article:  C10-1088.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The BioNLP 2009 Shared Task, a recent bio-molecular event extraction task, is one such task: analysis showed that the application of a parser correlated with high rank in the task (Kim et al, 2009).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Task 3.</S><S sid = NA ssid = NA>Task 2.</S> | Discourse Facet:  NA | Annotator: Automatic


