Citance Number: 1 | Reference Article:  P08-1084.txt | Citing Article:  D08-1109.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Finally, there has been recent work on applying unsupervised multilingual learning to morphological segmentation (Snyder and Barzilay, 2008).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Unsupervised Multilingual Learning for Morphological Segmentation</S><S sid = NA ssid = NA>This example illustrates the potential benefits of unsupervised multilingual learning.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  P08-1084.txt | Citing Article:  W10-2210.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Snyder and Barzilay (2008a; 2008b) consider learning morphological segmentation with non parametric Bayesian model from multilingual data.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Unsupervised Multilingual Learning for Morphological Segmentation</S><S sid = NA ssid = NA>During testing, we do not allow the models to consider any multilingual evidence.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P08-1084.txt | Citing Article:  W10-2210.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>7</S><S sid = NA ssid = NA>For each new phrase-pair, the model first chooses the number and type of morphemes to be generated.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P08-1084.txt | Citing Article:  W09-0805.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Snyder and Barzilay (2008) study the task of unsupervised morphological segmentation of multiple languages.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In particular, we study the task of morphological segmentation of multiple languages.</S><S sid = NA ssid = NA>Unsupervised Multilingual Learning for Morphological Segmentation</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P08-1084.txt | Citing Article:  P11-1090.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For a majority of our testing we borrow the parallel phrases corpus used in previous work (Snyder and Barzilay, 2008), which we refer to as S&B.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The approach presented here differs from previous work in two significant ways.</S><S sid = NA ssid = NA>Given a parallel corpus, the annotations are projected from this source language to its counterpart, and the resulting annotations are used for supervised training in the target language.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P08-1084.txt | Citing Article:  P11-1090.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>7</S><S sid = NA ssid = NA>For each new phrase-pair, the model first chooses the number and type of morphemes to be generated.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P08-1084.txt | Citing Article:  C10-1135.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Our work also has connections to multilingual tokenization (Snyder and Barzilay, 2008).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Abstract Morpheme Distribution To model the connections between morphemes across languages, we further define a model for bilingual morpheme pairs, or abstract morphemes.</S><S sid = NA ssid = NA>Unsupervised Multilingual Learning for Morphological Segmentation</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P08-1084.txt | Citing Article:  P10-3006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Snyder and Barzilay (2008) use bilingual information but the segmentation is learned independently from translation modeling.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Phrase Generation To generate a bilingual parallel phrase, we first draw m, n, and k independently from a Poisson distribution.</S><S sid = NA ssid = NA>In addition the model can incorporate character-to-character phonetic correspondences between alphabets as prior information, thus allowing the implicit modeling of cognates.</S> | Discourse Facet:  NA | Annotator: Automatic


