Citance Number: 1 | Reference Article:  W09-1304.txt | Citing Article:  W10-3103.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The BioScope corpus has been used to train and evaluate automatic classifiers (e.g. Ozgur and Radev (2009) and Morante and Daelemans (2009)) with promising results.</S> | Reference Offset:  ['21','110'] | Reference Text:  <S sid = 21 ssid = >The system is based on a similar system that finds the scope of negation cues (Morante and Daelemans, 2009).</S><S sid = 110 ssid = >We have used the same features used for the system that finds the scope of negation.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  W09-1304.txt | Citing Article:  W10-3020.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >To tackle the hedge cue detection problem posed by the CoNLL-2010 shared task, we utilized a classifier for sequential labeling following previous work (Morante and Daelemans, 2009).</S> | Reference Offset:  ['85','103'] | Reference Text:  <S sid = 85 ssid = >In this phase, a classifier predicts for all tokens in a sentence whether a token is the first token of a hedge cue (B-cue), inside a hedge cue (I-cue), or outside of it (O-cue).</S><S sid = 103 ssid = >Hedge cues are those that have been classified as such in the previous phase.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  W09-1304.txt | Citing Article:  W10-3009.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In Morante and Daelemans (2009), the hedge detection task is solved as two consecutive classification tasks.</S> | Reference Offset:  ['21','80'] | Reference Text:  <S sid = 21 ssid = >The system is based on a similar system that finds the scope of negation cues (Morante and Daelemans, 2009).</S><S sid = 80 ssid = >We model this task in the same way that we modelled the task for finding the scope of negation (Morante and Daelemans, 2009), i.e., as two consecutive classification tasks: a first one that consists of classifying the tokens of a sentence as being at the beginning of a hedge signal, inside or outside.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  W09-1304.txt | Citing Article:  W10-3009.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >As the baseline classifier, we use the Cue Dictionary proposed in Morante and Daelemans (2009), classifying each occurrence of those words as a cue.</S> | Reference Offset:  ['15','85'] | Reference Text:  <S sid = 15 ssid = >Finding the scope of a hedge cue means determining at sentence level which words in the sentence are affected by the hedge cue.</S><S sid = 85 ssid = >In this phase, a classifier predicts for all tokens in a sentence whether a token is the first token of a hedge cue (B-cue), inside a hedge cue (I-cue), or outside of it (O-cue).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  W09-1304.txt | Citing Article:  C10-1089.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Also, the task of hedge detection (Morante and Daelemans, 2009) can be solved separately, in the original sentences, after the interacting pairs have been found.</S> | Reference Offset:  ['21','80'] | Reference Text:  <S sid = 21 ssid = >The system is based on a similar system that finds the scope of negation cues (Morante and Daelemans, 2009).</S><S sid = 80 ssid = >We model this task in the same way that we modelled the task for finding the scope of negation (Morante and Daelemans, 2009), i.e., as two consecutive classification tasks: a first one that consists of classifying the tokens of a sentence as being at the beginning of a hedge signal, inside or outside.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  W09-1304.txt | Citing Article:  W10-3008.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Parts of the system are similar to that of Morante and Daelemans (2009) both make use of machine learning to tag tokens as being in a cue or a scope.</S> | Reference Offset:  ['14','21'] | Reference Text:  <S sid = 14 ssid = >In this paper we present a machine learning system that finds the scope of hedge cues in biomedical texts.</S><S sid = 21 ssid = >The system is based on a similar system that finds the scope of negation cues (Morante and Daelemans, 2009).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  W09-1304.txt | Citing Article:  W10-3008.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The presence of potential clause ending words, used by Morante and Daelemans (2009), is included as a feature type with values: whereas, but, although, nevertheless, notwithstanding, how ever, consequently, hence, therefore, thus, instead, otherwise, alternatively, furthermore, moreover, since.</S> | Reference Offset:  ['21','110'] | Reference Text:  <S sid = 21 ssid = >The system is based on a similar system that finds the scope of negation cues (Morante and Daelemans, 2009).</S><S sid = 110 ssid = >We have used the same features used for the system that finds the scope of negation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  W09-1304.txt | Citing Article:  W10-3008.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Vincze et al (2008) created a publicly available annotated corpus of biomedical papers, abstracts and clinical data called BioScope, parts of which were also used as training data for the CoNLL10 shared task, building on the dataset and annotation scheme used for evaluation by Medlock and Briscoe (2007). Morante and Daelemans (2009) use the BioScope corpus to approach the problem of identifying cues and scopes via supervised machine learning.</S> | Reference Offset:  ['65','177'] | Reference Text:  <S sid = 65 ssid = >The system has been developed using the BioScope corpus (Szarvas et al., 2008; Vincze et al., 2008)2, a freely available resource that consists of medical and biological texts.</S><S sid = 177 ssid = >The cues that are not present in the training data cannot be learned in the test data and the same applies to their scope.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  W09-1304.txt | Citing Article:  W10-3015.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Morante and Daelemans (2009) presented a meta-learning system that finds the scope of hedge cues in biomedical texts.</S> | Reference Offset:  ['0','2'] | Reference Text:  <S sid = 0 ssid = >Learning the Scope of Hedge Cues in Biomedical Texts</S><S sid = 2 ssid = >In this paper we present a machine learning system that finds the scope of hedge cues in biomedical texts.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  W09-1304.txt | Citing Article:  W10-3005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Shallow linguistic features are introduced in their experiments. Morante and Daelemans (2009) present their research on identifying hedge cues and their scopes.</S> | Reference Offset:  ['21','92'] | Reference Text:  <S sid = 21 ssid = >The system is based on a similar system that finds the scope of negation cues (Morante and Daelemans, 2009).</S><S sid = 92 ssid = >We performed two experiments.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  W09-1304.txt | Citing Article:  W10-3005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >More experiments could be found in their paper (Morante and Daelemans, 2009).</S> | Reference Offset:  ['21','92'] | Reference Text:  <S sid = 21 ssid = >The system is based on a similar system that finds the scope of negation cues (Morante and Daelemans, 2009).</S><S sid = 92 ssid = >We performed two experiments.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  W09-1304.txt | Citing Article:  W10-3006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The main difference between the two systems is that Morante and Daelemans (2009) perform the second phase with a machine learner, whereas Ozgur and Radev (2009) perform the second phase witha rule-based system that exploits syntactic information.</S> | Reference Offset:  ['20','21'] | Reference Text:  <S sid = 20 ssid = >We are not aware of other systems that perform this task.</S><S sid = 21 ssid = >The system is based on a similar system that finds the scope of negation cues (Morante and Daelemans, 2009).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  W09-1304.txt | Citing Article:  W10-3006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The approach to resolving the scopes of hedge cues that we present in this paper is similar to the approach followed in Morante and Daelemans (2009) in that the task is modelled in the same way.</S> | Reference Offset:  ['21','80'] | Reference Text:  <S sid = 21 ssid = >The system is based on a similar system that finds the scope of negation cues (Morante and Daelemans, 2009).</S><S sid = 80 ssid = >We model this task in the same way that we modelled the task for finding the scope of negation (Morante and Daelemans, 2009), i.e., as two consecutive classification tasks: a first one that consists of classifying the tokens of a sentence as being at the beginning of a hedge signal, inside or outside.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  W09-1304.txt | Citing Article:  W10-3006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >A difference between the two systems is that this system uses only one classifier to solve Task 2, whereas the system described in Morante and Daelemans (2009) used three classifiers and a metalearner.</S> | Reference Offset:  ['20','100'] | Reference Text:  <S sid = 20 ssid = >We are not aware of other systems that perform this task.</S><S sid = 100 ssid = >A fourth classifier is a metalearner that uses the predictions of the three classifiers to predict the scope classes.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  W09-1304.txt | Citing Article:  W10-3006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Another difference is that the system in Morante and Daelemans (2009) used shallow syntactic features, whereas this system uses features from both shallow and dependency syntax.</S> | Reference Offset:  ['21','110'] | Reference Text:  <S sid = 21 ssid = >The system is based on a similar system that finds the scope of negation cues (Morante and Daelemans, 2009).</S><S sid = 110 ssid = >We have used the same features used for the system that finds the scope of negation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  W09-1304.txt | Citing Article:  W10-3006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >It is not really possible to compare the scores obtained in this task to existing research previous to the CoNLL-2010 Shared Task, namely the results obtained by Ozgur and Radev (2009) on the BioScope corpus with a rule-based system and byMorante and Daelemans (2009) on the same corpus with a combination of classifiers.</S> | Reference Offset:  ['21','169'] | Reference Text:  <S sid = 21 ssid = >The system is based on a similar system that finds the scope of negation cues (Morante and Daelemans, 2009).</S><S sid = 169 ssid = >This can be explained by the results obtained in the cues finding phase, where the clinical subcorpus obtained only 41.92% F1.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  W09-1304.txt | Citing Article:  W10-3006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Morante and Daelemans (2009) report percentage of correct scopes for the full text data set (42.37), obtained by training on the abstracts data set, whereas the results presented in Table 5 are reported in Fmeasures and obtained in by training and testing on other corpora.</S> | Reference Offset:  ['121','177'] | Reference Text:  <S sid = 121 ssid = >The results provided for the abstracts part of the corpus have been obtained by performing 10-fold cross validation experiments, whereas the results provided for papers and clinical reports have been obtained by training on the full abstracts subcorpus and testing on the papers and clinical reports subcorpus.</S><S sid = 177 ssid = >The cues that are not present in the training data cannot be learned in the test data and the same applies to their scope.</S> | Discourse Facet:  NA | Annotator: Automatic


