Citance Number: 1 | Reference Article:  P02-1035.txt | Citing Article:  W02-1506.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Riezler et al (2002) report on our WSJ parsing experiments.</S> | Reference Offset:  ['2','11'] | Reference Text:  <S sid = 2 ssid = >We report on the results of applying this system to parsing the UPenn Wall Street Journal (WSJ) treebank.</S><S sid = 11 ssid = >Rather, parameter estimation for such models had to resort to unsupervised techniques (Bouma et al., 2000; Riezler et al., 2000), or training corpora tailored to the specific grammars had to be created by parsing and manual disambiguation, resulting in relatively small training sets of around 1,000 sentences (Johnson et al., 1999).</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  P02-1035.txt | Citing Article:  C08-1090.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >They are still reasonably popular today, as exemplified by major systems like PARC's XLE (Riezler et al, 2002).</S> | Reference Offset:  ['11','122'] | Reference Text:  <S sid = 11 ssid = >Rather, parameter estimation for such models had to resort to unsupervised techniques (Bouma et al., 2000; Riezler et al., 2000), or training corpora tailored to the specific grammars had to be created by parsing and manual disambiguation, resulting in relatively small training sets of around 1,000 sentences (Johnson et al., 1999).</S><S sid = 122 ssid = >Facts like this can make a correct mapping of LFG f-structures to DR relations problematic.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  P02-1035.txt | Citing Article:  P11-1069.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >See e.g. Riezler et al (2002) and Zhang et al (2007) for chart based parsers which can produce fragmentary analyses.</S> | Reference Offset:  ['11','152'] | Reference Text:  <S sid = 11 ssid = >Rather, parameter estimation for such models had to resort to unsupervised techniques (Bouma et al., 2000; Riezler et al., 2000), or training corpora tailored to the specific grammars had to be created by parsing and manual disambiguation, resulting in relatively small training sets of around 1,000 sentences (Johnson et al., 1999).</S><S sid = 152 ssid = >To our knowledge, so far the only direct point of comparison is the parser of Carroll et al. (1999) which is also evaluated on Carroll et al.’s test corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P02-1035.txt | Citing Article:  N03-1026.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In this project, a broad-coverage LFG grammar and parser for English was employed (see Riezler et al (2002)).</S> | Reference Offset:  ['31','35'] | Reference Text:  <S sid = 31 ssid = >Section 2 describes the Lexical-Functional Grammar, the constraint-based parser, and the robustness techniques employed in this work.</S><S sid = 35 ssid = >The grammar used for this project was developed in the ParGram project (Butt et al., 1999).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P02-1035.txt | Citing Article:  N03-1026.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Alternatively, a single input parse could be selected by stochastic models such as the one described in Riezler et al (2002).</S> | Reference Offset:  ['24','124'] | Reference Text:  <S sid = 24 ssid = >The evaluation measure counts the number of predicateargument relations in the f-structure of the parse selected by the stochastic model that match those in the gold standard annotation.</S><S sid = 124 ssid = >4 In our evaluation, we report F-scores for both types of annotation, LFG and DR, and for three types of parse selection, (i) lower bound: random choice of a parse from the set of analyses (averaged over 10 runs), (ii) upper bound: selection of the parse with the best F-score according to the annotation scheme used, and (iii) stochastic: the parse selected by the stochastic disambiguator.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P02-1035.txt | Citing Article:  H05-1064.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Riezler et al (2002) describe a discriminative LFG parsing model that is trained on standard (syntax only) tree bank annotations by treating each tree as a full LFG analysis with an observed c-structure and hidden f-structure.</S> | Reference Offset:  ['46','64'] | Reference Text:  <S sid = 46 ssid = >The WSJ labeled brackets are given LFG lexical entries which constrain both the c-structure and the f-structure of the parse.</S><S sid = 64 ssid = >A sample FRAGMENT c-structure and f-structure are shown in Fig.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P02-1035.txt | Citing Article:  W07-1203.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For sentences out of coverage, it employs the robustness techniques (fragment parsing, 'skimming') implemented in XLE and described in Riezler et al. (2002), so that 100% of our corpus sentences receive at least some sort of analysis.</S> | Reference Offset:  ['14','17'] | Reference Text:  <S sid = 14 ssid = >The problem of grammar coverage, i.e. the fact that not all sentences receive an analysis, is tackled in our approach by an extension of a fullfledged Lexical-Functional Grammar (LFG) and a constraint-based parser with partial parsing techniques.</S><S sid = 17 ssid = >With this combination of full and partial parsing techniques we achieve 100% grammar coverage on unseen data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P02-1035.txt | Citing Article:  W07-1203.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our error reduction of 51.0% also compares favorably to the 36% error reduction on English LFG parses reported in Riezler et al (2002).</S> | Reference Offset:  ['125','148'] | Reference Text:  <S sid = 125 ssid = >The error reduction row lists the reduction in error rate relative to the upper and lower bounds obtained by the stochastic disambiguation model.</S><S sid = 148 ssid = >Both the DR and LFG annotations broadly agree in their measure of error reduction.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P02-1035.txt | Citing Article:  W04-3223.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For our experiments, we used a stochastic parsing system for LFG that we trained on section 02-21 of the UPenn Wall Street Journal treebank (Marcus et al., 1993) by discriminative estimation of a conditional maximum-entropy model from partially labeled data (see Riezler et al. (2002)).</S> | Reference Offset:  ['2','13'] | Reference Text:  <S sid = 2 ssid = >We report on the results of applying this system to parsing the UPenn Wall Street Journal (WSJ) treebank.</S><S sid = 13 ssid = >The approach presented in this paper is a first attempt to scale up stochastic parsing systems based on linguistically fine-grained handcoded grammars to the UPenn Wall Street Journal (henceforth WSJ) treebank (Marcus et al., 1994).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P02-1035.txt | Citing Article:  E09-1033.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We follow Collins' (2000) approach to discriminative reranking (see also (Riezler et al., 2002)).</S> | Reference Offset:  ['80','83'] | Reference Text:  <S sid = 80 ssid = >Furthermore, properties refering to lexical elements based on an auxiliary distribution approach as presented in Riezler et al. (2000) are included in the model.</S><S sid = 83 ssid = >Discriminative estimation techniques have recently received great attention in the statistical machine learning community and have already been applied to statistical parsing (Johnson et al., 1999; Collins, 2000; Collins and Duffy, 2001).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P02-1035.txt | Citing Article:  W07-1209.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This was done to some extent in Riezler et al (2002) to automatically generate training data for the log-linear disambiguation component of XLE.</S> | Reference Offset:  ['11','94'] | Reference Text:  <S sid = 11 ssid = >Rather, parameter estimation for such models had to resort to unsupervised techniques (Bouma et al., 2000; Riezler et al., 2000), or training corpora tailored to the specific grammars had to be created by parsing and manual disambiguation, resulting in relatively small training sets of around 1,000 sentences (Johnson et al., 1999).</S><S sid = 94 ssid = >The basic training data for our experiments are sections 02-21 of the WSJ treebank.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P02-1035.txt | Citing Article:  W07-1209.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >XLE selects the most probable analysis from the potentially large candidate set by means of a stochastic disambiguation component based on a log-linear probability model (Riezler et al, 2002) that works on the packed representations.</S> | Reference Offset:  ['1','39'] | Reference Text:  <S sid = 1 ssid = >We present a stochastic parsing system consisting of a Lexical-Functional Grammar (LFG), a constraint-based parser and a stochastic disambiguation model.</S><S sid = 39 ssid = >The XLE parser (Maxwell and Kaplan, 1993) was used to produce packed representations, specifying all possible grammar analyses of the input.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P02-1035.txt | Citing Article:  N04-1013.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >XLE selects the most probable analysis from the potentially large candidate set by means of a stochastic disambiguation component based on a log-linear (a.k.a. maximum-entropy) probability model (Riezler et al, 2002).</S> | Reference Offset:  ['1','84'] | Reference Text:  <S sid = 1 ssid = >We present a stochastic parsing system consisting of a Lexical-Functional Grammar (LFG), a constraint-based parser and a stochastic disambiguation model.</S><S sid = 84 ssid = >In discriminative estimation, only the conditional relation of an analysis given an example is considered relevant, whereas in maximum likelihood estimation the joint probability of the training data to best describe observations is maximized.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P02-1035.txt | Citing Article:  N04-1013.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For a more detailed description of the optimization problem and the feature-functions we use for stochastic LFG parsing see Riezler et al (2002).</S> | Reference Offset:  ['1','11'] | Reference Text:  <S sid = 1 ssid = >We present a stochastic parsing system consisting of a Lexical-Functional Grammar (LFG), a constraint-based parser and a stochastic disambiguation model.</S><S sid = 11 ssid = >Rather, parameter estimation for such models had to resort to unsupervised techniques (Bouma et al., 2000; Riezler et al., 2000), or training corpora tailored to the specific grammars had to be created by parsing and manual disambiguation, resulting in relatively small training sets of around 1,000 sentences (Johnson et al., 1999).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P02-1035.txt | Citing Article:  W09-2603.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We have access to the entire English-language text of Wikipedia (about 2M pages) that was parsed using the XLE parser (Riezler et al, 2002), as well as an architecture for distributed data mining within this corpus, called Oceanography (Waterman, 2009).</S> | Reference Offset:  ['60','152'] | Reference Text:  <S sid = 60 ssid = >Any token that cannot be parsed as one of these chunks is parsed as a TOKEN chunk.</S><S sid = 152 ssid = >To our knowledge, so far the only direct point of comparison is the parser of Carroll et al. (1999) which is also evaluated on Carroll et al.’s test corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  P02-1035.txt | Citing Article:  W07-1402.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The primary linguistic analysis components are the probabilistic LFG grammar for English developed at PARC (Riezler et al., 2002), and a combination of systems for frame semantic annotation: the probabilistic Shalmaneser system for frame and role annotation (Erk and Pado, 2006), and the rule-based Detour system for frame assignment (Burchardt et al, 2005.</S> | Reference Offset:  ['35','116'] | Reference Text:  <S sid = 35 ssid = >The grammar used for this project was developed in the ParGram project (Butt et al., 1999).</S><S sid = 116 ssid = >The DR annotation for our example sentence, obtained via a mapping from f-structures to Carroll et al’s annotation scheme, is shown in Fig.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  P02-1035.txt | Citing Article:  P10-1130.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Following Pereira and Schabes' (1992) success with partial annotations in training a model of (English) constituents generatively, their idea has been extended to discriminative estimation (Riezler et al., 2002) and also proved useful in modeling (Japanese) dependencies (Sassano, 2005).</S> | Reference Offset:  ['11','90'] | Reference Text:  <S sid = 11 ssid = >Rather, parameter estimation for such models had to resort to unsupervised techniques (Bouma et al., 2000; Riezler et al., 2000), or training corpora tailored to the specific grammars had to be created by parsing and manual disambiguation, resulting in relatively small training sets of around 1,000 sentences (Johnson et al., 1999).</S><S sid = 90 ssid = >Furthermore, let p[f] denote the expectation of function f under distribution p. Then P(λ) can be defined for a conditional exponential model pλ(zIy) as: Intuitively, the goal of estimation is to find model pa'An earlier approach using partially labeled data for estimating stochastics parsers is Pereira and Schabes’s (1992) work on training PCFG from partially bracketed data.</S> | Discourse Facet:  NA | Annotator: Automatic


