Citance Number: 1 | Reference Article:  P09-1113.txt | Citing Article:  C10-1018.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Additionally, researchers have tried to automatically extract examples for supervised learning from resources such as Wikipedia (Weld et al,2008) and databases (Mintz et al, 2009), or attempted open information extraction (IE) (Banko et al, 2007) to extract all possible relations.</S> | Reference Offset:  ['10','45'] | Reference Text:  <S sid = 10 ssid = >ACE systems then extract a wide variety of lexical, syntactic, and semantic features, and use supervised classifiers to label the relation mention holding between a given pair of entities in a test set sentence, optionally combining relation mentions (Zhou et al., 2005; Zhou et al., 2007; Surdeanu and Ciaramita, 2007).</S><S sid = 45 ssid = >(2005) and Zhou et al. (2007).</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  P09-1113.txt | Citing Article:  P11-1055.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Additionally, their aggregate decisions make use of Mintzstyle aggregate features (Mintz et al, 2009), that collect evidence from multiple sentences, while we use 543 Inputs: (1)?, a set of sentences, (2) E, a set of entities mentioned in the sentences, (3) R, a set of relation names, and (4)?, a database of atomic facts of the form r (e1 ,e2) for r? R and ei? E.</S> | Reference Offset:  ['31','68'] | Reference Text:  <S sid = 31 ssid = >Because our algorithm can use large amounts of unlabeled data, a pair of entities may occur multiple times in the test set.</S><S sid = 68 ssid = >For example, if a pair of entities occurs in 10 sentences in the test set, and each sentence has 3 features extracted from it, the entity pair will have 30 associated features.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  P09-1113.txt | Citing Article:  P11-1055.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We use the set of sentence-level features described by Riedel et al (2010), which were originally developed by Mintz et al (2009).</S> | Reference Offset:  ['10','45'] | Reference Text:  <S sid = 10 ssid = >ACE systems then extract a wide variety of lexical, syntactic, and semantic features, and use supervised classifiers to label the relation mention holding between a given pair of entities in a test set sentence, optionally combining relation mentions (Zhou et al., 2005; Zhou et al., 2007; Surdeanu and Ciaramita, 2007).</S><S sid = 45 ssid = >(2005) and Zhou et al. (2007).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P09-1113.txt | Citing Article:  P11-1055.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Mintz et al (2009) used Freebase facts to train 100 relational extractors on Wikipedia.</S> | Reference Offset:  ['95','114'] | Reference Text:  <S sid = 95 ssid = >Our syntactic features are similar to those used in Snow et al. (2005).</S><S sid = 114 ssid = >Much of the information in Freebase is derived from tabular data from Wikipedia, meaning that Freebase relations are more likely to appear in sentences in Wikipedia.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P09-1113.txt | Citing Article:  W12-0705.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Mintz et al (2009) use distant supervision to learn to extract relations that are represented in Freebase (Bollacker et al, 2008).</S> | Reference Offset:  ['20','21'] | Reference Text:  <S sid = 20 ssid = >Distant supervision is an extension of the paradigm used by Snow et al. (2005) for exploiting WordNet to extract hypernym (is-a) relations between entities, and is similar to the use of weakly labeled data in bioinformatics (Craven and Kumlien, 1999; Morgan et al., 2004).</S><S sid = 21 ssid = >Our algorithm uses Freebase (Bollacker et al., 2008), a large semantic database, to provide distant supervision for relation extraction.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P09-1113.txt | Citing Article:  P13-2116.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This approach only has access to the text in a document and contains all the features mentioned in Wu and Weld (2010) and Mintz et al (2009).</S> | Reference Offset:  ['46','95'] | Reference Text:  <S sid = 46 ssid = >Perhaps most similar to our distant supervision algorithm is the effective method of Wu and Weld (2007) who extract relations from a Wikipedia page by using supervision from the page’s infobox.</S><S sid = 95 ssid = >Our syntactic features are similar to those used in Snow et al. (2005).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P09-1113.txt | Citing Article:  P14-2117.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >To address this limitation, a promising approach is distant supervision (DS), which can automatically gather labeled data by heuristically aligning entities in text with those in a knowledge base (Mintz et al, 2009).</S> | Reference Offset:  ['0','20'] | Reference Text:  <S sid = 0 ssid = >Distant supervision for relation extraction without labeled data</S><S sid = 20 ssid = >Distant supervision is an extension of the paradigm used by Snow et al. (2005) for exploiting WordNet to extract hypernym (is-a) relations between entities, and is similar to the use of weakly labeled data in bioinformatics (Craven and Kumlien, 1999; Morgan et al., 2004).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P09-1113.txt | Citing Article:  P14-2117.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Craven and Kumlien (1999), Wu et al (2007) and Mintz et al (2009) were several pioneer work of distant supervision.</S> | Reference Offset:  ['20','45'] | Reference Text:  <S sid = 20 ssid = >Distant supervision is an extension of the paradigm used by Snow et al. (2005) for exploiting WordNet to extract hypernym (is-a) relations between entities, and is similar to the use of weakly labeled data in bioinformatics (Craven and Kumlien, 1999; Morgan et al., 2004).</S><S sid = 45 ssid = >(2005) and Zhou et al. (2007).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P09-1113.txt | Citing Article:  P14-2117.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This is a traditional DS assumption based model proposed by Mintz et al (2009).</S> | Reference Offset:  ['38','45'] | Reference Text:  <S sid = 38 ssid = >Approaches based on WordNet have often only looked at the hypernym (is-a) or meronym (part-of) relation (Girju et al., 2003; Snow et al., 2005), while those based on the ACE program (Doddington et al., 2004) have been restricted in their evaluation to a small number of relation instances and corpora of less than a million words.</S><S sid = 45 ssid = >(2005) and Zhou et al. (2007).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P09-1113.txt | Citing Article:  D12-1042.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >distant supervision: for each relation in the database D we assume that all the corresponding mentions are positive examples for the corresponding label (Mintz et al 2009).</S> | Reference Offset:  ['0','21'] | Reference Text:  <S sid = 0 ssid = >Distant supervision for relation extraction without labeled data</S><S sid = 21 ssid = >Our algorithm uses Freebase (Bollacker et al., 2008), a large semantic database, to provide distant supervision for relation extraction.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P09-1113.txt | Citing Article:  D12-1042.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >As discussed in Section 4.3, this model follows the "traditional" distant supervision heuristic, similarly to (Mintz et al., 2009).</S> | Reference Offset:  ['0','162'] | Reference Text:  <S sid = 0 ssid = >Distant supervision for relation extraction without labeled data</S><S sid = 162 ssid = >As discussed in section 4, these two relations are particularly ambiguous, suggesting that syntactic features may help tease apart difficult relations.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P09-1113.txt | Citing Article:  W12-2412.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Contrasted to the alternative approach where annotations are document-level only, this approach has a number of important benefits, such as allowing machine learning methods for event extraction to be directly trained on fully and specifically annotated data without the need to apply frequently error prone heuristics (Mintz et al, 2009) or develop machine learning methods addressing the mapping between text expressions and document-level annotations (Riedel et al, 2010).</S> | Reference Offset:  ['14','16'] | Reference Text:  <S sid = 14 ssid = >An alternative approach, purely unsupervised information extraction, extracts strings of words between entities in large amounts of text, and clusters and simplifies these word strings to produce relation-strings (Shinyama and Sekine, 2006; Banko et al., 2007).</S><S sid = 16 ssid = >A third approach has been to use a very small number of seed instances or patterns to do bootstrap learning (Brin, 1998; Riloff and Jones, 1999; Agichtein and Gravano, 2000; Ravichandran and Hovy, 2002; Etzioni et al., 2005; Pennacchiotti and Pantel, 2006; Bunescu and Mooney, 2007; Rozenfeld and Feldman, 2008).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P09-1113.txt | Citing Article:  P13-2117.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >MULTIR uses features which are based on Mintz et al (2009) and consist of conjunctions of named entity tags, syntactic dependency paths between arguments, and lexical information.</S> | Reference Offset:  ['79','100'] | Reference Text:  <S sid = 79 ssid = >Our features are based on standard lexical and syntactic features from the literature.</S><S sid = 100 ssid = >We perform named entity tagging using the Stanford four-class named entity tagger (Finkel et al., 2005).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P09-1113.txt | Citing Article:  E12-1033.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Wieg and and Klakow (2011a) present an intermediate solution for opinion holder extraction inspired by distant supervision (Mintz et al 2009).</S> | Reference Offset:  ['0','21'] | Reference Text:  <S sid = 0 ssid = >Distant supervision for relation extraction without labeled data</S><S sid = 21 ssid = >Our algorithm uses Freebase (Bollacker et al., 2008), a large semantic database, to provide distant supervision for relation extraction.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P09-1113.txt | Citing Article:  P12-1076.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >A particularly attractive approach, called distant supervision (DS), creates labeled data by heuristically aligning entities in text with those in a knowledge base, such as Freebase (Mintz et al, 2009).</S> | Reference Offset:  ['0','60'] | Reference Text:  <S sid = 0 ssid = >Distant supervision for relation extraction without labeled data</S><S sid = 60 ssid = >The intuition of our distant supervision approach is to use Freebase to give us a training set of relations and entity pairs that participate in those relations.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  P09-1113.txt | Citing Article:  P12-1076.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We applied our method to Wikipedia articles using Freebase as a knowledge base and found that (i) our model identified patterns expressing a given relation more accurately than baseline methods and (ii) our method led to better extraction performance than the original DS (Mintz et al, 2009) and MultiR (Hoffmann et al., 2011), which is a state-of-the-art multi instance learning system for relation extraction (see Section 7).</S> | Reference Offset:  ['0','21'] | Reference Text:  <S sid = 0 ssid = >Distant supervision for relation extraction without labeled data</S><S sid = 21 ssid = >Our algorithm uses Freebase (Bollacker et al., 2008), a large semantic database, to provide distant supervision for relation extraction.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  P09-1113.txt | Citing Article:  P12-1076.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our work was inspired by Mintz et al (2009) who used Freebase as a knowledge base by making the DS assumption and trained relation ex tractors on Wikipedia.</S> | Reference Offset:  ['44','114'] | Reference Text:  <S sid = 44 ssid = >More recent approaches have used deeper syntactic information derived from parses of the input sentences, including work exploiting syntactic dependencies by Lin and Pantel (2001) and Snow et al. (2005), and work in the ACE paradigm such as Zhou et al.</S><S sid = 114 ssid = >Much of the information in Freebase is derived from tabular data from Wikipedia, meaning that Freebase relations are more likely to appear in sentences in Wikipedia.</S> | Discourse Facet:  NA | Annotator: Automatic


