Citance Number: 1 | Reference Article:  P98-1069.txt | Citing Article:  C02-2020.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Fung and Yee (1998) demonstrated that the associations between a word and its context seed words are preserved in comparable texts of different languages.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In this paper, we have demonstrated that the associations between a word and its context seed words are well-preserved in nonparallel, comparable texts of different languages.</S><S sid = NA ssid = NA>Among these, (Rapp, 1995) proposes that the association between a word and its close collocate is preserved in any language. and (Fung and McKeown, 1997) suggests that the associations between a word and many seed words are also preserved in another language.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  P98-1069.txt | Citing Article:  D09-1040.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>One approach that can, in principle, better exploit both alignments from bitextsand make use of non-parallel corpora is the distributional collocational approach, e.g., as used by Fung and Yee (1998) and Rapp (1999).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>An IR Approach for Translating New Words from Nonparallel Comparable Texts</S><S sid = NA ssid = NA>It remains to be seen how we can also make use of the multilingual texts as NLP resources.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P98-1069.txt | Citing Article:  D09-1040.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Beside simple co occurrence counts within sliding windows, other SoA measures include functions based on TF/IDF (Fung and Yee, 1998), mutual information (PMI) (Lin, 1998), conditional probabilities (Schuetzeand Pedersen, 1997), chi-square test, and the log likelihood ratio (Dunning, 1993).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>They are mostly based on the Cosine Measure of two vectors.</S><S sid = NA ssid = NA>Attempts at exploring nonparallel corpora for terminology translation are very few (Rapp, 1995; Fung, 1995a; Fung and McKeown, 1997).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P98-1069.txt | Citing Article:  E12-1014.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>A variety of subsequent work has extended the original idea either by exploring different measures of vector similarity (Fung and Yee, 1998) or by proposing other ways of measuring similarity beyond co-occurence within a context window.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>S6 and S7 appear to be the best similarity measures.</S><S sid = NA ssid = NA>All similarity measures S3 — S7 are used in the experiment for finding a translation for ME •</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P98-1069.txt | Citing Article:  E12-1014.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This algorithm can also be applied in an iterative fashion where high-ranking bilingual word pairs can be added to the seed word list, which in turn can yield more new bilingual word pairs.</S><S sid = NA ssid = NA>In these cases, since the languages are more similar linguistically and the seed word lexicon is more reliable, the algorithm should yield better results.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P98-1069.txt | Citing Article:  C04-1149.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Here, a standard technique of estimating bilingual term correspondences from comparable corpora (e.g., Fung and Yee (1998) and Rapp (1999)) is employed.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Attempts at exploring nonparallel corpora for terminology translation are very few (Rapp, 1995; Fung, 1995a; Fung and McKeown, 1997).</S><S sid = NA ssid = NA>This leads us to use the term frequency(TF) measure.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P98-1069.txt | Citing Article:  C04-1149.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For example, Rapp (1999) filtered out bilingual term pairs with low monolingual frequencies (those below 100 times), while Fung and Yee (1998) restricted candidate bilingual term pairs to be pairs of the most frequent 118 unknown words.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>These word pairs are used as seed words.</S><S sid = NA ssid = NA>This algorithm can also be applied in an iterative fashion where high-ranking bilingual word pairs can be added to the seed word list, which in turn can yield more new bilingual word pairs.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P98-1069.txt | Citing Article:  C10-2070.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Fung and Yee (1998) also use a vector space approach, but use TF/IDF values in the vector components and experiment with different vector similarity measures for ranking the translation candidates.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>All similarity measures S3 — S7 are used in the experiment for finding a translation for ME •</S><S sid = NA ssid = NA>Using vector space model and similarity measures for ranking is a common approach in IR for query/text and text/text comparisons (Salton and Buckley, 1988; Salton and Yang, 1973; Croft, 1984; Turtle and Croft, 1992; Bookstein, 1983; Korfhage, 1995; Jones, 1979).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P98-1069.txt | Citing Article:  W03-1503.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Paststatistical methods for non-parallel corpora (Fung and Yee, 1998) are not valid for finding translations of words or expressions with low frequency.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>All similarity measures S3 — S7 are used in the experiment for finding a translation for ME •</S><S sid = NA ssid = NA>In fact, almost all unambiguous Chinese new words find their translations in the first 100 of the ranked list.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P98-1069.txt | Citing Article:  C10-1073.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Following standard practice in bilingual lexicon extraction from comparable corpora, we rely on the approach proposed by Fung and Yee (1998).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>An IR Approach for Translating New Words from Nonparallel Comparable Texts</S><S sid = NA ssid = NA>We use the lexicon of the MT system to &quot;bridge&quot; all bilingual word pairs in the corpora.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P98-1069.txt | Citing Article:  C10-1073.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This algorithm can also be applied in an iterative fashion where high-ranking bilingual word pairs can be added to the seed word list, which in turn can yield more new bilingual word pairs.</S><S sid = NA ssid = NA>In these cases, since the languages are more similar linguistically and the seed word lexicon is more reliable, the algorithm should yield better results.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P98-1069.txt | Citing Article:  D12-1003.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Some treated context words equally regardless of their positions (Fung and Yee, 1998), while others treated the words separately for each position (Rapp, 1999).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>(Rapp, 1995; Fung and McKeown, 1997) suggest that a content word is closely associated with some words in its context.</S><S sid = NA ssid = NA>As a tutorial example, we postulate that the words which appear in the context ofMet, Iliougan should be similar to the words appearing in the context of its English translation, flu.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P98-1069.txt | Citing Article:  C02-1011.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Fung and Yee (1998), for example, proposed to represent the contexts of a word or phrase with a real-valued vector (e.g., a TF-IDF vector), in which one element corresponds to one word in the contexts.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>So the first clue to the similarity between a word and its translation number of common words in their contexts.</S><S sid = NA ssid = NA>Hence, for every context seed word i, we assign a word weighting factor (Salton and Buckley, 1988) w = TFiw x IDFi where TFiw is the TF of word i in the context of word W. The updated vector space model of word W has wi in its i-th dimension.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P98-1069.txt | Citing Article:  W09-1702.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Fung and Yee (1998) point out that not only the number of common words in context gives some similarity clue to a word and its translation, but the actual ranking of the context word frequencies also provides important clue to the similarity between a bilingual word pair.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The flu example illustrates that the actual ranking of the context word frequencies provides a second clue to the similarity between a bilingual word pair.</S><S sid = NA ssid = NA>So the first clue to the similarity between a word and its translation number of common words in their contexts.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  P98-1069.txt | Citing Article:  W09-1702.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This fact has motivated Fung and Yee (1998) to use tfidf weighting to compute the vectors.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>They are mostly based on the Cosine Measure of two vectors.</S><S sid = NA ssid = NA>Next, a ranking algorithm is needed to match the unknown word vectors to their counterparts in the other language.</S> | Discourse Facet:  NA | Annotator: Automatic


