Citance Number: 1 | Reference Article:  W00-0726.txt | Citing Article:  N01-1025.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This data set was used for CoNLL-2000 shared task (Tjong Kim Sang and Buchholz, 2000).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Introduction To The CoNLL-2000 Shared Task: Chunking</S><S sid = NA ssid = NA>Both he and Buchholz et al. use data generated by the script that produced the CoNLL-2000 shared task data sets.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  W00-0726.txt | Citing Article:  W06-2602.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The data set, extracted from the WSJ Penn Tree bank, and first used in the CoNLL-2000 shared task (Tjong Kim Sang and Buchholz, 2000), contains 211,727 training examples and 47,377 test instances.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For this task we have generated training and test data from the Penn Treebank.</S><S sid = NA ssid = NA>For the CoNLL shared task, we have chosen to work with the same sections of the Penn Treebank as the widely used data set for base noun phrase recognition (Ramshaw and Marcus, 1995): WSJ sections 15-18 of the Penn Treebank as training material and section 20 as test materia13.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  W00-0726.txt | Citing Article:  D11-1141.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We annotate the same set of 800 tweets mentioned previously with tags from the CoNLL shared task (Tjong Kim Sang and Buchholz,2000).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Introduction To The CoNLL-2000 Shared Task: Chunking</S><S sid = NA ssid = NA>The CoNLL-2000 shared task attempts to fill this gap.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  W00-0726.txt | Citing Article:  P02-1031.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Our chunks were derived from the Tree bank trees using the conversion described by Tjong Kim Sang and Buchholz (2000).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>There are several difficulties when converting trees into chunks.</S><S sid = NA ssid = NA>Tjong Kim Sang (2000) trained and tested five memory-based learning systems to produce different representations of the chunk tags.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  W00-0726.txt | Citing Article:  P07-1062.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The shallow parse tags define non hierarchical base constituents (chunks), as defined for the CoNLL-2000 shared task (Tjong Kim Sang and Buchholz, 2000).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Introduction To The CoNLL-2000 Shared Task: Chunking</S><S sid = NA ssid = NA>The CoNLL-2000 shared task attempts to fill this gap.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  W00-0726.txt | Citing Article:  W03-1010.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For the chunker, we ran fnTBL over the lemmatised tagged data, training over CoNLL 2000 style (Tjong Kim Sang and Buchholz, 2000) chunk converted versions of the full Brown and WSJ corpora.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>An overview of the chunk types in the training data can be found in table 1.</S><S sid = NA ssid = NA>Both he and Buchholz et al. use data generated by the script that produced the CoNLL-2000 shared task data sets.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  W00-0726.txt | Citing Article:  P06-2038.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Tjong Kim Sang and Buchholz, 2000) Unlike a parse tree, a set of syntactic chunks has no hierarchical information on how sequences of words relate to each other.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Johansson (2000) uses context-sensitive and contextfree rules for transforming part-of-speech (POS) tag sequences to chunk tag sequences.</S><S sid = NA ssid = NA>We have chosen to work with a corpus with parse information, the Wall Street Journal WSJ part of the Penn Treebank II corpus (Marcus et al., 1993), and to extract chunk information from the parse trees in this corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  W00-0726.txt | Citing Article:  P05-1024.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We used the same data set as the CoNLL 2000 shared task (Tjong Kim Sang and Buchholz, 2000).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Introduction To The CoNLL-2000 Shared Task: Chunking</S><S sid = NA ssid = NA>Both he and Buchholz et al. use data generated by the script that produced the CoNLL-2000 shared task data sets.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  W00-0726.txt | Citing Article:  W01-0712.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The project provided a data set for this task at the CoNLL-2000 workshop (Tjong Kim Sang and Buchholz, 2000).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Both he and Buchholz et al. use data generated by the script that produced the CoNLL-2000 shared task data sets.</S><S sid = NA ssid = NA>Introduction To The CoNLL-2000 Shared Task: Chunking</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  W00-0726.txt | Citing Article:  W01-0712.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Chunking was the shared task of CoNLL-2000, the workshop on Computational Natural Language Learning, held in Lisbon, Portugal in 2000 (Tjong Kim Sang and Buchholz, 2000).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Introduction To The CoNLL-2000 Shared Task: Chunking</S><S sid = NA ssid = NA>Tjong Kim Sang is funded by the European TMR network Learning Computational Grammars.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  W00-0726.txt | Citing Article:  N03-1028.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The task was extended to additional phrase types for the CoNLL 2000 shared task (Tjong Kim Sang and Buchholz, 2000), which is now the standard evaluation task for shallow parsing.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Introduction To The CoNLL-2000 Shared Task: Chunking</S><S sid = NA ssid = NA>The CoNLL-2000 shared task attempts to fill this gap.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  W00-0726.txt | Citing Article:  N03-1028.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>NP chunking results have been reported on two slightly different data sets: the original RM data set of Ramshawand Marcus (1995), and the modified CoNLL-2000 version of Tjong Kim Sang and Buchholz (2000).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Both he and Buchholz et al. use data generated by the script that produced the CoNLL-2000 shared task data sets.</S><S sid = NA ssid = NA>Introduction To The CoNLL-2000 Shared Task: Chunking</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  W00-0726.txt | Citing Article:  W04-0834.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Headwords are obtained from a parse tree with the script used for the CoNLL-2000 shared task (Tjong Kim Sang and Buchholz, 2000).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Both he and Buchholz et al. use data generated by the script that produced the CoNLL-2000 shared task data sets.</S><S sid = NA ssid = NA>Introduction To The CoNLL-2000 Shared Task: Chunking</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  W00-0726.txt | Citing Article:  W02-2001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In the chunk inventory devised for the CoNLL-2000 test chunking shared task (Tjong Kim Sang and Buchholz, 2000), a dedicated particle chunk type once again exists.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Introduction To The CoNLL-2000 Shared Task: Chunking</S><S sid = NA ssid = NA>The CoNLL-2000 shared task attempts to fill this gap.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  W00-0726.txt | Citing Article:  P10-1025.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Indeed, all the best systems in the CoNLL shared task competitions (e.g. Chunking (Tjong Kim Sang and Buchholz, 2000)) make extensive use of lexical information.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Introduction To The CoNLL-2000 Shared Task: Chunking</S><S sid = NA ssid = NA>Three systems use system combination.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  W00-0726.txt | Citing Article:  P02-1055.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The conversion program is the same as used for the CoNLL-2000 shared task (Tjong Kim Sang and Buchholz, 2000).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Introduction To The CoNLL-2000 Shared Task: Chunking</S><S sid = NA ssid = NA>The CoNLL-2000 shared task attempts to fill this gap.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  W00-0726.txt | Citing Article:  P02-1055.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Tjong Kim Sang and Buchholz (2000) give an overview of the CoNLL shared task of chunking.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Introduction To The CoNLL-2000 Shared Task: Chunking</S><S sid = NA ssid = NA>The CoNLL-2000 shared task attempts to fill this gap.</S> | Discourse Facet:  NA | Annotator: Automatic


