Citance Number: 1 | Reference Article:  W06-2501.txt | Citing Article:  W06-1605.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Patwardhan and Pedersen (2006) create aggregate co-occurrence vectors for a WordNet sense by adding the co-occurrence vectors of the words in its WordNet gloss.</S> | Reference Offset:  ['47','184'] | Reference Text:  <S sid = 47 ssid = >In this research, we create a Gloss Vector for each concept (or word sense) represented in a dictionary.</S><S sid = 184 ssid = >Each concept in LDOCE is then represented by an aggregate vector created by adding the co–occurrence counts for each of the words in the augmented definition of the concept.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  W06-2501.txt | Citing Article:  D07-1061.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Other measures have been proposed that utilize the text in WordNet's definitional glosses, such as Extended Lesk (Banerjee and Pedersen, 2003) and later the Gloss Vectors (Patwardhan and Pedersen, 2006) method.</S> | Reference Offset:  ['90','126'] | Reference Text:  <S sid = 90 ssid = >(Banerjee and Pedersen, 2003) introduce Extended Gloss Overlaps, which is a measure that determines the relatedness of concepts proportional to the extent of overlap of their WordNet glosses.</S><S sid = 126 ssid = >Each of the seven measures of semantic relatedness was used in a word sense disambiguation algorithm described by (Banerjee and Pedersen, 2003).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  W06-2501.txt | Citing Article:  D07-1061.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >It is worth noting that in their experiments, (Patwardhan and Pedersen, 2006) report that the Vector method has rank correlation coefficients of .91 and .90 for MC and RG, respectively, which are also top performing values.</S> | Reference Offset:  ['86','151'] | Reference Text:  <S sid = 86 ssid = >These values are derived from corpora, and are used to augment the concepts in WordNet’s is-a hierarchy.</S><S sid = 151 ssid = >The tf ·idf values ranged from 0 to about 4200.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  W06-2501.txt | Citing Article:  W11-0317.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['79','213'] | Reference Text:  <S sid = 79 ssid = >Below we briefly describe five alternative measures of semantic relatedness, and then go on to include them as points of comparison in our experimental evaluation of the Gloss Vector measure.</S><S sid = 213 ssid = >All of the experiments in this paper were carried out with the WordNet::Similarity package, which is freely available for download from http://search.cpan.org/dist/WordNet-Similarity.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  W06-2501.txt | Citing Article:  S12-1097.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >To take account of these similarities WordNet-based similarity measures are used (Patwardhan and Pedersen, 2006).</S> | Reference Offset:  ['158','213'] | Reference Text:  <S sid = 158 ssid = >The overlap between these vector representations is used to compute the semantic similarity of concepts.</S><S sid = 213 ssid = >All of the experiments in this paper were carried out with the WordNet::Similarity package, which is freely available for download from http://search.cpan.org/dist/WordNet-Similarity.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  W06-2501.txt | Citing Article:  P08-3009.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Patwardhan and Pedersen (2006) introduce a vector measure to determine the relatedness between pairs of concepts.</S> | Reference Offset:  ['90','114'] | Reference Text:  <S sid = 90 ssid = >(Banerjee and Pedersen, 2003) introduce Extended Gloss Overlaps, which is a measure that determines the relatedness of concepts proportional to the extent of overlap of their WordNet glosses.</S><S sid = 114 ssid = >We determine the correlation coefficient of the ranking of each measure with that of the human relatedness.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  W06-2501.txt | Citing Article:  S12-1070.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The system generated rankings were compared with gold standard data created via Amazon Mechanical Turk.The Duluth systems relied on the Gloss Vec tor measure of semantic relatedness (Patwardhanand Pedersen, 2006) as implemented in WordNet: :Similarity (Pedersen et al, 2004).</S> | Reference Offset:  ['93','111'] | Reference Text:  <S sid = 93 ssid = >First, they were compared against human judgments of relatedness.</S><S sid = 111 ssid = >If the two rankings are exactly the same, the Spearman’s correlation coefficient between these two rankings is 1.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  W06-2501.txt | Citing Article:  W11-2502.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Gloss Vectors measure (Patwardhan and Pedersen, 2006) is calculated as a cosine (9) between context vectors vi and vj of concepts ci and cj.</S> | Reference Offset:  ['3','138'] | Reference Text:  <S sid = 3 ssid = >Numeric scores of relatedness are assigned to a pair of concepts by measuring the cosine of the angle between their respective gloss vectors.</S><S sid = 138 ssid = >Gloss vectors are the resultant of a number of first order context vectors.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  W06-2501.txt | Citing Article:  W11-2502.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Patwardhan and Pedersen (2006) evaluate six knowledge-based measures on the task of word sense disambiguation and report the same result.</S> | Reference Offset:  ['126','127'] | Reference Text:  <S sid = 126 ssid = >Each of the seven measures of semantic relatedness was used in a word sense disambiguation algorithm described by (Banerjee and Pedersen, 2003).</S><S sid = 127 ssid = >Word sense disambiguation is the task of determining the meaning (from multiple possibilities) of a word in its given context.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  W06-2501.txt | Citing Article:  D09-1081.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Mohammad and Hirst (2006) and Patwardhan and Pedersen (2006) argued that word sense ambiguity is a key reason for the poor performance of traditional distributional measures, and they proposed hybrid approaches that are distributional in nature, but also make use of information in lexical resources such as published thesauri and WordNet.</S> | Reference Offset:  ['14','48'] | Reference Text:  <S sid = 14 ssid = >In this paper we introduce a WordNet-based measure of semantic relatedness inspired by Harris’ Distributional Hypothesis (Harris, 1985).</S><S sid = 48 ssid = >While we use WordNet as our dictionary, the method can apply to other lexical resources.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  W06-2501.txt | Citing Article:  D11-1092.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Effectively, this formalizes the notion that two concepts related to a third concept is also semantically related, which is similar to the hypothesis proposed by Patwardhan and Pedersen (2006) in their method based on second-order context vectors.</S> | Reference Offset:  ['66','67'] | Reference Text:  <S sid = 66 ssid = >The concept of food, therefore, is in the same semantic space as and is related to the concept of fork.</S><S sid = 67 ssid = >Similarly, we expect that in a high dimensional space, the Gloss Vector of fork would be heavily weighted towards all concepts that are semantically related to the concept of fork.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  W06-2501.txt | Citing Article:  W12-0502.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In addition to WktWiki, we operate with 2 baseline measures relying on WordNet glosses available in a WORDNET::SIMILARITY package: Gloss Vectors (Patwardhan and Pedersen, 2006).</S> | Reference Offset:  ['75','213'] | Reference Text:  <S sid = 75 ssid = >They expand the glosses of concepts in WordNet with the glosses of concepts that are directly linked by a WordNet relation.</S><S sid = 213 ssid = >All of the experiments in this paper were carried out with the WordNet::Similarity package, which is freely available for download from http://search.cpan.org/dist/WordNet-Similarity.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  W06-2501.txt | Citing Article:  W07-2086.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For this work, we used the Context Vector measure (Patwardhan and Pedersen, 2006).</S> | Reference Offset:  ['70','160'] | Reference Text:  <S sid = 70 ssid = >The formulation of the Gloss Vector measure described above is independent of the dictionary used and is independent of the corpus used.</S><S sid = 160 ssid = >We plan to try SVD on the Gloss Vector measure in future work.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  W06-2501.txt | Citing Article:  W10-1308.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(Patwardhan and Pedersen, 2006) cosine of the angle between the co-occurrence vector computed from the definitions around the two synsets.</S> | Reference Offset:  ['3','204'] | Reference Text:  <S sid = 3 ssid = >Numeric scores of relatedness are assigned to a pair of concepts by measuring the cosine of the angle between their respective gloss vectors.</S><S sid = 204 ssid = >The distance between the vector corresponding to the text and that corresponding to the gloss is measured (as the cosine of the angle between the vectors).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  W06-2501.txt | Citing Article:  P13-1100.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For each pair of nodes (u, v) in the graph, we compute the semantic similarity score (using WordNet) between every pair of dependency relation (rel: a, b) in u and v as: s (u, v)= reli u ,relj v reli=relj WN (ai ,aj) WN (bi ,bj), where rel is a relation type (e.g., nsubj) and a, b are the two arguments present in the dependency relation (b does not exist for some relations). WN (wi ,wj) is defined as the WordNet similarity score between words wi and wj. The edge weights are then normalized across all edges in the 2There exists various semantic relatedness measures based on WordNet (Patwardhan and Pedersen, 2006).</S> | Reference Offset:  ['106','113'] | Reference Text:  <S sid = 106 ssid = >The mean of the scores of each pair from all subjects is considered as the “human relatedness score” for that pair.</S><S sid = 113 ssid = >The value is 0 when there is no relation between the rankings.</S> | Discourse Facet:  NA | Annotator: Automatic


