Citance Number: 1 | Reference Article:  P02-1033.txt | Citing Article:  P03-1058.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The research most similar to ours is the work of Diab and Resnik (2002).</S> | Reference Offset:  ['5','72'] | Reference Text:  <S sid = 5 ssid = >The crux of this research is the observation that translations can serve as a source of sense distinctions (Brown et al., 1991; Dagan, 1991; Dagan and Itai, 1994; Dyvik, 1998; Ide, 2000; Resnik and Yarowsky, 1999).</S><S sid = 72 ssid = >We observed that this is similar to what happens when the French word underlying the target set is homonymous; such cases are part of our discussion in Section 4.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  P02-1033.txt | Citing Article:  H05-1009.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Word-level alignment is a critical component of a wide range of NLP applications, such as construction of bilingual lexicons (Melamed, 2000), word sense disambiguation (Diab and Resnik, 2002), projection of language resources (Yarowsky et al, 2001), and statistical machine translation.</S> | Reference Offset:  ['21','104'] | Reference Text:  <S sid = 21 ssid = >After identifying and tokenizing sentences, we obtain word-level alignments for the parallel corpus using the GIZA++ implementation of the IBM statistical MT models (Och and Ney, 2000).</S><S sid = 104 ssid = >(Alonge et al., 1998; Rodriguez et al., 1998; Vossen et al., 1999)).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  P02-1033.txt | Citing Article:  P04-2005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Diab and Resnik (2002) presented an unsupervised method for WSD using the same type of resource.</S> | Reference Offset:  ['0','100'] | Reference Text:  <S sid = 0 ssid = >An Unsupervised Method For Word Sense Tagging Using Parallel Corpora</S><S sid = 100 ssid = >Performance using this algorithm has been rigorously evaluated and is comparable with other unsupervised WSD systems, based ori fair comparison using community-wide test data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P02-1033.txt | Citing Article:  W09-2413.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Diab and Resnik (2002) present an unsupervised approach to WSD that exploits translational correspondences in parallel corpora that were artificially created by applying commercial MT systems on a sense-tagged English corpus.</S> | Reference Offset:  ['0','48'] | Reference Text:  <S sid = 0 ssid = >An Unsupervised Method For Word Sense Tagging Using Parallel Corpora</S><S sid = 48 ssid = >The entire corpus, including the subset, is translated using commercial MT technology, producing an artificial parallel corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P02-1033.txt | Citing Article:  P05-1074.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This assumption of similar meaning when multiple phrases map onto a single foreign language phrase is the converse of the assumption made in the word sense disambiguation work of Diab and Resnik (2002) which posits different word senses when a single English word maps onto different words in the foreign language.</S> | Reference Offset:  ['6','9'] | Reference Text:  <S sid = 6 ssid = >A word that has multiple senses in one language is often translated as distinct words in another language, with the particular choice depending ort the translator and the contextualized meaning; thus the corresponding translation can be thought of as a sense indicator for the instance of the word in its context.</S><S sid = 9 ssid = >On the other hand, that handful of words is rarely a singleton set evert for a single word/sense, because the preferences of different translators and the demands of context produce semantically similar words that differ in their nuances.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P02-1033.txt | Citing Article:  P05-1074.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >As mentioned in Section 1, the way that we extract paraphrases is the converse of the methodology employed in word sense disambiguation work that uses parallel corpora (Diab and Resnik, 2002).</S> | Reference Offset:  ['0','16'] | Reference Text:  <S sid = 0 ssid = >An Unsupervised Method For Word Sense Tagging Using Parallel Corpora</S><S sid = 16 ssid = >Section 4 contains discussion and we conclude in Section 5.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P02-1033.txt | Citing Article:  W06-2505.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Diab and Resnik (2002) use multilingual information to create an English sense tagged corpus to train a monolingual WSD approach.</S> | Reference Offset:  ['3','38'] | Reference Text:  <S sid = 3 ssid = >second, achieving sense tagging using that same sense inventory for the second language, thus creating a sense-tagged corpus and automatically making a connection to the first language's sense inventory.</S><S sid = 38 ssid = >In the fourth and final step, we take advantage of the English-side tagging and the wordlevel alignment to project the sense tags on 3Since we use WordNet as our sense inventory, we also adopt the information-theoretic measure of semantic similarity based on that taxonomy.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P02-1033.txt | Citing Article:  W04-0821.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In order to accomplish these steps, Bhattacharya et al (2004) used the pseudo-translation approach of Diab and Resnik (2002): they created the model using an English-Spanish parallel corpus constructed by using Systran to translate a large collection of English text, and they obtained parallel Spanish text for the test items in the same fashion.</S> | Reference Offset:  ['47','60'] | Reference Text:  <S sid = 47 ssid = >A suitably large English corpus is constructed, containing as a subset an English corpus for which we have art existing set of associated gold-standard sense tags.</S><S sid = 60 ssid = >The English BCSV1SV2WSJ was translated into French and Spanish, resulting in four parallel corpora: BCSV1SV2WSJ paired with the French GL translation (yielding parallel corpus FRGL), with French SYS translation (FRSYS), with Spanish GL (SPGL), and with Spanish SYS (SPSYS).4 Each of the four parallel corpora just described (FRGL, FRSYS, SPGL, SPSYS) represents a separate experimental variant.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P02-1033.txt | Citing Article:  P07-1108.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Pivot Language methods were also used for translation dictionary induction (Schafer and Yarowsky, 2002), word sense disambiguation (Diab and Resnik, 2002), and so on.</S> | Reference Offset:  ['6','103'] | Reference Text:  <S sid = 6 ssid = >A word that has multiple senses in one language is often translated as distinct words in another language, with the particular choice depending ort the translator and the contextualized meaning; thus the corresponding translation can be thought of as a sense indicator for the instance of the word in its context.</S><S sid = 103 ssid = >Moreover, noisy annotations can serve as seeds both for monolingual supervised methods and for bootstrapping cross-linguistic sense disambiguation and sense inventories, complementing other research ori the complex problem of mapping sense tags cross linguistically (e.g.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P02-1033.txt | Citing Article:  C10-1090.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >A wide range of annotations from part of speech (Hi and Hwa, 2005) and chunks (Yarowsky et al, 2001) to word senses (Diab and Resnik, 2002), dependencies (Hwa et al, 2002) and semantic roles (Pado and Lapata, 2009) have been successfully transferred between languages.</S> | Reference Offset:  ['5','104'] | Reference Text:  <S sid = 5 ssid = >The crux of this research is the observation that translations can serve as a source of sense distinctions (Brown et al., 1991; Dagan, 1991; Dagan and Itai, 1994; Dyvik, 1998; Ide, 2000; Resnik and Yarowsky, 1999).</S><S sid = 104 ssid = >(Alonge et al., 1998; Rodriguez et al., 1998; Vossen et al., 1999)).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P02-1033.txt | Citing Article:  N07-2008.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >They have been employed in word sense disambiguation (Diab and Resnik, 2002), automatic construction of bilingual dictionaries (McEwan et al, 2002), and inducing statistical machine translation models (Koehn et al., 2003).</S> | Reference Offset:  ['1','104'] | Reference Text:  <S sid = 1 ssid = >tion using statistical models of Roget's categories on large corpora.</S><S sid = 104 ssid = >(Alonge et al., 1998; Rodriguez et al., 1998; Vossen et al., 1999)).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P02-1033.txt | Citing Article:  C04-1053.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Cross-language tagging is the goal of the work by Diab and Resnik (2002), who present a method for word sense tagging both the source and target texts of parallel bilingual corpora with the WordNet sense inventory.</S> | Reference Offset:  ['0','3'] | Reference Text:  <S sid = 0 ssid = >An Unsupervised Method For Word Sense Tagging Using Parallel Corpora</S><S sid = 3 ssid = >second, achieving sense tagging using that same sense inventory for the second language, thus creating a sense-tagged corpus and automatically making a connection to the first language's sense inventory.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P02-1033.txt | Citing Article:  H05-1024.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Word-level alignment is a critical component of a wide range of NLP applications, such as construction of bilingual lexicons (Melamed, 2000), word sense disambiguation (Diab and Resnik, 2002), projection of language resources (Yarowsky et al, 2001), and statistical machine translation.</S> | Reference Offset:  ['21','104'] | Reference Text:  <S sid = 21 ssid = >After identifying and tokenizing sentences, we obtain word-level alignments for the parallel corpus using the GIZA++ implementation of the IBM statistical MT models (Och and Ney, 2000).</S><S sid = 104 ssid = >(Alonge et al., 1998; Rodriguez et al., 1998; Vossen et al., 1999)).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P02-1033.txt | Citing Article:  P04-1037.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The first model, which we call the Sense model, builds on the work of Diab and Resnik (2002) that uses both parallel text and a sense inventory for the target language, and recasts their approach in a probabilistic framework.</S> | Reference Offset:  ['3','27'] | Reference Text:  <S sid = 3 ssid = >second, achieving sense tagging using that same sense inventory for the second language, thus creating a sense-tagged corpus and automatically making a connection to the first language's sense inventory.</S><S sid = 27 ssid = >Moreover, it enables us to tag instances of bee with their more specific compound-noun senses when they appear within a compound that is known to the sense inventory. lit the third step, the target set is treated as a problem of monolingual sense disambiguation with respect to the target-language sense inventory.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P02-1033.txt | Citing Article:  P04-1037.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The main inspiration for our work is Diab and Resnik (2002), who use translations and linguistic knowledge for disambiguation and automatic sense tagging.</S> | Reference Offset:  ['45','103'] | Reference Text:  <S sid = 45 ssid = >Conversely, there are some parallel corpora large enough for training alignment models, but to our knowledge none of these have been even partially sense tagged.</S><S sid = 103 ssid = >Moreover, noisy annotations can serve as seeds both for monolingual supervised methods and for bootstrapping cross-linguistic sense disambiguation and sense inventories, complementing other research ori the complex problem of mapping sense tags cross linguistically (e.g.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  P02-1033.txt | Citing Article:  P04-1037.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Bengio and Kermorvant (2003) present a graphical model that is an attempt to formalize probabilistically the main ideas in Diab and Resnik (2002).</S> | Reference Offset:  ['44','80'] | Reference Text:  <S sid = 44 ssid = >There are a few human-tagged English corpora available for word sense disambiguation, but most are relatively small by model-training standards and none have associated translations in other languages.</S><S sid = 80 ssid = >For these sentences, therefore, no attempt could be made at disambiguation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  P02-1033.txt | Citing Article:  P04-1037.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We show that this improves on the results of Diab and Resnik (2002).</S> | Reference Offset:  ['75','101'] | Reference Text:  <S sid = 75 ssid = >Table 2 summarizes the results, and Figure 1 shows our algorithm's results (triangles) compared to the performance of the 21 SENSEVAL-2 English All Words participants, when the evaluation is restricted to the same set of noun test instances.6 Hollow circles represent supervised systems and filled circles represent unsupervised systems.'</S><S sid = 101 ssid = >Because it achieves this performance using crosslanguage data alone, it is likely that improved results can be obtained by also taking advantage of monolingual contextual evidence.</S> | Discourse Facet:  NA | Annotator: Automatic


