Citance Number: 1 | Reference Article:  P91-1023.txt | Citing Article:  P13-1061.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Gale and Church (1991) and Brown (1991) report the early works using length statistics of bilingual sentences.</S> | Reference Offset:  ['0','122'] | Reference Text:  <S sid = 0 ssid = >A Program For Aligning Sentences In Bilingual Corpora</S><S sid = 122 ssid = >We will report just the first two.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  P91-1023.txt | Citing Article:  P01-1008.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Alignment is performed using dynamic programming (Gale and Church, 1991) with a weight function based on the number of common words in a sentence pair.</S> | Reference Offset:  ['46','66'] | Reference Text:  <S sid = 46 ssid = >This probabilistic score is used in a dynamic programming framework in order to find the maximum likelihood alignment of sentences.</S><S sid = 66 ssid = >This probabilistic score is used in a dynamic programming framework in order to find the maximum likelihood alignment of sentences.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P91-1023.txt | Citing Article:  W07-0810.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In (Gale and Church, 1991) and (Brown et al, 1991), the authors start from the fact that the length of a source text sentence is highly correlated with the length of its target text translation: short sentences tend to have short translations, and long sentences tend to have long translations.</S> | Reference Offset:  ['44','160'] | Reference Text:  <S sid = 44 ssid = >The model makes use of the fact that longer sentences in one language tend to be translated into longer sentences in the other language, and that shorter sentences tend to be translated into shorter sentences.</S><S sid = 160 ssid = >The model was motivated by the observation that longer regions of text tend to have longer translations, and that shorter regions of text tend to have shorter translations.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P91-1023.txt | Citing Article:  W12-3201.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Gale and Church (1991) extract pairs of anchor words, such as numbers, proper noduns (organization, person, title), dates, and monetary information.</S> | Reference Offset:  ['50','121'] | Reference Text:  <S sid = 50 ssid = >Moreover, it is possible to extract a large subcorpus which has a much smaller error rate.</S><S sid = 121 ssid = >There are three pairs of languages: EnglishGerman, English-French and French-German.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P91-1023.txt | Citing Article:  P98-1042.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We were motivated by statistical alignment models such as (Gale and Church, 1991) to investigate whether byte-length probabilities could improve or replace the lexical matching based method.</S> | Reference Offset:  ['2','43'] | Reference Text:  <S sid = 2 ssid = >This paper describes a method for aligning sentences in these parallel texts, based on a simple statistical model of character lengths.</S><S sid = 43 ssid = >The align program is based on a very simple statistical model of character lengths.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P91-1023.txt | Citing Article:  W10-4006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Gale and Church (1991) extract pairs of anchor words, such as numbers, proper nouns (organization, person, title), dates, and monetary information.</S> | Reference Offset:  ['50','121'] | Reference Text:  <S sid = 50 ssid = >Moreover, it is possible to extract a large subcorpus which has a much smaller error rate.</S><S sid = 121 ssid = >There are three pairs of languages: EnglishGerman, English-French and French-German.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P91-1023.txt | Citing Article:  W02-1607.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Automatic sentential alignment (Gale and Church, 1991) will be necessary if we have already had on line bilingual texts.</S> | Reference Offset:  ['1','168'] | Reference Text:  <S sid = 1 ssid = >Researchers in both machine translation (e.g., al., and bilingual lexicography (e.g., Klavans and Tzoulcermann, 1990) have recently become interested in studying parallel texts, texts such as the Canadian Hansards (parliamentary proceedings) which are available in multiple languages (French and English).</S><S sid = 168 ssid = >If necessary, it is possible to fit the six parameters in the model with language-specific values, though, thus far, we have not found it necessary (or even helpful) to do so.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P91-1023.txt | Citing Article:  P08-3005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Gale and Church (1991) noted that the byte length ratio of target sentence to source sentence is normally distributed.</S> | Reference Offset:  ['45','95'] | Reference Text:  <S sid = 45 ssid = >A probabilistic score is assigned to each pair of proposed sentence pairs, based on the ratio of lengths of the two sentences (in characters) and the variance of this ratio.</S><S sid = 95 ssid = >We have found that a sentence in one language normally matches exactly one sentence in the other language (1-1), three additional possibilities are also considered: 1-0 (including 0-1), 2-1 (including 1-2), and 2-2.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P91-1023.txt | Citing Article:  E06-1021.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For bilingual texts, Gale and Church (1991) demonstrated the extraordinary effectiveness of a global alignment dynamic programming algorithm, where the basic similarity score was based on the difference in sentence lengths, measured in characters.</S> | Reference Offset:  ['46','66'] | Reference Text:  <S sid = 46 ssid = >This probabilistic score is used in a dynamic programming framework in order to find the maximum likelihood alignment of sentences.</S><S sid = 66 ssid = >This probabilistic score is used in a dynamic programming framework in order to find the maximum likelihood alignment of sentences.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P91-1023.txt | Citing Article:  P97-1038.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['66','179'] | Reference Text:  <S sid = 66 ssid = >This probabilistic score is used in a dynamic programming framework in order to find the maximum likelihood alignment of sentences.</S><S sid = 179 ssid = >Susan Warwick provided us with the UBS trilingual corpus and posed the problem addressed hem.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P91-1023.txt | Citing Article:  N09-2007.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We used the precomputed alignments that are provided with the corpus, and which are based on the algorithm by Gale and Church (1991).</S> | Reference Offset:  ['64','179'] | Reference Text:  <S sid = 64 ssid = >We used the same procedure which is used in (Church, 1988).</S><S sid = 179 ssid = >Susan Warwick provided us with the UBS trilingual corpus and posed the problem addressed hem.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P91-1023.txt | Citing Article:  W03-0315.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >A bilingual sentence alignment program (Gale and Church, 1991, and Brown et al, 1991) is the crucial part in this adaptation procedure, in that it collects bilingual document pairs from the Inter net, and identifies sentence pairs, which should have a high likelihood of being correct translations of each other.</S> | Reference Offset:  ['0','42'] | Reference Text:  <S sid = 0 ssid = >A Program For Aligning Sentences In Bilingual Corpora</S><S sid = 42 ssid = >Although there has been some previous work on the sentence alignment, e.g., (Brown, Lai, and Mercer, 1991), (Kay and Roscheisen, 1988), (Catizone et al., to appear), the alignment task remains a significant obstacle preventing many potential users from reaping many of the benefits of bilingual corpora, because the proposed solutions are often unavailable, unreliable, and/or computationally prohibitive.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P91-1023.txt | Citing Article:  W10-4110.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Many parallel corpora have been built, such as the Canadian Hansards (Gale and Church, 1991), the Europarl corpus (Koehn, 2005), the Arabic-English and English-Chinese parallel corpora used in the NIST Open MT Evaluation.</S> | Reference Offset:  ['0','1'] | Reference Text:  <S sid = 0 ssid = >A Program For Aligning Sentences In Bilingual Corpora</S><S sid = 1 ssid = >Researchers in both machine translation (e.g., al., and bilingual lexicography (e.g., Klavans and Tzoulcermann, 1990) have recently become interested in studying parallel texts, texts such as the Canadian Hansards (parliamentary proceedings) which are available in multiple languages (French and English).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P91-1023.txt | Citing Article:  P98-1117.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For instance, to produce sentence alignments, Brown et al (1991) and Gale and Church (1991) both proposed methods that completely ignored the lexical content of the texts and both reported accuracy levels exceeding 98%.</S> | Reference Offset:  ['42','148'] | Reference Text:  <S sid = 42 ssid = >Although there has been some previous work on the sentence alignment, e.g., (Brown, Lai, and Mercer, 1991), (Kay and Roscheisen, 1988), (Catizone et al., to appear), the alignment task remains a significant obstacle preventing many potential users from reaping many of the benefits of bilingual corpora, because the proposed solutions are often unavailable, unreliable, and/or computationally prohibitive.</S><S sid = 148 ssid = >It might seem that words are a more natural linguistic unit than characters (Brown, Lai and Mercer, 1991).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  P91-1023.txt | Citing Article:  P98-1117.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Once the search space is reduced, the system aligns the sentences using the well-known sentence-length model described in (Gale and Church, 1991).</S> | Reference Offset:  ['24','159'] | Reference Text:  <S sid = 24 ssid = >The next two alignments below illustrate the more typical case where one English sentence aligns with exactly one French sentence.</S><S sid = 159 ssid = >This paper has proposed a method for aligning sentences in a bilingual corpus, based on a simple probabilistic model, described in Section 3.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  P91-1023.txt | Citing Article:  E95-1010.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The Bayesian prior can be estimated as per Gale and Church (1991) by assuming that it is equal to the frequency of distinct n-m matches in the training set.</S> | Reference Offset:  ['25','61'] | Reference Text:  <S sid = 25 ssid = >The final alignment matches two English sentences to a single French sentence.</S><S sid = 61 ssid = >For the UBS data, a simple set of heuristics were used to identify sentences boundaries.</S> | Discourse Facet:  NA | Annotator: Automatic


