Citance Number: 1 | Reference Article:  W11-1802.txt | Citing Article:  W11-1812.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The BioNLP Shared Task 2011 (BioNLP ST 11) (Kim et al, 2011a), the follow-up event to the BioNLP 09 Shared Task (Kim et al, 2009), was organized from August 2010 (sample data release) to March 2011.</S> | Reference Offset:  ['0','13'] | Reference Text:  <S sid = 0 ssid = >Overview of Genia Event Task in BioNLP Shared Task 2011</S><S sid = 13 ssid = >The task introduced in BioNLP-ST 2009 was renamed to Genia event (GE) task, and was hosted again in BioNLP-ST 2011, which also hosted four other IE tasks and three supporting tasks (Kim et al., 2011).</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  W11-1802.txt | Citing Article:  W11-1804.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >These are a superset of those targeted in the BioNLP ST 09 and its repeat, the 2011 GE task (Kim et al, 2011b).</S> | Reference Offset:  ['13','19'] | Reference Text:  <S sid = 13 ssid = >The task introduced in BioNLP-ST 2009 was renamed to Genia event (GE) task, and was hosted again in BioNLP-ST 2011, which also hosted four other IE tasks and three supporting tasks (Kim et al., 2011).</S><S sid = 19 ssid = >For more detail, please refer to (Kim et al., 2009).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  W11-1802.txt | Citing Article:  W11-1804.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Nevertheless, extraction performance for the top systems is comparable to the state-of-the-art results for the established BioNLP ST 09 task (Miwa et al, 2010) as well as its repetition as the 2011 GE task (Kim et al, 2011b), where the highest overall result for the primary evaluation criteria was also 56% F score for the FAUST system (Riedel et al, 2011).</S> | Reference Offset:  ['11','12'] | Reference Text:  <S sid = 11 ssid = >Since then, several improvements have been reported (Miwa et al., 2010b; Poon and Vanderwende, 2010; Vlachos, 2010; Miwa et al., 2010a; Bj¨orne et al., 2010).</S><S sid = 12 ssid = >For example, Miwa et al. (Miwa et al., 2010b) reported a significant improvement with binding events, achieving 50% of performance level.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  W11-1802.txt | Citing Article:  W11-1804.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The five top-ranking systems participated also in the GE task (Kim et al, 2011b), which involves a subset of the ID extraction targets.</S> | Reference Offset:  ['19','54'] | Reference Text:  <S sid = 19 ssid = >For more detail, please refer to (Kim et al., 2009).</S><S sid = 54 ssid = >All 15 teams participated in the mandatory Task 1, four teams in Task 2, and two teams in Task 3.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  W11-1802.txt | Citing Article:  W11-1806.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We describe the Stanford entry to the BioNLP 2011 shared task on biomolecular event extraction (Kim et al, 2011a).</S> | Reference Offset:  ['0','1'] | Reference Text:  <S sid = 0 ssid = >Overview of Genia Event Task in BioNLP Shared Task 2011</S><S sid = 1 ssid = >The Genia event task, a bio-molecular event extraction task, is arranged as one of the main tasks of BioNLP Shared Task 2011.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  W11-1802.txt | Citing Article:  W11-1826.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We participated in the BioNLP-ST 2011 (Kim et al, 2011a), and applied a graph matching-based approach (Liu et al, 2010) to tackling the Task 1 of the GE NIA event extraction (GE) task (Kim et al, 2011b), and the core task of the Epigenetics and Post-translational Modifications (EPI) task (Ohta et al, 2011), two main tasks of the BioNLP-ST 2011.</S> | Reference Offset:  ['1','13'] | Reference Text:  <S sid = 1 ssid = >The Genia event task, a bio-molecular event extraction task, is arranged as one of the main tasks of BioNLP Shared Task 2011.</S><S sid = 13 ssid = >The task introduced in BioNLP-ST 2009 was renamed to Genia event (GE) task, and was hosted again in BioNLP-ST 2011, which also hosted four other IE tasks and three supporting tasks (Kim et al., 2011).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  W11-1802.txt | Citing Article:  W11-1826.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This section presents our results on the GE and the EPI tasks (Kim et al, 2011b; Ohta et al, 2011) respectively. Different experimental methods in processing the obtained event rules are described for the purpose of improving the precision of both tasks and increasing the recall of the EPI task.</S> | Reference Offset:  ['13','14'] | Reference Text:  <S sid = 13 ssid = >The task introduced in BioNLP-ST 2009 was renamed to Genia event (GE) task, and was hosted again in BioNLP-ST 2011, which also hosted four other IE tasks and three supporting tasks (Kim et al., 2011).</S><S sid = 14 ssid = >As the sole task that was repeated in the two events, the GE task was referenced during the development of other tasks, and took the role of connecting the results of the 2009 event to the main tasks of 2011.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  W11-1802.txt | Citing Article:  W11-1807.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This paper presents the UMass entry to the BioNLP 2011 shared task (Kim et al, 2011a).</S> | Reference Offset:  ['0','17'] | Reference Text:  <S sid = 0 ssid = >Overview of Genia Event Task in BioNLP Shared Task 2011</S><S sid = 17 ssid = >This paper presents the task setup, preparation, and discusses the results.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  W11-1802.txt | Citing Article:  W11-1807.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For Genia (GE) Task 1 (Kim et al, 2011b) we achieve the second best results.</S> | Reference Offset:  ['19','72'] | Reference Text:  <S sid = 19 ssid = >For more detail, please refer to (Kim et al., 2009).</S><S sid = 72 ssid = >The second ranked system, UMass, shows the best performance on the full paper collection.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  W11-1802.txt | Citing Article:  W11-1827.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['47','96'] | Reference Text:  <S sid = 47 ssid = >Table 3 shows the distribution of annotations in different sections.</S><S sid = 96 ssid = >This work is supported by the “Integrated Database Project” funded by the Ministry of Education, Culture, Sports, Science and Technology of Japan.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  W11-1802.txt | Citing Article:  W11-1827.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >There are 4 event extraction tracks: in addition to the GENIA track that again focuses on transcription factors (Kim et al, 2011b), the epigenetics and post translational modification track (EPI) focuses on events relating to epigenetic change, such as DNAmethylation and hi stone modification, as well as other common post-translational protein modifications (Ohta et al, 2011), whereas the infectious diseases track (ID) focuses on bio-molecular mechanisms of infectious diseases (Pyysalo et al, 2011a).</S> | Reference Offset:  ['1','19'] | Reference Text:  <S sid = 1 ssid = >The Genia event task, a bio-molecular event extraction task, is arranged as one of the main tasks of BioNLP Shared Task 2011.</S><S sid = 19 ssid = >For more detail, please refer to (Kim et al., 2009).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  W11-1802.txt | Citing Article:  W11-1805.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The BioNLP 2011 shared task GENIA Task1 (BioNLP11ST-GE1) (Kim et al, 2011) focuses on extracting events from abstracts and full papers.</S> | Reference Offset:  ['0','13'] | Reference Text:  <S sid = 0 ssid = >Overview of Genia Event Task in BioNLP Shared Task 2011</S><S sid = 13 ssid = >The task introduced in BioNLP-ST 2009 was renamed to Genia event (GE) task, and was hosted again in BioNLP-ST 2011, which also hosted four other IE tasks and three supporting tasks (Kim et al., 2011).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  W11-1802.txt | Citing Article:  W12-2412.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Domain event extraction has been advanced in particular by the BioNLP Shared Task (ST) events (Kim et al, 2011a; Kim et al, 2011b), which have introduced common task settings, datasets, and evaluation criteria for event extraction.</S> | Reference Offset:  ['13','19'] | Reference Text:  <S sid = 13 ssid = >The task introduced in BioNLP-ST 2009 was renamed to Genia event (GE) task, and was hosted again in BioNLP-ST 2011, which also hosted four other IE tasks and three supporting tasks (Kim et al., 2011).</S><S sid = 19 ssid = >For more detail, please refer to (Kim et al., 2009).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  W11-1802.txt | Citing Article:  W12-2412.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >By the primary evaluation criteria, the highest performance achieved in the 2009 task was 51.95% F-score, and a 57.46% F score was reached in the comparable 2011 task (Kim et al, 2011b).</S> | Reference Offset:  ['19','29'] | Reference Text:  <S sid = 19 ssid = >For more detail, please refer to (Kim et al., 2009).</S><S sid = 29 ssid = >Task 2.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  W11-1802.txt | Citing Article:  W12-2412.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This BioNLP ST 2009 formulation of the event extraction task was followed also in three 2011 main tasks: the GE (Kim et al, 2011c), ID (Pyysalo et al,2011a) and EPI (Ohta et al, 2011) tasks.</S> | Reference Offset:  ['13','19'] | Reference Text:  <S sid = 13 ssid = >The task introduced in BioNLP-ST 2009 was renamed to Genia event (GE) task, and was hosted again in BioNLP-ST 2011, which also hosted four other IE tasks and three supporting tasks (Kim et al., 2011).</S><S sid = 19 ssid = >For more detail, please refer to (Kim et al., 2009).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  W11-1802.txt | Citing Article:  W12-2412.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Finally, we noted a number of cases that we judged to be errors in the gold annotation; the number is broadly in line with the reported inter-annotator agreement for the data (see e.g. Ohta et al (2011)). While there is an unavoidable subjective component to evaluations such as this, we note that a similar evaluation performed following the BioNLP Shared Task 2009 using test set data reached broadly comparable results (Kim et al, 2011a).</S> | Reference Offset:  ['19','67'] | Reference Text:  <S sid = 19 ssid = >For more detail, please refer to (Kim et al., 2009).</S><S sid = 67 ssid = >UTurku09 was the winning system of Task 1 in 2009 (Bj¨orne et al., 2009), and Miwa10 was the best system reported after BioNLP-ST 2009 (Miwa et al., 2010b).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  W11-1802.txt | Citing Article:  W12-2412.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The first alternative criterion has also been previously considered in the GE task evaluation (Kim et al., 2011c); the latter has, to the best of our knowledge, not been previously considered in domain event extraction.</S> | Reference Offset:  ['19','25'] | Reference Text:  <S sid = 19 ssid = >For more detail, please refer to (Kim et al., 2009).</S><S sid = 25 ssid = >When only primary arguments are considered, the first five event types in Table 1 are classified as simple event types, requiring only unary arguments.</S> | Discourse Facet:  NA | Annotator: Automatic


