Citance Number: 1 | Reference Article:  A94-1016.txt | Citing Article:  E06-1005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Other approaches combine lattices or N-best lists from several different MT systems (Frederking and Nirenburg, 1994).</S> | Reference Offset:  ['27','28'] | Reference Text:  <S sid = 27 ssid = >Each time, the best possible cover for each part is recursively found, and the two scores are combined to give a score for the chart walk containing the two best subwalks.</S><S sid = 28 ssid = >These different splits are then compared with each other and with components from the chart spanning the whole region (if any), and the overall best result is Without dynamic programming, this would have a D 2 combinatorial time complexity.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  A94-1016.txt | Citing Article:  P04-1063.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Now back in machine translation, we do find some work addressing such concern: Frederking and Nirenburg (1994) develop a multi-engine MT or MEMT architecture which operates by combining outputs from three different engines based on the knowledge it has about inner workings of each of the component engines.</S> | Reference Offset:  ['8','72'] | Reference Text:  <S sid = 8 ssid = >Figure 1 presents a general view of the operation of our multi-engine MT system.</S><S sid = 72 ssid = >The best method we could find was counting the number of keystrokes in the TWS to convert the outputs of individual engines and the multi-engine configuration to a &quot;canonical&quot; human translation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  A94-1016.txt | Citing Article:  P04-1063.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Brown and Frederking (1995) is a continuation of Frederking and Nirenburg (1994) with an addition of a n-gram based mechanism for a candidate selection.</S> | Reference Offset:  ['7','81'] | Reference Text:  <S sid = 7 ssid = >The EBMT scores are produced using a technique based on human judgements, as described in (Nirenburg et al., 1994a), submitted.</S><S sid = 81 ssid = >We plan to use a standard regression mechanism to modify the scoring system based on feedback from having humans select the best covers for test texts.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  A94-1016.txt | Citing Article:  C08-1005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The first example of this approach was the multi-engine MT system (Frederking and Nirenburg, 1994), which builds a chart using the translation units inside each input system and then uses a chart walk algorithm to find the best cover of the source sentence. Rosti et al (2007a) collect source-to-target correspondences from the input systems, create a new translation option table using only these phrases, and re-decode the source sentence to generate better translations.</S> | Reference Offset:  ['2','66'] | Reference Text:  <S sid = 2 ssid = >The outputs from these engines (target language words and phrases) are recorded in a chart whose positions correspond to words in the source language input.</S><S sid = 66 ssid = >The user sees the original source language text in one editor window, and phrases marked by double angle brackets in another, each of which is the first translation from a candidate chosen by the chart walk.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  A94-1016.txt | Citing Article:  N10-1141.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >System combination procedures, on the other hand, generate translations from the output of multiple component systems (Frederking and Nirenburg, 1994).</S> | Reference Offset:  ['25','69'] | Reference Text:  <S sid = 25 ssid = >Figure 3 presents the chart walk algorithm used to produce a single, best, non-overlapping, contiguous combination (cover) of the available component translations, assuming correct component quality scores.</S><S sid = 69 ssid = >The alternate translations are the other translations from the chosen component3.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  A94-1016.txt | Citing Article:  C08-1145.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In Machine Translation (MT), there is a long tradition of combining multiple machine translations, as through a Multi-Engine MT (MEMT) architecture; the origins of this are generally credited to Frederking and Nirenburg (1994).</S> | Reference Offset:  ['8','57'] | Reference Text:  <S sid = 8 ssid = >Figure 1 presents a general view of the operation of our multi-engine MT system.</S><S sid = 57 ssid = >This has not generally been the case.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  A94-1016.txt | Citing Article:  P11-1127.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >System combination procedures, on the other hand, generate translations from the output of multiple component systems by combining the best fragments of these outputs (Frederking and Nirenburg, 1994).</S> | Reference Offset:  ['9','25'] | Reference Text:  <S sid = 9 ssid = >The chart manager selects the overall best cover from the collection of candidate partial translations by normalizing each component's quality score (positive, with larger being better), and then selecting the best combination of components with the help of the chart walk algorithm.</S><S sid = 25 ssid = >Figure 3 presents the chart walk algorithm used to produce a single, best, non-overlapping, contiguous combination (cover) of the available component translations, assuming correct component quality scores.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  A94-1016.txt | Citing Article:  D09-1115.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >It has been proven that such consensus translations are usually better than the output of individual systems (Frederking and Nirenburg, 1994).</S> | Reference Offset:  ['0','69'] | Reference Text:  <S sid = 0 ssid = >Three Heads Are Better Than One</S><S sid = 69 ssid = >The alternate translations are the other translations from the chosen component3.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  A94-1016.txt | Citing Article:  P09-1065.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >It proves that such consensus translations are usually better than the output of individual systems (Frederking and Nirenburg, 1994).</S> | Reference Offset:  ['0','69'] | Reference Text:  <S sid = 0 ssid = >Three Heads Are Better Than One</S><S sid = 69 ssid = >The alternate translations are the other translations from the chosen component3.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  A94-1016.txt | Citing Article:  N03-1004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In NLP, such methods have been applied to tasks such as POS tagging (Brill and Wu, 1998), word sense disambiguation (Pedersen, 2000), parsing (Henderson and Brill, 1999), and machine translation (Frederking and Nirenburg, 1994).</S> | Reference Offset:  ['15','65'] | Reference Text:  <S sid = 15 ssid = >It is well known that such automatic methods are at the moment less than perfect, to say the least.</S><S sid = 65 ssid = >The main option for human interaction in TWS currently is the Component Machine-Aided Translation (CMAT) editor (Frederking et al., 1993a).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  A94-1016.txt | Citing Article:  W07-0726.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Combinations of MT systems into multi-engine architectures have a long tradition, starting perhaps with (Frederking and Nirenburg, 1994).</S> | Reference Offset:  ['8','79'] | Reference Text:  <S sid = 8 ssid = >Figure 1 presents a general view of the operation of our multi-engine MT system.</S><S sid = 79 ssid = >Ultimately, a multi-engine system depends on the quality of each particular engine.</S> | Discourse Facet:  NA | Annotator: Automatic


