Citance Number: 1 | Reference Article:  N01-1024.txt | Citing Article:  W02-0604.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Schone and Jurafsky (2001) employ a great many sophisticated post-hoc adjustments to obtain the right conflation sets for words by pure corpus analysis without annotations.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We applied our system to an English corpus and evaluated by comparing each word’s conflation set as produced by our algorithm to those derivable from CELEX. word of a corpus, a complete analysis.</S><S sid = NA ssid = NA>In order to obtain semantic representations of each word, we apply our previous strategy (Schone and Jurafsky (2000)).</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  N01-1024.txt | Citing Article:  W06-3209.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>These models include the signature of (Goldsmith 2001), the conflation set of (Schone and Jurafsky 2001), the paradigm of (Brent et. al. 2002), and the inflectional class of (Monson 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Brent, et al. (1995) used minimum description length (MDL) to find the most data-compressing suffixes.</S><S sid = NA ssid = NA>If Xw represents word w's conflation set according to an algorithm, and if Yw represents its CELEX-based conflation set, then, In making these computations, we disregard any CELEX words absent from our data set and vice versa.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  N01-1024.txt | Citing Article:  W04-0107.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In later work, Schone and Jurafsky (2001) extend their technique to identify not only suffixes but also prefixes and circumfixes by building both forward and backward tries over a corpus.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In our earlier work, we (Schone and Jurafsky (2000)) generated a list of N candidate suffixes and used this list to identify word pairs which share the same stem but conclude with distinct candidate suffixes.</S><S sid = NA ssid = NA>Our algorithm is also applied to German and Dutch and evaluated on its ability to find prefixes, suffixes, and circumfixes in these languages.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  N01-1024.txt | Citing Article:  W03-0414.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The authors wish to thank the anonymous reviewers for their thorough review and insightful comments.</S><S sid = NA ssid = NA>Our algorithm has changed somewhat, though, since we previously sought word pairs that vary only by a prefix or a suffix, yet we now wish to generalize to those with circumfixing differences.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  N01-1024.txt | Citing Article:  W06-3208.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Schone and Jurafsky (2001) used latent semantic analysis to find affixes.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We then applied Latent Semantic Analysis (Deerwester, et al., 1990) as a method of automatically determining semantic relatedness between word pairs.</S><S sid = NA ssid = NA>Our algorithm extends earlier approaches to morphology induction by combining various induced information sources: the semantic relatedness of the affixed forms using a Latent Semantic Analysis approach to corpusbased semantics (Schone and Jurafsky, 2000), affix frequency, syntactic context, and transitive closure.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  N01-1024.txt | Citing Article:  W04-0109.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Schone and Jurafsky (2001) use latent semantic analysis to find prefixes, suffixes and circumfixes in German, Dutch and English.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Our algorithm is also applied to German and Dutch and evaluated on its ability to find prefixes, suffixes, and circumfixes in these languages.</S><S sid = NA ssid = NA>We use “circumfix” to mean true circumfixes like the German ge-/-t as well as combinations of prefixes and suffixes.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  N01-1024.txt | Citing Article:  P03-1051.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Goldsmith 2000) presents an unsupervised technique based on the expectation maximization algorithm and minimum description length to segment exactly one suffix per word, resulting in an F-score of 81.8 for suffix identification in English according to (Schone and Jurafsky 2001).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We compare this improved algorithm to our former algorithm (Schone and Jurafsky (2000)) as well as to Goldsmith's Linguistica (2000).</S><S sid = NA ssid = NA>Brent, et al. (1995) used minimum description length (MDL) to find the most data-compressing suffixes.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  N01-1024.txt | Citing Article:  P03-1051.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Schone and Jurafsky 2001) proposes an unsupervised algorithm capable of automatically inducing the morphology of inflectional languages using only text corpora.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We propose an algorithm to automatically induce the morphology of inflectional languages using only text corpora and no human input.</S><S sid = NA ssid = NA>In this paper, we propose a knowledge-free algorithm to automatically induce the morphology structures of a language.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  N01-1024.txt | Citing Article:  W07-1315.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Often trie similarities are used as a first step followed by further processing to identify morphemes (Schone and Jurafsky, 2001).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In our earlier work, we (Schone and Jurafsky (2000)) generated a list of N candidate suffixes and used this list to identify word pairs which share the same stem but conclude with distinct candidate suffixes.</S><S sid = NA ssid = NA>If we strip off “re-” from all words, and add all residuals to a trie, the branch of the trie of words beginning with “a” is depicted in Figure 2.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  N01-1024.txt | Citing Article:  D09-1070.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Like Schone and Jurafsky (2001), we build clusters that will have both inflectionally and derivationally related stems and evaluate them with respect to a gold standard of only inflectionally related stems.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Yet we build upon this algorithm in several ways in that we: [1] consider circumfixes, [2] automatically identify capitalizations by treating them similar to prefixes [3] incorporate frequency information, [4] use distributional information to help identify syntactic properties, and [5] use transitive closure to help find variants that may not have been found to be semantically related but which are related to mutual variants.</S><S sid = NA ssid = NA>We evaluate our algorithm Figure 2).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  N01-1024.txt | Citing Article:  D09-1070.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Schone and Jurafsky (2001) builds on this approach, but adds more ad hoc parameters to handle circumfixation.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We As in our earlier approach (Schone and Jurafsky, 2000), we begin by generating, from an untagged corpus, a list of word pairs that might be morphological variants.</S><S sid = NA ssid = NA>Since our Most of the existing algorithms described focus on approach falls into this category (expanding upon suffixing in inflectional languages (though our earlier approach (Schone and Jurafsky, 2000)), Jacquemin and DéJean describe work on prefixes). we describe work in this area in more detail.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  N01-1024.txt | Citing Article:  W04-0106.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Further cues for morphological learning are presented in (Schone and Jurafsky, 2001) and (Yarowsky and Wicentowsky, 2000).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We compare this improved algorithm to our former algorithm (Schone and Jurafsky (2000)) as well as to Goldsmith's Linguistica (2000).</S><S sid = NA ssid = NA>We As in our earlier approach (Schone and Jurafsky, 2000), we begin by generating, from an untagged corpus, a list of word pairs that might be morphological variants.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  N01-1024.txt | Citing Article:  W05-0617.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Schone and Jurafsky (2001) employ distributions over adjacent words (yielding a syntactic distance metric) to improve the precision of their conflation sets.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Our algorithm combines cues from orthography, semantics, and syntactic distributions to induce morphological relationships in German, Dutch, and English.</S><S sid = NA ssid = NA>This suggests that performance could improve if the induction process took advantage of local, syntactic contexts around words in addition to the more global, large-window contexts used in semantic processing. a randomly-chosen set of words from the corpus as well as for each of the PPMVs of the ruleset that are not yet validated.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  N01-1024.txt | Citing Article:  W05-0617.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In addition, we measure precision, recall, and F1 as in Schone and Jurafsky (2001).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Table 5 uses the above scoring mechanism to compare the F-Scores (product of precision and recall divided by average of the two ) of our system at a cutoff threshold of 85% to those of our earlier algorithm (“S/J2000”) at the same threshold; Goldsmith; and a baseline system which performs no analysis (claiming that for any word, its conflation set only consists of itself).</S><S sid = NA ssid = NA>We have illustrated three extensions to our earlier morphology induction work (Schone and Jurafsky (2000)).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  N01-1024.txt | Citing Article:  W05-0617.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Nevertheless, these metrics give us a point of comparison with Schone and Jurafsky (2001) who, using a vocabulary of English words occurring at least 10 times in a 6.7 million word newswire corpus, report F1 of 88.1 for conflation sets based only on suffixation, and 84.5 for circumfixation.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We use as input to our system 6.7 million words of English newswire, 2.3 million of German, and 6.7 million of Dutch.</S><S sid = NA ssid = NA>We applied our system to an English corpus and evaluated by comparing each word’s conflation set as produced by our algorithm to those derivable from CELEX. word of a corpus, a complete analysis.</S> | Discourse Facet:  NA | Annotator: Automatic


