Citance Number: 1 | Reference Article:  D07-1074.txt | Citing Article:  D07-1047.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We perform term disambiguation on each document using an entity extractor (Cucerzan, 2007).</S> | Reference Offset:  ['228','230'] | Reference Text:  <S sid = 228 ssid = >Entity-based cross- document coreferencing using the vector space model.</S><S sid = 230 ssid = >Using Encyclopedic Knowledge for Named Entity Disambiguation.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  D07-1074.txt | Citing Article:  C10-1150.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >we implemented the approach brought by Cucerzan (2007) based on our best understanding.</S> | Reference Offset:  ['1','119'] | Reference Text:  <S sid = 1 ssid = >708?716, Prague, June 2007. c?2007 Association for Computational Linguistics Large-Scale Named Entity Disambiguation Based on Wikipedia Data  Silviu Cucerzan Microsoft Research One Microsoft Way, Redmond, WA 98052, USA silviu@microsoft.com  Abstract This paper presents a large-scale system for the recognition and semantic disambiguation of named entities based on information extracted from a large encyclopedic collection and Web search results.</S><S sid = 119 ssid = >However, the brute force approach we tried ?</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  D07-1074.txt | Citing Article:  W10-3503.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >e.</S> | Reference Offset:  ['94','301'] | Reference Text:  <S sid = 94 ssid = >is the surface form that is displayed (also referred to as the anchor text of the link).</S><S sid = 301 ssid = >Journal of the Ameri- can Society for Information Science and Technology, 45(9):645-655.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  D07-1074.txt | Citing Article:  W11-2213.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >To model these characteristics, Bunescu and Pasca (2006) and Cucerzan (2007) incorporate information from Wikipedia articles, Artiles et al (2007) use Webpage content, Mann and Yarowsky (2003) extract biographic facts.</S> | Reference Offset:  ['37','264'] | Reference Text:  <S sid = 37 ssid = >Mann and Yarowsky (2003) ad- dressed the task of clustering the Web search re- sults for a set of ambiguous personal names by employing a rich feature space of biographic facts obtained via bootstrapped extraction patterns.</S><S sid = 264 ssid = >Mann, G. S. and D. Yarowsky.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  D07-1074.txt | Citing Article:  P10-1006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['94','301'] | Reference Text:  <S sid = 94 ssid = >is the surface form that is displayed (also referred to as the anchor text of the link).</S><S sid = 301 ssid = >Journal of the Ameri- can Society for Information Science and Technology, 45(9):645-655.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  D07-1074.txt | Citing Article:  P10-1006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Cucerzan (2007) disambiguated the names by combining the BOW model with the Wikipedia category information.</S> | Reference Offset:  ['57','168'] | Reference Text:  <S sid = 57 ssid = >We aug- ment the Wikipedia category information with in- formation automatically extracted from Wikipedia list pages and use it in conjunction with the context information in a vectorial model that employs a novel disambiguation method.</S><S sid = 168 ssid = >The superimposed tooltips show how several of the surface forms were disambiguated based on the context and category agreement method.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  D07-1074.txt | Citing Article:  N10-1072.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Cucerzan (2007) and Bunescu (2006) used Wikipedia's category information in the disambiguation process.</S> | Reference Offset:  ['72','99'] | Reference Text:  <S sid = 72 ssid = >3 Information Extraction from Wikipedia We discuss now the extraction of entities and the three main types of disambiguation clues (entity surface forms, category tags, and contexts) used by the implemented system.</S><S sid = 99 ssid = >3.2 Category Information All articles that are titled ?List of [?]?</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  D07-1074.txt | Citing Article:  W12-3902.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['94','301'] | Reference Text:  <S sid = 94 ssid = >is the surface form that is displayed (also referred to as the anchor text of the link).</S><S sid = 301 ssid = >Journal of the Ameri- can Society for Information Science and Technology, 45(9):645-655.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  D07-1074.txt | Citing Article:  W12-3902.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Cucerzan (2007), by contrast to the above, used Wikipedia primarily for Named Entity Disambiguation, following the path of Bunescu and Pasca (2006).</S> | Reference Offset:  ['18','230'] | Reference Text:  <S sid = 18 ssid = >is used to refer to more than twenty different named entities in Wikipedia.</S><S sid = 230 ssid = >Using Encyclopedic Knowledge for Named Entity Disambiguation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  D07-1074.txt | Citing Article:  W12-3902.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >As in our paper, and unlike the above mentioned works, Cucerzan (2007) made use of the explicit Category information found within Wikipedia.</S> | Reference Offset:  ['57','99'] | Reference Text:  <S sid = 57 ssid = >We aug- ment the Wikipedia category information with in- formation automatically extracted from Wikipedia list pages and use it in conjunction with the context information in a vectorial model that employs a novel disambiguation method.</S><S sid = 99 ssid = >3.2 Category Information All articles that are titled ?List of [?]?</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  D07-1074.txt | Citing Article:  W12-3902.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Cucerzan (2007) did not make use of the Category information in identifying the class of a given entity.</S> | Reference Offset:  ['22','99'] | Reference Text:  <S sid = 22 ssid = >However, both studies targeted the clus- tering of all mentions of an entity across a given document collection rather than the mapping of these mentions to a given reference list of entities.</S><S sid = 99 ssid = >3.2 Category Information All articles that are titled ?List of [?]?</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  D07-1074.txt | Citing Article:  E09-1007.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['94','301'] | Reference Text:  <S sid = 94 ssid = >is the surface form that is displayed (also referred to as the anchor text of the link).</S><S sid = 301 ssid = >Journal of the Ameri- can Society for Information Science and Technology, 45(9):645-655.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  D07-1074.txt | Citing Article:  C10-1032.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Bunescu and Pasca (2006) and Cucerzan (2007) presented important pioneering work in this area, but suffer from several limitations including Wikipedia specific dependencies, scale, and the assumption of a KB entry for each entity.</S> | Reference Offset:  ['4','221'] | Reference Text:  <S sid = 4 ssid = >1 Introduction and Related Work The ability to identify the named entities (such as people and locations) has been established as an important task in several areas, including topic de- tection and tracking, machine translation, and in- formation retrieval.</S><S sid = 221 ssid = >7 Conclusions and Potential Impact We presented a large scale named entity disam- biguation system that employs a huge amount of information automatically extracted from Wikipe- dia over a space of more than 1.4 million entities.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  D07-1074.txt | Citing Article:  C10-1032.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Previous work by Bunescu and Pasca (2006) and Cucerzan (2007) aims to link entity mentions to their corresponding topic pages in Wikipedia but the authors differ in their approaches.</S> | Reference Offset:  ['74','76'] | Reference Text:  <S sid = 74 ssid = >When processing the Wikipedia collection, we distinguish among four types of articles: entity pages, redirecting pages, disambiguation pages, and list pages.</S><S sid = 76 ssid = >3.1 Surface Form to Entity Mappings There are four sources that we use to extract entity surface forms: the titles of entity pages, the titles of redirecting pages, the disambiguation pages, and the references to entity pages in other Wikipedia articles.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  D07-1074.txt | Citing Article:  C10-1032.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We evaluated our system on two datasets: the Text Analysis Conference (TAC) track on Knowl edge Base Population (TAC-KBP) (McNamee and Dang, 2009) and the newswire data used by Cucerzan (2007) (Microsoft News Data).</S> | Reference Offset:  ['58','222'] | Reference Text:  <S sid = 58 ssid = >709 2 The Disambiguation Paradigm We present in this section an overview of the pro- posed disambiguation model and the world knowl- edge data employed in the instantiation of the model discussed in this paper.</S><S sid = 222 ssid = >In tests on both real news data and Wikipedia text, the system obtained accuracies exceeding 91% and 88%.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  D07-1074.txt | Citing Article:  C10-1032.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We downloaded the evaluation data used in Cucerzan (2007): 20 news stories from MSNBC with 642 entity mentions manually linked to Wikipedia and another 113 mentions not having any corresponding link to Wikipedia.</S> | Reference Offset:  ['185','203'] | Reference Text:  <S sid = 185 ssid = >6 Evaluation We used as development data for building the de- scribed system the Wikipedia collection as of April 2, 2006 and a set of 100 news stories on a diverse range of topics.</S><S sid = 203 ssid = >6.2 News Stories We downloaded the top two stories in the ten MSNBC news categories (Business, U.S.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  D07-1074.txt | Citing Article:  C10-1032.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['94','301'] | Reference Text:  <S sid = 94 ssid = >is the surface form that is displayed (also referred to as the anchor text of the link).</S><S sid = 301 ssid = >Journal of the Ameri- can Society for Information Science and Technology, 45(9):645-655.</S> | Discourse Facet:  NA | Annotator: Automatic


