Citance Number: 1 | Reference Article:  N03-1016.txt | Citing Article:  P12-1018.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In order to take into account competing hypotheses, we can use for our queue discipline not only the inside probability I (ak), but also the outside probability O (ak), the probability of generating all spans other than ak, as in A* search for CFGs (Klein and Manning, 2003), and tic-tac-toe pruning for word based ITGs (Zhang and Gildea, 2005).</S> | Reference Offset:  ['52','75'] | Reference Text:  <S sid = 52 ssid = >Let OG(e, s) denote the log-probability of a best inside parse of e (its Viterbi inside score).1 We will drop the G, s, and even e when context permits.</S><S sid = 75 ssid = >So, ‘>’ or ‘better’ will mean higher log-probability.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  N03-1016.txt | Citing Article:  N06-1022.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['63','204'] | Reference Text:  <S sid = 63 ssid = >First, it must be admissible, meaning that it must not underestimate the actual log-probability required to complete the parse.</S><S sid = 204 ssid = >IIS-0085896, by the Advanced Research and Development Activity (ARDA)’s Advanced Question Answering for Intelligence (AQUAINT) Program, by an NSF Graduate Fellowship to the first author, and by an IBM Faculty Partnership Award to the second author.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  N03-1016.txt | Citing Article:  N06-1022.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['63','204'] | Reference Text:  <S sid = 63 ssid = >First, it must be admissible, meaning that it must not underestimate the actual log-probability required to complete the parse.</S><S sid = 204 ssid = >IIS-0085896, by the Advanced Research and Development Activity (ARDA)’s Advanced Question Answering for Intelligence (AQUAINT) Program, by an NSF Graduate Fellowship to the first author, and by an IBM Faculty Partnership Award to the second author.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  N03-1016.txt | Citing Article:  N06-1022.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['63','204'] | Reference Text:  <S sid = 63 ssid = >First, it must be admissible, meaning that it must not underestimate the actual log-probability required to complete the parse.</S><S sid = 204 ssid = >IIS-0085896, by the Advanced Research and Development Activity (ARDA)’s Advanced Question Answering for Intelligence (AQUAINT) Program, by an NSF Graduate Fellowship to the first author, and by an IBM Faculty Partnership Award to the second author.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  N03-1016.txt | Citing Article:  C08-5001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >A specific case of this algorithm is the A* parsing of Klein and Manning (2003) where they achieve significant speed up using carefully designed heuristic functions.</S> | Reference Offset:  ['65','194'] | Reference Text:  <S sid = 65 ssid = >The proof of this is very similar to the proof of the uniform-cost case in Klein and Manning (2001a), and so we omit it for space reasons (it can be found in Klein and Manning, 2002).</S><S sid = 194 ssid = >In Klein and Manning (2003), we apply a pair of grammar projection estimates to a lexicalized parsing model of a certain factored form.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  N03-1016.txt | Citing Article:  W07-2206.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We intend to explore other methods for pruning the space and agenda-based parsing, in particular A* parsing (Klein and Manning, 2003), which will allow only the most probable parts of the chart to be built, improving efficiency while still ensuring the optimal derivation is found.</S> | Reference Offset:  ['65','194'] | Reference Text:  <S sid = 65 ssid = >The proof of this is very similar to the proof of the uniform-cost case in Klein and Manning (2001a), and so we omit it for space reasons (it can be found in Klein and Manning, 2002).</S><S sid = 194 ssid = >In Klein and Manning (2003), we apply a pair of grammar projection estimates to a lexicalized parsing model of a certain factored form.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  N03-1016.txt | Citing Article:  P09-1108.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In addition to presenting the algorithm, we show experiments in which we extract k-best lists for three different kinds of grammars: the lexicalized grammars of Klein and Manning (2003b), the state-split grammars of Petrov et al (2006), and the tree transducer grammars of Galley et al (2006).</S> | Reference Offset:  ['8','161'] | Reference Text:  <S sid = 8 ssid = >However, when dealing with wide-coverage grammars and long sentences, even cubic algorithms can be far too expensive in practice.</S><S sid = 161 ssid = >The complex FOMs in (Charniak et al., 1998) require somewhat more online computation to assemble.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  N03-1016.txt | Citing Article:  P09-1108.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >parsing algorithm of Klein and Manning (2003c) can be formulated in terms of weighted deduction rules (Felzenszwalb and McAllester, 2007).</S> | Reference Offset:  ['70','124'] | Reference Text:  <S sid = 70 ssid = >However, the present algorithm and estimates work just as well for top-down chart parsing, given suitable active items as nodes; see (Klein and Manning, 2001a). by some grammar symbol (or state) X.</S><S sid = 124 ssid = >As discussed in Klein and Manning (2001b), the only source of constraint on what edges can be built where is the tags in the rules.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  N03-1016.txt | Citing Article:  P09-1108.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >see Klein and Manning (2003c) for details.</S> | Reference Offset:  ['65','141'] | Reference Text:  <S sid = 65 ssid = >The proof of this is very similar to the proof of the uniform-cost case in Klein and Manning (2001a), and so we omit it for space reasons (it can be found in Klein and Manning, 2002).</S><S sid = 141 ssid = >This is particularly effective when the tree model takes a certain factored form; see Klein and Manning (2003) for details.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  N03-1016.txt | Citing Article:  P09-1108.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >If the heuristic is consistent, then A* guarantees that whenever an inside item comes off the agenda, its weight is its true Viterbi inside score (Klein and Manning, 2003c).</S> | Reference Offset:  ['51','52'] | Reference Text:  <S sid = 51 ssid = >An inside parse of an edge e = X:[i, j] is a derivation in G from X to iwj.</S><S sid = 52 ssid = >Let OG(e, s) denote the log-probability of a best inside parse of e (its Viterbi inside score).1 We will drop the G, s, and even e when context permits.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  N03-1016.txt | Citing Article:  P09-1108.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We also experimented with the lexicalized parsing model described in Klein and Manning (2003b).</S> | Reference Offset:  ['141','194'] | Reference Text:  <S sid = 141 ssid = >This is particularly effective when the tree model takes a certain factored form; see Klein and Manning (2003) for details.</S><S sid = 194 ssid = >In Klein and Manning (2003), we apply a pair of grammar projection estimates to a lexicalized parsing model of a certain factored form.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  N03-1016.txt | Citing Article:  P09-1108.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['63','204'] | Reference Text:  <S sid = 63 ssid = >First, it must be admissible, meaning that it must not underestimate the actual log-probability required to complete the parse.</S><S sid = 204 ssid = >IIS-0085896, by the Advanced Research and Development Activity (ARDA)’s Advanced Question Answering for Intelligence (AQUAINT) Program, by an NSF Graduate Fellowship to the first author, and by an IBM Faculty Partnership Award to the second author.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  N03-1016.txt | Citing Article:  P09-1108.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['63','204'] | Reference Text:  <S sid = 63 ssid = >First, it must be admissible, meaning that it must not underestimate the actual log-probability required to complete the parse.</S><S sid = 204 ssid = >IIS-0085896, by the Advanced Research and Development Activity (ARDA)’s Advanced Question Answering for Intelligence (AQUAINT) Program, by an NSF Graduate Fellowship to the first author, and by an IBM Faculty Partnership Award to the second author.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  N03-1016.txt | Citing Article:  P09-1108.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We used a simple but effective heuristic for these grammars, similar to the FILTER heuristic suggested in Klein and Manning (2003c).</S> | Reference Offset:  ['21','65'] | Reference Text:  <S sid = 21 ssid = >The contribution of this paper is to demonstrate effective ways of doing this, by precomputing grammar statistics which can be used as effective A* estimates.</S><S sid = 65 ssid = >The proof of this is very similar to the proof of the uniform-cost case in Klein and Manning (2001a), and so we omit it for space reasons (it can be found in Klein and Manning, 2002).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  N03-1016.txt | Citing Article:  H05-1036.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Klein and Manning (2003a) went on to describe admissible heuristics and an A* framework for parsing.</S> | Reference Offset:  ['65','134'] | Reference Text:  <S sid = 65 ssid = >The proof of this is very similar to the proof of the uniform-cost case in Klein and Manning (2001a), and so we omit it for space reasons (it can be found in Klein and Manning, 2002).</S><S sid = 134 ssid = >In addition, the minimum (U) of a set of admissible estimates is still an admissible estimate.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  N03-1016.txt | Citing Article:  H05-1036.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The A* heuristics explored by Klein and Manning (2003a) can be seen as resulting from bounding transformations.</S> | Reference Offset:  ['36','65'] | Reference Text:  <S sid = 36 ssid = >Edges which seem promising are explored first; others can wait on the agenda indefinitely.</S><S sid = 65 ssid = >The proof of this is very similar to the proof of the uniform-cost case in Klein and Manning (2001a), and so we omit it for space reasons (it can be found in Klein and Manning, 2002).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  N03-1016.txt | Citing Article:  H05-1036.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['63','204'] | Reference Text:  <S sid = 63 ssid = >First, it must be admissible, meaning that it must not underestimate the actual log-probability required to complete the parse.</S><S sid = 204 ssid = >IIS-0085896, by the Advanced Research and Development Activity (ARDA)’s Advanced Question Answering for Intelligence (AQUAINT) Program, by an NSF Graduate Fellowship to the first author, and by an IBM Faculty Partnership Award to the second author.</S> | Discourse Facet:  NA | Annotator: Automatic


