Citance Number: 1 | Reference Article:  P06-2014.txt | Citing Article:  W08-0409.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(Cherry and Lin, 2006) used dependency structures as soft constraints to improve word alignment in an ITG framework.</S> | Reference Offset:  ['0','74'] | Reference Text:  <S sid = 0 ssid = >Soft Syntactic Constraints For Word Alignment Through Discriminative Training</S><S sid = 74 ssid = >Note that this will not search the exact same alignment space as a cohesion-constrained beam search; instead it uses the union of the cohesion constraint and the weaker ITG constraints (Cherry and Lin, 2006).</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  P06-2014.txt | Citing Article:  P09-1104.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The first two rows repeat the experiments of Taskar et al (2005) and Cherry and Lin (2006), but adding ITG models that are trained to maximize conditional likelihood.</S> | Reference Offset:  ['14','122'] | Reference Text:  <S sid = 14 ssid = >Recently, discriminative learning technology for structured output spaces has enabled several discriminative word alignment solutions (Liu et al., 2005; Moore, 2005; Taskar et al., 2005).</S><S sid = 122 ssid = >We use the same feature representation ψ(l) as (Taskar et al., 2005), with some small exceptions.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  P06-2014.txt | Citing Article:  W08-0306.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(Cherry and Lin, 2006) modify an ITG aligner by introducing a penalty for induced parses that violate syntactic bracketing constraints.</S> | Reference Offset:  ['35','60'] | Reference Text:  <S sid = 35 ssid = >Cherry and Lin (2003) use the phrasal cohesion of a dependency tree as a constraint on a beam search aligner.</S><S sid = 60 ssid = >In our French-English data set, an ITG rules out only 0.3% of necessary links beyond those already eliminated by the one-to-one constraint (Cherry and Lin, 2006).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P06-2014.txt | Citing Article:  W10-0102.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The first is to relax or update the independence assumptions based on more information, usually syntactic, from the language pairs (Cherry and Lin, 2006).</S> | Reference Offset:  ['27','60'] | Reference Text:  <S sid = 27 ssid = >We will refer to the parsed language as English, and the unparsed language as Foreign.</S><S sid = 60 ssid = >In our French-English data set, an ITG rules out only 0.3% of necessary links beyond those already eliminated by the one-to-one constraint (Cherry and Lin, 2006).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P06-2014.txt | Citing Article:  P08-1009.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Fox (2002) showed that cohesion is held in the vast majority of cases for English-French, while Cherry and Lin (2006) have shown it to be a strong feature for word alignment.</S> | Reference Offset:  ['37','159'] | Reference Text:  <S sid = 37 ssid = >However, as Fox (2002) showed, even in a language pair as close as French-English, there are situations where phrasal cohesion should not be maintained.</S><S sid = 159 ssid = >This indicates that these cohesion constraints are a strong alignment feature.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P06-2014.txt | Citing Article:  P08-1009.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Fox (2002) demonstrated and counted cases where cohesion was not maintained in hand aligned sentence-pairs, while Cherry and Lin (2006) showed that a soft cohesion constraint is superior to a hard constraint for word alignment.</S> | Reference Offset:  ['37','40'] | Reference Text:  <S sid = 37 ssid = >However, as Fox (2002) showed, even in a language pair as close as French-English, there are situations where phrasal cohesion should not be maintained.</S><S sid = 40 ssid = >Unfortunately, Cherry and Lin’s beam search solution does not lend itself to a soft cohesion constraint.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P06-2014.txt | Citing Article:  W10-3813.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >One can further refine existing word alignment models with syntactic constraints (e.g. (Cherry and Lin, 2006)).</S> | Reference Offset:  ['0','192'] | Reference Text:  <S sid = 0 ssid = >Soft Syntactic Constraints For Word Alignment Through Discriminative Training</S><S sid = 192 ssid = >We have presented a discriminative, syntactic word alignment method.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P06-2014.txt | Citing Article:  W10-3813.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The syntactic constraints are specifically imposed on the n words involved in 1-to-n alignments, which is different from the cohesion constraints (Fox, 2002) as explored by Cherry and Lin (2006), where knowledge of cross-lingual syntactic projection is used.</S> | Reference Offset:  ['0','30'] | Reference Text:  <S sid = 0 ssid = >Soft Syntactic Constraints For Word Alignment Through Discriminative Training</S><S sid = 30 ssid = >Fox (2002) measured phrasal cohesion in gold standard alignments by counting crossings.</S> | Discourse Facet:  NA | Annotator: Automatic


