Citance Number: 1 | Reference Article:  A00-2031.txt | Citing Article:  P00-1065.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >More recently, a domain independent system has been trained on general function tags such as Manner and Temporal by Blaheta and Charniak (2000).</S> | Reference Offset:  ['54','89'] | Reference Text:  <S sid = 54 ssid = >This data is very important in distinguishing, for example, 'by John' (where John might be a logical subject) from 'by next year' (a temporal modifier) and 'by selling it' (an adverbial indicating manner).</S><S sid = 89 ssid = >On the other hand, we have the form/function tags and the 'miscellaneous' tags.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  A00-2031.txt | Citing Article:  P09-3007.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >A trivial difference is that in our system the head for prepositional phrases is defined as the prepositions themselves (not the head of object of prepositional phrases (Blaheta and Charniak, 2000)), because we think that the preposition itself is a more distinctive attribute for different semantic meanings.</S> | Reference Offset:  ['15','53'] | Reference Text:  <S sid = 15 ssid = >The form/function tags help to find those constituents behaving in ways not conforming to their labelled type, as well as further clarifying the behaviour of adverbial phrases.</S><S sid = 53 ssid = >There are a number of features that seem tar et feature to condition strongly for one function tag or another; we have assembled them into the feature tree shown in figure 4.2 This figure should be relatively self-explanatory, except for the notion of an 'alternate head'; currently, an alternate head is only defined for prepositional phrases, and is the head of the object of the prepositional phrase.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  A00-2031.txt | Citing Article:  P04-1040.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Blaheta and Charniak (2000) presented the first method for assigning Penn functional tags to constituents identified by a parser.</S> | Reference Offset:  ['0','120'] | Reference Text:  <S sid = 0 ssid = >Assigning Function Tags To Parsed Text</S><S sid = 120 ssid = >This work presents a method for assigning function tags to text that has been parsed to the simple label level.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  A00-2031.txt | Citing Article:  P04-1040.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >As an alternative to hard coded heuristics, Blaheta and Charniak (2000) proposed to recover the Penn functional tags automatically.</S> | Reference Offset:  ['8','19'] | Reference Text:  <S sid = 8 ssid = >This paper details a process by which some of this information—the function tags— may be recovered automatically.</S><S sid = 19 ssid = >To our knowledge, there has been no attempt so far to recover the function tags in parsing treebank text.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  A00-2031.txt | Citing Article:  P04-1040.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Thus, it is informative to compare our results with those reported in (Blaheta and Charniak, 2000) for this same task.</S> | Reference Offset:  ['73','121'] | Reference Text:  <S sid = 73 ssid = >Both are reported below.</S><S sid = 121 ssid = >Because of the lack of prior research on this task, we are unable to compare our results to those of other researchers; but the results do seem promising.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  A00-2031.txt | Citing Article:  P04-1040.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The difference in the accuracy is due to two reasons. First, because of the different definition of a correctly identified constituent in the parser? s output, we apply our method to a greater portion of all labels produced by the parser (95% vs. 89% reported in (Blaheta and Charniak, 2000)).</S> | Reference Offset:  ['66','73'] | Reference Text:  <S sid = 66 ssid = >In this case, that means excluding those constituents that were already wrong in the parser output; the parser we used attains 89% labelled precision-recall, so roughly 11% of the constituents are excluded from the function tag accuracy evaluation.</S><S sid = 73 ssid = >Both are reported below.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  A00-2031.txt | Citing Article:  P04-1040.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >TiMBL performed well on tasks where structured, more complicated and task-specific statistical models have been used previously (Blaheta and Charniak, 2000).</S> | Reference Offset:  ['22','116'] | Reference Text:  <S sid = 22 ssid = >We have found it useful to define our statistical model in terms of features.</S><S sid = 116 ssid = >Still another source of difficulty comes when the guidelines are vague or silent on a specific issue.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  A00-2031.txt | Citing Article:  W03-1210.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Many researchers ((Blaheta and Charniak 2000), (Gildea and Jurafsky 2000), showed that lexical and syntactic information is very useful for predicate argument recognition tasks, such as semantic roles.</S> | Reference Offset:  ['7','90'] | Reference Text:  <S sid = 7 ssid = >The Penn treebank contains a great deal of additional syntactic and semantic information from which to gather statistics; reproducing more of this information automatically is a goal which has so far been mostly ignored.</S><S sid = 90 ssid = >These are characterised by much more semantic information, and the relationships between lexical items are very important, making sparse data a real problem.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  A00-2031.txt | Citing Article:  H05-1078.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['63','128'] | Reference Text:  <S sid = 63 ssid = >The definition we chose is to call a constituent correct if there exists in the correct parse a constituent with the same start and end points, label, and function tag (or lack thereof).</S><S sid = 128 ssid = >• There is no reason to think that this work could not be integrated directly into the parsing process, particularly if one's parser is already geared partially or entirely towards feature-based statistics; the function tag information could prove quite useful within the parse itself, to rank several parses to find the most plausible.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  A00-2031.txt | Citing Article:  H05-1078.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >While the function of a constituent and its structural position are often correlated, they some (Blaheta and Charniak, 2000) talk of function tags.</S> | Reference Offset:  ['11','89'] | Reference Text:  <S sid = 11 ssid = >A constituent can be tagged with multiple tags, but never with two tags from the same category.1 In actuality, the case where a constituent has tags from all four categories never happens, but constituents with three tags do occur (rarely).</S><S sid = 89 ssid = >On the other hand, we have the form/function tags and the 'miscellaneous' tags.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  A00-2031.txt | Citing Article:  H05-1078.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Following (Blaheta and Charniak, 2000), we refer to the first class as syntactic function labels, and to the second class as semantic function labels.</S> | Reference Offset:  ['9','23'] | Reference Text:  <S sid = 9 ssid = >In the Penn treebank, there are 20 tags (figure 1) that can be appended to constituent labels in order to indicate additional information about the syntactic or semantic role of the constituent.</S><S sid = 23 ssid = >A 'feature', in this context, is a boolean-valued function, generally over parse tree nodes and either node labels or lexical items.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  A00-2031.txt | Citing Article:  H05-1078.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Like previous work (Blaheta and Charniak, 2000), we complete the sets of syntactic and semantic labels by labelling constituents that do not bear any function label with a NULL label.</S> | Reference Offset:  ['25','120'] | Reference Text:  <S sid = 25 ssid = >'this node's label is X', 'this node's parent's label is Y'), or slightly more complex (`this node's head's partof-speech is Z').</S><S sid = 120 ssid = >This work presents a method for assigning function tags to text that has been parsed to the simple label level.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  A00-2031.txt | Citing Article:  H05-1078.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Following (Blaheta and Charniak, 2000), incorrectly parsed constituents will be ignored (roughly 11% of the total) in the evaluation of the precision and recall of the function labels, but not in the evaluation of the parser.</S> | Reference Offset:  ['66','68'] | Reference Text:  <S sid = 66 ssid = >In this case, that means excluding those constituents that were already wrong in the parser output; the parser we used attains 89% labelled precision-recall, so roughly 11% of the constituents are excluded from the function tag accuracy evaluation.</S><S sid = 68 ssid = >Another consideration is whether to count non-tagged constituents in our evaluation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  A00-2031.txt | Citing Article:  H05-1078.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In work that predates the availability of Framenet and Propbank, (Blaheta and Charniak, 2000) define the task of function labelling for the first time and highlight its relevance for NLP.</S> | Reference Offset:  ['22','74'] | Reference Text:  <S sid = 22 ssid = >We have found it useful to define our statistical model in terms of features.</S><S sid = 74 ssid = >There are, it seems, two reasonable baselines for this and future work.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  A00-2031.txt | Citing Article:  C02-1013.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Blaheta and Charniak (2000) assume a richer input representation consisting of labelled trees produced by a tree bank grammar parser, and use the tree bank again to train a further procedure that assigns grammatical function tags to syntactic constituents in the trees.</S> | Reference Offset:  ['51','94'] | Reference Text:  <S sid = 51 ssid = >We assume this to be the case for our feature trees.</S><S sid = 94 ssid = >However, there is no reason to use only one feature tree for all four categories; the best results can be got by using a separate tree for each one.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  A00-2031.txt | Citing Article:  C02-1013.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Blaheta and Charniak (2000) report an F-score of 87% for assigning grammatical function tags to constituents, but the task, and therefore the scoring method, is rather different.</S> | Reference Offset:  ['0','76'] | Reference Text:  <S sid = 0 ssid = >Assigning Function Tags To Parsed Text</S><S sid = 76 ssid = >Even for the most common type of function tag (grammatical), this method performs with 87% accuracy.</S> | Discourse Facet:  NA | Annotator: Automatic


