Citance Number: 1 | Reference Article:  I05-2038.txt | Citing Article:  W06-0602.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The Penn-style treebank for GENIA, created by Tateisi et al (2005), currently contains 500 abstracts.</S> | Reference Offset:  ['3','79'] | Reference Text:  <S sid = 3 ssid = >A subset of the GENIA corpus consisting of 500 MEDLINE abstracts has been annotated for syntactic structure in an XML based format based on Penn Treebank II (PTB) scheme.</S><S sid = 79 ssid = >The 500 abstracts with correction of these errors are made publicly available as ?The GENIA Treebank Beta Version?</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  I05-2038.txt | Citing Article:  W09-1301.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We created the data set by building on the annotation of the GENIA Event corpus (Kim et al, 2008), making use of the rich set of annotations already contained in the corpus: term annotation for NEs and other entities (Ohta et al, 2002), annotation of events between these terms, and treebank structure closely following the Penn Treebank scheme (Tateisi et al, 2005).</S> | Reference Offset:  ['28','29'] | Reference Text:  <S sid = 28 ssid = >2.1 Annotation Scheme.</S><S sid = 29 ssid = >The annotation scheme basically follows the Penn Treebank II (PTB) scheme (Beis et al 1995), encoded in XML.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  I05-2038.txt | Citing Article:  W09-1301.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We first converted the gold standard annotation of the GENIA treebank (Tateisi et al, 2005) into a dependency representation using the Stanford parser tools (de Marneffe et al, 2006) and then determined the shortest paths in the dependency analyses connecting each relevant entity with each NE.</S> | Reference Offset:  ['99','131'] | Reference Text:  <S sid = 99 ssid = >We have made the ?gold standard?</S><S sid = 131 ssid = >Yet another is that one regarded the phrase ?Author et al as coor dination, and the other regarded ?et al as a modifier.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  I05-2038.txt | Citing Article:  W10-1905.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Further, all of the biomedical domain models have been created with reference and for many parsers with direct training on the data of (a subset of) the GENIA treebank (Tateisi et al., 2005).</S> | Reference Offset:  ['20','178'] | Reference Text:  <S sid = 20 ssid = >For this purpose, we construct GENA Treebank (GTB), a treebank on research abstracts in biomedical domain.</S><S sid = 178 ssid = >A subset of the GENIA corpus is annotated for syntactic (tree) structure.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  I05-2038.txt | Citing Article:  P08-2026.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The resulting parser was tested on a test corpus of hand-parsed sentences from the Genia Treebank (Tateisi et al, 2005).</S> | Reference Offset:  ['24','148'] | Reference Text:  <S sid = 24 ssid = >The GENIA corpus is also annotated for part-of speech (POS) (Tateisi and Tsujii, 2004), and coreference is also annotated in a part of the GENIA corpus by MedCo project at Institute for Infocomm Research, Singapore (Yang et al 2004).</S><S sid = 148 ssid = >Coordination is reported to be difficult phenomena in an notation of different levels in the GENIA corpus (Tateisi and Tsujii, 2004), (Kim et al, 2003).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  I05-2038.txt | Citing Article:  W08-0504.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >These expected benefits drive the development of domain-specific resources, such as the GENIA treebank (Tateisi et al., 2005), and parser domain adaption (Hara et al, 2007), which are of clear importance in parsing research, but of largely unconfirmed impact on practical systems.</S> | Reference Offset:  ['19','20'] | Reference Text:  <S sid = 19 ssid = >Corpus annotated for syntactic structures is expected to play a similar role in tuning parsers to biomedical domain, i.e., similar improve ment on the performance of parsers is expected by using domain-specific treebank as a resource for learning.</S><S sid = 20 ssid = >For this purpose, we construct GENA Treebank (GTB), a treebank on research abstracts in biomedical domain.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  I05-2038.txt | Citing Article:  W08-0504.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The parser was trained using 8,000 sentences from the GENIA Treebank (Tateisi et al, 2005), which contains abstracts of papers taken from MEDLINE, annotated with syntactic structures.</S> | Reference Offset:  ['3','178'] | Reference Text:  <S sid = 3 ssid = >A subset of the GENIA corpus consisting of 500 MEDLINE abstracts has been annotated for syntactic structure in an XML based format based on Penn Treebank II (PTB) scheme.</S><S sid = 178 ssid = >A subset of the GENIA corpus is annotated for syntactic (tree) structure.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  I05-2038.txt | Citing Article:  D10-1070.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For preprocessing, all the sentences in the Bio scope corpus are tokenized and then parsed using the Berkeley parser (Petrov and Klein, 2007) trained on the GENIA TreeBank (GTB) 1.0 (Tateisi et al, 2005), which is a bracketed corpus in (almost) PTB style.</S> | Reference Offset:  ['25','82'] | Reference Text:  <S sid = 25 ssid = >GTB is the addition of syntactic information to the GENIA corpus.</S><S sid = 82 ssid = >Enju is an HPSG parser that can be trained with PTB-type corpora which is reported to have 87% accuracy on Wall Street Journal portion of Penn Treebank corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  I05-2038.txt | Citing Article:  N10-1004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our biomedical data comes from the GENIA treebank (Tateisi et al, 2005), a corpus of abstracts from the Medline database.</S> | Reference Offset:  ['3','20'] | Reference Text:  <S sid = 3 ssid = >A subset of the GENIA corpus consisting of 500 MEDLINE abstracts has been annotated for syntactic structure in an XML based format based on Penn Treebank II (PTB) scheme.</S><S sid = 20 ssid = >For this purpose, we construct GENA Treebank (GTB), a treebank on research abstracts in biomedical domain.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  I05-2038.txt | Citing Article:  W11-1812.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The task dataset consists of new annotations for the GENIA corpus (Kim et al, 2008), building on the existing biomedical term annotation (Ohta et al., 2002), the gene and gene product name annotation (Ohta et al, 2009) and the syntactic annotation (Tateisi et al, 2005) of the corpus.</S> | Reference Offset:  ['131','167'] | Reference Text:  <S sid = 131 ssid = >Yet another is that one regarded the phrase ?Author et al as coor dination, and the other regarded ?et al as a modifier.</S><S sid = 167 ssid = >element indicating a technical term (Kim et al, 2003).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  I05-2038.txt | Citing Article:  P06-1128.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Because our target is biomedical texts, we re-trained a parser (Hara et al., 2005) with the GENIA tree bank (Tateisi et al., 2005), and also applied a bidirectional part-of speech tagger (Tsuruoka and Tsujii, 2005) trained with the GENIA tree bank as a preprocessor.</S> | Reference Offset:  ['18','24'] | Reference Text:  <S sid = 18 ssid = >In bio-textmining, for example, training on part-of-speech (POS)-annotated GENIA cor pus was reported to improve the accuracy of JunK tagger (English POS tagger) (Kazama et al., 2001) from 83.5% to 98.1% on MEDLINE abstracts (Tateisi and Tsujii, 2004), and the FraMed corpus (Wermter and Hahn, 2004) was used to train TnT tagger on German (Brants, 2000) to improve its accuracy from 95.7% to 98% on clinical reports and other biomedical texts.</S><S sid = 24 ssid = >The GENIA corpus is also annotated for part-of speech (POS) (Tateisi and Tsujii, 2004), and coreference is also annotated in a part of the GENIA corpus by MedCo project at Institute for Infocomm Research, Singapore (Yang et al 2004).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  I05-2038.txt | Citing Article:  C10-1088.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The BioNLP-09 shared task involved documents contained also in the GENIA treebank (Tateisi et al., 2005), creating an opportunity for direct study of intrinsic and task-oriented evaluation results.</S> | Reference Offset:  ['75','148'] | Reference Text:  <S sid = 75 ssid = >The annotator was a Japanese non-biologist who has previously involved in the POS annotation of the GENIA corpus and accustomed to the style of research abstracts in English.</S><S sid = 148 ssid = >Coordination is reported to be difficult phenomena in an notation of different levels in the GENIA corpus (Tateisi and Tsujii, 2004), (Kim et al, 2003).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  I05-2038.txt | Citing Article:  C10-1088.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For comparison and evaluation, the texts in the GENIA treebank (Tateisi et al, 2005) are converted to the various formats as follows.</S> | Reference Offset:  ['29','95'] | Reference Text:  <S sid = 29 ssid = >The annotation scheme basically follows the Penn Treebank II (PTB) scheme (Beis et al 1995), encoded in XML.</S><S sid = 95 ssid = >annotated in XML and PTB formats.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  I05-2038.txt | Citing Article:  W06-3308.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The Penn-style treebank for GENIA, created by Tateisi et al (2005), currently contains 500 abstracts.</S> | Reference Offset:  ['3','79'] | Reference Text:  <S sid = 3 ssid = >A subset of the GENIA corpus consisting of 500 MEDLINE abstracts has been annotated for syntactic structure in an XML based format based on Penn Treebank II (PTB) scheme.</S><S sid = 79 ssid = >The 500 abstracts with correction of these errors are made publicly available as ?The GENIA Treebank Beta Version?</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  I05-2038.txt | Citing Article:  D10-1096.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The native dependency parsers were re-trained on the GENIA Treebank (Tateisi et al, 2005) conversions.</S> | Reference Offset:  ['131','148'] | Reference Text:  <S sid = 131 ssid = >Yet another is that one regarded the phrase ?Author et al as coor dination, and the other regarded ?et al as a modifier.</S><S sid = 148 ssid = >Coordination is reported to be difficult phenomena in an notation of different levels in the GENIA corpus (Tateisi and Tsujii, 2004), (Kim et al, 2003).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  I05-2038.txt | Citing Article:  W11-1811.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The data sets for the COREF task are produced based on three resources: MedCO coreference annotation (Su et al, 2008), Genia event annotation (Kim et al, 2008), and Genia Treebank (Tateisi et al., 2005).</S> | Reference Offset:  ['24','131'] | Reference Text:  <S sid = 24 ssid = >The GENIA corpus is also annotated for part-of speech (POS) (Tateisi and Tsujii, 2004), and coreference is also annotated in a part of the GENIA corpus by MedCo project at Institute for Infocomm Research, Singapore (Yang et al 2004).</S><S sid = 131 ssid = >Yet another is that one regarded the phrase ?Author et al as coor dination, and the other regarded ?et al as a modifier.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  I05-2038.txt | Citing Article:  W11-0221.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In contrast, the GENIA Treebank Corpus (Tateisi et al, 2005) is estimated to have no imperative sentences and only seven interrogative sentences (see Section 5.2.2).</S> | Reference Offset:  ['91','127'] | Reference Text:  <S sid = 91 ssid = >The 10 abstracts were chosen randomly, had 6 to 17 sentences per abstract (total 108 sentences).</S><S sid = 127 ssid = >Another disagreement particular to abstracts is a treatment of labeled sentences.</S> | Discourse Facet:  NA | Annotator: Automatic


