Citance Number: 1 | Reference Article:  E99-1023.txt | Citing Article:  A00-2007.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Tjong Kim Sang and Veenstra, 1999) have presented three variants of this tagging representation.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We have used the baseNP data presented in (Ramshaw and Marcus, 1995)2.</S><S sid = NA ssid = NA>We have compared four complete and three partial data representation formats for the baseNP recognition task presented in (Ramshaw and Marcus, 1995).</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  E99-1023.txt | Citing Article:  D08-1063.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The mention encoding is the IOB2 encoding presented in (Tjong Kim Sang and Veenstra, 1999) and introduced by (Ramshaw and Marcus, 1994) for base noun phrase chunking.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We have used the baseNP data presented in (Ramshaw and Marcus, 1995)2.</S><S sid = NA ssid = NA>(Ramshaw and Marcus, 1995) have introduced a &quot;convenient&quot; data representation for chunking by converting it to a tagging task.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  E99-1023.txt | Citing Article:  W03-1026.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Tjong Kim Sang and Veenstra (1999) describes in detail the IOB schemes.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>(Veenstra, 1998) uses cascaded decision tree learning (IGTree) for baseNP recognition.</S><S sid = NA ssid = NA>(Daelemans et al., 1999) uses cascaded MBL (rB1-IG) in a similar way for several tasks among which baseNP recognition.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  E99-1023.txt | Citing Article:  W08-0609.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We used the JNLPBA-2004 training data, which is a set of tokenized word sequences with IOB2 (Tjong Kim Sang and Veenstra, 1999) protein labels.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>During training it stores a symbolic feature representation of a word in the training data together with its classification (chunk tag).</S><S sid = NA ssid = NA>They are better than the results for section 15 because more training data was used in these experiments.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  E99-1023.txt | Citing Article:  P06-2096.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>From now on, we shall refer to the Chunk tag of a word as its IOB value (IOB was named by Tjong Kim Sang and Jorn Veeenstra (Tjong Kim Sang and Veenstra, 1999) after Ratnaparkhi (Ratnaparkhi, 1998)).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>I0B2 All baseNP-initial words receive a B tag (Ratnaparkhi, 1998).</S><S sid = NA ssid = NA>An example is the representation used in (Ratnaparkhi, 1998) where all the chunkinitial words receive the same start tag (analogous to the B tag) while the remainder of the words in the chunk are paired with a different tag.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  E99-1023.txt | Citing Article:  W03-0432.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The training data was converted to use the IOB2 phrase model (Tjong Kim Sang and Veenstra, 1999).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We will use the same context information for all data.</S><S sid = NA ssid = NA>During training it stores a symbolic feature representation of a word in the training data together with its classification (chunk tag).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  E99-1023.txt | Citing Article:  P06-1060.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The mention encoding is the IOB2 encoding presented in (Tjong Kim Sang and Veenstra, 1999) and introduced by (Ramshaw and Marcus, 1994) for the task of base noun phrase chunking.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We have used the baseNP data presented in (Ramshaw and Marcus, 1995)2.</S><S sid = NA ssid = NA>Ramshaw and Marcus approached the chunking task as a tagging problem.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  E99-1023.txt | Citing Article:  N01-1025.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Tjong Kim Sang calls this method as IOB1 representation, and introduces three alternative versions - IOB2, IOE1 and IOE2 (Tjong Kim Sang and Veenstra, 1999).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>IOB1 is the best representation format but the differences with the results of the other formats are not significant. item.</S><S sid = NA ssid = NA>IOE1 The final word inside a baseNP immediately preceding another baseNP receives an E tag.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  E99-1023.txt | Citing Article:  N04-1001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>To transform the problem into a classification task, we use the IOB2 classification scheme (Tjong Kim Sang and Veenstra, 1999).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>After this, we will use the classification results of the best context size for determining the optimal context size for the classification tags.</S><S sid = NA ssid = NA>Ramshaw and Marcus approached the chunking task as a tagging problem.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  E99-1023.txt | Citing Article:  C10-1059.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We encoded the opinionated expression brackets using the IOB2 encoding scheme (Tjong Kim Sang and Veenstra, 1999) and trained the model using the metod by Collins (2002).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>To avoid this we have refrained from using this tag.</S><S sid = NA ssid = NA>One was trained to recognize baseNPs and the other was trained to recognize both NP chunks and VP chunks.</S> | Discourse Facet:  NA | Annotator: Automatic


