Citance Number: 1 | Reference Article:  C96-1021.txt | Citing Article:  W97-1314.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >But (Kennedy and Boguraev, 1996a) show that the Lappin and Leass algorithm still provides good results (75%) even without complete parse.</S> | Reference Offset:  ['123','139'] | Reference Text:  <S sid = 123 ssid = >(Kennedy and Boguraev, :1996)).</S><S sid = 139 ssid = >3 This rate of accuracy is clearly comparable to that of the Lappin/Leass algorithm, which (Lappin and Leass, \] 994) report as 85?/,,.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  C96-1021.txt | Citing Article:  P01-1006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Kennedy and Boguraev (1996), for example, need additional information about whether a certain discourse referent is embedded or not, plus a pointer to the COREF class associated to the referent, while Mitkov's approach needs a score associated to each noun phrase.</S> | Reference Offset:  ['57','123'] | Reference Text:  <S sid = 57 ssid = >1 The connection between a dis- course referent and its COREF class is mediated through the COREF object as follows: every discourse referent includes an information parameter which is a pointer to a COREF object; discourse referents which have been determined to be coreferential share the same COREF value (and so literally point to the same object).</S><S sid = 123 ssid = >(Kennedy and Boguraev, :1996)).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  C96-1021.txt | Citing Article:  P01-1006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >RAP (Kennedy and Boguraev, 1996), Baldwin's pronoun resolution method (Baldwin, 1997) and Mitkov's knowledge-poor pronoun resolution approach (Mitkov, 1998b).</S> | Reference Offset:  ['46','123'] | Reference Text:  <S sid = 46 ssid = >2.2 Anaphora resolution.</S><S sid = 123 ssid = >(Kennedy and Boguraev, :1996)).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  C96-1021.txt | Citing Article:  P01-1006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >As expected, the results reported in Table 1 do not match the original results published by Kennedy and Boguraev (1996), Baldwin (1997) and Mitkov (1998b) where the algorithms were tested on different data, employed different pre-processing tools, resorted to different degrees of manual intervention and thus provided no common ground for any reliable comparison.</S> | Reference Offset:  ['123','132'] | Reference Text:  <S sid = 123 ssid = >(Kennedy and Boguraev, :1996)).</S><S sid = 132 ssid = >ANA: \]its \[\[aol f /347\ ] CNI): IAlte~:ileL access devic() \[(,!o~\[/33\[i\] 180 M i c KOf;PARCI)rOC e!s sot \[(4oEI /34\] \] 16!i ~;un 's \[<4o1 f /3 : t3 I \ [40 The first sentence in this fl'agment introduces three dis- course referents bearing different grammatical func- tions, none of which appear in subordinate contexts.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  C96-1021.txt | Citing Article:  P98-1064.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In Kennedy and Boguraev (1996) it is proposed an algorithm for anaphor resolution which is a modified and extended version of that developed by Lappin and Leass (1994).</S> | Reference Offset:  ['1','123'] | Reference Text:  <S sid = 1 ssid = >We present an algorithm for anaphora res- olutkm which is a modified and extended version of that developed by (Lappin and Leass,/994).</S><S sid = 123 ssid = >(Kennedy and Boguraev, :1996)).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  C96-1021.txt | Citing Article:  P98-1064.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our framework will allow us a similar approach to that of Kennedy and Boguraev (1996), but we will automatically get syntactic information from partial parsing.</S> | Reference Offset:  ['3','123'] | Reference Text:  <S sid = 3 ssid = >tactic parsing of text.</S><S sid = 123 ssid = >(Kennedy and Boguraev, :1996)).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  C96-1021.txt | Citing Article:  P98-1064.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The grammar in Figure 4 will only parse coordinated prepositional phrases (pp), coordinated noun phrases (np), pronouns (p), conjunctions (conj) and verbs (verb) in whatever order that they appear in the text and it will allow us to work in a similar way that the algorithm mentioned in Kennedy and Boguraev (1996).</S> | Reference Offset:  ['35','123'] | Reference Text:  <S sid = 35 ssid = >This is accomplished by running a set of patterns which identify NPs that occur locally to ad- verbs, relative pronouns, and noun-preposition r noun- complementizer sequences over the tagged text in con- junction with the basic NP patterns described above.</S><S sid = 123 ssid = >(Kennedy and Boguraev, :1996)).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  C96-1021.txt | Citing Article:  P98-1064.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >improved the accuracy (83%) in pronominal references to the work of Kennedy and Boguraev (1996) (75%), but we have also improved that approach since we automatically.</S> | Reference Offset:  ['123','156'] | Reference Text:  <S sid = 123 ssid = >(Kennedy and Boguraev, :1996)).</S><S sid = 156 ssid = >We are currently mfinin g the existing expletive patterns for improved accuracy.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  C96-1021.txt | Citing Article:  C00-1012.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >It presupposes fine grained methods for the identification of cohesive ties 76 between (sentence) units in a text; describing the computational basis for developing such methods is outside of the scope of this paper (howeveb see (Kennedy and Boguraev, 1996), (Fellbaum, 1999), (Kelleb 1994)), as is the complete framework for lexical cohesion analysis we have developed.</S> | Reference Offset:  ['9','123'] | Reference Text:  <S sid = 9 ssid = >The operational context prohibits us from making any assumptions concerning domain, style, and genre of input; as a result, we have developed a text processing framework which builds its capabilities entirely on the basis of a considerably shallower linguistic analysis of the input stream, thus trading off depth of base level analysis for breadth of cown:age.</S><S sid = 123 ssid = >(Kennedy and Boguraev, :1996)).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  C96-1021.txt | Citing Article:  P00-1022.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >More recently, Kennedy and Boguraev (1996) propose an algorithm for anaphora resolution that is actually a modified and extended version of the one developed by Lappin and Leass (1994).</S> | Reference Offset:  ['1','123'] | Reference Text:  <S sid = 1 ssid = >We present an algorithm for anaphora res- olutkm which is a modified and extended version of that developed by (Lappin and Leass,/994).</S><S sid = 123 ssid = >(Kennedy and Boguraev, :1996)).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  C96-1021.txt | Citing Article:  N04-1037.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >L&L demonstrated with a system called RAP that a (manually-tuned) weight-based scheme for integrating pronoun interpretation preferences can achieve high performance on real data, in their case, 86% accuracy on a corpus of computer training manuals. Dagan et al (1995) then developed a post processor based on predicate-argument statistics that was used to override RAP's decision when it failed to express a clear preference between two or more antecedents, which resulted in a modest rise in per Kennedy and Boguraev (1996, henceforth, K&B) adapted L&L's algorithm to rely on far less syntactic analysis (noun phrase identification and rudimentary grammatical role marking), with performance in the 75% range on mixed genres.</S> | Reference Offset:  ['123','144'] | Reference Text:  <S sid = 123 ssid = >(Kennedy and Boguraev, :1996)).</S><S sid = 144 ssid = >Ar- guably, this is an example of a particularly well be- haved text; in any case, it is not clear how the figure would be normalized over a wide range of text types, some of them not completely 'clean', as is the case with our data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  C96-1021.txt | Citing Article:  W97-1307.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Kennedy and Boguraev (1996) then report a 75% accuracy for an algorithm that approximates Lappin and Leass's with more robust and coarse-grained syntactic input.</S> | Reference Offset:  ['123','139'] | Reference Text:  <S sid = 123 ssid = >(Kennedy and Boguraev, :1996)).</S><S sid = 139 ssid = >3 This rate of accuracy is clearly comparable to that of the Lappin/Leass algorithm, which (Lappin and Leass, \] 994) report as 85?/,,.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  C96-1021.txt | Citing Article:  W97-1307.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Part of the pronoun resolution performance here enables a preliminary comparison with the results reported in (1) Lappin and Leass (1994) and (2) Kennedy and Boguraev (1996).</S> | Reference Offset:  ['10','123'] | Reference Text:  <S sid = 10 ssid = >In this paper, we present work on modifying the lmp- pin/Leass algorithm in a way which enables it to work off a flat morpho-syntactic analysis of the sentences of a text, while retaining a degree of quality and accuracy in pronorainal anaphora resolution comparable to that reported in (Lappin and l,eass, 1994).</S><S sid = 123 ssid = >(Kennedy and Boguraev, :1996)).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  C96-1021.txt | Citing Article:  W97-1307.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >preferred candidate antecedents Kennedy and Boguraev (1996) approximated the above components with a poorer syntactic input, which is an output of a part-of-speech tagger with grammatical function information, plus NPs recognized by finite-state patterns and NPs &apos; adjunct and subordination contexts recognized by heuristics.</S> | Reference Offset:  ['14','123'] | Reference Text:  <S sid = 14 ssid = >The base level linguistic analysis for actaphora resolu- tion is the output of a part of speech tagger, augmented with syntactic function annotatkms for each input to.</S><S sid = 123 ssid = >(Kennedy and Boguraev, :1996)).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  C96-1021.txt | Citing Article:  W05-0612.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For example, we anticipate that sentences with quotation marks will be problematic, as other researchers have observed that quoted text requires special handling for pronoun resolution (Kennedy and Boguraev, 1996).</S> | Reference Offset:  ['123','149'] | Reference Text:  <S sid = 123 ssid = >(Kennedy and Boguraev, :1996)).</S><S sid = 149 ssid = >Ensuring proper interpretatkm of anaphors both within and outside of quoted text requires, in effect, a method of evaluating quoted speech separately from its surrotmdingcnntext.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  C96-1021.txt | Citing Article:  D09-1102.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['60','164'] | Reference Text:  <S sid = 60 ssid = >Following (Lappin and Leass, 1994), we will refer to these constraints as "salience factors".</S><S sid = 164 ssid = >The overall success of the algo- rithm is important, then, not only for the immediate utility of the particular modifications, but also because the strategy we have developed for circumventing the need for full syntactic analysis is applicable to other in- terpretation tasks which, like the problem of anaphora resolution, lie in the space of higher level semantic and discourse analysis.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  C96-1021.txt | Citing Article:  N09-1065.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['60','164'] | Reference Text:  <S sid = 60 ssid = >Following (Lappin and Leass, 1994), we will refer to these constraints as "salience factors".</S><S sid = 164 ssid = >The overall success of the algo- rithm is important, then, not only for the immediate utility of the particular modifications, but also because the strategy we have developed for circumventing the need for full syntactic analysis is applicable to other in- terpretation tasks which, like the problem of anaphora resolution, lie in the space of higher level semantic and discourse analysis.</S> | Discourse Facet:  NA | Annotator: Automatic


