Citance Number: 1 | Reference Article:  P03-1029.txt | Citing Article:  P04-3017.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Sudo et al (2003) acquired subtrees derived from dependency trees as extraction rules for IE in general domains.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We proposed a model based on arbitrary subtrees of dependency trees.</S><S sid = NA ssid = NA>The model of our previous work (Sudo et al., 2001) was based on the paths from predicate nodes in dependency trees.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  P03-1029.txt | Citing Article:  P06-2027.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In other closely related work, Sudo et al (2003) use frequent dependency subtrees as measured by TF*IDF to identify named entities and IE patterns important for a given domain.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The model of our previous work (Sudo et al., 2001) was based on the paths from predicate nodes in dependency trees.</S><S sid = NA ssid = NA>Furthermore, it is not clear whether the extracted entities are related to the same event, because of the clausal boundaries.4 Chain model Our previous work, the Chain model (Sudo et al., 2001)5 attempts to remedy the limitations of the Predicate-Argument model.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  P03-1029.txt | Citing Article:  P06-2027.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Following (Sudo et al, 2003) we are interested only in the lexemes which are near neighbors of the most frequent verbs.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In this section, we review two of the previous models in detail, namely the Predicate-Argument model (Yangarber et al., 2000) and the Chain model (Sudo et al., 2001).</S><S sid = NA ssid = NA>The following ranking function was used to rank each pattern candidate.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P03-1029.txt | Citing Article:  P06-2027.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Sudo et al (2003) evaluated how well their IE patterns captured named entities of three predefined types.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In this section, we review two of the previous models in detail, namely the Predicate-Argument model (Yangarber et al., 2000) and the Chain model (Sudo et al., 2001).</S><S sid = NA ssid = NA>Since all the slot-fillers in the extraction task of our experiment are assumed to be instances of the 150 classes in the extended Named Entity hierarchy (Sekine et al., 2002), further filtering was done by requiring a pattern candidate to contain at least one Named Entity class.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P03-1029.txt | Citing Article:  P05-1047.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In addition, Sudo et al (2003) proposed representations for IE patterns which extends the SVO representation used here and, while they did not appear to significantly improve IE, it is expected that it will be straightforward to extend the vector space model to those pattern representations.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Our research on improved representation models for extraction patterns is motivated by the limitations of the prior extraction pattern representations.</S><S sid = NA ssid = NA>In this section, we review two of the previous models in detail, namely the Predicate-Argument model (Yangarber et al., 2000) and the Chain model (Sudo et al., 2001).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P03-1029.txt | Citing Article:  W06-0202.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For example, Yangarber (2003) uses just subject-verb-object tuples while Sudo et al (2003) allow any subpart of the tree to act as an extraction pattern.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In the prior work on extraction pattern acquisition, the representation model of the patterns was based on a fixed set of pattern templates (Riloff, 1996), or predicate-argument relations, such as subject-verb, and object-verb (Yangarber et al., 2000).</S><S sid = NA ssid = NA>In this section, we review two of the previous models in detail, namely the Predicate-Argument model (Yangarber et al., 2000) and the Chain model (Sudo et al., 2001).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P03-1029.txt | Citing Article:  W06-0202.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Sudo et al (2003) compared three models in terms of their ability to identify event participants.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The compared models are the direct predicate-argument model (PA)9, and the Chain model (CH) in (Sudo et al., 2001).</S><S sid = NA ssid = NA>In this section, we review two of the previous models in detail, namely the Predicate-Argument model (Yangarber et al., 2000) and the Chain model (Sudo et al., 2001).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P03-1029.txt | Citing Article:  W06-0202.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This research is supported by the Defense Advanced Research Projects Agency as part of the Translingual Information Detection, Extraction and Summarization (TIDES) program, under Grant N66001-001-8917 from the Space and Naval Warfare Systems Center San Diego.</S><S sid = NA ssid = NA>Morphological analysis and Named Entities (NE) tagging are performed at this stage.7 Then all the sentences are converted into dependency trees by an appropriate dependency analyzer.$ The NE tagging dure, from lexicalized dependency to chunk-level dependency.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P03-1029.txt | Citing Article:  W06-0202.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Subtrees: The final model to be considered is the subtree model (Sudo et al, 2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In this section, we review two of the previous models in detail, namely the Predicate-Argument model (Yangarber et al., 2000) and the Chain model (Sudo et al., 2001).</S><S sid = NA ssid = NA>The compared models are the direct predicate-argument model (PA)9, and the Chain model (CH) in (Sudo et al., 2001).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P03-1029.txt | Citing Article:  E06-1052.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Sudo et al (2003) extract dependency subtrees within relevant documents as IE patterns.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We present an alternative model based on subtrees of dependency trees, so as to extract entities beyond direct predicate-argument relations.</S><S sid = NA ssid = NA>Given the dependency trees of parsed sentences in the relevant document set, all the possible subtrees can be candidates for extraction patterns.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P03-1029.txt | Citing Article:  N09-2043.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This research is supported by the Defense Advanced Research Projects Agency as part of the Translingual Information Detection, Extraction and Summarization (TIDES) program, under Grant N66001-001-8917 from the Space and Naval Warfare Systems Center San Diego.</S><S sid = NA ssid = NA>Morphological analysis and Named Entities (NE) tagging are performed at this stage.7 Then all the sentences are converted into dependency trees by an appropriate dependency analyzer.$ The NE tagging dure, from lexicalized dependency to chunk-level dependency.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P03-1029.txt | Citing Article:  N09-2043.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The subtree model considers all subtrees as pattern candidates (Sudo et al, 2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In this section, we review two of the previous models in detail, namely the Predicate-Argument model (Yangarber et al., 2000) and the Chain model (Sudo et al., 2001).</S><S sid = NA ssid = NA>The compared models are the direct predicate-argument model (PA)9, and the Chain model (CH) in (Sudo et al., 2001).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P03-1029.txt | Citing Article:  W06-1634.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This research is supported by the Defense Advanced Research Projects Agency as part of the Translingual Information Detection, Extraction and Summarization (TIDES) program, under Grant N66001-001-8917 from the Space and Naval Warfare Systems Center San Diego.</S><S sid = NA ssid = NA>Morphological analysis and Named Entities (NE) tagging are performed at this stage.7 Then all the sentences are converted into dependency trees by an appropriate dependency analyzer.$ The NE tagging dure, from lexicalized dependency to chunk-level dependency.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P03-1029.txt | Citing Article:  W06-0204.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For example, Sudo et al (2003) used patterns consisting of a path from a verb to any of its descendents (direct or indirect) while Bunescuand Mooney (2005) suggest the shortest path between the items being related.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In the prior work on extraction pattern acquisition, the representation model of the patterns was based on a fixed set of pattern templates (Riloff, 1996), or predicate-argument relations, such as subject-verb, and object-verb (Yangarber et al., 2000).</S><S sid = NA ssid = NA>The compared models are the direct predicate-argument model (PA)9, and the Chain model (CH) in (Sudo et al., 2001).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P03-1029.txt | Citing Article:  W06-0204.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>An additional advantage of linked chain patterns is that they do not cause an unwieldy number of candidate patterns to be generated unlike some other approaches for representing extraction patterns, such as the one proposed by Sudo et al (2003) where any subtree of the dependency tree can act as a potential pattern.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The extraction patterns generated by the Chain model are any chain-shaped paths in the dependency tree.6 Thus it successfully avoids the clausal boundary and embedded entity limitation.</S><S sid = NA ssid = NA>Several approaches have been described for the automatic unsupervised acquisition of patterns for information extraction.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  P03-1029.txt | Citing Article:  C08-1107.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Given a dependency parse tree, any sub-tree can be a candidate template, setting some of its nodes as variables (Sudo et al, 2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The model of our previous work (Sudo et al., 2001) was based on the paths from predicate nodes in dependency trees.</S><S sid = NA ssid = NA>Also, since the patterns with too much context are unlikely to match with new text, we added another filtering criterion based on the number of nodes in a pattern candidate; the maximum number of nodes is 8.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  P03-1029.txt | Citing Article:  W04-3206.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Three classes of syntactic template learning approaches are presented in the literature: learning of predicate argument templates (Yangarber et al, 2000), learning of syntactic chains (Lin and Pantel, 2001) and learning of sub-trees (Sudo et al, 2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In this section, we review two of the previous models in detail, namely the Predicate-Argument model (Yangarber et al., 2000) and the Chain model (Sudo et al., 2001).</S><S sid = NA ssid = NA>(e.g., “One person was killed as the result of a bomb explosion.”) Predicate-Argument model The PredicateArgument model is based on a direct syntactic relation between a predicate and its arguments1 (Yangarber et al., 2000).</S> | Discourse Facet:  NA | Annotator: Automatic


