Citance Number: 1 | Reference Article:  N04-1023.txt | Citing Article:  P13-2098.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This approach has successfully been applied in numerous Natural Language Processing (NLP) tasks including syntactic parsing (Collins and Koo, 2005), semantic parsing (Ge and Mooney, 2006), machine translation (Shen et al, 2004), spoken language understanding (Dinarelli et al, 2012), etc.</S> | Reference Offset:  ['9','42'] | Reference Text:  <S sid = 9 ssid = >Discriminative reranking algorithms have also contributed to improvements in natural language parsing and tagging performance.</S><S sid = 42 ssid = >Like machine translation, parsing is another field of natural language processing in which generative models have been widely used.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  N04-1023.txt | Citing Article:  C10-2043.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Moreover, our ranking model is related to reranking (Shen et al, 2004) in SMT as well.</S> | Reference Offset:  ['6','191'] | Reference Text:  <S sid = 6 ssid = >The noisy-channel model (Brown et al., 1990) has been the foundation for statistical machine translation (SMT) for over ten years.</S><S sid = 191 ssid = >(Shen and Joshi, 2004).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  N04-1023.txt | Citing Article:  W05-0908.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Work on discriminative reranking has been reported before by Och and Ney (2002), Och et al (2004), and Shen et al (2004).</S> | Reference Offset:  ['38','191'] | Reference Text:  <S sid = 38 ssid = >This approach used the same set of features as the alignment template approach in (Och and Ney, 2002).</S><S sid = 191 ssid = >(Shen and Joshi, 2004).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  N04-1023.txt | Citing Article:  N10-1040.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Traditionally, n-best rerankers (Shen et al, 2004) have applied expensive analysis after the translation process, on both the source and target side, though they suffer from being limited to whatever is on the n-best list (Hasan et al, 2007).</S> | Reference Offset:  ['2','41'] | Reference Text:  <S sid = 2 ssid = >For each sentence in the source language, we obtain from a baseline statistical machine translation system, a ranked best list of candidate translations in the target language.</S><S sid = 41 ssid = >By reranking a 1000-best list generated by the baseline MT system from Och (2003), the BLEU (Papineni et al., 2001) score on the test dataset was improved from 31.6% to 32.9%.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  N04-1023.txt | Citing Article:  D09-1112.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >It was also used also in (Shen et al, 2004) to re-rank different candidates of the same hypothesis for machine translation.</S> | Reference Offset:  ['109','151'] | Reference Text:  <S sid = 109 ssid = >For example, in our data set, the rank of a translation is only the rank among all the translations for the same sentence.</S><S sid = 151 ssid = >There are many candidates for .</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  N04-1023.txt | Citing Article:  D11-1102.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The same reranking schema has been used also in (Shen et al, 2004) for reranking different candidate hypotheses for machine translation.</S> | Reference Offset:  ['0','191'] | Reference Text:  <S sid = 0 ssid = >Discriminative Reranking For Machine Translation</S><S sid = 191 ssid = >(Shen and Joshi, 2004).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  N04-1023.txt | Citing Article:  P05-1069.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our modified training procedure is related to the discriminative re-ranking procedure presented in (Shen et al., 2004).</S> | Reference Offset:  ['120','191'] | Reference Text:  <S sid = 120 ssid = >We also experimented with an ordinal regression algorithm proposed in (Shen and Joshi, 2004).</S><S sid = 191 ssid = >(Shen and Joshi, 2004).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  N04-1023.txt | Citing Article:  W09-0435.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Shen et al (2004) and Och et al (2004) presented approaches to re-rank the output of the decoder using syntactic information.</S> | Reference Offset:  ['55','191'] | Reference Text:  <S sid = 55 ssid = >Two large margin approaches have been used.</S><S sid = 191 ssid = >(Shen and Joshi, 2004).</S> | Discourse Facet:  NA | Annotator: Automatic


