Citance Number: 1 | Reference Article:  A00-2024.txt | Citing Article:  W03-1102.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The recent approach for editing extracted text spans (Jing and McKeown,2000) may also produce improvement for our algorithm.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The task of the sentence reduction module, described in detail in (Jing, 2000), is to remove extraneous phrases from extracted sentences.</S><S sid = NA ssid = NA>However, instead of simply extracting sentences as current summarizers do, the cut and paste system will &quot;smooth&quot; the extracted sentences by editing them.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  A00-2024.txt | Citing Article:  I05-2009.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We found that the deletion of lead parts did not occur very often in our summary, unlike the case of Jing and McKeown (2000).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We evaluated the decomposition program by two experiments, described in (Jing and McKeown, 1999).</S><S sid = NA ssid = NA>The task of the sentence reduction module, described in detail in (Jing, 2000), is to remove extraneous phrases from extracted sentences.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  A00-2024.txt | Citing Article:  W09-0604.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The task of sentence compression (or sentence reduction) can be defined as summarizing a single sentence by removing information from it (Jing and McKeown, 2000).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The task of the sentence reduction module, described in detail in (Jing, 2000), is to remove extraneous phrases from extracted sentences.</S><S sid = NA ssid = NA>The major components of the system, including sentence reduction, sentence combination, decomposition, and sentence selection, are described in Section 4.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  A00-2024.txt | Citing Article:  W09-0604.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>First, splitting and merging of sentences (Jing and McKeown, 2000), which seems related to content planning and aggregation.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Related work is discussed in Section 6.</S><S sid = NA ssid = NA>The task of the sentence reduction module, described in detail in (Jing, 2000), is to remove extraneous phrases from extracted sentences.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  A00-2024.txt | Citing Article:  D10-1050.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Rewrite operations other than deletion tend to be hand-crafted and domain specific (Jing and McKeown, 2000).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Input to the system is a single document from any domain.</S><S sid = NA ssid = NA>(5) generalization or specification Replace phrases or clauses with more general or specific descriptions.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  A00-2024.txt | Citing Article:  W11-1605.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Jing and McKeown (2000) studied what edits people use to create summaries from sentences in the source text.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We use these heuristic rules to create a Hidden Markov Model.</S><S sid = NA ssid = NA>We found that reusing article text for summarization is almost universal in the corpus we studied.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  A00-2024.txt | Citing Article:  C10-1039.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Existing work in abstractive summarization has been quite limited and can be categorized into two categories: (1) approaches using prior knowledge (Radev and McKeown, 1998) (Finley and Harabagiu, 2002) (DeJong, 1982) and (2) approaches using Natural Language Generation (NLG) systems (Saggion and Lapalme, 2002) (Jing and McKeown, 2000).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We developed a sentence reduction module that makes reduction decisions using multiple sources of knowledge.</S><S sid = NA ssid = NA>However, the combination operations and combination rules that we derived from corpus analysis are significantly different from those used in the above system, which mostly came from operations in traditional natural language generation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  A00-2024.txt | Citing Article:  W09-2807.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Close to the problem studied here is Jing and McKeown's (Jing and McKeown,2000) cut-and-paste method founded on Endres Niggemeyer's observations.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We evaluated the decomposition program by two experiments, described in (Jing and McKeown, 1999).</S><S sid = NA ssid = NA>We also describe the six cut and paste operations.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  A00-2024.txt | Citing Article:  P13-1121.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Jing and McKeown (2000) manually analyzed 30 human-written summaries, and find that 19% of sentences can not be explained by cut-and-paste operations from the source text.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We also describe the six cut and paste operations.</S><S sid = NA ssid = NA>We manually analyzed 30 articles and their corresponding human-written summaries; the articles and their summaries come from different domains ( 15 general news reports, 5 from the medical domain, 10 from the legal domain) and the summaries were written by professionals from different organizations.</S> | Discourse Facet:  NA | Annotator: Automatic


