Citance Number: 1 | Reference Article:  P11-2033.txt | Citing Article:  W11-2153.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The present paper deals with five parsers evaluated within the translation frame work: three genuine dependency parsers, namely the parsers described in (McDonald et al, 2005), (Nivre et al, 2007), and (Zhang and Nivre, 2011), and two constituency parsers (Charniak and Johnson, 2005) and (Klein and Manning, 2003), whose outputs we reconverted to dependency structures by Penn Converter (Johansson and Nugues, 2007).</S> | Reference Offset:  ['7','15'] | Reference Text:  <S sid = 7 ssid = >Compared to graph-based dependency parsing, it typically offers linear time complexity and the comparative freedom to define non-local features, as exemplified by the comparison between MaltParser and MSTParser (Nivre et al., 2006b; McDonald et al., 2005; McDonald and Nivre, 2007).</S><S sid = 15 ssid = >Complex non-local features, such as bracket matching and rhythmic patterns, are used in transition-based constituency parsing (Zhang and Clark, 2009; Wang et al., 2006), and most transitionbased dependency parsers incorporate some nonlocal features, but current practice is nevertheless to use a rather restricted set of features, as exemplified by the default feature models in MaltParser (Nivre et al., 2006a).</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  P11-2033.txt | Citing Article:  P13-2019.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['27','76'] | Reference Text:  <S sid = 27 ssid = >Denoting the top of stack w – word; p – POS-tag; vl, vr – valency; l – dependency label, sl, sr – labelset. with S0, the front items from the queue with N0, N1, and N2, the head of S0 (if any) with S0h, the leftmost and rightmost modifiers of S0 (if any) with S0l and S0r, respectively, and the leftmost modifier of N0 (if any) with N0l, the baseline features are shown in Table 1.</S><S sid = 76 ssid = >Our scores for this test set are the best reported so far and significantly better than the previous systems.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  P11-2033.txt | Citing Article:  P13-2019.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our results are better than most systems on this data split, except Zhang and Nivre (2011), Li et al (2012) and Chen et al (2009).</S> | Reference Offset:  ['15','48'] | Reference Text:  <S sid = 15 ssid = >Complex non-local features, such as bracket matching and rhythmic patterns, are used in transition-based constituency parsing (Zhang and Clark, 2009; Wang et al., 2006), and most transitionbased dependency parsers incorporate some nonlocal features, but current practice is nevertheless to use a rather restricted set of features, as exemplified by the default feature models in MaltParser (Nivre et al., 2006a).</S><S sid = 48 ssid = >Unigram label information has been used in MaltParser (Nivre et al., 2006a; Nivre, 2006).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P11-2033.txt | Citing Article:  P13-2111.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Python implementation for the labeled arc-eager system with the rich feature set of Zhang and Nivre (2011) is available on the first author's homepage.</S> | Reference Offset:  ['21','50'] | Reference Text:  <S sid = 21 ssid = >Recent research have focused on action sets that build projective dependency trees in an arc-eager (Nivre et al., 2006b; Zhang and Clark, 2008) or arc-standard (Yamada and Matsumoto, 2003; Huang and Sagae, 2010) process.</S><S sid = 50 ssid = >We include information of third order dependency arcs in our new feature templates, when available.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P11-2033.txt | Citing Article:  P13-2111.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >ArcS use feature set of Huang and Sagae (2010) (50 templates), and ArcE that of Zhang and Nivre (2011) (72 templates).</S> | Reference Offset:  ['45','50'] | Reference Text:  <S sid = 45 ssid = >Such use is exemplified by the feature templates “from three words” in Table 1.</S><S sid = 50 ssid = >We include information of third order dependency arcs in our new feature templates, when available.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P11-2033.txt | Citing Article:  P12-1071.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Li11 refers to the second-order graph-based model of Li et al (2011), whereas Z&N11 is the feature-rich transition-based model of Zhang and Nivre (2011).</S> | Reference Offset:  ['0','35'] | Reference Text:  <S sid = 0 ssid = >Transition-based Dependency Parsing with Rich Non-local Features</S><S sid = 35 ssid = >It is worth noticing that the use of distance information in our transition-based model is different from that in a typical graph-based parser such as MSTParser.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P11-2033.txt | Citing Article:  P12-1110.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >More efficient decoding would also allow the use of the look-ahead features (Hatori et al, 2011) and richer parsing features (Zhang and Nivre, 2011).</S> | Reference Offset:  ['15','46'] | Reference Text:  <S sid = 15 ssid = >Complex non-local features, such as bracket matching and rhythmic patterns, are used in transition-based constituency parsing (Zhang and Clark, 2009; Wang et al., 2006), and most transitionbased dependency parsers incorporate some nonlocal features, but current practice is nevertheless to use a rather restricted set of features, as exemplified by the default feature models in MaltParser (Nivre et al., 2006a).</S><S sid = 46 ssid = >We further use their word and POS-tag information as “unigram” features in Table 2.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P11-2033.txt | Citing Article:  D12-1030.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Additionally, we look at higher-order dependency arc label features, which is novel to graph-based parsing, though commonly exploited in transition-based parsing (Zhang and Nivre, 2011).</S> | Reference Offset:  ['0','49'] | Reference Text:  <S sid = 0 ssid = >Transition-based Dependency Parsing with Rich Non-local Features</S><S sid = 49 ssid = >Third-order features of S0 and N0 Higher-order context features have been used by graph-based dependency parsers to improve accuracies (Carreras, 2007; Koo and Collins, 2010).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P11-2033.txt | Citing Article:  D12-1030.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The speed of our parser is 220 tokens per second, which is over 4 times faster than an exact third-order parser that at Figure 1: Example Sentence.tains UAS of 92.81% and comparable to the state-of the-art transition-based system of Zhang and Nivre (2011) that employs beam search.</S> | Reference Offset:  ['17','68'] | Reference Text:  <S sid = 17 ssid = >In standard experiments using the Penn Treebank, our parser gets an unlabeled attachment score of 92.9%, which is the best result achieved with a transition-based parser and comparable to the state of the art.</S><S sid = 68 ssid = >The speed of our baseline parser was 50 sentences per second.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P11-2033.txt | Citing Article:  D12-1030.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We compare our method to a state-of-the-art graph-based parser (Koo and Collins, 2010) as well as a state-of-the-art transition-based parser that uses a beam (Zhang and Nivre, 2011) and the dynamic programming transition-based parser of Huang and Sagae (2010). Additionally, we compare to our own implementation of exact first to third-order graph-based parsing and the transition-based system of Zhang and Nivre (2011) with varying beam sizes.</S> | Reference Offset:  ['42','74'] | Reference Text:  <S sid = 42 ssid = >Again, the use of valency information in our transition-based parser is different from the aforementioned graph-based models.</S><S sid = 74 ssid = >Table 5 shows the results of our final parser, the pure transition-based parser of Zhang and Clark (2008), and the parser of Huang and Sagae (2010) on Chinese.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P11-2033.txt | Citing Article:  D12-1030.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We also report results for a re-implementation of exact first to third-order graph-based parsing and a re-implementation of Zhang and Nivre (2011) in order to compare parser speed.</S> | Reference Offset:  ['49','74'] | Reference Text:  <S sid = 49 ssid = >Third-order features of S0 and N0 Higher-order context features have been used by graph-based dependency parsers to improve accuracies (Carreras, 2007; Koo and Collins, 2010).</S><S sid = 74 ssid = >Table 5 shows the results of our final parser, the pure transition-based parser of Zhang and Clark (2008), and the parser of Huang and Sagae (2010) on Chinese.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P11-2033.txt | Citing Article:  D12-1030.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Second, at a similar toks/sec parser speed, our method achieves better performance than the transition-based model of Zhang and Nivre (2011) with a beam of 256.</S> | Reference Offset:  ['38','68'] | Reference Text:  <S sid = 38 ssid = >We include similar information in our model.</S><S sid = 68 ssid = >The speed of our baseline parser was 50 sentences per second.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P11-2033.txt | Citing Article:  D12-1030.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Here we use the identical training/validation/evaluation splits and experimental set-up as Zhang and Nivre (2011).</S> | Reference Offset:  ['45','60'] | Reference Text:  <S sid = 45 ssid = >Such use is exemplified by the feature templates “from three words” in Table 1.</S><S sid = 60 ssid = >For all experiments, we set the beam size to 64 for the parser, and report unlabeled and labeled attachment scores (UAS, LAS) and unlabeled exact match (UEM) for evaluation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P11-2033.txt | Citing Article:  D12-1030.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Here we compare to our re-implementations of Zhang and Nivre (2011), exact first to third-order parsing and Rush and Petrov (2012) for the data sets in which they reported results.</S> | Reference Offset:  ['3','21'] | Reference Text:  <S sid = 3 ssid = >In the standard Penn Treebank setup, our novel features improve attachment score form 91.4% to 92.9%, giving the best results so far for transitionbased parsing and rivaling the best results overall.</S><S sid = 21 ssid = >Recent research have focused on action sets that build projective dependency trees in an arc-eager (Nivre et al., 2006b; Zhang and Clark, 2008) or arc-standard (Yamada and Matsumoto, 2003; Huang and Sagae, 2010) process.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P11-2033.txt | Citing Article:  D12-1030.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Zhang and Nivre is a reimplementation of Zhang and Nivre (2011) with beams of size 64 and 256.</S> | Reference Offset:  ['48','60'] | Reference Text:  <S sid = 48 ssid = >Unigram label information has been used in MaltParser (Nivre et al., 2006a; Nivre, 2006).</S><S sid = 60 ssid = >For all experiments, we set the beam size to 64 for the parser, and report unlabeled and labeled attachment scores (UAS, LAS) and unlabeled exact match (UEM) for evaluation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  P11-2033.txt | Citing Article:  D12-1030.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For reference, Zhang and Nivre (2011) report 86.0/84.4, which is previously the best result reported on this data set.</S> | Reference Offset:  ['18','76'] | Reference Text:  <S sid = 18 ssid = >For the Chinese Treebank, our parser gets a score of 86.0%, the best reported result so far.</S><S sid = 76 ssid = >Our scores for this test set are the best reported so far and significantly better than the previous systems.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  P11-2033.txt | Citing Article:  P13-1014.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our feature template is an extended version of the feature template of Zhang and Nivre (2011), originally developed for the arc-eager model.</S> | Reference Offset:  ['21','30'] | Reference Text:  <S sid = 21 ssid = >Recent research have focused on action sets that build projective dependency trees in an arc-eager (Nivre et al., 2006b; Zhang and Clark, 2008) or arc-standard (Yamada and Matsumoto, 2003; Huang and Sagae, 2010) process.</S><S sid = 30 ssid = >For example, S0pN0wp represents the feature template that takes the word and POS-tag of N0, and combines it with the word of S0.</S> | Discourse Facet:  NA | Annotator: Automatic


