Citance Number: 1 | Reference Article:  J97-1002.txt | Citing Article:  W99-0304.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['104','307'] | Reference Text:  <S sid = 104 ssid = >3.2.5 The CLARIFY Move.</S><S sid = 307 ssid = >We would like to thank our anonymous reviewers for their comments on the draft manuscript.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  J97-1002.txt | Citing Article:  P04-1088.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >To put Table 8 in perspective, note that expert human coders achieved= 0.83 on DA classification for MapTask, but also had available the speech source (Carletta et al, 1997).</S> | Reference Offset:  ['32','273'] | Reference Text:  <S sid = 32 ssid = >All levels of the dialogue coding are described in detail in Carletta et al. (1996).</S><S sid = 273 ssid = >Note that the expert interacted minimally with the coders, and therefore differences were not due to training.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  J97-1002.txt | Citing Article:  P04-1088.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We also compared the confusion matrix from (Carletta et al, 1997) with the confusion matrix we obtained for our best result on MapTask (FLSA using Game+ Speaker).</S> | Reference Offset:  ['202','240'] | Reference Text:  <S sid = 202 ssid = >This confusion was general, suggesting that it might be useful to think more carefully about the difference between answering a question and providing further information.</S><S sid = 240 ssid = >There was also confusion about whether a game with an agreed beginning was embedded or not (K = .46).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  J97-1002.txt | Citing Article:  E99-1037.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The same type of structures is also used in the analysis of dialogues, e.g. (Carletta et al., 1997).</S> | Reference Offset:  ['32','211'] | Reference Text:  <S sid = 32 ssid = >All levels of the dialogue coding are described in detail in Carletta et al. (1996).</S><S sid = 211 ssid = >Combining categories, agreement was also very good (K = .89) for whether a move was an initiation type or a response or ready type.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  J97-1002.txt | Citing Article:  W05-0619.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Another common agreement metric is the kappa coefficient which normalises token level accuracy by chance, e.g. Carletta et al (1997).</S> | Reference Offset:  ['92','169'] | Reference Text:  <S sid = 92 ssid = >F: To the level of what?</S><S sid = 169 ssid = >It has been argued elsewhere (Carletta 1996) that since the amount of agreement one would expect by chance depends on the number and relative frequencies of the categories under test, reliability for category classifications should be measured using the kappa coefficient.'</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  J97-1002.txt | Citing Article:  P06-1026.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Other tagging schemes, such as the Maptask scheme (Carletta et al., 1997), are also too general for our purposes.</S> | Reference Offset:  ['32','286'] | Reference Text:  <S sid = 32 ssid = >All levels of the dialogue coding are described in detail in Carletta et al. (1996).</S><S sid = 286 ssid = >This is a general problem for discourse and dialogue segmentation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  J97-1002.txt | Citing Article:  P06-1026.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For dialog act labeling, we built models from our corpus and from the Maptask (Carletta et al, 1997).</S> | Reference Offset:  ['5','32'] | Reference Text:  <S sid = 5 ssid = >The purpose of this paper is to introduce and describe the reliability of a scheme of dialogue coding distinctions that have been developed for use on the Map Task Corpus (Anderson et al. 1991).</S><S sid = 32 ssid = >All levels of the dialogue coding are described in detail in Carletta et al. (1996).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  J97-1002.txt | Citing Article:  W10-1841.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This kind of multi-level assessment corresponds to that described and used in Carletta et al, (1997).</S> | Reference Offset:  ['32','92'] | Reference Text:  <S sid = 32 ssid = >All levels of the dialogue coding are described in detail in Carletta et al. (1996).</S><S sid = 92 ssid = >F: To the level of what?</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  J97-1002.txt | Citing Article:  D08-1100.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Many such models focus on other aspects of a dialog such as coordinated activities ,i.e. turn-taking and grounding, (Traum and Hinkelman, 1992) and regular patterns in the dialog (Carletta et al, 1997) rather than the domain-specific information communicated by participants.</S> | Reference Offset:  ['32','76'] | Reference Text:  <S sid = 32 ssid = >All levels of the dialogue coding are described in detail in Carletta et al. (1996).</S><S sid = 76 ssid = >They are also quite often questions that serve to focus the attention of the partner on a particular part of the map or that ask for domain or task information where the speaker does not think that information can be inferred from the dialogue context.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  J97-1002.txt | Citing Article:  D08-1100.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Note that we are interested in the process of designing a domain-specific tag set from the definitions of task, subtask, and concept provided by the framework, not in the process of using an existing tag set to annotate data (see for example (Carletta et al, 1997)).</S> | Reference Offset:  ['10','80'] | Reference Text:  <S sid = 10 ssid = >Alexandersson et al. (1995) devise a set of 17 &quot;speech acts&quot; that occur in dialogues between people setting the date for a business meeting; some of these speech acts are task-specific.</S><S sid = 80 ssid = >This includes questions that ask the partner to choose one alternative from a set, as long as the set is not yes and no.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  J97-1002.txt | Citing Article:  C08-1123.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Again, according to the work of Carletta et al (1997), a minimum kappa score of 0.67 is required to draw tentative conclusions.</S> | Reference Offset:  ['32','173'] | Reference Text:  <S sid = 32 ssid = >All levels of the dialogue coding are described in detail in Carletta et al. (1996).</S><S sid = 173 ssid = >Using a, a generalized version of kappa, which also works for ordinal, interval, and ratio-scaled data, he remarks that a reasonable rule of thumb for associations between two variables that both rely on subjective distinctions is to require a > .8, with .67 < a < .8 allowing tentative conclusions to be drawn.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  J97-1002.txt | Citing Article:  W99-0307.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This position was taken by other computational linguists as well (Carletta et al, 1997, p. 25).</S> | Reference Offset:  ['32','303'] | Reference Text:  <S sid = 32 ssid = >All levels of the dialogue coding are described in detail in Carletta et al. (1996).</S><S sid = 303 ssid = >The move categories themselves have been incorporated into a computational model of move goals within a spoken dialogue system in order to help the system predict what move the user is making (Lewin et al. 1993).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  J97-1002.txt | Citing Article:  W99-0307.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For example, Carletta et al (1997) computed agreement on a coarse segmentation level that was constructed on the top of finer segments, by determining how well coders agreed on where the coarse segments started, and, for agreed starts, by computing how coders agreed on where coarse segments ended.</S> | Reference Offset:  ['207','242'] | Reference Text:  <S sid = 207 ssid = >Note that it is only possible to measure reliability of move classification over move segments where the boundaries were agreed.</S><S sid = 242 ssid = >Using just the games for which all four coders agreed on the beginning, the coders reached 65% pairwise percent agreement on where the game ended.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  J97-1002.txt | Citing Article:  N03-2032.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Redo our experiments on other corpora, such as Map Task (Carletta et al., 1997).</S> | Reference Offset:  ['32','75'] | Reference Text:  <S sid = 32 ssid = >All levels of the dialogue coding are described in detail in Carletta et al. (1996).</S><S sid = 75 ssid = >In the Map Task, these questions are most often about what the partner has on the map.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  J97-1002.txt | Citing Article:  P11-2042.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The monologue side has been annotated with discourse relations, using an adaptation of the annotation guidelines of Carlson and Marcu (2001), whereas the dialogue side has been marked up with dialogue acts, using tags inspired by the schemes of Bunt (2000), Carletta et al. (1997) and Core and Allen (1997).</S> | Reference Offset:  ['32','286'] | Reference Text:  <S sid = 32 ssid = >All levels of the dialogue coding are described in detail in Carletta et al. (1996).</S><S sid = 286 ssid = >This is a general problem for discourse and dialogue segmentation.</S> | Discourse Facet:  NA | Annotator: Automatic


