Citance Number: 1 | Reference Article:  P07-1036.txt | Citing Article:  P08-1099.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We achieve competitive performance in comparison to alternate model families, in particular generative models such as MRFs trained with EM (Haghighi and Klein, 2006) and HMMs trained with soft constraints (Chang et al, 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>(Grenager et al., 2005) and (Haghighi and Klein, 2006) also report results for semi-supervised learning for these domains.</S><S sid = NA ssid = NA>(Haghighi and Klein, 2006) also worked on one of our data sets.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  P07-1036.txt | Citing Article:  C10-2137.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Part of this work was done while Dan Roth visited the Technion, Israel, supported by a Lady Davis Fellowship.</S><S sid = NA ssid = NA>Acknowledgments: This work is supported by NSF SoDHCER-0613885 and by a grant from Boeing.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P07-1036.txt | Citing Article:  N12-1008.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Likewise, Chang et al (2007) use constraints at multiple levels, such as sentence-level constraints to specify field boundaries and global constraints to ensure relation-level consistency.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We also make use of soft constraints and, furthermore, extend the notion of soft constraints to account for multiple levels of constraints’ violation.</S><S sid = NA ssid = NA>We use two constraints to illustrate the ideas.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P07-1036.txt | Citing Article:  N12-1053.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Chang et al (2007) use a set of domain specific rules as automatic implicit feedback for training information extraction system.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Our novel framework unifies can exploit several kinds of specific The experimental results presented in the information extraction domain demonstrate that applying constraints helps the model to generate better feedback during learning, and hence the framework allows for high performance learning with significantly less training data than was possible before on these tasks.</S><S sid = NA ssid = NA>In the semi-supervised domain there are two main approaches for injecting domain specific knowledge.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P07-1036.txt | Citing Article:  D09-1134.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We compare our CRF model integrated with VE with two state-of-the-art models, i.e., constraint driven learning (Chang et al, 2007) and generalized expectation criteria (Mann and McCallum, 2008).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This is done by constraining the HMM transition matrix, which can be done also for other models, such as CRF.</S><S sid = NA ssid = NA>Guiding Semi-Supervision with Constraint-Driven Learning</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P07-1036.txt | Citing Article:  D09-1134.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Constraint-driven learning (Chang et al, 2007) expresses several kinds of constraints in a unified form.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Guiding Semi-Supervision with Constraint-Driven Learning</S><S sid = NA ssid = NA>In this section we present a new constraint-driven learning algorithm (CODL) for using constraints to guide semi-supervised learning.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P07-1036.txt | Citing Article:  D09-1134.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Part of this work was done while Dan Roth visited the Technion, Israel, supported by a Lady Davis Fellowship.</S><S sid = NA ssid = NA>Acknowledgments: This work is supported by NSF SoDHCER-0613885 and by a grant from Boeing.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P07-1036.txt | Citing Article:  D12-1099.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Chang et al 2007) incorporates domain specific constraints in semi-supervised learning.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In the semi-supervised domain there are two main approaches for injecting domain specific knowledge.</S><S sid = NA ssid = NA>The semi-supervised learning with constraints is done with an EM-like procedure.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P07-1036.txt | Citing Article:  D11-1006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The learning algorithm in Figure 2 is an instance of augmented-loss training (Hall et al, 2011) which is closely related to the constraint driven learning algorithms of Chang et al (2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In this section we present a new constraint-driven learning algorithm (CODL) for using constraints to guide semi-supervised learning.</S><S sid = NA ssid = NA>Our training algorithm is summarized in Figure 2.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P07-1036.txt | Citing Article:  P12-1088.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Note that the objective function in Equation 5, if written in the additive form, leads to a cost function reminiscent of the one used in constraint-driven learning algorithm (CoDL) (Chang et al, 2007) (and similarly, posterior regularization (Ganchev et al, 2010), which we will discuss later at Section 6).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In this section we present a new constraint-driven learning algorithm (CODL) for using constraints to guide semi-supervised learning.</S><S sid = NA ssid = NA>The function d(y, 1C(x)) used is an approximation of a Hamming distance function, discussed in Section 7.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P07-1036.txt | Citing Article:  P12-1088.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Constraint-driven learning (CoDL) (Chang et al, 2007) and posterior regularization (PR) (Ganchev et al., 2010) are both primarily semi-supervised models.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In this section we present a new constraint-driven learning algorithm (CODL) for using constraints to guide semi-supervised learning.</S><S sid = NA ssid = NA>Guiding Semi-Supervision with Constraint-Driven Learning</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P07-1036.txt | Citing Article:  N10-1111.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Most semi-supervised learning algorithms rely on marginals (GE, Mann and McCallum, 2008) or MAP assignments (CODL, Chang et al, 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In this section we present a new constraint-driven learning algorithm (CODL) for using constraints to guide semi-supervised learning.</S><S sid = NA ssid = NA>In this paper, we suggest a method for incorporating domain knowledge in semi-supervised learning algorithms.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P07-1036.txt | Citing Article:  N10-1111.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>corresponds to constraint satisfaction weights used in (Chang et al, 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>(Punyakanok et al., 2005; Toutanova et al., 2005; Roth and Yih, 2005).</S><S sid = NA ssid = NA>We used maximum likelihood estimation of A but, in general, perceptron or quasiNewton can also be used.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P07-1036.txt | Citing Article:  N10-1111.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Chang et al propose constraint-driven learning (CODL, Chang et al, 2007) which can be interpreted as a variation of self-training: Instances are selected for supervision based not only on the model's prediction, but also on their consistency with a set of user-defined constraints.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Guiding Semi-Supervision with Constraint-Driven Learning</S><S sid = NA ssid = NA>Another way to look the algorithm is from the self-training perspective (McClosky et al., 2006).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  P07-1036.txt | Citing Article:  N10-1111.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We use the same token label constraints as Chang et al (2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Our algorithm pushes this intuition further, in that the use of constraints allows us to better exploit domain information as a way to label, along with the current learned model, unlabeled examples.</S><S sid = NA ssid = NA>While the predicted label assignment (b) is generally coherent, some constraints are violated.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  P07-1036.txt | Citing Article:  N10-1111.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We also report supervised results from (Chang et al, 2007) and SampleRank.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>(Grenager et al., 2005) and (Haghighi and Klein, 2006) also report results for semi-supervised learning for these domains.</S><S sid = NA ssid = NA>However, in the general case, semi-supervised approaches give mixed results, and sometimes even degrade the model performance (Nigam et al., 2000).</S> | Discourse Facet:  NA | Annotator: Automatic


