Citance Number: 1 | Reference Article:  C90-2039.txt | Citing Article:  P99-1061.txt | Citation Marker Offset: ['48'] | Citation Marker:  Kogure, 1990 | Citation Offset:  ['48'] | Citation Text:  <S sid ="48" ssid = "28">While an improvement over simple destructive unification, Tomabechi&apos;s approach still suffers from what Kogure (Kogure, 1990) calls redundant copying.</S> | Reference Offset:  ['21', '22','23'] | Reference Text:  <S sid ="21" ssid = "21">itowever, the problem with his method is that a unitication result graph consists only of newly created structures.</S><S sid ="22" ssid = "22">This is unnecessary because there are often input snbgraphs that can be used as part of the result graph without any modification, or as sharable parts between one of the input graphs and the result graph.</S><S sid ="23" ssid = "23">Copying sharable parts is called redundant copying.</S> | Discourse Facet:  Implication_Citation | Annotator:  Kokil Jaidka, NTU |
Citance Number: 5 | Reference Article:  C90-2039.xml | Citing Article:  E93-1008.xml | Citation Marker Offset:  ['49'] | Citation Marker:  Kogure, 1990 | Citation Offset:  ['49'] | Citation Text: <S sid ="49" ssid = "29">The lazy copying approach ([Kogure, 1990], and [Emele, 1991] for lazy copying in TFS with historical backtracking) copies only overlapping parts of the structure.</S> | Reference Offset:  ['39', '40', '78'] | Reference Text:  <S sid ="39" ssid = "39">This paper proposes an FS unification method that allows structure sharing with constant m&apos;der node access time.</S><S sid ="40" ssid = "40">This method achieves structure sharing by introducing lazy copying to Wroblewski&apos;s incremental copy graph unification method.</S><S sid ="78" ssid = "22">Then, the unification of tl anti t2 is defined as their greatest lower bound or the meet.</S> | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka, NTU |


Citance Number: 6 | Reference Article:  C90-2039.xml | Citing Article:  C92-2068.xml | Citation Marker Offset:  ['21'] | Citation Marker:  Kogure, 1990 | Citation Offset:  ['21'] | Citation Text:  <S sid ="21" ssid = "21">• Data-Structure Sharing: Two or more distinct graphs share the same subgraph by converging on the same node the notion of structure-sharing at the data structure level. [Kogure, 1990] calls copying of such structures Redundant Copying.</S> | Reference Offset:  ['23', '205'] | Reference Text:  <S sid ="23" ssid = "23">Copying sharable parts is called redundant copying.</S><S sid ="205" ssid = "4">Furthermore, structure sharing increases the portion of token identical substructures of FSs which makes it efficient to keep unification results of substructures of FSs and reuse them.</S> | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka, NTU |


Citance Number: 7 | Reference Article:  C90-2039.xml | Citing Article:  P91-1041.xml | Citation Marker Offset:  ['16'] | Citation Marker:  Kogure, 1990 | Citation Offset:  ['16'] | Citation Text:  <S sid ="16" ssid = "16">2In the large-scale HPSG-based spoken Japanese analysis system developed at ATR, sometimes 98 percent of the elapsed time is devoted to graph unification ([Kogure, 1990]).</S> | Reference Offset:  ['205'] | Reference Text:  <S sid ="205" ssid = "4">Furthermore, structure sharing increases the portion of token identical substructures of FSs which makes it efficient to keep unification results of substructures of FSs and reuse them.</S> | Discourse Facet:  Implication_Citation | Annotator:  Kokil Jaidka, NTU |


Citance Number: 8 | Reference Article:  C90-2039.xml | Citing Article:  P91-1041.xml | Citation Marker Offset:  ['230'] | Citation Marker:  Kogure, 1990 | Citation Offset:  ['230'] | Citation Text:  <S sid ="230" ssid = "9">That is, unless some new scheme for reducing excessive copying is introduced such as scucture-sharing of an unchanged shared-forest ([Kogure, 1990]).</S> | Reference Offset:  ['11','14'] | Reference Text:  <S sid ="11" ssid = "11">For example, a spoken Present.</S><S sid ="14" ssid = "14">Japanese analysis system based on llPSG[Kogure 891 uses 90% - 98% of the elapsed time in FS unification.</S> | Discourse Facet:  Results_Citation | Annotator:  Kokil Jaidka, NTU |


Citance Number: 9 | Reference Article:  C90-2039.xml | Citing Article:  C94-2143.xml | Citation Marker Offset:  ['56'] | Citation Marker:  Kogure, 1990 | Citation Offset:  ['56'] | Citation Text:  <S sid ="56" ssid = "11">A more eNcient unification algorithm would avoid this redundant copying (copying structures that can be shared by the input and resultant graphs) (Kogure, 1990).</S> | Reference Offset:  [203', '22', '23', '24'] | Reference Text:  <S sid ="203" ssid = "2">The LING unification method achieves structure sharing without the O(log d) data access overhead of Pereira&apos;s method.</S><S sid ="22" ssid = "22">This is unnecessary because there are often input snbgraphs that can be used as part of the result graph without any modification, or as sharable parts between one of the input graphs and the result graph.</S><S sid ="23" ssid = "23">Copying sharable parts is called redundant copying.</S><S sid ="24" ssid = "24">A better method would nfinimize the copying of sharable varts.</S> | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka, NTU |


Citance Number: 10 | Reference Article:  C90-2039.xml | Citing Article:  C94-2143.xml | Citation Marker Offset:  ['69'] | Citation Marker:  Kogure, 1990 | Citation Offset:  ['69'] | Citation Text:  <S sid ="69" ssid = "24">Kogure (1990) proposed a lazy incremental copy graph (LING) unification that uses dependency-directed eol)yiug</S> | Reference Offset:  ['22','23','24'] | Reference Text: <S sid ="22" ssid = "22">This is unnecessary because there are often input snbgraphs that can be used as part of the result graph without any modification, or as sharable parts between one of the input graphs and the result graph.</S><S sid ="23" ssid = "23">Copying sharable parts is called redundant copying.</S><S sid ="24" ssid = "24">A better method would nfinimize the copying of sharable varts.</S> | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka, NTU |


Citance Number: 11 | Reference Article:  C90-2039.xml | Citing Article:  P91-1042.xml | Citation Marker Offset:  ['37'] | Citation Marker:  Kogure 90 | Citation Offset:  ['37'] | Citation Text:  <S sid ="37" ssid = "37">A better method would avoid (eliminate) such redundant copying as it is called by [Kogure 90].</S> | Reference Offset:  ['23','24'] | Reference Text:  <S sid ="23" ssid = "23">Copying sharable parts is called redundant copying.</S><S sid ="24" ssid = "24">A better method would nfinimize the copying of sharable varts.</S> | Discourse Facet:  Implication_Citation | Annotator:  Kokil Jaidka, NTU |


Citance Number: 12 | Reference Article:  C90-2039.xml | Citing Article:  P91-1042.xml | Citation Marker Offset:  ['116'] | Citation Marker:  Kogure 90 | Citation Offset:  ['116','117','118','124'] | Citation Text:  <S sid ="116" ssid = "116">As it has been noticed by [Godden 90] and [Kogure 90], the key idea of avoiding &quot;redundant copying&quot; is to do copying lazily.</S><S sid ="117" ssid = "117">Copying of nodes will be delayed until a destructive change is about to take place.</S><S sid ="118" ssid = "118">Kogure uses a revised copynode procedure which maintains copy dependency information in order to avoid immediate copying.</S><S sid ="124" ssid = "124">Similarly, in Kogure&apos;s approach, not all redundant copying is avoided in cases where there exists a feature path (a sequence of nodes connected by arcs) to a node that needs to be copied.</S> | Reference Offset:  ['23','141','142'] | Reference Text:  <S sid ="23" ssid = "23">Copying sharable parts is called redundant copying.</S><S sid ="141" ssid = "2">5 disables structure sharing, ttowever, this whole copying is not necessary if a lazy evaluation method is used.</S><S sid ="142" ssid = "3">With such a method, it is possible to delay copying a node until either its own contents need to change (e.g., node G3/Ka c !7&gt;) or until it is found to have an arc (sequence) to a node t, hat needs to be copied (e.g., node X G3/&lt;a c&gt; in Fig.</S> | Discourse Facet:  Aim_Citation | Annotator:  Kokil Jaidka, NTU |


Citance Number: 13 | Reference Article:  C90-2039.xml | Citing Article:  W97-1503.xml | Citation Marker Offset:  ['136'] | Citation Marker:  Kogure, 1990 | Citation Offset:  ['136'] | Citation Text:  <S sid ="136" ssid = "136">PM can also choose among different unification algorithms that have been designed to: * carefully control and minimize the amount of copying needed with non-deterministic parsing schemata (Wroblewski, 1987) (Kogure, 1990);</S> | Reference Offset:  ['24'] | Reference Text:  <S sid ="24" ssid = "24">A better method would nfinimize the copying of sharable varts.</S> | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka, NTU |


