Citance Number: 1 | Reference Article:  W98-1119.txt | Citing Article:  E99-1031.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Treebank texts contain complete structural parsers, POS tags, and annotation of the antecedents of definite pronouns (added by Ge et al 1998).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In fact, the only part-of-speech tags necessary are those indicating nouns and pronouns.</S><S sid = NA ssid = NA>We see a significant improvement after the word knowledge is added to the program.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  W98-1119.txt | Citing Article:  C00-1031.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In other cases, these modules are integrated by means of statistical (Ge et al, 1998) or uncertainty reasoning techniques (Mitkov, 1997).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The algorithm has two modules.</S><S sid = NA ssid = NA>(Mitkov (1997) does a detailed study on factors in anaphora resolution.)</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  W98-1119.txt | Citing Article:  H05-1003.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Ge et al 1998) incorporate gender, number, and animaticity information into a statistical model for anaphora resolution by gathering coreference statistics on particular nominal-pronoun pairs.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We incorporate multiple anaphora resolution factors into a statistical framework — specifically the distance between the pronoun and the proposed antecedent, gender/number/animaticity of the proposed antecedent, governing head information and noun phrase repetition.</S><S sid = NA ssid = NA>A Statistical Approach To Anaphora Resolution</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  W98-1119.txt | Citing Article:  C04-1074.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Thus the size of the annotated data (3,115 personal pronouns, 2,198 possessive pronouns, 928 demonstrative pronouns) compares favourably with the size of evaluation data in other proposals (619 German pronouns in (Strube and Hahn, 1999), 2,477 English pronouns in (Ge et al, 1998), about 5,400 English coreferential expressions in (Ng and Cardie, 2002)).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>By collating by referent and abstracting away to the gender classes of pronouns, rather than individual pronouns, we have the relative frequencies with which a given referent is referred to by pronouns of each gender class.</S><S sid = NA ssid = NA>On the intuition pronouns closely follow their referents, this heuristic simply keeps track of the last noun seen and submits that noun as the referent of any pronouns following.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  W98-1119.txt | Citing Article:  C04-1074.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Exceptions are existant but few (2.5%): abstract pronouns (such as that in English) referring to non neuter or plural NPs, plural pronouns co-referring with singular collective NPs (Ge et al, 1998), antecedent and anaphor matching in natural gender rather than grammatical gender.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Generally, a singular pronoun cannot refer to a plural noun phrase. so that in resolving such a pronoun any plural candidates should be ruled out.</S><S sid = NA ssid = NA>By collating by referent and abstracting away to the gender classes of pronouns, rather than individual pronouns, we have the relative frequencies with which a given referent is referred to by pronouns of each gender class.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  W98-1119.txt | Citing Article:  C04-1074.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Ge et al (1998) try to factorize the same principle by counting the number of times a discourse entities has been mentioned in the discourse already.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The training corpus is marked with the number of times a referent has been mentioned up to that point in the story.</S><S sid = NA ssid = NA>References by pronouns are closely related to the topic or the center of the discourse.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  W98-1119.txt | Citing Article:  C04-1074.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Like (Ge et al, 1998), Strube (1998) evaluates on ideal hand annotated data.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Nor do we use the gender/animiticity information gathered from the much smaller hand-marked text, both because we were interested in seeing what unsupervised learning could accomplish, and because we were concerned with inheriting strong biases from the limited hand-marked data.</S><S sid = NA ssid = NA>This program differs from earlier work in its almost complete lack of hand-crafting, relying instead on a very small corpus of Penn Wall Street Journal Tree-bank text (Marcus et al., 1993) that has been marked with co-reference information.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  W98-1119.txt | Citing Article:  C04-1074.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The authors would like to thank Mark Johnson and other members of the Brown NLP group for many useful ideas and NSF and ONR for support (NSF grants IRI-9319516 and SBR9720368, ONR grant N0014-96-1-0549).</S><S sid = NA ssid = NA>Selectively applying the chain rule results in equations (3) and (4).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  W98-1119.txt | Citing Article:  C04-1074.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Ge et al (1998)'s probabilistic approach combines three factors (aside from the agreement filter): the result of the Hobbs algorithm, Mention Count dependent on the position of the sentence in the article, and the probability of the antecedent occur ring in the local context of the pronoun.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We also observe that the position of a pronoun in a story influences the mention count of its referent.</S><S sid = NA ssid = NA>We measure position by the sentence number, j.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  W98-1119.txt | Citing Article:  P07-1107.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The choice of entities may reasonably be considered to be independent given the mixing weights, but how we realize an entity is strongly dependent on context (Ge et al, 1998).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The more frequently an entity is repeated, the more likely it is to be the topic of the story and thus to be a candidate for pronominalization.</S><S sid = NA ssid = NA>When viewed in this way, a can be regarded as an index into these vectors that specifies which value is relevant to the particular choice of antecedent.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  W98-1119.txt | Citing Article:  P07-1107.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Ge et al (1998) exploit a similar idea to assign gender to proper mentions.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The idea is similar to that used in the centering approach (Brennan et al., 1987) where a continued topic is the highest-ranked candidate for pronominalization.</S><S sid = NA ssid = NA>The mention information gives the system some idea of the story's focus.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  W98-1119.txt | Citing Article:  W05-0612.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Implementation of constraints and preferences can be based on empirical insight (Lappin and Leass, 1994), or machine learning from a reference annotated corpus (Ge et al, 1998).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Lappin and Leass (1994) report on a (essentially non-statistical) approach that relies on salience measures derived from syntactic structure and a dynamic model of attentional state.</S><S sid = NA ssid = NA>Mitkov (1997) describes an approach that uses a set of factors as constraints and preferences.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  W98-1119.txt | Citing Article:  W05-0612.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>There are also approaches to anaphora resolution using unsupervised methods to extract useful information, such as gender and number (Ge et al, 1998), or contextual role-knowledge (Bean and Riloff, 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This indicates that syntax does play a very important role in anaphora resolution.</S><S sid = NA ssid = NA>A Statistical Approach To Anaphora Resolution</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  W98-1119.txt | Citing Article:  W05-0612.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Incorporating context only through the governing constituent was also done in (Ge et al, 1998).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We hoped that the knowledge about the governing constituent would, like gender and animaticity, make a large contribution.</S><S sid = NA ssid = NA>To this end, we ran the program &quot;incrementally&quot;, each time incorporating one more probability.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  W98-1119.txt | Citing Article:  A00-2003.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Ge et al (1998) describe a supervised probabilistic pronoun resolution algorithm which is based on complete syntactic information.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>There are many factors, both syntactic and semantic, upon which a pronoun resolution system relies.</S><S sid = NA ssid = NA>This paper presents an algorithm for identifying pronominal anaphora and two experiments based upon this algorithm.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  W98-1119.txt | Citing Article:  A00-2003.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Their factors are taken from Ge et al (1998), with two exceptions.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>There are many factors, both syntactic and semantic, upon which a pronoun resolution system relies.</S><S sid = NA ssid = NA>We are also interested in finding the relative importance of each probability (i.e. each of the four factors in equation (8) in pronoun resolution.</S> | Discourse Facet:  NA | Annotator: Automatic


