Citance Number: 1 | Reference Article:  W02-1210.txt | Citing Article:  W03-0906.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['63','202'] | Reference Text:  <S sid = 63 ssid = >Using this mechanism, it is possible to control the sequence of verbal endings: Verb stems select verbal endings via SPEC and take no SPR, derivational morphemes (like causative or potential) select tense endings or other derivational morphemes via MARK and subcategorize for verb stems and/or verb endings via SPR (sase takes only verb stems), and tense endings take verb stems or endings as SPR and take no MARK or SPEC (as they occur at the end of the sequence).</S><S sid = 202 ssid = >Initial evaluation of the grammar on new domains and the growth curve of grammar coverage should bear this out.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  W02-1210.txt | Citing Article:  W07-1220.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In this paper, we explore the utility of different evaluation metrics at predicting parse performance through a series of experiments over two broad coverage grammars: the English Resource Grammar (ERG; Flickinger (2000)) and JACY (Siegel and Bender, 2002).</S> | Reference Offset:  ['13','176'] | Reference Text:  <S sid = 13 ssid = >In this paper, we describe the development of a broad coverage grammar for Japanese that is used in an automatic email response application.</S><S sid = 176 ssid = >Perhaps the most important performance issue for broad coverage grammars is ambiguity.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  W02-1210.txt | Citing Article:  W07-1220.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >JACY (Siegel and Bender, 2002) is a broad coverage linguistically precise HPSG-based grammar of Japanese.</S> | Reference Offset:  ['1','191'] | Reference Text:  <S sid = 1 ssid = >We present a broad coverage Japanese grammar written in the HPSG formalism with MRS semantics.</S><S sid = 191 ssid = >We described a broad coverage Japanese grammar, based on HPSG theory.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  W02-1210.txt | Citing Article:  I05-6011.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Of these, the most thorough work on Japanese honorification is seen in JACY, a Japanese HPSG grammar (Siegel 2000, Siegel and Bender 2002).</S> | Reference Offset:  ['14','191'] | Reference Text:  <S sid = 14 ssid = >The grammar is based on work done in the Verbmobil project (Siegel 2000) on machine translation of spoken dialogues in the domain of travel planning.</S><S sid = 191 ssid = >We described a broad coverage Japanese grammar, based on HPSG theory.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  W02-1210.txt | Citing Article:  P05-1041.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['63','202'] | Reference Text:  <S sid = 63 ssid = >Using this mechanism, it is possible to control the sequence of verbal endings: Verb stems select verbal endings via SPEC and take no SPR, derivational morphemes (like causative or potential) select tense endings or other derivational morphemes via MARK and subcategorize for verb stems and/or verb endings via SPR (sase takes only verb stems), and tense endings take verb stems or endings as SPR and take no MARK or SPEC (as they occur at the end of the sequence).</S><S sid = 202 ssid = >Initial evaluation of the grammar on new domains and the growth curve of grammar coverage should bear this out.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  W02-1210.txt | Citing Article:  W07-1204.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The grammar is an HPSG implementation (JACY: Siegel and Bender, 2002), which provides a high level of detail, marking not only dependency and constituent structure but also detailed semantic relations.</S> | Reference Offset:  ['31','87'] | Reference Text:  <S sid = 31 ssid = >The grammar implementation is based on a system of types.</S><S sid = 87 ssid = >See Siegel (1999) for a more detailed description of relevant phenomena and solutions.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  W02-1210.txt | Citing Article:  I05-6004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['63','202'] | Reference Text:  <S sid = 63 ssid = >Using this mechanism, it is possible to control the sequence of verbal endings: Verb stems select verbal endings via SPEC and take no SPR, derivational morphemes (like causative or potential) select tense endings or other derivational morphemes via MARK and subcategorize for verb stems and/or verb endings via SPR (sase takes only verb stems), and tense endings take verb stems or endings as SPR and take no MARK or SPEC (as they occur at the end of the sequence).</S><S sid = 202 ssid = >Initial evaluation of the grammar on new domains and the growth curve of grammar coverage should bear this out.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  W02-1210.txt | Citing Article:  I05-6004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We take our examples from JACY (Siegel and Bender, 2002), a large grammar of Japanese built in the HPSG framework.</S> | Reference Offset:  ['16','159'] | Reference Text:  <S sid = 16 ssid = >The grammar is couched in the theoretical framework of Head-Driven Phrase Structure Grammar (HPSG) (Pollard & Sag 1994), with semantic representations in Minimal Recursion Semantics (MRS) (Copestake et al. 2001).</S><S sid = 159 ssid = >The grammar is aimed at working with realworld data, rather than at experimenting with linguistic examples.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  W02-1210.txt | Citing Article:  D07-1050.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The grammar is an HPSG implementation (JACY: Siegel and Bender, 2002), which provides a high level of detail, marking not only dependency and constituent structure but also detailed semantic relations.</S> | Reference Offset:  ['31','87'] | Reference Text:  <S sid = 31 ssid = >The grammar implementation is based on a system of types.</S><S sid = 87 ssid = >See Siegel (1999) for a more detailed description of relevant phenomena and solutions.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  W02-1210.txt | Citing Article:  P08-1111.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The Grammar Matrix was developed initially on the basis of broad coverage grammars for English (Flickinger, 2000) and Japanese (Siegel and Bender, 2002), and has since been extended and refined as it has been used in the development of broad-coverage grammars for Norwegian (Hellan and Haugereid, 2003), ModernGreek (Kordoni and Neu, 2005), and Spanish (Marimon et al, 2007), as well as being applied to 42 other languages from a variety of language families in a classroom context (Bender, 2007).</S> | Reference Offset:  ['13','176'] | Reference Text:  <S sid = 13 ssid = >In this paper, we describe the development of a broad coverage grammar for Japanese that is used in an automatic email response application.</S><S sid = 176 ssid = >Perhaps the most important performance issue for broad coverage grammars is ambiguity.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  W02-1210.txt | Citing Article:  W10-3219.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >There are also several grammars: e.g. ERG; the English Resource Grammar (Flickinger, 2000), Jacy; a Japanese Grammar (Siegel and Bender, 2002), the Spanish grammar, and so forth.</S> | Reference Offset:  ['22','30'] | Reference Text:  <S sid = 22 ssid = >The tools we are using in this project include the LKB system (Copestake 2002) for grammar development, [incr tsdb()] (Oepen & Carroll 2000) for testing the grammar and tracking changes, and PET (Callmeier 2000), a very efficient HPSG parser, for processing.</S><S sid = 30 ssid = >The attributevalue matrix of a sign in the Japanese BPSG is quite similar to a sign in the LinGO English Resource Grammar (henceforth ERG) (Flickinger 2000), with information about the orthographical realization of the lexical sign in PHON, syntactic and semantic information in SYNSEM, information about the lexical status in LEX, nonlocal information in NONLOC, head information that goes up the tree in HEAD and information about subcategorization in SUBCAT.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  W02-1210.txt | Citing Article:  W06-1620.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In this section, we outline the resources targeted in this research, namely the English Resource Grammar (ERG: Flickinger (2002), Copestake and Flickinger (2000)) and the JACY grammar of Japanese (Siegel and Bender, 2002).</S> | Reference Offset:  ['22','89'] | Reference Text:  <S sid = 22 ssid = >The tools we are using in this project include the LKB system (Copestake 2002) for grammar development, [incr tsdb()] (Oepen & Carroll 2000) for testing the grammar and tracking changes, and PET (Callmeier 2000), a very efficient HPSG parser, for processing.</S><S sid = 89 ssid = >We found Smith's (1999) head-medial analysis of English number names to be directly applicable to the Japanese system as well (Bender 2002).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  W02-1210.txt | Citing Article:  S12-1031.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Fujita et al (2007) add sense information to improve parse ranking with JaCy (Siegel and Bender,2002), an HPSG-based grammar which uses similar machinery to the ERG.</S> | Reference Offset:  ['183','191'] | Reference Text:  <S sid = 183 ssid = >Stochastic disambiguation methods being developed for the ERG by the Redwoods project at Stanford University (Oepen et al. 2002) should be applicable to this grammar as well.</S><S sid = 191 ssid = >We described a broad coverage Japanese grammar, based on HPSG theory.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  W02-1210.txt | Citing Article:  D10-1068.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In order to examine the cross-lingual applicability of our methods, we also use Jacy, an HPSG-based grammar of Japanese (Siegel and Bender, 2002).</S> | Reference Offset:  ['31','191'] | Reference Text:  <S sid = 31 ssid = >The grammar implementation is based on a system of types.</S><S sid = 191 ssid = >We described a broad coverage Japanese grammar, based on HPSG theory.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  W02-1210.txt | Citing Article:  C10-2123.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Language specific analyses have been implemented in deep, broad-coverage grammars for languages such as Japanese (Masuichi et al (2003), Siegel and Bender (2002)) and Portuguese (Branco and Costa (2008)).</S> | Reference Offset:  ['17','176'] | Reference Text:  <S sid = 17 ssid = >HPSG is well suited to the task of multilingual development of broad coverage grammars: It is flexible enough (analyses can be shared across languages but also tailored as necessary), and has a rich theoretical literature from which to draw analyzes and inspiration.</S><S sid = 176 ssid = >Perhaps the most important performance issue for broad coverage grammars is ambiguity.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  W02-1210.txt | Citing Article:  C04-1193.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In order to produce semantic representations we are using an open source HPSG grammar of Japanese: JACY (Siegel and Bender, 2002), which we have extended to cover the dictionary definition sentences (Bond et al, 2004).</S> | Reference Offset:  ['16','21'] | Reference Text:  <S sid = 16 ssid = >The grammar is couched in the theoretical framework of Head-Driven Phrase Structure Grammar (HPSG) (Pollard & Sag 1994), with semantic representations in Minimal Recursion Semantics (MRS) (Copestake et al. 2001).</S><S sid = 21 ssid = >HPSG and MRS have the further advantage that there are practical and useful open-source tools for writing, testing, and efficiently processing grammars written in these formalisms.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  W02-1210.txt | Citing Article:  W06-1106.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We used the Japanese grammar Jacy (Siegel and Bender, 2002), a deep parsing HPSG grammar that produces RMRSs for our primary input source.</S> | Reference Offset:  ['0','106'] | Reference Text:  <S sid = 0 ssid = >Efficient Deep Processing Of Japanese</S><S sid = 106 ssid = >Ensuring this parallelism enables the reuse of the same downstream technology, no matter which language is used as input.</S> | Discourse Facet:  NA | Annotator: Automatic


