Citance Number: 1 | Reference Article: P98-2143.xml | Citing Article: A00-1020.xml | Citation Marker Offset: ['29'] | Citation Marker: Mitkov, 1998 | Citation Offset: ['28','29'] | Citation Text: <S sid ="28" ssid = "4">Nevertheless, recent results show that knowledge-poor methods perform with amazing acÃÂÃÂ­ curacy (cf.</S><S sid ="29" ssid = "5">(Mitkov, 1998), (Kennedy and Boguraev, 1996) (Kameyama, 1997)).</S> | Reference Offset: ['90','154','155'] | Reference Text: <S sid="90" ssid="15">In fact, our evaluation shows that the reÃÂ­ sults are comparable to syntax-based methods (Lappin &amp; Leass I994).</S> <S sid="154" ssid="1">We have described a robust, knowledge-poor apÃÂ­ proach to pronoun resolution which operates on texts pre-processed by a part-of-speech tagger.</S> <S sid="155" ssid="2">Evaluation shows a success rate of 89.7% for the genre of techÃÂ­ nical manuals and at least in this genre, the approach appears to be more successful than other similar methods.</S> | Discourse Facet: Results_Citation | Annotator: Aakansha Gehlot
Citance Number: 27 | Reference Article: P98-2143.xml | Citing Article: N01-1008.xml | Citation Marker Offset: ['11'] | Citation Marker: Mitkov 1998 | Citation Offset: ['9','10','11'] | Citation Text: <S sid ="9" ssid = "9">The acquisition of exten sive linguistic and discourse knowledge necessaryfor resolving coreference is time consuming, diffi cult and error-prone.</S><S sid ="10" ssid = "10">Neverthless, recent resultsshow that knowledge-poor, empirical methods per form with amazing accuracy on certain forms ofcoreference (cf.</S><S sid ="11" ssid = "11">(Mitkov 1998) (Kennedy and Boguraev 1996) (Kameyama 1997)).</S> | Reference Offset: ['2','8','144'] | Reference Text: <S sid="2" ssid="2">One of the disadvantages of developing a knowledgeÃÂ­ based system, however, is that it is a very labourÃÂ­ intensive and time-consuming task.</S> <S sid="8" ssid="8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell &amp; Brown 1988; Carter 1987; Hobbs 1978; Ingria &amp; Stallard 1989; Lappin &amp; McCord 1990; Lappin &amp; Leass 1994; Mitkov 1994; Rich &amp; LuperFoy 1988; Sidner 1979; Webber 1979).</S> <S sid="144" ssid="5">For the time being, we are using the same scores for Polish.</S> | Discourse Facet: ['Method_Citation','Results_Citation'] | Annotator: Kokil Jaidka


Citance Number: 28 | Reference Article: P98-2143.xml | Citing Article: N01-1008.xml | Citation Marker Offset: ['63'] | Citation Marker: Mitkov 1998 | Citation Offset: ['63'] | Citation Text: <S sid ="63" ssid = "63">Unlike other knowledge-poor methods for coreference resolution (Baldwin 1997) (Mitkov 1998), COCK TAIL filters its most performant rules through massivetraining data, generated by its AUTOTAGCOFtEF com ponent.</S> | Reference Offset: ['138','107','154'] | Reference Text: <S sid="107" ssid="32">As far as the typical failure cases are concerned, we anticipate the knowledge-poor approach to have difficulties with sentences which have a more comÃÂ­ plex syntactic structure.</S> <S sid="138" ssid="63">For the training data from the genre of technical manuals, it was rule 5 (see Baldwin 1997) which was most frequently used (39% of the cases, 100% success), followed by rule 8 (33% of the cases, 33% success), rule 7 (11%, 100%), rule I (9%, 100%) and rule 3 (7.4%, 100%).</S> <S sid="154" ssid="1">We have described a robust, knowledge-poor apÃÂ­ proach to pronoun resolution which operates on texts pre-processed by a part-of-speech tagger.</S> | Discourse Facet: Method_Citation | Annotator: Kokil Jaidka


Citance Number: 29 | Reference Article: P98-2143.xml | Citing Article: N04-1004.xml | Citation Marker Offset: ['45'] | Citation Marker: Mitkov, 1998 | Citation Offset: ['45'] | Citation Text: <S sid ="45" ssid = "32">Mitkov showed that a salience-based approach can be applied across genres and without complex syntactic, semantic, and discourse analysis (Mitkov, 1998).</S> | Reference Offset: ['15','13','85'] | Reference Text: <S sid="13" ssid="13">It is also an example of how anaphors in a specific genre can be resolved quite successfully without any sophisticated linguistic knowledge or even without parsing.</S> <S sid="15" ssid="1">With a view to avoiding complex syntactic, semanÃÂ­ tic and discourse analysis (which is vital for realÃÂ­ world applications), we developed a robust, knowlÃÂ­ edge-poor approach to pronoun resolution which does not parse and analyse the input in order to identify antecedents of anaphors.</S> <S sid="85" ssid="10">For practical reasons, the approach presented does not incorporate syntactic and semantic information (other than a list of domain terms) and it is not realÃÂ­ istic to expect its performance to be as good as an approach which makes use of syntactic and semantic knowledge in terms of constraints and preferences.</S> | Discourse Facet: ['Method_Citation','Results_Citation'] | Annotator: Kokil Jaidka


Citance Number: 30 | Reference Article: P98-2143.xml | Citing Article: P00-1022.xml | Citation Marker Offset: ['27'] | Citation Marker: 1998 | Citation Offset: ['27'] | Citation Text: <S sid ="27" ssid = "27">Consequently, current anaphora resolution methods rely mainly on restrictions and preference heuristics, which employ information originating from morpho-syntactic or shallow semantic analysis, (see Mitkov (1998) for example).</S> | Reference Offset: ['8','1','85'] | Reference Text: <S sid="1" ssid="1">Most traditional approaches to anaphora resolution rely heavily on linguistic and domain knowledge.</S> <S sid="8" ssid="8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell &amp; Brown 1988; Carter 1987; Hobbs 1978; Ingria &amp; Stallard 1989; Lappin &amp; McCord 1990; Lappin &amp; Leass 1994; Mitkov 1994; Rich &amp; LuperFoy 1988; Sidner 1979; Webber 1979).</S> <S sid="85" ssid="10">For practical reasons, the approach presented does not incorporate syntactic and semantic information (other than a list of domain terms) and it is not realÃÂ­ istic to expect its performance to be as good as an approach which makes use of syntactic and semantic knowledge in terms of constraints and preferences.</S> | Discourse Facet: Method_Citation | Annotator: Kokil Jaidka


Citance Number: 31 | Reference Article: P98-2143.xml | Citing Article: P00-1022.xml | Citation Marker Offset: ['178'] | Citation Marker: 1998 | Citation Offset: ['178'] | Citation Text: <S sid ="178" ssid = "18">Mitkov (1998) obtains a success rate of 89.7% for pronominal references, working with English technical manuals.</S> | Reference Offset: ['155','51','6'] | Reference Text: <S sid="6" ssid="6">Evaluation reports a success rate of 89.7% which is better than the sucÃÂ­ cess rates of the approaches selected for comparison and tested on the same data.</S> <S sid="51" ssid="37">Immediate reference In technical manuals the &quot;immediate reference&quot; clue can often be useful in identifying the antecedent.</S> <S sid="155" ssid="2">Evaluation shows a success rate of 89.7% for the genre of techÃÂ­ nical manuals and at least in this genre, the approach appears to be more successful than other similar methods.</S> | Discourse Facet: ['Method_Citation','Results_Citation'] | Annotator: Kokil Jaidka


Citance Number: 32 | Reference Article: P98-2143.xml | Citing Article: P00-1022.xml | Citation Marker Offset: ['209'] | Citation Marker: 1998 | Citation Offset: ['209'] | Citation Text: <S sid ="209" ssid = "28">Ruslan Mitkov (1998) Robust pronoun resolution th evaluation, several baselines on pronominal anaphora resolution have been implemented, and with limited knowledge.</S> | Reference Offset: ['11','1','8'] | Reference Text: <S sid="1" ssid="1">Most traditional approaches to anaphora resolution rely heavily on linguistic and domain knowledge.</S> <S sid="8" ssid="8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell &amp; Brown 1988; Carter 1987; Hobbs 1978; Ingria &amp; Stallard 1989; Lappin &amp; McCord 1990; Lappin &amp; Leass 1994; Mitkov 1994; Rich &amp; LuperFoy 1988; Sidner 1979; Webber 1979).</S> <S sid="11" ssid="11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or linÃÂ­ guistic knowledge (Baldwin 1997; Dagan &amp; ltai 1990; Kennedy &amp; Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S> | Discourse Facet: Method_Citation | Annotator: Kokil Jaidka


Citance Number: 33 | Reference Article: P98-2143.xml | Citing Article: P01-1006.xml | Citation Marker Offset: ['65'] | Citation Marker: Mitkov, 1998b | Citation Offset: ['65'] | Citation Text: <S sid ="65" ssid = "31">We selected for comparative evaluation three approaches extensively cited in the literature: Kennedy and BoguraevÃáẁÃḃÂáṠĠÃḃÂáẁs parser- free version of Lappin and LeassÃáẁÃḃÂáṠĠÃḃÂáẁ RAP (Kennedy and Boguraev, 1996), BaldwinÃáẁÃḃÂáṠĠÃḃÂáẁs pronoun resolution method (Baldwin, 1997) and MitkovÃáẁÃḃÂáṠĠÃḃÂáẁs knowledge-poor pronoun resolution approach (Mitkov, 1998b).</S> | Reference Offset: ['154','70','3'] | Reference Text: <S sid="3" ssid="3">This paper presÃÂ­ ents a robust, knowledge-poor approach to resolving pronouns in technical manuals, which operates on texts pre-processed by a part-of-speech tagger.</S> <S sid="70" ssid="56">The algorithm for pronoun resolution can be deÃÂ­ scribed informally as follows: 1.</S> <S sid="154" ssid="1">We have described a robust, knowledge-poor apÃÂ­ proach to pronoun resolution which operates on texts pre-processed by a part-of-speech tagger.</S> | Discourse Facet: Method_Citation | Annotator: Kokil Jaidka


Citance Number: 34 | Reference Article: P98-2143.xml | Citing Article: P01-1006.xml | Citation Marker Offset: ['82'] | Citation Marker: Mitkov, 1998b | Citation Offset: ['82'] | Citation Text: <S sid ="82" ssid = "48">MitkovÃáẁÃḃÂáṠĠÃḃÂáẁs approach MitkovÃáẁÃḃÂáṠĠÃḃÂáẁs approach (Mitkov, 1998b) is a robust anaphora resolution method for technical texts which is based on a set of boosting and impeding indicators applied to each candidate for antecedent.</S> | Reference Offset: ['8','111','142'] | Reference Text: <S sid="8" ssid="8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell &amp; Brown 1988; Carter 1987; Hobbs 1978; Ingria &amp; Stallard 1989; Lappin &amp; McCord 1990; Lappin &amp; Leass 1994; Mitkov 1994; Rich &amp; LuperFoy 1988; Sidner 1979; Webber 1979).</S> <S sid="111" ssid="36">3.2 Evaluation B. We carried out a second evaluation of the approach on a different set of sample texts from the genre of technical manuals (47-page Portable Style-Writer User&apos;s Guide (Stylewriter 1994).</S> <S sid="142" ssid="3">We used the robust approach as a basis for develÃÂ­ oping a genre-specific reference resolution approach in Polish.</S> | Discourse Facet: Method_Citation | Annotator: Kokil Jaidka


Citance Number: 35 | Reference Article: P98-2143.xml | Citing Article: P01-1006.xml | Citation Marker Offset: ['138'] | Citation Marker: 1998b | Citation Offset: ['138'] | Citation Text: <S sid ="138" ssid = "104">pronouns, referential distance, average number of candidates for antecedent per pronoun and types of anaphors.7 As expected, the results reported in Table 1 do not match the original results published by Kennedy and Boguraev (1996), Baldwin (1997) and Mitkov (1998b) where the algorithms were tested on different data, employed different pre-processing tools, resorted to different degrees of manual intervention and thus provided no common ground for any reliable comparison.</S> | Reference Offset: ['104','111','6'] | Reference Text: <S sid="6" ssid="6">Evaluation reports a success rate of 89.7% which is better than the sucÃÂ­ cess rates of the approaches selected for comparison and tested on the same data.</S> <S sid="104" ssid="29">From this example we can also see that our knowledge-poor approach successfully tackles cases in which the anaphor and theÃáṗ antecedent have not only different syntactic functions but also different semantic roles.</S> <S sid="111" ssid="36">3.2 Evaluation B. We carried out a second evaluation of the approach on a different set of sample texts from the genre of technical manuals (47-page Portable Style-Writer User&apos;s Guide (Stylewriter 1994).</S> | Discourse Facet: Aim_Citation | Annotator: Kokil Jaidka


Citance Number: 36 | Reference Article: P98-2143.xml | Citing Article: P01-1006.xml | Citation Marker Offset: ['8'] | Citation Marker: 1998b | Citation Offset: ['8'] | Citation Text: <S sid ="8" ssid = "8">Our paper discusses a particular configuration of this new evaluation environment incorporating three approaches sharing a common ÃáẁÃḃÂáṠĠÃÂknowledge-poor philosophyÃáẁÃḃÂáṠĠÃÂ: Kennedy and BoguraevÃáẁÃḃÂáṠĠÃḃÂáẁs (1996) parser-free algorithm, BaldwinÃáẁÃḃÂáṠĠÃḃÂáẁs (1997) CogNiac and MitkovÃáẁÃḃÂáṠĠÃḃÂáẁs (1998b) knowledge-poor approach.</S> | Reference Offset: ['3','134','107'] | Reference Text: <S sid="3" ssid="3">This paper presÃÂ­ ents a robust, knowledge-poor approach to resolving pronouns in technical manuals, which operates on texts pre-processed by a part-of-speech tagger.</S> <S sid="107" ssid="32">As far as the typical failure cases are concerned, we anticipate the knowledge-poor approach to have difficulties with sentences which have a more comÃÂ­ plex syntactic structure.</S> <S sid="134" ssid="59">The reason is that both our approach and Breck Baldwin&apos;s approach share common principles (both are knowledge-poor and use a POS tagger to provide the input) and therefore a comparison would be appropriate.</S> | Discourse Facet: Method_Citation | Annotator: Kokil Jaidka


Citance Number: 37 | Reference Article: P98-2143.xml | Citing Article: P03-1023.xml | Citation Marker Offset: ['13'] | Citation Marker: Mitkov, 1998 | Citation Offset: ['13'] | Citation Text: <S sid ="13" ssid = "13">MitkovÃáẁÃḃÂáṠĠÃḃÂáẁs knowledge-poor pronoun resolution method (Mitkov, 1998), for example, uses the scores from a set of antecedent indicators to rank the candidates.</S> | Reference Offset: ['5','154','23'] | Reference Text: <S sid="5" ssid="5">Candidates are assigned scores by each indicator and the candidate with the highest score is returned as the antecedent.</S> <S sid="23" ssid="9">Antecedent indicators (preferences) play a decisive role in tracking down the antecedent from a set of possible candidates.</S> <S sid="154" ssid="1">We have described a robust, knowledge-poor apÃÂ­ proach to pronoun resolution which operates on texts pre-processed by a part-of-speech tagger.</S> | Discourse Facet: Method_Citation | Annotator: Kokil Jaidka


Citance Number: 38 | Reference Article: P98-2143.xml | Citing Article: P04-1017.xml | Citation Marker Offset: ['191'] | Citation Marker: Mitkov, 1998 | Citation Offset: ['191'] | Citation Text: <S sid ="191" ssid = "5">The coreferential chain length of a candidate, or its variants such as occurrence frequency and TFIDF, has been used as a salience factor in some learning-based reference resolution systems (Iida et al., 2003; Mitkov, 1998; Paul et al., 1999; Strube and Muller, 2003).</S> | Reference Offset: ['65','130','142'] | Reference Text: <S sid="65" ssid="51">We should point out that the antecedent indicators are preferences and not absolute factors.</S> <S sid="130" ssid="55">In terms of frequency of use (&quot;number of nonzero applications&quot;/&quot;number of anaphors&quot;), the most freÃÂ­ quently used indicator proved to be referential disÃÂ­ tance used in 98.9% of the cases, followed by term preference (97.8%), givenness (83.3%), lexical reitÃÂ­ eration (64.4%), definiteness (40%), section heading (37.8%), immediate reference (31.1%) and collocaÃÂ­ tion (11.1%).</S> <S sid="142" ssid="3">We used the robust approach as a basis for develÃÂ­ oping a genre-specific reference resolution approach in Polish.</S> | Discourse Facet: Method_Citation | Annotator: Kokil Jaidka


Citance Number: 39 | Reference Article: P98-2143.xml | Citing Article: P04-1018.xml | Citation Marker Offset: ['8'] | Citation Marker: Mitkov, 1998 | Citation Offset: ['8'] | Citation Text: <S sid ="8" ssid = "8">Early work of anaphora resolution focuses on find ing antecedents of pronouns (Hobbs, 1976; Ge et al., 1998; Mitkov, 1998)</S> | Reference Offset: ['8','1','70'] | Reference Text: <S sid="1" ssid="1">Most traditional approaches to anaphora resolution rely heavily on linguistic and domain knowledge.</S> <S sid="8" ssid="8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell &amp; Brown 1988; Carter 1987; Hobbs 1978; Ingria &amp; Stallard 1989; Lappin &amp; McCord 1990; Lappin &amp; Leass 1994; Mitkov 1994; Rich &amp; LuperFoy 1988; Sidner 1979; Webber 1979).</S> <S sid="70" ssid="56">The algorithm for pronoun resolution can be deÃÂ­ scribed informally as follows: 1.</S> | Discourse Facet: Method_Citation | Annotator: Kokil Jaidka


Citance Number: 40 | Reference Article: P98-2143.xml | Citing Article: P05-1021.xml | Citation Marker Offset: ['17'] | Citation Marker: 1998 | Citation Offset: ['17'] | Citation Text: <S sid ="17" ssid = "17">Indeed, existing learning-based approaches to anaphor resolution have performed reasonably well using limited and shallow knowledge (e.g., Mitkov (1998), Soon et al.</S> | Reference Offset: ['85','152','11'] | Reference Text: <S sid="11" ssid="11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or linÃÂ­ guistic knowledge (Baldwin 1997; Dagan &amp; ltai 1990; Kennedy &amp; Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S> <S sid="85" ssid="10">For practical reasons, the approach presented does not incorporate syntactic and semantic information (other than a list of domain terms) and it is not realÃÂ­ istic to expect its performance to be as good as an approach which makes use of syntactic and semantic knowledge in terms of constraints and preferences.</S> <S sid="152" ssid="13">We have recently adapted the approach for AraÃÂ­ bic as well (Mitkov &amp; Belguith 1998).</S> | Discourse Facet: Implication_Citation | Annotator: Kokil Jaidka


Citance Number: 41 | Reference Article: P98-2143.xml | Citing Article: P05-1021.xml | Citation Marker Offset: ['97'] | Citation Marker: Mitkov, 1998 | Citation Offset: ['97'] | Citation Text: <S sid ="97" ssid = "23">ParalStuctmarks whether a candidate and an anaphor have sim StatSemN (C, ana) = c max StatSem(ci , ana) (ana) ilar surrounding words, which is also a salience factor for the candidate evaluation (Mitkov, 1998).</S> | Reference Offset: ['65','5','79'] | Reference Text: <S sid="5" ssid="5">Candidates are assigned scores by each indicator and the candidate with the highest score is returned as the antecedent.</S> <S sid="65" ssid="51">We should point out that the antecedent indicators are preferences and not absolute factors.</S> <S sid="79" ssid="4">If two candidates have an equal score, the candidate with the higher score for immediate reference is proposed as antecedent.</S> | Discourse Facet: Method_Citation | Annotator: Kokil Jaidka


Citance Number: 42 | Reference Article: P98-2143.xml | Citing Article: P06-1006.xml | Citation Marker Offset: ['12'] | Citation Marker: Mitkov, 1998 | Citation Offset: ['12'] | Citation Text: <S sid ="12" ssid = "12">These features are calculated by mining the parse trees, and then could be used for resolution by using manually designed rules (Lappin and Leass, 1994; Kennedy and Boguraev, 1996; Mitkov, 1998), or using machine-learning methods (Aone and Bennett, 1995; Yang et al., 2004; Luo and Zitouni, 2005).</S> | Reference Offset: ['138','144','135'] | Reference Text: <S sid="135" ssid="60">Given that our approach is robust and returns anÃÂ­ tecedent for each pronoun, in order to make the comparison as fair as possible, we used CogNIAC&apos;s &quot;resolve all&quot; version by simulating it manually on the same training data used in evaluation B above.</S> <S sid="138" ssid="63">For the training data from the genre of technical manuals, it was rule 5 (see Baldwin 1997) which was most frequently used (39% of the cases, 100% success), followed by rule 8 (33% of the cases, 33% success), rule 7 (11%, 100%), rule I (9%, 100%) and rule 3 (7.4%, 100%).</S> <S sid="144" ssid="5">For the time being, we are using the same scores for Polish.</S> | Discourse Facet: Method_Citation | Annotator: Kokil Jaidka


Citance Number: 43 | Reference Article: P98-2143.xml | Citing Article: P07-1068.xml | Citation Marker Offset: ['5'] | Citation Marker: 1998 | Citation Offset: ['5'] | Citation Text: <S sid ="5" ssid = "5">In knowledge-lean approaches, coreference resolvers employ only morpho-syntactic cues as knowledge sources in the resolution process (e.g., Mitkov (1998), Tetreault (2001)).</S> | Reference Offset: ['3','154','104'] | Reference Text: <S sid="3" ssid="3">This paper presÃÂ­ ents a robust, knowledge-poor approach to resolving pronouns in technical manuals, which operates on texts pre-processed by a part-of-speech tagger.</S> <S sid="104" ssid="29">From this example we can also see that our knowledge-poor approach successfully tackles cases in which the anaphor and theÃáṗ antecedent have not only different syntactic functions but also different semantic roles.</S> <S sid="154" ssid="1">We have described a robust, knowledge-poor apÃÂ­ proach to pronoun resolution which operates on texts pre-processed by a part-of-speech tagger.</S> | Discourse Facet: Method_Citation | Annotator: Kokil Jaidka


Citance Number: 44 | Reference Article: P98-2143.xml | Citing Article: P10-2049.xml | Citation Marker Offset: ['78'] | Citation Marker: Mitkov, 1998 | Citation Offset: ['78'] | Citation Text: <S sid ="78" ssid = "4">The algorithm with the next-to-highest results in (Char- niak and Elsner, 2009) is MARS (Mitkov, 1998) from the GuiTAR (Poesio and Kabadjov, 2004) toolkit.</S> | Reference Offset: ['70','5','124'] | Reference Text: <S sid="5" ssid="5">Candidates are assigned scores by each indicator and the candidate with the highest score is returned as the antecedent.</S> <S sid="70" ssid="56">The algorithm for pronoun resolution can be deÃÂ­ scribed informally as follows: 1.</S> <S sid="124" ssid="49">The results from experiment 1 and experiment 2 can be summarised in the following (statistically) slightly more representative figures.</S> | Discourse Facet: Results_Citation | Annotator: Kokil Jaidka


Citance Number: 45 | Reference Article: P98-2143.xml | Citing Article: P13-3012.xml | Citation Marker Offset: ['15'] | Citation Marker: Mitkov, 1998 | Citation Offset: ['15'] | Citation Text: <S sid ="15" ssid = "2">While not developed within a graph-based framework, factor-based approaches for pronoun resolution (Mitkov, 1998) can be regarded as greedy clustering in a multigraph, where edges representing factors for pronoun resolution have negative or positive weight.</S> | Reference Offset: ['65','70','15'] | Reference Text: <S sid="15" ssid="1">With a view to avoiding complex syntactic, semanÃÂ­ tic and discourse analysis (which is vital for realÃÂ­ world applications), we developed a robust, knowlÃÂ­ edge-poor approach to pronoun resolution which does not parse and analyse the input in order to identify antecedents of anaphors.</S> <S sid="65" ssid="51">We should point out that the antecedent indicators are preferences and not absolute factors.</S> <S sid="70" ssid="56">The algorithm for pronoun resolution can be deÃÂ­ scribed informally as follows: 1.</S> | Discourse Facet: Method_Citation | Annotator: Kokil Jaidka


Citance Number: 46 | Reference Article: P98-2143.xml | Citing Article: S10-1019.xml | Citation Marker Offset: ['7'] | Citation Marker: Mitkov, 1998 | Citation Offset: ['5','6','7'] | Citation Text: <S sid ="4" ssid = "4">Coreference resolution is a field in which major progress has been made in the last decade.</S><S sid ="5" ssid = "5">After a concentration on rule-based systems (cf.</S><S sid ="6" ssid = "6">e.g.</S><S sid ="7" ssid = "7">(Mitkov, 1998; Poesio et al., 2002; Markert and Nissim, 2005)), machine learning methods were embraced (cf.</S> | Reference Offset: ['138','90','8'] | Reference Text: <S sid="8" ssid="8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell &amp; Brown 1988; Carter 1987; Hobbs 1978; Ingria &amp; Stallard 1989; Lappin &amp; McCord 1990; Lappin &amp; Leass 1994; Mitkov 1994; Rich &amp; LuperFoy 1988; Sidner 1979; Webber 1979).</S> <S sid="90" ssid="15">In fact, our evaluation shows that the reÃÂ­ sults are comparable to syntax-based methods (Lappin &amp; Leass I994).</S> <S sid="138" ssid="63">For the training data from the genre of technical manuals, it was rule 5 (see Baldwin 1997) which was most frequently used (39% of the cases, 100% success), followed by rule 8 (33% of the cases, 33% success), rule 7 (11%, 100%), rule I (9%, 100%) and rule 3 (7.4%, 100%).</S> | Discourse Facet: Method_Citation | Annotator: Kokil Jaidka


Citance Number: 47 | Reference Article: P98-2143.xml | Citing Article: W01-0704.xml | Citation Marker Offset: ['83'] | Citation Marker: Mitkov, 1998 | Citation Offset: ['82','83'] | Citation Text: <S sid ="82" ssid = "6">They use limited knowledge (lexical, morphological and syntacticinformation sources) for the detection of the cor rect antecedent.</S><S sid ="83" ssid = "7">These proposals have report high success rates for English (89.7%) (Mitkov, 1998) | Reference Offset: ['88','11','85'] | Reference Text: <S sid="11" ssid="11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or linÃÂ­ guistic knowledge (Baldwin 1997; Dagan &amp; ltai 1990; Kennedy &amp; Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S> <S sid="85" ssid="10">For practical reasons, the approach presented does not incorporate syntactic and semantic information (other than a list of domain terms) and it is not realÃÂ­ istic to expect its performance to be as good as an approach which makes use of syntactic and semantic knowledge in terms of constraints and preferences.</S> <S sid="88" ssid="13">Lack of semantic knowledge rules out the use of verb seÃÂ­ mantics and semantic parallelism.</S> | Discourse Facet: ['Method_Citation','Results_Citation'] | Annotator: Kokil Jaidka


Citance Number: 48 | Reference Article: P98-2143.xml | Citing Article: W01-0717.xml | Citation Marker Offset: ['145'] | Citation Marker: Mitkov, 1998b | Citation Offset: ['145'] | Citation Text: <S sid ="145" ssid = "1">There are many recent approaches to this prob lem, e. g. syntax-based approaches (Lappin and Leass, 1994), cooccurrence-based approaches(Dagan and Itai, 1990), machine-learning approaches (Connolly et al., 1994; Aone and Ben nett, 1996; Soon et al., 1999), uncertainty reasoning approaches (Mitkov, 1995; Mitkov, 1997), and robust knowledge-poor approaches (Kennedy and Boguarev, 1996; Baldwin, 1997; Mitkov, 1998b; Mitkov, 1999).</S> | Reference Offset: ['142','134','149'] | Reference Text: <S sid="134" ssid="59">The reason is that both our approach and Breck Baldwin&apos;s approach share common principles (both are knowledge-poor and use a POS tagger to provide the input) and therefore a comparison would be appropriate.</S> <S sid="142" ssid="3">We used the robust approach as a basis for develÃÂ­ oping a genre-specific reference resolution approach in Polish.</S> <S sid="149" ssid="10">Our preference-based approach showed clear suÃÂ­ periority over both baseline models.</S> | Discourse Facet: Method_Citation | Annotator: Kokil Jaidka


Citance Number: 49 | Reference Article: P98-2143.xml | Citing Article: W04-0707.xml | Citation Marker Offset: ['222'] | Citation Marker: Mitkov, 1998 | Citation Offset: ['222'] | Citation Text: <S sid ="222" ssid = "165">G U I TA R (Poesio and AlexandrovKabadjov, 2004) is a general-purpose anaphoric resolver that includes an implementation of the Vieira / Poesio algorithm for definite descriptions and of MitkovÃáẁÃḃÂáṠĠÃḃÂáẁs algorithm for pronoun resolution (Mitkov, 1998).</S> | Reference Offset: ['70','28','136'] | Reference Text: <S sid="28" ssid="14">Definiteness Definite noun phrases in previous sentences are more likely antecedents of pronominal anaphors than indefinite ones (definite noun phrases score 0 and indefinite ones are penalised by -1).</S> <S sid="70" ssid="56">The algorithm for pronoun resolution can be deÃÂ­ scribed informally as follows: 1.</S> <S sid="136" ssid="61">CogNIAC successfully resolved the pronouns in 75% of the cases.</S> | Discourse Facet: Method_Citation | Annotator: Kokil Jaidka


Citance Number: 50 | Reference Article: P98-2143.xml | Citing Article: W04-0711.xml | Citation Marker Offset: ['19'] | Citation Marker: 1998 | Citation Offset: ['19'] | Citation Text: <S sid ="19" ssid = "19">(PMID:9701290) Table 1: A protein domain-referring phrase example ments and lexical features, in addressing problems in the biomedical domain (cf.</S><S sid ="20" ssid = "20">Mitkov et al.</S><S sid ="21" ssid = "21">(1998)).</S> | Reference Offset: ['11','1','37'] | Reference Text: <S sid="1" ssid="1">Most traditional approaches to anaphora resolution rely heavily on linguistic and domain knowledge.</S> <S sid="11" ssid="11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or linÃÂ­ guistic knowledge (Baldwin 1997; Dagan &amp; ltai 1990; Kennedy &amp; Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S> <S sid="37" ssid="23">Lexical reiteration Lexically reiterated items are likely candidates for antecedent (a NP scores 2 if is repeated within the same paragraph twice or more, 1 if repeated once and 0 if not).</S> | Discourse Facet: Aim_Citation | Annotator: Kokil Jaidka


Citance Number: 51 | Reference Article: P98-2143.xml | Citing Article: W04-0714.xml | Citation Marker Offset: ['18'] | Citation Marker: Mitkov, 1998 | Citation Offset: ['18'] | Citation Text: <S sid ="18" ssid = "18">Our method is an inexpensive, fast and reliable procedure for anaphora resolution, which relies on cheaper and more reliable NLP tools such as part- of-speech (POS) tagger and shallow parsers (Baldwin, 1997; FerrÃÂÃáẁndez et al., 1998; Kennedy and Boguraev, 1996; Mitkov, 1998; Yeh and Chen, 2003).</S> | Reference Offset: ['12','8','1'] | Reference Text: <S sid="1" ssid="1">Most traditional approaches to anaphora resolution rely heavily on linguistic and domain knowledge.</S> <S sid="8" ssid="8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell &amp; Brown 1988; Carter 1987; Hobbs 1978; Ingria &amp; Stallard 1989; Lappin &amp; McCord 1990; Lappin &amp; Leass 1994; Mitkov 1994; Rich &amp; LuperFoy 1988; Sidner 1979; Webber 1979).</S> <S sid="12" ssid="12">Our work is a continuation of these latest trends in the search for inexpensive, fast and reliable procedures for anaphÃÂ­ ora resolution.</S> | Discourse Facet: Method_Citation | Annotator: Kokil Jaidka


