Citance Number: 1 | Reference Article:  P08-2007.txt | Citing Article:  D08-1088.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >More recently, DeNero and Klein (2008) have proven the NP-completeness of the phrase alignment problem.</S> | Reference Offset:  ['1','33'] | Reference Text:  <S sid = 1 ssid = >Many phrase alignment models operate over combinatorial space of phrase We prove that finding an optimal alignment in this space is NP-hard, while computing alignment expectations is #P-hard.</S><S sid = 33 ssid = >A reduction proof of NP-completeness gives a construction by which a known NP-complete problem can be solved via a newly proposed problem.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  P08-2007.txt | Citing Article:  W10-2913.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Recently, DeNero and Klein (2008) addressed the training problem for phrase-based models by means of integer linear programming, and proved that the problem is NP-hard.</S> | Reference Offset:  ['2','52'] | Reference Text:  <S sid = 2 ssid = >On the other hand, we show that the problem of finding an optimal alignment can be cast as an integer linear program, which provides a simple, declarative approach to Viterbi inference for phrase alignment models that is empirically quite efficient.</S><S sid = 52 ssid = >Although O is NP-hard, we present an approach to solving it using integer linear programming (ILP).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P08-2007.txt | Citing Article:  D09-1107.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >While theoretically sound, this approach is computationally challenging both in practice (DeNero et al, 2008) and in theory (DeNero and Klein, 2008), may suffer from reference reachability problems (DeNero et al, 2006), and in the end may lead to inferior translation quality (Koehn et al, 2003).</S> | Reference Offset:  ['19','57'] | Reference Text:  <S sid = 19 ssid = >We first define the notion of a partition: UiSi = T means Si are pairwise disjoint and cover T. Then, we can formally define the set of bijective phrase alignments: Both the conditional model of DeNero et al. (2006) and the joint model of Marcu and Wong (2002) operate in A, as does the phrase-based decoding framework of Koehn et al.</S><S sid = 57 ssid = >DeNero et al. (2006) instead proposes an exponential-time dynamic program to systematically explore A, which can in principle solve either O or £.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P08-2007.txt | Citing Article:  D08-1033.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The first challenge is with inference: computing alignment expectations under general phrase models is #P-hard (DeNero and Klein, 2008).</S> | Reference Offset:  ['1','7'] | Reference Text:  <S sid = 1 ssid = >Many phrase alignment models operate over combinatorial space of phrase We prove that finding an optimal alignment in this space is NP-hard, while computing alignment expectations is #P-hard.</S><S sid = 7 ssid = >In this paper, we show that Viterbi inference in this full space is NP-hard, while computing expectations is #P-hard.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P08-2007.txt | Citing Article:  D08-1033.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our application is also atypical for an NLP application in that we use an approximate sampler not only to include Bayesian prior in formation (section 4), but also because computing phrase alignment expectations exactly is a #P-hard problem (DeNero and Klein, 2008).</S> | Reference Offset:  ['1','7'] | Reference Text:  <S sid = 1 ssid = >Many phrase alignment models operate over combinatorial space of phrase We prove that finding an optimal alignment in this space is NP-hard, while computing alignment expectations is #P-hard.</S><S sid = 7 ssid = >In this paper, we show that Viterbi inference in this full space is NP-hard, while computing expectations is #P-hard.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P08-2007.txt | Citing Article:  P11-1043.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The general phrase alignment problem under an arbitrary model is known to be NP-hard (DeNero and Klein, 2008).</S> | Reference Offset:  ['1','33'] | Reference Text:  <S sid = 1 ssid = >Many phrase alignment models operate over combinatorial space of phrase We prove that finding an optimal alignment in this space is NP-hard, while computing alignment expectations is #P-hard.</S><S sid = 33 ssid = >A reduction proof of NP-completeness gives a construction by which a known NP-complete problem can be solved via a newly proposed problem.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P08-2007.txt | Citing Article:  P10-1049.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >However, this has been shown to be infeasible for real-world data (DeNero and Klein, 2008).</S> | Reference Offset:  ['14','60'] | Reference Text:  <S sid = 14 ssid = >Let a weighted sentence pair additionally include a real-valued function 0 : {eij}x{fkl} —* R, which scores links.</S><S sid = 60 ssid = >Furthermore, they both require small data sets due to computational expense.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P08-2007.txt | Citing Article:  P11-2044.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >It has also been recently employed for finding phrase-based MT alignments (DeNero and Klein, 2008) in a manner similar to this work; however, we further build upon this model through syntactic constraints on the words participating in alignments.</S> | Reference Offset:  ['19','58'] | Reference Text:  <S sid = 19 ssid = >We first define the notion of a partition: UiSi = T means Si are pairwise disjoint and cover T. Then, we can formally define the set of bijective phrase alignments: Both the conditional model of DeNero et al. (2006) and the joint model of Marcu and Wong (2002) operate in A, as does the phrase-based decoding framework of Koehn et al.</S><S sid = 58 ssid = >In practice, however, the space of alignments has to be pruned severely using word alignments to control the running time of EM.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P08-2007.txt | Citing Article:  P11-2044.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >A similar approach is employed by DeNero and Klein (2008) for finding optimal phrase-based alignments for MT.</S> | Reference Offset:  ['2','66'] | Reference Text:  <S sid = 2 ssid = >On the other hand, we show that the problem of finding an optimal alignment can be cast as an integer linear program, which provides a simple, declarative approach to Viterbi inference for phrase alignment models that is empirically quite efficient.</S><S sid = 66 ssid = >Sentences per hour on a four-core server Frequency of optimal solutions found Frequency of e-optimal solutions found Using an off-the-shelf ILP solver,4 we were able to quickly and reliably find the globally optimal phrase alignment under 0(eij, fkl) derived from the Moses pipeline (Koehn et al., 2007).5 Table 1 shows that finding the optimal phrase alignment is accurate and efficient.6 Hence, this simple search technique effectively addresses the intractability challenges inherent in evaluating new phrase alignment ideas.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P08-2007.txt | Citing Article:  W10-3813.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >However, these models are unsuccessful largely due to intractable estimation (DeNero and Klein, 2008).</S> | Reference Offset:  ['4','5'] | Reference Text:  <S sid = 4 ssid = >For some restricted combinatorial spaces of alignments—those that arise in ITG-based phrase models (Cherry and Lin, 2007) or local distortion models (Zens et al., 2004)—inference can be accomplished using polynomial time dynamic programs.</S><S sid = 5 ssid = >However, for more permissive models such as Marcu and Wong (2002) and DeNero et al. (2006), which operate over the full space of bijective phrase alignments (see below), no polynomial time algorithms for exact inference have been exhibited.</S> | Discourse Facet:  NA | Annotator: Automatic


