Citance Number: 1 | Reference Article:  P06-1004.txt | Citing Article:  P13-1167.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['63','204'] | Reference Text:  <S sid = 63 ssid = >This criterion is naturally extended to a k-way normalized cut: where A1 ... Ak form a partition of the graph, and V −Ak is the set difference between the entire graph and partition k. C [i, k] is the normalized cut value of the optimal segmentation of the first k sentences into i segments.</S><S sid = 204 ssid = >We also would like to acknowledge the MIT NLP and Speech Groups, the three annotators, and the three anonymous reviewers for valuable comments, suggestions, and help.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  P06-1004.txt | Citing Article:  W11-0324.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In our problem, however, the solution is constrained by the linearity of segmentation on transcripts, similar to that in (Malioutov and Barzilay, 2006).</S> | Reference Offset:  ['40','57'] | Reference Text:  <S sid = 40 ssid = >Fortunately, we can find an exact solution due to the linearity constraint on text segmentation.</S><S sid = 57 ssid = >However, in our case, the multi-way cut is constrained to preserve the linearity of the segmentation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  P06-1004.txt | Citing Article:  W11-0324.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Malioutov and Barzilay (2006) describe a dynamic programming algorithm to conduct topic segmentation for spoken documents.</S> | Reference Offset:  ['22','67'] | Reference Text:  <S sid = 22 ssid = >We tested our algorithm on a corpus of spoken lectures.</S><S sid = 67 ssid = >The time complexity of the dynamic programming algorithm is O(KN2), where K is the number of partitions and N is the number of nodes in the graph or sentences in the transcript.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P06-1004.txt | Citing Article:  D08-1035.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Malioutov and Barzilay (2006) optimize a normalized minimum-cut criteria based on a variation of the cosine similarity between sentences.</S> | Reference Offset:  ['0','175'] | Reference Text:  <S sid = 0 ssid = >Minimum Cut Model For Spoken Lecture Segmentation</S><S sid = 175 ssid = >Table 5 shows that the Minimum Cut algorithm consistently outperforms the similarity-based baseline on all the lecture datasets.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P06-1004.txt | Citing Article:  D08-1035.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This is common practice for this task, as the desired number of segments may be determined by the user (Malioutov and Barzilay, 2006).</S> | Reference Offset:  ['33','143'] | Reference Text:  <S sid = 33 ssid = >In contrast to previous approaches, the homogeneity of a segment is determined not only by the similarity of its words, but also by their relation to words in other segments of the text.</S><S sid = 143 ssid = >We intentionally did not provide the subjects with the target number of boundaries, since we wanted to see if the annotators would converge on a common segmentation granularity.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P06-1004.txt | Citing Article:  D08-1035.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We use the evaluation source code provided by Malioutov and Barzilay (2006).</S> | Reference Offset:  ['84','142'] | Reference Text:  <S sid = 84 ssid = >In the formulation above we use sentences as our nodes.</S><S sid = 142 ssid = >They were provided with recorded audio of the lectures and the corresponding text transcriptions.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P06-1004.txt | Citing Article:  D08-1035.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our corpora do not include development sets, so tuning was performed using the lecture transcript corpus described by Malioutov and Barzilay (2006).</S> | Reference Offset:  ['161','185'] | Reference Text:  <S sid = 161 ssid = >We also include segmentation results on Physics ASR transcripts.</S><S sid = 185 ssid = >We used the publicly available implementation of the system that does not require parameter tuning on a heldout development set.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P06-1004.txt | Citing Article:  D11-1026.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We evaluate the performance of APS on three tasks: finding topical boundaries in transcripts of course lectures (Malioutov and Barzilay, 2006), identifying sections in medical textbooks (Eisen stein and Barzilay, 2008) and identifying chapter breaks in novels.</S> | Reference Offset:  ['99','110'] | Reference Text:  <S sid = 99 ssid = >We evaluate our segmentation algorithm on three sets of data.</S><S sid = 110 ssid = >This segmentation conveys the high-level topical structure of the lectures.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P06-1004.txt | Citing Article:  D11-1026.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We compare APS with two recent systems: the Minimum Cut segmenter (Malioutov and Barzilay, 2006) and the Bayesian segmenter (Eisenstein and Barzilay, 2008).</S> | Reference Offset:  ['0','156'] | Reference Text:  <S sid = 0 ssid = >Minimum Cut Model For Spoken Lecture Segmentation</S><S sid = 156 ssid = >Figure 3: ROC plot for the Minimum Cut Segmenter on thirty Physics Lectures, with edge cutoffs set at five and hundred sentences.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P06-1004.txt | Citing Article:  D11-1026.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Malioutov and Barzilay (2006) show that the knowledge about long-range similarities between sentences improves segmentation quality.</S> | Reference Offset:  ['169','190'] | Reference Text:  <S sid = 169 ssid = >Long-range dependencies do not improve the performance on the synthetic dataset.</S><S sid = 190 ssid = >In this paper we studied the impact of long-range dependencies on the accuracy of text segmentation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P06-1004.txt | Citing Article:  D11-1026.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The first, compiled by Malioutov and Barzilay (2006), consists of manually transcribed and segmented lectures on Artificial Intelligence, 3 development files and 19 test files.</S> | Reference Offset:  ['112','113'] | Reference Text:  <S sid = 112 ssid = >Artificial Intelligence Lectures Our second lecture corpus differs in subject matter, lecturing style, and segmentation granularity.</S><S sid = 113 ssid = >The graduate Artificial Intelligence class has, on average, twelve segments per lecture, and a typical segment is about half of a page.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P06-1004.txt | Citing Article:  D11-1026.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We compare the performance of APS with that of two state-of-the-art segmenters: the Minimum Cut segmenter (Malioutov and Barzilay, 2006) and the Bayesian segmenter (EisensteinandBarzilay, 2008).</S> | Reference Offset:  ['156','172'] | Reference Text:  <S sid = 156 ssid = >Figure 3: ROC plot for the Minimum Cut Segmenter on thirty Physics Lectures, with edge cutoffs set at five and hundred sentences.</S><S sid = 172 ssid = >Comparison with local dependency models We compare our system with the state-of-the-art similarity-based segmentation system developed by Choi (2000).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P06-1004.txt | Citing Article:  D08-1087.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In situations where the document boundaries are unavailable or when finer segmentation is desired, automatic techniques for document segmentation may be applied (Malioutov and Barzilay, 2006).</S> | Reference Offset:  ['106','147'] | Reference Text:  <S sid = 106 ssid = >We have access both to manual transcriptions of these lectures and also output from an automatic speech recognition system.</S><S sid = 147 ssid = >Annotators B and C operated at much finer levels of discrimination with 18.4 and 13.8 segments per lecture on average.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P06-1004.txt | Citing Article:  D10-1038.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['63','204'] | Reference Text:  <S sid = 63 ssid = >This criterion is naturally extended to a k-way normalized cut: where A1 ... Ak form a partition of the graph, and V −Ak is the set difference between the entire graph and partition k. C [i, k] is the normalized cut value of the optimal segmentation of the first k sentences into i segments.</S><S sid = 204 ssid = >We also would like to acknowledge the MIT NLP and Speech Groups, the three annotators, and the three anonymous reviewers for valuable comments, suggestions, and help.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P06-1004.txt | Citing Article:  D10-1038.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(Malioutov and Barzilay, 2006) uses the minimum cut model to segment spoken lectures (i.e., monologue).</S> | Reference Offset:  ['0','22'] | Reference Text:  <S sid = 0 ssid = >Minimum Cut Model For Spoken Lecture Segmentation</S><S sid = 22 ssid = >We tested our algorithm on a corpus of spoken lectures.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  P06-1004.txt | Citing Article:  N12-1022.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Segmentation may be particularly beneficial when working with documents without overt structure: speech transcripts (Malioutov and Barzilay, 2006), newswire (Misra et al, 2011) or novels (Kazantseva and Szpakowicz, 2011).</S> | Reference Offset:  ['14','110'] | Reference Text:  <S sid = 14 ssid = >This is evident in the performance of existing unsupervised algorithms on less structured datasets, such as spoken meeting transcripts (Galley et al., 2003).</S><S sid = 110 ssid = >This segmentation conveys the high-level topical structure of the lectures.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  P06-1004.txt | Citing Article:  N12-1022.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Malioutov and Barzilay (2006) created a corpus of course lectures segmented by four annotators, noting that the annotators operated at different levels of granularity.</S> | Reference Offset:  ['137','147'] | Reference Text:  <S sid = 137 ssid = >As part of our human segmentation analysis, we asked three annotators to segment the Physics lecture corpus.</S><S sid = 147 ssid = >Annotators B and C operated at much finer levels of discrimination with 18.4 and 13.8 segments per lecture on average.</S> | Discourse Facet:  NA | Annotator: Automatic


