Citance Number: 1 | Reference Article:  H94-1020.txt | Citing Article:  W95-0107.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In this study, training and test sets marked with two different types of chunk structure were derived algorithmically from the parsed data in the Penn Treebank corpus of Wall Street Journal text (Marcus et al, 1994).</S> | Reference Offset:  ['6','150'] | Reference Text:  <S sid = 6 ssid = >Also included is a skeletally parsed version of the Brown corpus, the classic million word balanced corpus of American English [5, 6].</S><S sid = 150 ssid = >Building a large annotated corpus of English: the Penn Treebank.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  H94-1020.txt | Citing Article:  W11-0221.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Figure 1: The tree structure for an imperative sentence part-of-speech is the WP in Penn Treebank (Marcus et al, 1994) POS tag set) or is an adverb (WRB).</S> | Reference Offset:  ['63','92'] | Reference Text:  <S sid = 63 ssid = >We have adopted the set of functional tags shown in Figure 2 for use within the current annotation scheme.</S><S sid = 92 ssid = >Either the adverb is trapped within the VP, so that the complement can occur within the VP, where it belongs, or else the adverb is at- tached to the S, closing off the VP and forcing the comple- ment to attach to the S. This "trapping" problem serves as a limitation for groups that currently use Treebank material to semiautomatically derive lexicons for particular applications.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  H94-1020.txt | Citing Article:  N04-1030.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We will be reporting on results using PropBank (Kingsbury et al, 2002), a 300k-word corpus in which predicate argument relations are marked for part of the verbs in the Wall Street Journal (WSJ) part of the Penn Tree Bank (Marcus et al, 1994).</S> | Reference Offset:  ['24','145'] | Reference Text:  <S sid = 24 ssid = >We have now begun to annotate this level of structure diting the present Penn Treebank; we intend to automatically ex- tract a bank of predicate-argument structures intended at the very least for parser evaluation from the resulting annotated corpus.</S><S sid = 145 ssid = >Structural Ambiguity and Lexical Relations.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  H94-1020.txt | Citing Article:  D09-1121.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We applied our approaches to parsing errors given by the HPSG parser Enju, which was trained on the Penn Treebank (Marcus et al, 1994) section 2-21.</S> | Reference Offset:  ['17','24'] | Reference Text:  <S sid = 17 ssid = >Hand-in-hand with this limi- tation of the existing Penn Treebank for parser testing is a parallel imitation for automatic methods for parser training for parsers based on deeper epresentations.</S><S sid = 24 ssid = >We have now begun to annotate this level of structure diting the present Penn Treebank; we intend to automatically ex- tract a bank of predicate-argument structures intended at the very least for parser evaluation from the resulting annotated corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  H94-1020.txt | Citing Article:  W02-1706.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Note that the tag set used by ltpos is the Penn Treebank tag set (Marcus et al, 1994).</S> | Reference Offset:  ['48','63'] | Reference Text:  <S sid = 48 ssid = >The -TMP tag here marks time (TeMPoral) phrases.</S><S sid = 63 ssid = >We have adopted the set of functional tags shown in Figure 2 for use within the current annotation scheme.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  H94-1020.txt | Citing Article:  C10-1061.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The use of PCFG is tied to the annotation principles of popular tree banks, such as the Penn Treebank (PTB) (Marcus et al, 1994), which are used as a data source for grammar extraction.</S> | Reference Offset:  ['58','138'] | Reference Text:  <S sid = 58 ssid = >In the earlier corpus annotation scheme, We originally used only standard syntactic labels (e.g.</S><S sid = 138 ssid = >Lexicon and grammar.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  H94-1020.txt | Citing Article:  W09-2608.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >A second approach involves querying gold standard treebanks such as the Penn Treebank (Marcus et al, 1994) and Tiger Treebank (Brantset al, 2004) to determine the frequency of certain phenomena.</S> | Reference Offset:  ['7','137'] | Reference Text:  <S sid = 7 ssid = >hand-retagged using the Penn Treebank tagset.</S><S sid = 137 ssid = >Frequency analysis of English usage.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  H94-1020.txt | Citing Article:  N07-1070.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In this study we use PropBanked versions of the Wall Street Journal (WSJ) part of the Penn Treebank (Marcus et al., 1994) and part of the Brown portion of the Penn Treebank.</S> | Reference Offset:  ['7','150'] | Reference Text:  <S sid = 7 ssid = >hand-retagged using the Penn Treebank tagset.</S><S sid = 150 ssid = >Building a large annotated corpus of English: the Penn Treebank.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  H94-1020.txt | Citing Article:  P06-1130.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Bangalore et al (2001) investigate the effect of training size on performance while using grammars automatically extracted from the Penn II Treebank (Marcus et al, 1994) for generation.</S> | Reference Offset:  ['7','127'] | Reference Text:  <S sid = 7 ssid = >hand-retagged using the Penn Treebank tagset.</S><S sid = 127 ssid = >Automatically acquiring phrase structure using distributional analysis.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  H94-1020.txt | Citing Article:  W10-1407.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In the Penn Treebank (PTB) (Marcus et al, 1994), e.g., this mechanism is a combination of special labels and empty nodes, establishing implicit additional edges.</S> | Reference Offset:  ['7','58'] | Reference Text:  <S sid = 7 ssid = >hand-retagged using the Penn Treebank tagset.</S><S sid = 58 ssid = >In the earlier corpus annotation scheme, We originally used only standard syntactic labels (e.g.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  H94-1020.txt | Citing Article:  W07-2219.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This results in several aspects that distinguish the MH treebank from, e.g., the WSJ Penn tree bank annotation scheme (Marcus et al, 1994).</S> | Reference Offset:  ['0','1'] | Reference Text:  <S sid = 0 ssid = >THE PENN TREEBANK:  ANNOTATING PREDICATE ARGUMENT STRUCTURE Mitchell Marcus, Grace Kim, Mary Ann Marcinkiewicz, Robert MacIntyre, Ann Bies, Mark Ferguson, Karen Katz, Britta Schasberger Department of Computer and Information Science University of Pennsylvania Philadelphia, PA, USA ABSTRACT The Penn Treebank has recently implemented a new syn- tactic annotation scheme, designed to highlight aspects of predicate-argument structure.</S><S sid = 1 ssid = >This paper discusses the implementation of crucial aspects of this new annotation scheme.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  H94-1020.txt | Citing Article:  W07-2219.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Also, the MH tree bank is much smaller than the ones for, e.g., English (Marcus et al, 1994) and Arabic (Maamouri and Bies, 2004), making it hard to apply data-intensive methods such as the all subtrees approach (Bod, 1992) or full lexicalization (Collins, 2003).</S> | Reference Offset:  ['126','141'] | Reference Text:  <S sid = 126 ssid = >Brill, E., Marcus, M., 1992.</S><S sid = 141 ssid = >The computational nalysis of English.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  H94-1020.txt | Citing Article:  W05-0639.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The idea is to augment the Penn Treebank (Marcus et al, 1994) constituent labels with the semantic role labels from the PropBank (Palmer et al, 2005), and generate a rich training corpus.</S> | Reference Offset:  ['58','150'] | Reference Text:  <S sid = 58 ssid = >In the earlier corpus annotation scheme, We originally used only standard syntactic labels (e.g.</S><S sid = 150 ssid = >Building a large annotated corpus of English: the Penn Treebank.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  H94-1020.txt | Citing Article:  P12-2020.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Note that the Berkeley parser is trained on the Penn treebank (Marcus et al, 1994) yet the HPSG parser is trained on the HPSG tree bank (Miyao and Tsujii, 2008).</S> | Reference Offset:  ['17','24'] | Reference Text:  <S sid = 17 ssid = >Hand-in-hand with this limi- tation of the existing Penn Treebank for parser testing is a parallel imitation for automatic methods for parser training for parsers based on deeper epresentations.</S><S sid = 24 ssid = >We have now begun to annotate this level of structure diting the present Penn Treebank; we intend to automatically ex- tract a bank of predicate-argument structures intended at the very least for parser evaluation from the resulting annotated corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  H94-1020.txt | Citing Article:  D08-1018.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We conducted two experiments on Penn Treebank II corpus (Marcus et al, 1994).</S> | Reference Offset:  ['10','150'] | Reference Text:  <S sid = 10 ssid = >Many users of the Penn Treebank now want forms of an- notation richer than provided by the projects first phase, as well as an increase in the consistency of the preliminary corpus.</S><S sid = 150 ssid = >Building a large annotated corpus of English: the Penn Treebank.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  H94-1020.txt | Citing Article:  W01-1511.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The PennTreebank II (Marcus et al, 1994) marks subjects (SBJ), logical objects of passives (LGS), some reduced relative clauses (RRC), as well as other grammatical information, but does not mark each constituent with a grammatical role.</S> | Reference Offset:  ['79','108'] | Reference Text:  <S sid = 79 ssid = >The logical sub- ject by-phrase, if present, is a child of VP, and is tagged -LGS (LoGical Subject).</S><S sid = 108 ssid = >The example that follows shows two conjoined relative clauses; note that relative clauses are normally adjoined to the antecedent NP.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  H94-1020.txt | Citing Article:  W06-2920.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The same idea was used by Magerman (1995), who developed the first "head table" for the Penn Treebank (Marcus et al, 1994), and Collins (1996), whose constituent parser is internally based on probabilities of bilexical dependencies, i.e. dependencies between two words.</S> | Reference Offset:  ['11','147'] | Reference Text:  <S sid = 11 ssid = >Some would also like a less skeletal form of anno- tation, expanding the essentially context-free analysis of the current treebank to indicate non-contiguous structures and dependencies.</S><S sid = 147 ssid = >D. Magerman and M. Marcus, 1991.</S> | Discourse Facet:  NA | Annotator: Automatic


