Citance Number: 1 | Reference Article:  J93-1004.txt | Citing Article:  A94-1013.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Labeling of sentence boundaries is a necessary prerequisite for many natural language processing (NLP) tasks, including part-of-speech tagging (Church, 1988), (Cutting et al, 1991), and sentence alignment (Gale and Church, 1993), (Kay and RSscheisen, 1993).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Church, K. (1988).</S><S sid = NA ssid = NA>We have found that a sentence in one language normally matches exactly one sentence in the other language (1-1).</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  J93-1004.txt | Citing Article:  W03-0320.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Sentences have been aligned using the length-based dynamic programming approach of Gale and Church (1993) enhanced with a small number of lexical and non-alphabetic anchors.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>One might go with our approach when the scores are small, and back off to a lexical-based approach as necessary.</S><S sid = NA ssid = NA>On a corpus this small the paragraphs could have been aligned by hand.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  J93-1004.txt | Citing Article:  W03-0320.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The algorithm used to align English-Inuktitut sentences is an extension of that presented in Gale and Church (1993).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We used the same procedure that is used in Church (1988).</S><S sid = NA ssid = NA>The first two English sentences in Table 2 illustrate a particularly hard case where two English sentences align to two French sentences.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  J93-1004.txt | Citing Article:  W03-0320.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Following a suggestion in Gale and Church (1993), the alignment was aided by the use of additional anchors that were available for the language pair.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Church, K. (1988).</S><S sid = NA ssid = NA>(The third pair is probably dependent on the first two.)</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  J93-1004.txt | Citing Article:  W03-0320.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>All alignments that occurred in the first two sentences of each paragraph were marked as hard boundaries for the Gale and Church (1993) program as provided in their paper.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>7.5.1 Hard and Soft Boundaries.</S><S sid = NA ssid = NA>First, paragraph boundaries are identified and then sentences are aligned within paragraphs.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  J93-1004.txt | Citing Article:  W03-0320.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For comparison, the Gale and Church (1993) program, which did not make use of additional anchors, had poorer results over our corpus.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In the future, we would hope to extend the method to make use of lexical constraints.</S><S sid = NA ssid = NA>Second, it allows comparison of results for different algorithms on a common basis.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  J93-1004.txt | Citing Article:  P03-1048.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We ran a sentence alignment algorithm (Gale and Church, 1993) for each pair of English and Chinese stories.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This value would clearly be inappropriate for English—Chinese alignment, but it seems likely to be useful for most pairs of European languages. s2 is estimated from Figure 3.</S><S sid = NA ssid = NA>The final alignment matches two English sentences to a single French sentence.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  J93-1004.txt | Citing Article:  C10-2010.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Among approaches that are unsupervised and language independent, (Brown et al, 1991) and (Gale and Church, 1993) use sentence-length statistics in order to model the relationship between groups of sentences that are translations of each other.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Brown et al. (1990) mention that sentence lengths formed the basis of their method.</S><S sid = NA ssid = NA>Let si, i = 1 • • • I, be the sentences of one language, and ti, j = 1- • • J, be the translations of those sentences in the other language.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  J93-1004.txt | Citing Article:  W09-0430.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>A hybrid approach is presented in (Gale and Church, 1993) whose basic hypothesis is that longer sentences in one language tend to be translated into longer sentences in the other language, and shorter sentences tend to be translated into shorter sentences.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The program uses the fact that longer sentences in one language tend to be translated into longer sentences in the other language, and that shorter sentences tend to be translated into shorter sentences.</S><S sid = NA ssid = NA>The program uses the fact that longer sentences in one language tend to be translated into longer sentences in the other language, and that shorter sentences tend to be translated into shorter sentences.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  J93-1004.txt | Citing Article:  W11-1218.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We performed robust alignment based on sentence lengths as in (Gale and Church, 1993).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The align program is based on a very simple statistical model of character lengths.</S><S sid = NA ssid = NA>Church, K. (1988).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  J93-1004.txt | Citing Article:  W11-1603.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Gale and Church (1993) proposed a dynamic programming algorithm for the sentence-level alignment of translations that exploited two facts: the length of translated sentences roughly corresponds to the length of the original sentences and the sequence of sentences in translated text largely corresponds to the original order of sentences.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The program makes use of the fact that longer sentences in one language tend to be translated into longer sentences in the other language, and that shorter sentences tend to be translated into shorter sentences.3 A probabilistic score is assigned to each proposed pair of sentences, based on the ratio of lengths of the two sentences (in characters) and the variance of this ratio.</S><S sid = NA ssid = NA>The program uses the fact that longer sentences in one language tend to be translated into longer sentences in the other language, and that shorter sentences tend to be translated into shorter sentences.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  J93-1004.txt | Citing Article:  C02-1002.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>we used a slightly modified version of CharAlign described by Gale and Church (1993).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We used the same procedure that is used in Church (1988).</S><S sid = NA ssid = NA>Hard delimiters cannot be modified, and there must be equal numbers of them.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  J93-1004.txt | Citing Article:  P06-2092.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The alignment of sentences can be done sufficiently well using cues such as sentence length (Gale and Church, 1993) or cognates (Simardetal., 1992).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The sentence alignment task is to identify correspondences between sentences in one Input to alignment program.</S><S sid = NA ssid = NA>The function returns the length of the alignment.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  J93-1004.txt | Citing Article:  W05-0810.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>A second pass aligns the sentences in a way similar to the algorithm described by Gale and Church (1993), but where the search space is constrained to be close to the one delimited by the word alignment.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Church, K. (1988).</S><S sid = NA ssid = NA>We might advocate our simple character alignment procedure as a first pass, even to those who advocate the use of lexical constraints.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  J93-1004.txt | Citing Article:  W05-0810.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In our case, the score we seek to globally maximize by dynamic programming is not only taking into account the length criteria described in (Gale and Church, 1993) but also a cognate-based one similar to (Simard et al, 1992).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This probabilistic score is used in a dynamic programming framework to find the maximum likelihood alignment of sentences.</S><S sid = NA ssid = NA>This probabilistic score is used in a dynamic programming framework to find the maximum likelihood alignment of sentences.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  J93-1004.txt | Citing Article:  W10-1805.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This is in line with previous findings that length difference can help predict alignment (cf. ,e.g., Gale and Church, 1993).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Most of the previous work on sentence alignment has yet to be published.</S><S sid = NA ssid = NA>The function returns the length of the alignment.</S> | Discourse Facet:  NA | Annotator: Automatic


