Citance Number: 1 | Reference Article:  N04-1001.txt | Citing Article:  P04-1018.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Details of the mention detection and coreference system can be found in (Florian et al, 2004).</S> | Reference Offset:  ['9','22'] | Reference Text:  <S sid = 9 ssid = >The Entity Detection and Tracking task (EDT henceforth) has close ties to the named entity recognition (NER) and coreference resolution tasks, which have been the focus of attention of much investigation in the recent past (Bikel et al., 1997; Borthwick et al., 1998; Mikheev et al., 1999; Miller et al., 1998; Aberdeen et al., 1995; Ng and Cardie, 2002; Soon et al., 2001), and have been at the center of several evaluations: MUC-6, MUC-7, CoNLL’02 and CoNLL’03 shared tasks.</S><S sid = 22 ssid = >(Zhang et al., 2002).</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  N04-1001.txt | Citing Article:  W06-1615.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In this case, we use classifiers as features as described in Florian et al (2004).</S> | Reference Offset:  ['22','139'] | Reference Text:  <S sid = 22 ssid = >(Zhang et al., 2002).</S><S sid = 139 ssid = >As described in Section 2.6, the mention detection systems make use of a large set of features.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  N04-1001.txt | Citing Article:  W06-1615.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In this case, we make use of the out-of-domain data by using features of the source domain tagger's predictions in training and testing the target domain tagger (Florian et al, 2004).</S> | Reference Offset:  ['58','139'] | Reference Text:  <S sid = 58 ssid = >For instance, a pre-existing tagger may identify dates or occupation mentions (not used in ACE), among other types.</S><S sid = 139 ssid = >As described in Section 2.6, the mention detection systems make use of a large set of features.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  N04-1001.txt | Citing Article:  W06-1615.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Aside from Florian et al (2004), several authors have also given techniques for adapting classification to new domains.</S> | Reference Offset:  ['22','38'] | Reference Text:  <S sid = 22 ssid = >(Zhang et al., 2002).</S><S sid = 38 ssid = >Both methods can integrate arbitrary types of information and make a classification decision by aggregating all information available for a given classification.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  N04-1001.txt | Citing Article:  D10-1033.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This is because, similar to many NLP tasks, good performance has been shown to depend heavily on integrating many sources of information (Florian et al, 2004).</S> | Reference Offset:  ['9','35'] | Reference Text:  <S sid = 9 ssid = >The Entity Detection and Tracking task (EDT henceforth) has close ties to the named entity recognition (NER) and coreference resolution tasks, which have been the focus of attention of much investigation in the recent past (Bikel et al., 1997; Borthwick et al., 1998; Mikheev et al., 1999; Miller et al., 1998; Aberdeen et al., 1995; Ng and Cardie, 2002; Soon et al., 2001), and have been at the center of several evaluations: MUC-6, MUC-7, CoNLL’02 and CoNLL’03 shared tasks.</S><S sid = 35 ssid = >Good performance in many natural language processing tasks, such as part-of-speech tagging, shallow parsing and named entity recognition, has been shown to depend heavily on integrating many sources of information (Zhang et al., 2002; Jing et al., 2003; Ittycheriah et al., 2003).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  N04-1001.txt | Citing Article:  W05-0712.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Initially, the corpus is automatically annotated with NE types in the source and target languages using NE identifiers similar to the systems described in (Florian et al, 2004) for NE detection.</S> | Reference Offset:  ['62','139'] | Reference Text:  <S sid = 62 ssid = >This approach allows the system to automatically correlate the (different) mention types to the desired output.</S><S sid = 139 ssid = >As described in Section 2.6, the mention detection systems make use of a large set of features.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  N04-1001.txt | Citing Article:  P08-1108.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In addition, feature-based integration has been used by Taskar et al (2005), who trained a discriminative word alignment model using features derived from the IBM models, and by Florian et al (2004), who trained classifiers on auxiliary data to guide named entity classifiers.</S> | Reference Offset:  ['4','89'] | Reference Text:  <S sid = 4 ssid = >In addition, the mention detection model crucially uses feature streams derived from different named entity classifiers.</S><S sid = 89 ssid = >The English mention detection model is similar to the system described in (Ittycheriah et al., 2003)7.The following is a list of additional features (again, is the current token): Shallow parsing information associated with the tokens in window of 3; Prefixes/suffixes of length up to 4; A capitalization/word-type flag (similar to the ones described by Bikel et al. (1997)); Gazetteer information: a handful of location (55k entries) person names (30k) and organizations (5k) dictionaries; A combination of gazetteer, POS and capitalization information, obtained as follows: if the word is a closed-class word — select its class, else if it’s in a dictionary — select that class, otherwise back-off to its capitalization information; we call this feature gap; WordNet information (the synsets and hypernyms of the two most frequent senses of the word); The outputs of three systems (HMM, RRM and MaxEnt) trained on a 32-category named entity data, the output of an RRM system trained on the MUC-6 data, and the output of RRM model identifying 49 categories.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  N04-1001.txt | Citing Article:  P06-1073.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The performance of many natural language processing tasks, such as shallow parsing (Zhang et al., 2002) and named entity recognition (Florianet al, 2004), has been shown to depend on integrating many sources of information.</S> | Reference Offset:  ['22','35'] | Reference Text:  <S sid = 22 ssid = >(Zhang et al., 2002).</S><S sid = 35 ssid = >Good performance in many natural language processing tasks, such as part-of-speech tagging, shallow parsing and named entity recognition, has been shown to depend heavily on integrating many sources of information (Zhang et al., 2002; Jing et al., 2003; Ittycheriah et al., 2003).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  N04-1001.txt | Citing Article:  D08-1063.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Good performance in many natural language processing tasks has been shown to depend heavily on integrating many sources of information (Florian et al., 2004).</S> | Reference Offset:  ['1','35'] | Reference Text:  <S sid = 1 ssid = >Entity detection and tracking is a relatively new addition to the repertoire of natural language tasks.</S><S sid = 35 ssid = >Good performance in many natural language processing tasks, such as part-of-speech tagging, shallow parsing and named entity recognition, has been shown to depend heavily on integrating many sources of information (Zhang et al., 2002; Jing et al., 2003; Ittycheriah et al., 2003).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  N04-1001.txt | Citing Article:  D08-1063.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >These features were described in (Florian et al, 2004), and are not discussed here.</S> | Reference Offset:  ['9','22'] | Reference Text:  <S sid = 9 ssid = >The Entity Detection and Tracking task (EDT henceforth) has close ties to the named entity recognition (NER) and coreference resolution tasks, which have been the focus of attention of much investigation in the recent past (Bikel et al., 1997; Borthwick et al., 1998; Mikheev et al., 1999; Miller et al., 1998; Aberdeen et al., 1995; Ng and Cardie, 2002; Soon et al., 2001), and have been at the center of several evaluations: MUC-6, MUC-7, CoNLL’02 and CoNLL’03 shared tasks.</S><S sid = 22 ssid = >(Zhang et al., 2002).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  N04-1001.txt | Citing Article:  P07-1056.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We also note that while Florian et al (2004) and Blitzer et al (2006) observe that including the label of a source classifier as a feature on small amounts of target data tends to improve over using either the source alone or the target alone, we did not observe that for our data.</S> | Reference Offset:  ['9','22'] | Reference Text:  <S sid = 9 ssid = >The Entity Detection and Tracking task (EDT henceforth) has close ties to the named entity recognition (NER) and coreference resolution tasks, which have been the focus of attention of much investigation in the recent past (Bikel et al., 1997; Borthwick et al., 1998; Mikheev et al., 1999; Miller et al., 1998; Aberdeen et al., 1995; Ng and Cardie, 2002; Soon et al., 2001), and have been at the center of several evaluations: MUC-6, MUC-7, CoNLL’02 and CoNLL’03 shared tasks.</S><S sid = 22 ssid = >(Zhang et al., 2002).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  N04-1001.txt | Citing Article:  P07-1056.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Finally we note that while Blitzer et al (2006) did combine SCL with labeled target domain data, they only compared using the label of SCL or non-SCL source classifiers as features, following the work of Florian et al (2004).</S> | Reference Offset:  ['9','22'] | Reference Text:  <S sid = 9 ssid = >The Entity Detection and Tracking task (EDT henceforth) has close ties to the named entity recognition (NER) and coreference resolution tasks, which have been the focus of attention of much investigation in the recent past (Bikel et al., 1997; Borthwick et al., 1998; Mikheev et al., 1999; Miller et al., 1998; Aberdeen et al., 1995; Ng and Cardie, 2002; Soon et al., 2001), and have been at the center of several evaluations: MUC-6, MUC-7, CoNLL’02 and CoNLL’03 shared tasks.</S><S sid = 22 ssid = >(Zhang et al., 2002).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  N04-1001.txt | Citing Article:  P07-1034.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Florian et al (2004) first train a NE tagger on the source domain, and then use the tagger's predictions as features for training and testing on the target domain.</S> | Reference Offset:  ['58','98'] | Reference Text:  <S sid = 58 ssid = >For instance, a pre-existing tagger may identify dates or occupation mentions (not used in ACE), among other types.</S><S sid = 98 ssid = >At training time, the action is known to us, and at testing time, both hypotheses will be kept during search.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  N04-1001.txt | Citing Article:  D09-1101.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Each instance represents w i, the token under consideration, and consists of 29 linguistic features, many of which are modeled after the systems of Bikel et al (1999) and Florian et al (2004), as described below.</S> | Reference Offset:  ['9','22'] | Reference Text:  <S sid = 9 ssid = >The Entity Detection and Tracking task (EDT henceforth) has close ties to the named entity recognition (NER) and coreference resolution tasks, which have been the focus of attention of much investigation in the recent past (Bikel et al., 1997; Borthwick et al., 1998; Mikheev et al., 1999; Miller et al., 1998; Aberdeen et al., 1995; Ng and Cardie, 2002; Soon et al., 2001), and have been at the center of several evaluations: MUC-6, MUC-7, CoNLL’02 and CoNLL’03 shared tasks.</S><S sid = 22 ssid = >(Zhang et al., 2002).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  N04-1001.txt | Citing Article:  W06-0901.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For event coreference, we follow the approach to entity coreference detailed in (Florian et al,2004).</S> | Reference Offset:  ['9','160'] | Reference Text:  <S sid = 9 ssid = >The Entity Detection and Tracking task (EDT henceforth) has close ties to the named entity recognition (NER) and coreference resolution tasks, which have been the focus of attention of much investigation in the recent past (Bikel et al., 1997; Borthwick et al., 1998; Mikheev et al., 1999; Miller et al., 1998; Aberdeen et al., 1995; Ng and Cardie, 2002; Soon et al., 2001), and have been at the center of several evaluations: MUC-6, MUC-7, CoNLL’02 and CoNLL’03 shared tasks.</S><S sid = 160 ssid = >Our entity tracking system currently cannot resolve the coreference of pronouns very accurately.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  N04-1001.txt | Citing Article:  P06-1060.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Florian et al (2004) reports good results on the 2003 ACE task.</S> | Reference Offset:  ['32','35'] | Reference Text:  <S sid = 32 ssid = >Section 4 describes the experimental framework and the systems’ results for Arabic, Chinese and English on the data from the latest ACE evaluation (September 2003), an investigation of the effect of using different feature types, as well as a discussion of the results.</S><S sid = 35 ssid = >Good performance in many natural language processing tasks, such as part-of-speech tagging, shallow parsing and named entity recognition, has been shown to depend heavily on integrating many sources of information (Zhang et al., 2002; Jing et al., 2003; Ittycheriah et al., 2003).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  N04-1001.txt | Citing Article:  P06-1060.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >These features were described in (Florian et al, 2004), and are not discussed here.</S> | Reference Offset:  ['9','22'] | Reference Text:  <S sid = 9 ssid = >The Entity Detection and Tracking task (EDT henceforth) has close ties to the named entity recognition (NER) and coreference resolution tasks, which have been the focus of attention of much investigation in the recent past (Bikel et al., 1997; Borthwick et al., 1998; Mikheev et al., 1999; Miller et al., 1998; Aberdeen et al., 1995; Ng and Cardie, 2002; Soon et al., 2001), and have been at the center of several evaluations: MUC-6, MUC-7, CoNLL’02 and CoNLL’03 shared tasks.</S><S sid = 22 ssid = >(Zhang et al., 2002).</S> | Discourse Facet:  NA | Annotator: Automatic


