Citance Number: 1 | Reference Article:  P03-1001.txt | Citing Article:  W04-3251.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(Fleischman et al., 2003) also propose a supervised algorithm that uses part of speech patterns and a large corpus to extract semantic relations for Who-is type questions.</S> | Reference Offset:  ['15','20'] | Reference Text:  <S sid = 15 ssid = >Our strategy is to collect a large sample of newspaper text (15GB) and use multiple part of speech patterns to extract the semantic relations.</S><S sid = 20 ssid = >While this paper examines only this type of relation, the techniques we propose are easily extensible to other question types.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  P03-1001.txt | Citing Article:  N04-1041.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['49','134'] | Reference Text:  <S sid = 49 ssid = >Table 2 shows the regular expression used to extract appositions and examples of extracted patterns.</S><S sid = 134 ssid = >We would also like to thank Andrew Philpot for his work on integrating instances into the Omega Ontology, and Daniel Marcu whose comments and ideas were invaluable.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P03-1001.txt | Citing Article:  N04-1041.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We compared our system with the concepts in WordNet and Fleischman et al's instance/concept relations (Fleischman et al 2003).</S> | Reference Offset:  ['67','116'] | Reference Text:  <S sid = 67 ssid = >The algorithms are compared to a baseline filter that accepts concept-instance pairs if and only if the concept head is a descendent of either the concept “Human” or the concept “Occupation” in Omega.</S><S sid = 116 ssid = >7 In this way, we envision a system similar to (Lin et al., 2002).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P03-1001.txt | Citing Article:  N04-1007.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This approach is similar in spirit to the work reported by Fleischman et al (2003) and Mann (2002), except that our system benefits from a greater variety of patterns and answers a broader range of questions.</S> | Reference Offset:  ['34','116'] | Reference Text:  <S sid = 34 ssid = >Our approach follows closely from Mann (2002).</S><S sid = 116 ssid = >7 In this way, we envision a system similar to (Lin et al., 2002).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P03-1001.txt | Citing Article:  C04-1188.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The precision of the extracted information can be improved significantly by using machine learning methods to filter out noise (Fleischman et al, 2003).</S> | Reference Offset:  ['16','38'] | Reference Text:  <S sid = 16 ssid = >We then filter out the noise from these extracted relations using a machine-learned classifier.</S><S sid = 38 ssid = >Finally, in order to address the Precision problem, we use machine learning techniques to filter the output of the part of speech patterns, thus purifying the extracted instances.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P03-1001.txt | Citing Article:  C04-1188.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The recall problem is usually addressed by increasing the amount of text data for extraction (taking larger collections (Fleischman et al, 2003)) or by developing more surface patterns (Soubbotin and Soubbotin, 2002).</S> | Reference Offset:  ['32','36'] | Reference Text:  <S sid = 32 ssid = >First, the patterns yield only a small amount of the information that may be present in a text (the Recall problem).</S><S sid = 36 ssid = >In order to address the Recall problem, we extend the list of patterns used for extraction to take advantage of appositions.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P03-1001.txt | Citing Article:  C04-1188.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Fleischman et al (2003) focus on the precision of the information extracted using simple part-of-speech patterns.</S> | Reference Offset:  ['44','52'] | Reference Text:  <S sid = 44 ssid = >Such patterns (e.g.</S><S sid = 52 ssid = >The concept-instance pairs extracted using the above patterns are very noisy.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P03-1001.txt | Citing Article:  C04-1188.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >To get a clear picture of the impact of using different information extraction methods for the offline construction of knowledge bases, similarly to (Fleischman et al, 2003), we focused only on questions about persons, taken from the TREC8 through TREC 2003 question sets.</S> | Reference Offset:  ['1','112'] | Reference Text:  <S sid = 1 ssid = >Recent work in Question Answering has focused on web-based systems that answers using simple lexicosyntactic patterns.</S><S sid = 112 ssid = >Such a system would have a large library of extraction patterns for many different types of relations.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P03-1001.txt | Citing Article:  C04-1188.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This confirms the results of Fleischman et al (2003): shallow methods may benefit significantly from the post-processing.</S> | Reference Offset:  ['96','123'] | Reference Text:  <S sid = 96 ssid = >Results of this comparison are presented in Figure 3.</S><S sid = 123 ssid = >Further, many question types require post processing.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P03-1001.txt | Citing Article:  C04-1188.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In our future work we plan to investigate the effect of more sophisticated and, probably, more accurate filtering methods (Fleischman et al, 2003) on the QA results.</S> | Reference Offset:  ['96','109'] | Reference Text:  <S sid = 96 ssid = >Results of this comparison are presented in Figure 3.</S><S sid = 109 ssid = >In order to achieve real-time, accurate Question Answering, repositories of data much larger than that described here must be generated.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P03-1001.txt | Citing Article:  W04-2709.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >After that, several million instances of people, locations, and other facts were added (Fleischman et al, 2003).</S> | Reference Offset:  ['88','116'] | Reference Text:  <S sid = 88 ssid = >For the extracted instances, the answer was that concept-instance pair that appeared most frequently in the list of extracted examples.</S><S sid = 116 ssid = >7 In this way, we envision a system similar to (Lin et al., 2002).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P03-1001.txt | Citing Article:  H05-1013.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In particular, we use the name/instance lists described by (Fleischman et al., 2003) and available on Fleischman's web page to generate features between names and nominals (this list contains noU pairs mined from pI GBs of news data).</S> | Reference Offset:  ['7','60'] | Reference Text:  <S sid = 7 ssid = >Brill et al. (2001) describe using the vast amount of data available on the World Wide Web to achieve impressive performance with relatively simple techniques.</S><S sid = 60 ssid = >Table 4 shows the list of features used to describe each concept-instance pair for training the CN/PN filter.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P03-1001.txt | Citing Article:  W04-0701.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Fleischman et al (2003) describe a dataset of concept-instance pairs extracted automatically from a very large corpus of newspaper articles.</S> | Reference Offset:  ['39','52'] | Reference Text:  <S sid = 39 ssid = >Approximately 15GB of newspaper text was collected from: the TREC 9 corpus (~3.5GB), the TREC 2002 corpus (~3.5GB), Yahoo!</S><S sid = 52 ssid = >The concept-instance pairs extracted using the above patterns are very noisy.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P03-1001.txt | Citing Article:  I08-2126.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The goal of this study has been to automatically extract a large set of hyponymy relations, which play a critical role in many NLP applications, such as Q&A systems (Fleischman et al, 2003).</S> | Reference Offset:  ['15','112'] | Reference Text:  <S sid = 15 ssid = >Our strategy is to collect a large sample of newspaper text (15GB) and use multiple part of speech patterns to extract the semantic relations.</S><S sid = 112 ssid = >Such a system would have a large library of extraction patterns for many different types of relations.</S> | Discourse Facet:  NA | Annotator: Automatic


