Citance Number: 1 | Reference Article:  W99-0623.txt | Citing Article:  A00-2005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Henderson and Brill (1999) showed that independent human research efforts produce parsers that can be combined for an overall boost in accuracy.</S> | Reference Offset:  ['1','112'] | Reference Text:  <S sid = 1 ssid = >Three state-of-the-art statistical parsers are combined to produce more accurate parses, as well as new bounds on achievable Treebank parsing accuracy.</S><S sid = 112 ssid = >The second row is the accuracy of the best of the three parsers.'</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  W99-0623.txt | Citing Article:  W05-1518.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This approach roughly corresponds to (Henderson and Brill, 1999)'s Naive Bayes parse hybridization.</S> | Reference Offset:  ['16','27'] | Reference Text:  <S sid = 16 ssid = >We call this approach parse hybridization.</S><S sid = 27 ssid = >Another technique for parse hybridization is to use a naïve Bayes classifier to determine which constituents to include in the parse.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  W99-0623.txt | Citing Article:  W05-1518.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Henderson and Brill (1999) also reported that context did not help them to outperform simple voting.</S> | Reference Offset:  ['84','125'] | Reference Text:  <S sid = 84 ssid = >The first shows how constituent features and context do not help in deciding which parser to trust.</S><S sid = 125 ssid = >The constituent voting and naïve Bayes techniques are equivalent because the parameters learned in the training set did not sufficiently discriminate between the three parsers.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  W99-0623.txt | Citing Article:  W05-1518.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(Henderson and Brill, 1999) improved their best parser's F-measure of 89.7 to 91.3, using their naive Bayes voting on the Penn TreeBank constituent structures (16% error reduction).</S> | Reference Offset:  ['23','120'] | Reference Text:  <S sid = 23 ssid = >We call this technique constituent voting.</S><S sid = 120 ssid = >The precision and recall of similarity switching and constituent voting are both significantly better than the best individual parser, and constituent voting is significantly better than parser switching in precision.4 Constituent voting gives the highest accuracy for parsing the Penn Treebank reported to date.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  W99-0623.txt | Citing Article:  W04-2004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['54','148'] | Reference Text:  <S sid = 54 ssid = >If the parse contains productions from outside our grammar the machine has no direct method for handling them (e.g. the resulting database query may be syntactically malformed).</S><S sid = 148 ssid = >Both authors are members of the Center for Language and Speech Processing at Johns Hopkins University.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  W99-0623.txt | Citing Article:  P01-1005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Voting has proven to be an effective technique for improving classifier accuracy for many applications, including part-of-speech tagging (van Halteren, et al 1998), parsing (Henderson and Brill, 1999), and word sense disambiguation (Pederson, 2000).</S> | Reference Offset:  ['9','23'] | Reference Text:  <S sid = 9 ssid = >Recently, combination techniques have been investigated for part of speech tagging with positive results (van Halteren et al., 1998; Brill and Wu, 1998).</S><S sid = 23 ssid = >We call this technique constituent voting.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  W99-0623.txt | Citing Article:  D09-1161.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Regarding the system combination study, Henderson and Brill (1999) propose two parser combination schemes, one that selects an entire tree from one of the parsers, and one that builds a new tree by selecting constituents suggested by the initial trees.</S> | Reference Offset:  ['14','55'] | Reference Text:  <S sid = 14 ssid = >We used these three parsers to explore parser combination techniques.</S><S sid = 55 ssid = >We have developed a general approach for combining parsers when preserving the entire structure of a parse tree is important.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  W99-0623.txt | Citing Article:  D09-1161.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Henderson and Brill (1999) combine three parsers and obtained an F1 score of 90.6, which is better than the score of 88.6 obtained by the best individual parser as reported in their paper.</S> | Reference Offset:  ['85','120'] | Reference Text:  <S sid = 85 ssid = >We then show that the combining techniques presented above give better parsing accuracy than any of the individual parsers.</S><S sid = 120 ssid = >The precision and recall of similarity switching and constituent voting are both significantly better than the best individual parser, and constituent voting is significantly better than parser switching in precision.4 Constituent voting gives the highest accuracy for parsing the Penn Treebank reported to date.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  W99-0623.txt | Citing Article:  D09-1161.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Besides the two model scores, we also adopt constituent count as an additional feature inspired by (Henderson and Brill 1999) and (Sagae and Lavie 2006).</S> | Reference Offset:  ['102','108'] | Reference Text:  <S sid = 102 ssid = >In Table 1 we see with very few exceptions that the isolated constituent precision is less than 0.5 when we use the constituent label as a feature.</S><S sid = 108 ssid = >From this we see that a finer-grained model for parser combination, at least for the features we have examined, will not give us any additional power.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  W99-0623.txt | Citing Article:  N06-2033.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Henderson and Brill (1999) proposed two parser combination schemes, one that picks an entire tree from one of the parsers, and one that, like ours, builds a new tree from constituents from the initial trees.</S> | Reference Offset:  ['14','55'] | Reference Text:  <S sid = 14 ssid = >We used these three parsers to explore parser combination techniques.</S><S sid = 55 ssid = >We have developed a general approach for combining parsers when preserving the entire structure of a parse tree is important.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  W99-0623.txt | Citing Article:  N09-2064.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(Henderson and Brill, 1999) perform parse selection by maximizing the expected precision of the selected parse with respect to the set of parses being combined.</S> | Reference Offset:  ['35','78'] | Reference Text:  <S sid = 35 ssid = >The hypothesized parse is then the set of constituents that are likely (P > 0.5) to be in the parse according to this model.</S><S sid = 78 ssid = >The set is then compared with the set generated from the Penn Treebank parse to determine the precision and recall.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  W99-0623.txt | Citing Article:  N09-2064.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(Henderson and Brill, 1999) and (Sagae and Lavie, 2006) propose methods for parse hybridization by recombining constituents.</S> | Reference Offset:  ['16','27'] | Reference Text:  <S sid = 16 ssid = >We call this approach parse hybridization.</S><S sid = 27 ssid = >Another technique for parse hybridization is to use a naïve Bayes classifier to determine which constituents to include in the parse.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  W99-0623.txt | Citing Article:  N09-2064.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Second, the parse selection method of (Henderson and Brill, 1999) selects the parse with maximum expected precision; here, we present an efficient, linear-time algorithm for selecting the parse with maximum expected f-score within the Mini mum Bayes Risk (MBR) framework.</S> | Reference Offset:  ['27','118'] | Reference Text:  <S sid = 27 ssid = >Another technique for parse hybridization is to use a naïve Bayes classifier to determine which constituents to include in the parse.</S><S sid = 118 ssid = >The maximum precision oracle is an upper bound on the possible gain we can achieve by parse hybridization.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  W99-0623.txt | Citing Article:  P09-1065.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >System combination has benefited various NLP tasks in recent years, such as products-of-experts (e.g., (Smith and Eisner, 2005)) and ensemble based parsing (e.g., (Henderson and Brill, 1999)).</S> | Reference Offset:  ['12','101'] | Reference Text:  <S sid = 12 ssid = >The corpus-based statistical parsing community has many fast and accurate automated parsing systems, including systems produced by Collins (1997), Charniak (1997) and Ratnaparkhi (1997).</S><S sid = 101 ssid = >We show the results of three of the experiments we conducted to measure isolated constituent precision under various partitioning schemes.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  W99-0623.txt | Citing Article:  N03-1004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In NLP, such methods have been applied to tasks such as POS tagging (Brill and Wu, 1998), word sense disambiguation (Pedersen, 2000), parsing (Henderson and Brill, 1999), and machine translation (Frederking and Nirenburg, 1994).</S> | Reference Offset:  ['9','11'] | Reference Text:  <S sid = 9 ssid = >Recently, combination techniques have been investigated for part of speech tagging with positive results (van Halteren et al., 1998; Brill and Wu, 1998).</S><S sid = 11 ssid = >Similar advances have been made in machine translation (Frederking and Nirenburg, 1994), speech recognition (Fiscus, 1997) and named entity recognition (Borthwick et al., 1998).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  W99-0623.txt | Citing Article:  C10-1151.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Henderson and Brill (1999) performs parse selection by maximizing the expected precision of selected parse with respect to the set of parses to be combined.</S> | Reference Offset:  ['35','78'] | Reference Text:  <S sid = 35 ssid = >The hypothesized parse is then the set of constituents that are likely (P > 0.5) to be in the parse according to this model.</S><S sid = 78 ssid = >The set is then compared with the set generated from the Penn Treebank parse to determine the precision and recall.</S> | Discourse Facet:  NA | Annotator: Automatic


