Citance Number: 1 | Reference Article:  C08-1098.txt | Citing Article:  C10-2023.txt | Citation Marker Offset:  ['122'] | Citation Marker:  Schmid and Laws, 2008 | Citation Offset:  ['122'] | Citation Text:  <S sid ="122" ssid = "9">Additional German tags are obtained using the RFTagger 2 toolkit, which annotates text with fine-grained part-of-speech tags (Schmid and Laws, 2008) with a vocabulary of more than 700 tags containing rich morpho-syntactic information (gender, number, case, tense, etc.).</S> | Reference Offset:  ['5','6','127'] | Reference Text:  <S sid ="5" ssid = "5">Tagsets of this size contain little or no information about number, gender, case and similar morphosyntac- tic features.</S><S sid ="6" ssid = "6">For languages with a rich morphology such as German or Czech, more fine-grained tagsets are often considered more appropriate.</S><S sid ="127" ssid = "7">It is annotated with POS tags from the coarse-grained STTS tagset and with additional features encoding information about number, gender, case, person, degree, tense, and mood.</S> | Discourse Facet:  ['Implication_Citation','Results_Citation'] | Annotator:  Kokil Jaidka |
Citance Number: 5 | Reference Article:  C08-1098.txt | Citing Article:  D13-1033.txt | Citation Marker Offset:  ['176'] | Citation Marker:  Schmid and Laws, 2008 | Citation Offset:  ['176'] | Citation Text:  <S sid ="176" ssid = "139">For German, we show results for RFTagger (Schmid and Laws, 2008).</S> | Reference Offset:  ['95'] | Reference Text:  <S sid ="95" ssid = "1">Our tagger is a HMM tagger which decomposes the context probabilities into a product of attribute probabilities.</S> | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka |


Citance Number: 6 | Reference Article:  C08-1098.txt | Citing Article:  E09-1079.txt | Citation Marker Offset:  ['121'] | Citation Marker:  Schmid and Laws, 2008 | Citation Offset:  ['121'] | Citation Text:  <S sid ="121" ssid = "7">The decisiontree uses different context features for the predic tion of different attributes (Schmid and Laws, 2008).</S> | Reference Offset:  ['59'] | Reference Text:  <S sid ="59" ssid = "20">Our tagger generates a predictor for each feature (such as base POS, number, gender etc.) Instead of using a single tree for the prediction of all possible values of a feature (such as noun, article, etc. for base POS), the tagger builds a separate decision tree for each value.</S> | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka |


Citance Number: 7 | Reference Article:  C08-1098.txt | Citing Article:  P10-1020.txt | Citation Marker Offset:  ['159'] | Citation Marker:  Schmid and Laws, 2008 | Citation Offset:  ['159'] | Citation Text:  <S sid ="159" ssid = "71">However, we found that we achieved better accuracy by using RFTagger (Schmid and Laws, 2008), which tags nouns with their morphological case.</S> | Reference Offset:  ['59','68'] | Reference Text:  <S sid ="59" ssid = "20">Our tagger generates a predictor for each feature (such as base POS, number, gender etc.) Instead of using a single tree for the prediction of all possible values of a feature (such as noun, article, etc. for base POS), the tagger builds a separate decision tree for each value.</S><S sid ="68" ssid = "29">A typical context attribute is â€œ1:ART.Nomâ€ which states that the preceding tag is an article with the attribute â€œNomâ€.</S> | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka |


Citance Number: 8 | Reference Article:  C08-1098.txt | Citing Article:  P10-1068.txt | Citation Marker Offset:  ['42'] | Citation Marker:  Schmid and Laws, 2008 | Citation Offset:  ['42'] | Citation Text:  <S sid ="42" ssid = "31">With respect to morphosyntactic annotations (parts of speech, pos) and morphological annotations (morph), five Annotation Models for German are currently available: STTS (Schiller et al., 1999, pos), TIGER (Brants and Hansen, 2002, morph), Morphisto (Zielinski and Simon, 2008, pos, morph), RFTagger (Schmid and Laws, 2008, pos, morph)</S> | Reference Offset:  ['224'] | Reference Text:  <S sid ="224" ssid = "1">We presented a HMM POS tagger for fine-grained tagsets which splits the POS tags into attribute vectors and estimates the conditional probabilities of the attributes with decision trees.</S> | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka |


Citance Number: 9 | Reference Article:  C08-1098.txt | Citing Article:  P10-1068.txt | Citation Marker Offset:  ['74'] | Citation Marker:  Schmid and Laws, 2008 | Citation Offset:  ['74'] | Citation Text:  <S sid ="74" ssid = "63">Analogously, the corresponding RFTagger analysis (Schmid and Laws, 2008) given in (5) can be transformed into a description in terms of the OLiA Reference Model such as in (6).</S> | Reference Offset:  ['224'] | Reference Text:  <S sid ="224" ssid = "1">We presented a HMM POS tagger for fine-grained tagsets</S> | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka |


Citance Number: 10 | Reference Article:  C08-1098.txt | Citing Article:  P10-1068.txt | Citation Marker Offset:  ['81'] | Citation Marker:  Schmid and Laws, 2008 | Citation Offset:  ['81'] | Citation Text:  <S sid ="81" ssid = "6">(iii) the RFTagger that performs part of speech and morphological analysis (Schmid and Laws, 2008)</S> | Reference Offset:  ['5', '224'] | Reference Text:  <S sid ="5" ssid = "5">Tagsets of this size contain little or no information about number, gender, case and similar morphosyntac- tic features.</S><S sid ="224" ssid = "1">We presented a HMM POS tagger for fine-grained tagsets which splits the POS tags into attribute vectors and estimates the conditional probabilities of the attributes with decision trees.</S> | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka |


Citance Number: 11 | Reference Article:  C08-1098.txt | Citing Article:  W10-1704.txt | Citation Marker Offset:  ['32'] | Citation Marker:  Schmid and Laws, 2008 | Citation Offset:  ['32'] | Citation Text:  <S sid ="32" ssid = "18">These normalization patterns use the lemma information computed by the TreeTagger and the fine-grained POS information computed by the RFTagger (Schmid and Laws, 2008), which uses a tagset containing approximately 800 tags.</S> | Reference Offset:  ['224'] | Reference Text:  <S sid ="224" ssid = "1">We presented a HMM POS tagger for fine-grained tagsets which splits the POS tags into attribute vectors and estimates the conditional probabilities of the attributes with decision trees.</S> | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka |


Citance Number: 12 | Reference Article:  C08-1098.txt | Citing Article:  W10-1727.txt | Citation Marker Offset:  ['41'] | Citation Marker:  Schmid and Laws, 2008 | Citation Offset:  ['41'] | Citation Text:  <S sid ="41" ssid = "4">For German we used morphologically rich tags from RFTagger (Schmid and Laws, 2008), that contains morphological information such as case, number, and gender for nouns and tense for verbs.</S> | Reference Offset:  ['127'] | Reference Text:  <S sid ="127" ssid = "7">It is annotated with POS tags from the coarse-grained STTS tagset and with additional features encoding information about number, gender, case, person, degree, tense, and mood.</S> | Discourse Facet:  Results_Citation | Annotator:  Kokil Jaidka |


Citance Number: 13 | Reference Article:  C08-1098.txt | Citing Article:  W11-2135.txt | Citation Marker Offset:  ['49'] | Citation Marker:  Schmid and Laws, 2008 | Citation Offset:  ['49'] | Citation Text:  <S sid ="49" ssid = "4">For German, the fine-grained POS information used for pre-processing was computed by the RFTagger (Schmid and Laws, 2008).</S> | Reference Offset:  ['224'] | Reference Text:  <S sid ="224" ssid = "1">We presented a HMM POS tagger for fine-grained tagsets which splits the POS tags into attribute vectors and estimates the conditional probabilities of the attributes with decision trees.</S> | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka |


Citance Number: 14 | Reference Article:  C08-1098.txt | Citing Article:  W11-2145.txt | Citation Marker Offset:  ['101'] | Citation Marker:  Schmid and Laws, 2008 | Citation Offset:  ['101','102'] | Citation Text:  <S sid ="101" ssid = "92">The part-of-speeches were generated using the TreeTagger and the RFTagger (Schmid and Laws, 2008), which produces more fine-grained tags that include also person, gender and case information.</S><S sid ="102" ssid = "93">While the TreeTagger assigns 54 different POS tags to the 357K German words in the corpus, the RFTagger produces 756 different fine-grained tags on the same corpus.</S> | Reference Offset:  ['12','127'] | Reference Text:  <S sid ="12" ssid = "12">The German Tiger treebank (Brants et al., 2002) is an example of a corpus with a more fine-grained tagset (over 700 tags overall).</S><S sid ="127" ssid = "7">It is annotated with POS tags from the coarse-grained STTS tagset and with additional features encoding information about number, gender, case, person, degree, tense, and mood.</S> | Discourse Facet:  Results_Citation | Annotator:  Kokil Jaidka |


Citance Number: 15 | Reference Article:  C08-1098.txt | Citing Article:  W11-2147.txt | Citation Marker Offset:  ['26'] | Citation Marker:  Schmid and Laws, 2008 | Citation Offset:  ['26'] | Citation Text:  <S sid ="26" ssid = "15">For German, the POS and morphological tags were obtained from RFTagger (Schmid and Laws, 2008) which provides morphological information such as case, number and gender for nouns and tense for verbs.</S> | Reference Offset:  ['4','5'] | Reference Text:  <S sid ="4" ssid = "4">A Hidden-Markov-Model part-of-speech tagger (Brants, 2000, e.g.) computes the most probable POS tag sequence tË†N = tË†1, ..., tË†N for a given word sequence wN . POS taggers are usually trained on corpora with between 50 and 150 different POS tags.</S><S sid ="5" ssid = "5">Tagsets of this size contain little or no information about number, gender, case and similar morphosyntac- tic features.</S> | Discourse Facet:  Implication_Citation | Annotator:  Kokil Jaidka |


Citance Number: 16 | Reference Article:  C08-1098.txt | Citing Article:  W12-3141.txt | Citation Marker Offset:  ['89'] | Citation Marker:  Schmid and Laws, 2008 | Citation Offset:  ['89'] | Citation Text:  <S sid ="89" ssid = "8">All parallel corpora were POS-tagged with the TreeTagger (Schmid, 1994); in addition, for German, fine-grained POS labels were also needed for pre-processing and were obtained using the RFTagger (Schmid and Laws, 2008).</S> | Reference Offset:  ['224'] | Reference Text:  <S sid ="224" ssid = "1">We presented a HMM POS tagger for fine-grained tagsets which splits the POS tags into attribute vectors and estimates the conditional probabilities of the attributes with decision trees.</S> | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka |


Citance Number: 17 | Reference Article:  C08-1098.txt | Citing Article:  W12-3144.txt | Citation Marker Offset:  ['127'] | Citation Marker:  Schmid and Laws, 2008 | Citation Offset:  ['127'] | Citation Text:  <S sid ="127" ssid = "113">The POS tags are generated with the RFTagger (Schmid and Laws, 2008) for German, which produces fine-grained tags that include person, gender and case information.</S> | Reference Offset:  ['127'] | Reference Text:  <S sid ="127" ssid = "7">It is annotated with POS tags from the coarse-grained STTS tagset and with additional features encoding information about number, gender, case, person, degree, tense, and mood.</S> | Discourse Facet:  Results_Citation | Annotator:  Kokil Jaidka |


Citance Number: 18 | Reference Article:  C08-1098.txt | Citing Article:  W12-3402.txt | Citation Marker Offset:  ['78'] | Citation Marker:  Schmid and Laws, 2008 | Citation Offset:  ['78'] | Citation Text:  <S sid ="78" ssid = "16">Morphological information is annotated using RFTagger (Schmid and Laws, 2008), a state-of-the-art morphological tagger based on decision trees and a large context window (which allows it to model morphological agreement more accurately than a normal trigram-based sequence tagger).</S> | Reference Offset:  ['124','224'] | Reference Text:  <S sid ="124" ssid = "4">We took standard features from a 5 word window and M4LRL training without optimization of the regular- ization parameter C</S><S sid ="224" ssid = "1">We presented a HMM POS tagger for fine-grained tagsets which splits the POS tags into attribute vectors and estimates the conditional probabilities of the attributes with decision trees.</S> | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka |


Citance Number: 19 | Reference Article:  C08-1098.txt | Citing Article:  W13-2204.txt | Citation Marker Offset:  ['35'] | Citation Marker:  Schmid and Laws, 2008 | Citation Offset:  ['35'] | Citation Text:  <S sid ="35" ssid = "6">All parallel corpora were POS-tagged with the TreeTagger (Schmid, 1994); in addition, for German, fine-grained POS labels were also needed for pre-processing and were obtained using the RFTagger (Schmid and Laws, 2008).</S> | Reference Offset:  ['224'] | Reference Text:  <S sid ="224" ssid = "1">We presented a HMM POS tagger for fine-grained tagsets which splits the POS tags into attribute vectors and estimates the conditional probabilities of the attributes with decision trees.</S> | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka |


Citance Number: 20 | Reference Article:  C08-1098.txt | Citing Article:  W13-2210.txt | Citation Marker Offset:  ['37'] | Citation Marker:  Schmid and Laws, 2008 | Citation Offset:  ['37'] | Citation Text:  <S sid ="37" ssid = "4">In order to train the POS-based reordering model, probabilistic rules were learned based on the POS tags from the TreeTagger (Schmid and Laws, 2008) of the training corpus and the alignment.</S> | Reference Offset:  ['224'] | Reference Text:  <S sid ="224" ssid = "1">We presented a HMM POS tagger for fine-grained tagsets which splits the POS tags into attribute vectors and estimates the conditional probabilities of the attributes with decision trees.</S> | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka |


Citance Number: 21 | Reference Article:  C08-1098.txt | Citing Article:  W13-2210.txt | Citation Marker Offset:  ['85'] | Citation Marker:  Schmid and Laws, 2008 | Citation Offset:  ['85'] | Citation Text:  <S sid ="85" ssid = "8">The POS tags are generated using the RFTagger (Schmid and Laws, 2008) for German.</S> | Reference Offset:  ['54'] | Reference Text:  <S sid ="54" ssid = "15">The probability of an attribute (such as â€œNomâ€) is always conditioned on the respective base POS (such as â€œNâ€) (unless the predicted attribute is theFigure 1: Probability estimation tree for the nomi native case of nouns.</S> | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka |


Citance Number: 22 | Reference Article:  C08-1098.txt | Citing Article:  W13-2211.txt | Citation Marker Offset:  ['84'] | Citation Marker:  Schmid and Laws, 2008 | Citation Offset:  ['84'] | Citation Text:  <S sid ="84" ssid = "73">We lemmatized German articles, adjectives (only positive form), for some pronouns and for nouns in order to remove the lexical redundancy (e.g., Bildes as Bild) by using the fine- grained part-of-speech tags generated by RFTagger (Schmid and Laws, 2008).</S> | Reference Offset:  ['0'] | Reference Text:  <S sid ="0">Estimation of Conditional ProbabilitiesWith Decision Trees and an Application to Fine-Grained POS Tagging</S> | Discourse Facet:  Aim_Citation | Annotator:  Kokil Jaidka |


Citance Number: 23 | Reference Article:  C08-1098.txt | Citing Article:  W13-2228.txt | Citation Marker Offset:  ['134'] | Citation Marker:  Schmid and Laws, 2008 | Citation Offset:  ['134'] | Citation Text:  <S sid ="134" ssid = "14">6.1.1 POS Tagging We use RFTagger (Schmid and Laws, 2008) for POS tagging.</S> | Reference Offset:  ['224'] | Reference Text:  <S sid ="224" ssid = "1">We presented a HMM POS tagger for fine-grained tagsets which splits the POS tags into attribute vectors and estimates the conditional probabilities of the attributes with decision trees.</S> | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka |


Citance Number: 24 | Reference Article:  C08-1098.txt | Citing Article:  W13-2230.txt | Citation Marker Offset:  ['35'] | Citation Marker:  Schmid and Laws, 2008 | Citation Offset:  ['35'] | Citation Text:  <S sid ="35" ssid = "6">In the second step, the normalized training data is annotated with Part-of-Speech tags (PoS-tags) and word lemmas using RFTagger (Schmid and Laws, 2008) which was trained on the French tree- bank (AbeilleÂ´ et al., 2003).</S> | Reference Offset:  ['224'] | Reference Text:  <S sid ="224" ssid = "1">We presented a HMM POS tagger for fine-grained tagsets which splits the POS tags into attribute vectors and estimates the conditional probabilities of the attributes with decision trees.</S> | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka |


Citance Number: 25 | Reference Article:  C08-1098.txt | Citing Article:  W13-2230.txt | Citation Marker Offset:  ['58'] | Citation Marker:  Schmid and Laws, 2008 | Citation Offset:  ['58'] | Citation Text:  <S sid ="58" ssid = "11">Morphological analysis and resources The morphological analysis of the French training data is obtained using RFTagger, which is designed for annotating fine-grained morphological tags (Schmid and Laws, 2008).</S> | Reference Offset:  ['224'] | Reference Text:  <S sid ="224" ssid = "1">We presented a HMM POS tagger for fine-grained tagsets which splits the POS tags into attribute vectors and estimates the conditional probabilities of the attributes with decision trees.</S> | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka |


Citance Number: 26 | Reference Article:  C08-1098.txt | Citing Article:  W13-2230.txt | Citation Marker Offset:  ['83'] | Citation Marker:  Schmid and Laws, 2008 | Citation Offset:  ['83'] | Citation Text:  <S sid ="83" ssid = "2">Tagging and tagging errors For tagging, we use a version of RFTagger (Schmid and Laws, 2008)</S> | Reference Offset:  ['224'] | Reference Text:  <S sid ="224" ssid = "1">We presented a HMM POS tagger for fine-grained tagsets which splits the POS tags into attribute vectors and estimates the conditional probabilities of the attributes with decision trees.</S> | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka |


Citance Number: 28 | Reference Article:  C08-1098.txt | Citing Article:  W13-2302.txt | Citation Marker Offset:  ['87'] | Citation Marker:  Schmid and Laws, 2008 | Citation Offset:  ['87'] | Citation Text:  <S sid ="87" ssid = "65">The results presented here were achieved using the RFTagger (Schmid and Laws, 2008)</S> | Reference Offset:  ['1','167'] | Reference Text:  <S sid ="1" ssid = "1">We present a HMM part-of-speech tagging method which is particularly suited for POS tagsets with a large number of fine-grained tags.</S><S sid ="167" ssid = "47">3 9 97.57 97.97 Table 3: STTS accuracies of the TnT tagger trained on the STTS tagset, the TnT tagger trained on the Tiger tagset, and our tagger trained on the Tiger tagset.</S> | Discourse Facet:  ['Method_Citation','Results_Citation'] | Annotator:  Kokil Jaidka |


Citance Number: 29 | Reference Article:  C08-1098.txt | Citing Article:  W13-2708.txt | Citation Marker Offset:  ['111'] | Citation Marker:  Schmid and Laws, 2008 | Citation Offset:  ['111'] | Citation Text:  <S sid ="111" ssid = "54">So far, the Complex Concept Builder implements tokenization (Schmid, 2009), lemmatisation (Schmid, 1995), part-of-speech tagging (Schmid and Laws, 2008)</S> | Reference Offset:  ['1'] | Reference Text:  <S sid ="1" ssid = "1">We present a HMM part-of-speech tagging method which is particularly suited for POS tagsets with a large number of fine-grained tags.</S> | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka |


