Citance Number: 1 | Reference Article:  P95-1050.txt | Citing Article:  W97-0119.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>A similar idea is later applied by (Rapp 1995) to show the plausibility of correlations between words in non-parallel text.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>As a further step, even with non parallel corpora it should be possible to locate comparable passages of text.</S><S sid = NA ssid = NA>Identifying Word Translations In Non-Parallel Texts</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 7 | Reference Article:  P95-1050.txt | Citing Article:  W04-3208.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Rapp (1995), Grefenstette (1998), Fung and Lo (1998), and Kaji (2003) derived bilingual lexicons or word senses from such corpora.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In a number of recent studies it has been shown that word translations can be automatically derived from the statistical distribution of words in bilingual parallel texts (e. g. Catizone, Russell & Warwick, 1989; Brown et al., 1990; Dagan, Church & Gale, 1993; Kay & ROscheisen, 1993).</S><S sid = NA ssid = NA>Word a in the English matrix is then the translation of word a in the German matrix.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P95-1050.txt | Citing Article:  D12-1003.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Rapp (1995) proposed a computationally demanding matrix permutation method which maximizes a similarity between co-occurrence matrices in two languages.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The method proposed is based on the assumption that there is a correlation between the patterns of word cooccurrences in texts of different languages.</S><S sid = NA ssid = NA>The monotonically increasing character of the curves in figure 1 indicates that in principle it should be possible to find word correspondences in two matrices of different languages by randomly permuting one of the matrices until the similarity function s reaches a minimum and thus indicates maximum similarity.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P95-1050.txt | Citing Article:  W12-0114.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In order to expand the dictionaries using a set of monolingual comparable corpora, the basic approach pioneered by Fung and McKeown (1997) and Rapp (1995, 1999) is to be further developed and refined in the second phase of the project as to obtain a practical tool that can be used in an industrial context.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In order to limit the search space, translations that are known beforehand can be used as anchor points.</S><S sid = NA ssid = NA>As a further step, even with non parallel corpora it should be possible to locate comparable passages of text.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P95-1050.txt | Citing Article:  E12-1014.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In particular, we extend the long line of work on inducing translation lexicons (beginning with Rapp (1995)) and propose to use multiple independent cues present in monolingual texts to estimate lexical and phrasal translation probabilities for large, MT-scale phrase-tables.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Word a in the English matrix is then the translation of word a in the German matrix.</S><S sid = NA ssid = NA>• Ambiguities in word translations can be taken into account by working with continuous probabilities to judge whether a word translation is correct instead of making a binary decision.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P95-1050.txt | Citing Article:  E12-1014.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Rapp (1995) was the first to propose using non-parallel texts to learn the translations of words.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Identifying Word Translations In Non-Parallel Texts</S><S sid = NA ssid = NA>Since the acquisition of non-parallel texts is usually much easier, it would be desirable to have a program that can determine the translations of words from comparable or even unrelated texts.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P95-1050.txt | Citing Article:  E12-1014.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Previous research on bilingual lexicon induction learned translations only for a small number of high frequency words (e.g. 100 nouns in Rapp (1995), 1,000 most frequent words nouin Koehn and Knight (2002), or 2,000 most frequent nouns in Haghighi et al (2008)).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In a number of recent studies it has been shown that word translations can be automatically derived from the statistical distribution of words in bilingual parallel texts (e. g. Catizone, Russell & Warwick, 1989; Brown et al., 1990; Dagan, Church & Gale, 1993; Kay & ROscheisen, 1993).</S><S sid = NA ssid = NA>This similarity measure leads to a value of zero for identical matrices, and to a value of 20 000 in the case that a non-zero entry in one of the 100 * 100 matrices always corresponds to a zero-value in the other.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P95-1050.txt | Citing Article:  W10-3908.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Building a dictionary from scratch is not possible this way or at least computationally un-feasible (see Rapp, 1995).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The co-occurrence frequencies obtained in this way were used to build up the English matrix.</S><S sid = NA ssid = NA>This study suggests that the identification of word translations should also be possible with non-parallel and even unrelated texts.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P95-1050.txt | Citing Article:  W10-4007.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Approaches for lexicon extraction from comparable corpora have been proposed that use the bag of-words model to find words that occur in similar lexical contexts (Rapp, 1995).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>If — for example — in a text of one language two words A and B co-occur more often than expected from chance, then in a text of another language those words which are translations of A and B should also co-occur more frequently than expected.</S><S sid = NA ssid = NA>The common occurrence of two words was defined as both words being separated by at most 11 other words.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P95-1050.txt | Citing Article:  W10-4007.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>One of the first works in the area of comparable corpora mining was based on word co-occurrence based approach (Rapp, 1995).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The method proposed is based on the assumption that there is a correlation between the patterns of word cooccurrences in texts of different languages.</S><S sid = NA ssid = NA>As a further step, even with non parallel corpora it should be possible to locate comparable passages of text.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P95-1050.txt | Citing Article:  P11-2084.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The idea to acquire translation candidates based on comparable and unrelated corpora comes from (Rapp, 1995).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Since the acquisition of non-parallel texts is usually much easier, it would be desirable to have a program that can determine the translations of words from comparable or even unrelated texts.</S><S sid = NA ssid = NA>As a further step, even with non parallel corpora it should be possible to locate comparable passages of text.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P95-1050.txt | Citing Article:  P13-2057.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Rapp (1995) suggested his idea about the usage of context vectors in order to find the words that are the translation of each other in comparable corpora.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>As a further step, even with non parallel corpora it should be possible to locate comparable passages of text.</S><S sid = NA ssid = NA>As the English vocabulary a list of 100 words was used, which had been suggested by Kent & Rosanoff (1910) for association experiments.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P95-1050.txt | Citing Article:  C02-1058.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The underlying assumption is that translations of words that are related in one language are also related in the other language (Rapp 1995).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>If — for example — in a text of one language two words A and B co-occur more often than expected from chance, then in a text of another language those words which are translations of A and B should also co-occur more frequently than expected.</S><S sid = NA ssid = NA>This assumption is reasonable for parallel texts.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  P95-1050.txt | Citing Article:  P99-1067.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In this situation, Rapp (1995) proposed using a clue different from the three mentioned above: His co-occurrence clue is based on the assumption that there is a correlation between co occurrence patterns in different languages.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The method proposed is based on the assumption that there is a correlation between the patterns of word cooccurrences in texts of different languages.</S><S sid = NA ssid = NA>However, in this paper it is further assumed that the co-occurrence patterns in original texts are not fundamentally different from those in translated texts.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  P95-1050.txt | Citing Article:  P99-1067.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>By presupposing a lexicon of seed words, she avoids the prohibitively expensive computational effort encountered by Rapp (1995).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The common occurrence of two words was defined as both words being separated by at most 11 other words.</S><S sid = NA ssid = NA>Future work will deal with the following as yet unresolved problems: • Computational limitations require the vocabularies to be limited to subsets of all word types in large corpora.</S> | Discourse Facet:  NA | Annotator: Automatic


