Citance Number: 1 | Reference Article:  I05-3027.txt | Citing Article:  P06-2123.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In the results of the closed test in Bakeoff 2005 (Emerson, 2005), the work of (Tseng et al, 2005), using CRFs for the IOB tagging, yielded a very high R-oov in all of the four corpora used, but the R-iv rates were lower.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We present a Chinese word seg mentation system submitted to the closed track of Sighan bakeoff 2005.</S><S sid = NA ssid = NA>A Conditional Random Field Word Segmenter for Sighan Bakeoff 2005</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  I05-3027.txt | Citing Article:  N09-2054.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This work was funded by the Ad vanced Research and Development Activity's Advanced Question Answering for Intelligence Program, National Science Foundation award IIS-0325646 and a Stanford Graduate Fellow ship.</S><S sid = NA ssid = NA>3) C-1 prefix feature functions are defined over characters in the prefix table, and fire if the character in the proceeding state matches the feature function?s character.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  I05-3027.txt | Citing Article:  N09-2054.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>They are selected from similar sources to the newswire articles, and are normalized (Zhang and Kahn, 2008) and word segmented (Tseng et al, 2005a).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>is a word, but sometimes it is segmented into two words.</S><S sid = NA ssid = NA>Our morphological features are based upon the intuition re garding unknown word features given in Gao et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  I05-3027.txt | Citing Article:  P11-1033.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The Chinese sentences are segmented using the Stanford Chinese word segmenter (Tseng et al, 2005).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>is a word, but sometimes it is segmented into two words.</S><S sid = NA ssid = NA>We present a Chinese word seg mentation system submitted to the closed track of Sighan bakeoff 2005.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  I05-3027.txt | Citing Article:  P12-1097.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We use the Stanford Chinese word segmenter (Tseng et al, 2005) and POS tagger (Toutanova et al., 2003) for preprocessing and Cilin for synonym definition during matching.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Work by Peng et al (2004) first used this framework for Chinese word segmen tation by treating it as a binary decision task, such that each character is labeled either as the beginning of a word or the continuation of one.</S><S sid = NA ssid = NA>Table 2 Comparisons of Peng et al (2004) and our F score on the closed track in Sighan bakeoff 2003 Sighan Bakeoff 2003 Our F-score F-score Peng et al (2004) CTB 0.863 0.849 AS 0.970 0.956 HK 0.947 0.928 PK 0.953 0.941 3.2.2 Results on Sighan bakeoff 2005 Our final system achieved a F-score of 0.947 (AS), 0.943 (HK), 0.950 (PK) and 0.964 (MSR).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  I05-3027.txt | Citing Article:  P12-1027.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This work was funded by the Ad vanced Research and Development Activity's Advanced Question Answering for Intelligence Program, National Science Foundation award IIS-0325646 and a Stanford Graduate Fellow ship.</S><S sid = NA ssid = NA>3) C-1 prefix feature functions are defined over characters in the prefix table, and fire if the character in the proceeding state matches the feature function?s character.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  I05-3027.txt | Citing Article:  P14-2016.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Morphological segmentation for these two languages was carried out using MeCab (MeCab, 2011) and the Stanford Word Segmenter (Tseng et al, 2005), respectively.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A Conditional Random Field Word Segmenter for Sighan Bakeoff 2005</S><S sid = NA ssid = NA>Our morphological features are based upon the intuition re garding unknown word features given in Gao et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  I05-3027.txt | Citing Article:  W11-2128.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>English-Chinese: For training we used the LDC Sinorama and FBIS tests (LDC2005T10 and LDC2003E14), and segmented the Chinese side with the Stanford Segmenter (Tseng et al, 2005).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Work by Peng et al (2004) first used this framework for Chinese word segmen tation by treating it as a binary decision task, such that each character is labeled either as the beginning of a word or the continuation of one.</S><S sid = NA ssid = NA>is a word, but sometimes it is segmented into two words.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  I05-3027.txt | Citing Article:  I08-4028.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This work was funded by the Ad vanced Research and Development Activity's Advanced Question Answering for Intelligence Program, National Science Foundation award IIS-0325646 and a Stanford Graduate Fellow ship.</S><S sid = NA ssid = NA>3) C-1 prefix feature functions are defined over characters in the prefix table, and fire if the character in the proceeding state matches the feature function?s character.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  I05-3027.txt | Citing Article:  D09-1040.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For the English-Chinese (E2C) baseline system, we trained on the LCD Sinorama and FBIStests (LCD2005T10 and LCD2003E14), and segmented the Chinese side with the Stanford Segmenter (Tseng et al, 2005).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>is a word, but sometimes it is segmented into two words.</S><S sid = NA ssid = NA>We present a Chinese word seg mentation system submitted to the closed track of Sighan bakeoff 2005.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  I05-3027.txt | Citing Article:  I08-4015.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This work was funded by the Ad vanced Research and Development Activity's Advanced Question Answering for Intelligence Program, National Science Foundation award IIS-0325646 and a Stanford Graduate Fellow ship.</S><S sid = NA ssid = NA>3) C-1 prefix feature functions are defined over characters in the prefix table, and fire if the character in the proceeding state matches the feature function?s character.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  I05-3027.txt | Citing Article:  N12-1046.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Chinese was automatically segmented by the Stanford segmenter (Tseng et al, 2005), and traditional characters were simplified.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>is a word, but sometimes it is segmented into two words.</S><S sid = NA ssid = NA>A Conditional Random Field Word Segmenter for Sighan Bakeoff 2005</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  I05-3027.txt | Citing Article:  D11-1090.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This character-by-character method was first proposed by (Xue, 2003), and a number of discriminative sequential learning algorithms have been exploited, including structured perceptron (Jiang et al, 2009), the Passive-Aggressive algorithm (Sun, 2010), conditional random fields (CRFs) (Tseng et al, 2005), and latent variable CRFs (Sun et al, 2009).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For each state, the character identity features (Ng & Low 2004, Xue & Shen 2003, Goh et al 2003) are represented using feature functions that key off of the identity of the character in the current, proceeding and subsequent positions.</S><S sid = NA ssid = NA>To this end, we proposed a new model using character identity, morphological and character reduplication features in a conditional random field modeling framework.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  I05-3027.txt | Citing Article:  W08-0304.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The Chinese data was word segmented using the GALE Y2 retest release of the Stanford CRF segmenter (Tseng et al, 2005).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>is a word, but sometimes it is segmented into two words.</S><S sid = NA ssid = NA>A Conditional Random Field Word Segmenter for Sighan Bakeoff 2005</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  I05-3027.txt | Citing Article:  P13-1110.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For training we used the non-UN and non-HK Hansards portions of the NIST training corpora, which was segmented using the Stanford segmenter (Tseng et al, 2005).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Both of these corpora have words that have more characters than HK and PK.</S><S sid = NA ssid = NA>Finally, some errors are due to inconsistencies in the gold segmentation of non-hanzi char acter.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  I05-3027.txt | Citing Article:  W08-0303.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The FBIS-corpus was used as training corpus and all Chinese sentences were word segmented with the Stanford Segmenter (Tseng et al, 2005).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>is a word, but sometimes it is segmented into two words.</S><S sid = NA ssid = NA>In the HK corpus, when we added in un known word features, our performance dropped.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  I05-3027.txt | Citing Article:  P11-2028.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Stanford Chinese word segmenter (STANFORD): The Stanford Chinese word segmenter is another well-known CWS tool (Tseng et al., 2005).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A Conditional Random Field Word Segmenter for Sighan Bakeoff 2005</S><S sid = NA ssid = NA>Work by Peng et al (2004) first used this framework for Chinese word segmen tation by treating it as a binary decision task, such that each character is labeled either as the beginning of a word or the continuation of one.</S> | Discourse Facet:  NA | Annotator: Automatic


