Citance Number: 1 | Reference Article:  W10-0204.txt | Citing Article:  P11-2064.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Since we were additionally interested in determining colour signatures for emotions (Section 7), we chose to annotate all of the 10,170 word-sense pairs that Mohammad and Turney (2010) used to create their word emotion lexicon.</S> | Reference Offset:  ['40','53'] | Reference Text:  <S sid = 40 ssid = >On the one hand, we do not want to choose a fine-grained sense-inventory because then the number of word–sense combinations will become too large and difficult to easily distinguish, and on the other hand we do not want to work only at the word level because when used in different senses a word may evoke different emotions.</S><S sid = 53 ssid = >If a word has more than one sense, then it can be found in more than one thesaurus category.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  W10-0204.txt | Citing Article:  D11-1101.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Two main differences are: (1) our work aims to discover even more subtle association of words with sentiment, and (2) we present a nearly unsupervised approach, while Mohammad and Turney (2010) explored the use of Mechanical Turk to build the lexicon based on human judgment.</S> | Reference Offset:  ['0','2'] | Reference Text:  <S sid = 0 ssid = >Emotions Evoked by Common Words and Phrases: Using Mechanical Turk to Create an Emotion Lexicon</S><S sid = 2 ssid = >In this paper, we show how we create a high-quality, moderate-sized emotion lexicon using Mechanical Turk.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  W10-0204.txt | Citing Article:  W12-2205.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For instance, our co-occurrence method is an adaption of a technique applied in sentiment analysis (Turney and Littman, 2003), which has recently been shown to work for formality (Brooke et al, 2010), a dimension of stylistic variation that seems closely related to readability. Taboada et al (2011) validate their sentiment lexicon using crowd sourced judgments of the relative polarity of pairs of words, and in fact crowd sourcing has been applied directly to the creation of emotion lexicons (Mohammad and Turney, 2010).</S> | Reference Offset:  ['36','171'] | Reference Text:  <S sid = 36 ssid = >Natural symmetry apart, we believe that prior work on automatically computing word–pair antonymy (Lin et al., 2003; Mohammad et al., 2008; Lobanova et al., 2010) can now be leveraged in automatic emotion detection.</S><S sid = 171 ssid = >We will also use it to evaluate automatically generated lexicons, such as the polarity lexicons by Turney and Littman (2003) and Mohammad et al. (2009).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  W10-0204.txt | Citing Article:  W11-0611.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Mohammad and Turney (2010) created a crowd sourced term emotion association lexicon consisting of associations of over 10,000 word-sense pairs with eight emotions joy, sadness, anger, fear, trust, disgust, surprise, and anticipation argued to be the basic and prototypical emotions (Plutchik, 1980).</S> | Reference Offset:  ['28','34'] | Reference Text:  <S sid = 28 ssid = >We focus on the emotions of joy, sadness, anger, fear, trust, disgust, surprise, and anticipation— argued by many to be the basic and prototypical emotions (Plutchik, 1980).</S><S sid = 34 ssid = >These emotions— joy, sadness, anger, fear, disgust, and surprise— are a subset of the eight proposed in Plutchik (1980).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  W10-0204.txt | Citing Article:  W11-0611.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The Mohammad and Turney (2010) lexicon also has associations with positive and negative polarity.</S> | Reference Offset:  ['158','171'] | Reference Text:  <S sid = 158 ssid = >The surprise terms are more than twice as likely to be positive than negative.</S><S sid = 171 ssid = >We will also use it to evaluate automatically generated lexicons, such as the polarity lexicons by Turney and Littman (2003) and Mohammad et al. (2009).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  W10-0204.txt | Citing Article:  W12-3711.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >According to Mohammad and Turney (2010), adverbs and adjectives are some of the most emotion-inspiring terms.</S> | Reference Offset:  ['24','123'] | Reference Text:  <S sid = 24 ssid = >Are emotions more commonly evoked by nouns, verbs, adjectives, or adverbs?</S><S sid = 123 ssid = >Adverbs and adjectives are some of the most emotion inspiring terms and this is not surprising considering that they are used to qualify a noun or a verb.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  W10-0204.txt | Citing Article:  W11-1709.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Mohammad and Turney (2010) compiled emotion an notations for about 4000 words with eight emotions (six of Ekman, trust, and anticipation).</S> | Reference Offset:  ['130','133'] | Reference Text:  <S sid = 130 ssid = >Similarly, fear and sadness go together, as do joy, trust, and anticipation.</S><S sid = 133 ssid = >On the other hand, positive words evoke anticipation, joy, and trust.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  W10-0204.txt | Citing Article:  W11-1709.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The questions are phrased exactly as described in Mohammad and Turney (2010).</S> | Reference Offset:  ['46','91'] | Reference Text:  <S sid = 46 ssid = >In order to overcome the challenges described above, before asking the annotators questions about what emotions are evoked by a target term, we first present them with a word choice problem pertaining to the target.</S><S sid = 91 ssid = >Some assignments were discarded because they failed certain tests (described below).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  W10-0204.txt | Citing Article:  W11-1514.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The questions were phrased exactly as described in Mohammad and Turney (2010). If an annotator answers Q1 incorrectly, then in formation obtained from the remaining questions is discarded.</S> | Reference Offset:  ['50','98'] | Reference Text:  <S sid = 50 ssid = >If an annotator is not familiar with the target word and still attempts to answer questions pertaining to the target, or is randomly clicking options in our questionnaire, then there is a 75% chance that they will get the answer to this question wrong, and we can discard all responses pertaining to this target term by the annotator (that is, we discard answers to the emotion questions provided by the annotator for this target term).</S><S sid = 98 ssid = >If an annotator obtained an overall score that is less than 66.67% on the word choice questions (that is, got more than one out of three wrong), then we assumed that, contrary to instructions, HITs for words not familiar to the annotator were attempted.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  W10-0204.txt | Citing Article:  P13-1142.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Emotional connotation works exactly in the same way, but in this case word-emotion associations are taken from (Mohammad and Turney, 2010).</S> | Reference Offset:  ['72','73'] | Reference Text:  <S sid = 72 ssid = >EmoLexGI are all the words taken from the General Inquirer.</S><S sid = 73 ssid = >EmoLexWAL are all the words taken from the WordNet Affect Lexicon.</S> | Discourse Facet:  NA | Annotator: Automatic


