Citance Number: 1 | Reference Article:  P08-1101.txt | Citing Article:  P09-1058.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['66','180'] | Reference Text:  <S sid = 66 ssid = >All features are treated equally and processed together according to the linear model, regardless of whether they are from the baseline segmentor or tagger.</S><S sid = 180 ssid = >This work is supported by the ORS and Clarendon Fund.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  P08-1101.txt | Citing Article:  P09-1058.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Table 8 compares the F1 results of our baseline model with Nakagawa and Uchimoto (2007) and Zhang and Clark (2008) on CTB 3.0.</S> | Reference Offset:  ['39','121'] | Reference Text:  <S sid = 39 ssid = >We built a two-stage baseline system, using the perceptron segmentation model from our previous work (Zhang and Clark, 2007) and the perceptron POS tagging model from Collins (2002).</S><S sid = 121 ssid = >Nakagawa and Uchimoto (2007) proposed a hybrid model for word segmentation and POS tagging using an HMM-based approach.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P08-1101.txt | Citing Article:  P14-1038.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We relax the max operation by beam-search, resulting in a segment-based decoder similar to the multiple-beam algorithm in (Zhang and Clark, 2008).</S> | Reference Offset:  ['32','72'] | Reference Text:  <S sid = 32 ssid = >Instead, a novel multiple beam search algorithm is used to do decoding efficiently.</S><S sid = 72 ssid = >Experiments with the standard beam-search decoder described in (Zhang and Clark, 2007) resulted in low accuracy.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P08-1101.txt | Citing Article:  P14-1038.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Zhang and Clark (2008) used a segment-based decoder for word segmentation and pos tagging.</S> | Reference Offset:  ['58','119'] | Reference Text:  <S sid = 58 ssid = >However, because word segmentation and POS tagging are performed simultaneously, POS information participates in word segmentation.</S><S sid = 119 ssid = >In particular, Ng and Low (2004) used character-based POS tagging, which prevents some important POS tagging features such as word + POS tag; Shi and Wang (2007) used an N-best reranking approach, which limits the influence of POS tagging on segmentation to the N-best list.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P08-1101.txt | Citing Article:  W11-0809.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['66','180'] | Reference Text:  <S sid = 66 ssid = >All features are treated equally and processed together according to the linear model, regardless of whether they are from the baseline segmentor or tagger.</S><S sid = 180 ssid = >This work is supported by the ORS and Clarendon Fund.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P08-1101.txt | Citing Article:  P10-1074.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Zhang and Clark (2008) built a perceptron-based joint segmenter and part-of-speech (POS) tagger for Chinese, and Toutanova and Cherry (2009) learned a joint model of lemmatization and POS tagging which outperformed a pipelined model.</S> | Reference Offset:  ['0','39'] | Reference Text:  <S sid = 0 ssid = >Joint Word Segmentation and POS Tagging Using a Single Perceptron</S><S sid = 39 ssid = >We built a two-stage baseline system, using the perceptron segmentation model from our previous work (Zhang and Clark, 2007) and the perceptron POS tagging model from Collins (2002).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P08-1101.txt | Citing Article:  D12-1046.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Previous joint models mainly focus on word segmentation and POS tagging task, such as the virtual nodes method (Qian et al2010), cascaded linear model (Jiang et al2008a), perceptron (Zhang and Clark, 2008), sub-word based stacked learning (Sun, 2011), re ranking (Jiang et al2008b).</S> | Reference Offset:  ['0','39'] | Reference Text:  <S sid = 0 ssid = >Joint Word Segmentation and POS Tagging Using a Single Perceptron</S><S sid = 39 ssid = >We built a two-stage baseline system, using the perceptron segmentation model from our previous work (Zhang and Clark, 2007) and the perceptron POS tagging model from Collins (2002).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P08-1101.txt | Citing Article:  C10-2160.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Zhang and Clark (2008) employed the generalized perceptron algorithm to train a statistical model for joint segmentation and POS tagging, and applied multiple-beam search algorithm for fast decoding.</S> | Reference Offset:  ['6','168'] | Reference Text:  <S sid = 6 ssid = >The system uses a discriminative statistical model, trained using the generalized perceptron algorithm.</S><S sid = 168 ssid = >We used a single linear model for combined word segmentation and POS tagging, and chose the generalized perceptron algorithm for joint training. and beam search for efficient decoding.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P08-1101.txt | Citing Article:  D10-1019.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['66','180'] | Reference Text:  <S sid = 66 ssid = >All features are treated equally and processed together according to the linear model, regardless of whether they are from the baseline segmentor or tagger.</S><S sid = 180 ssid = >This work is supported by the ORS and Clarendon Fund.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P08-1101.txt | Citing Article:  D10-1082.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We show that the standard beam-search algorithm can be used as an efficient decoder for the global linear model of Zhang and Clark (2008) for joint word segmentation and POS-tagging, achieving a significant speed improvement.</S> | Reference Offset:  ['72','168'] | Reference Text:  <S sid = 72 ssid = >Experiments with the standard beam-search decoder described in (Zhang and Clark, 2007) resulted in low accuracy.</S><S sid = 168 ssid = >We used a single linear model for combined word segmentation and POS tagging, and chose the generalized perceptron algorithm for joint training. and beam search for efficient decoding.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P08-1101.txt | Citing Article:  D10-1082.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In our 10-fold cross validation experiments with the Chinese Tree bank, our system performed over 10 times as fast as Zhang and Clark (2008) with little accuracy loss.</S> | Reference Offset:  ['149','162'] | Reference Text:  <S sid = 149 ssid = >10-fold cross validation is performed to test the accuracy of the joint word segmentor and POS tagger, and to make comparisons with existing models in the literature.</S><S sid = 162 ssid = >Shi and Wang (2007) also chunked the sentences before doing 10-fold cross validation, but used an uneven split.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P08-1101.txt | Citing Article:  D10-1082.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In our previous work (Zhang and Clark, 2008), which we refer to as Z&C08 from now on, we used an approximate decoding algorithm that keeps track of a set of partially built structures for each character, which can be seen as a dynamic programming chart which is greatly reduced by pruning.</S> | Reference Offset:  ['39','49'] | Reference Text:  <S sid = 39 ssid = >We built a two-stage baseline system, using the perceptron segmentation model from our previous work (Zhang and Clark, 2007) and the perceptron POS tagging model from Collins (2002).</S><S sid = 49 ssid = >Here the category of a character is the set of tags seen on the character during training.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P08-1101.txt | Citing Article:  D10-1082.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Kruengkrai et al (2009) and Zhang and Clark (2008) are the most similar to our system among related work.</S> | Reference Offset:  ['39','135'] | Reference Text:  <S sid = 39 ssid = >We built a two-stage baseline system, using the perceptron segmentation model from our previous work (Zhang and Clark, 2007) and the perceptron POS tagging model from Collins (2002).</S><S sid = 135 ssid = >They have been shown to improve the accuracy of a Chinese POS tagger (Tseng et al., 2005).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P08-1101.txt | Citing Article:  P13-2020.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We also use Penn2Malt and the head-finding rules of (Zhang and Clark 2008) to convert constituency trees into dependencies.</S> | Reference Offset:  ['40','72'] | Reference Text:  <S sid = 40 ssid = >We use baseline system to refer to the system which performs segmentation first, followed by POS tagging (using the single-best segmentation); baseline segmentor to refer to the segmentor from (Zhang and Clark, 2007) which performs segmentation only; and baseline POStagger to refer to the Collins tagger which performs POS tagging only (given segmentation).</S><S sid = 72 ssid = >Experiments with the standard beam-search decoder described in (Zhang and Clark, 2007) resulted in low accuracy.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  P08-1101.txt | Citing Article:  D11-1109.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For POS tagging features, we follow the work of Zhang and Clark (2008a).</S> | Reference Offset:  ['39','119'] | Reference Text:  <S sid = 39 ssid = >We built a two-stage baseline system, using the perceptron segmentation model from our previous work (Zhang and Clark, 2007) and the perceptron POS tagging model from Collins (2002).</S><S sid = 119 ssid = >In particular, Ng and Low (2004) used character-based POS tagging, which prevents some important POS tagging features such as word + POS tag; Shi and Wang (2007) used an N-best reranking approach, which limits the influence of POS tagging on segmentation to the N-best list.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  P08-1101.txt | Citing Article:  D11-1109.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Following the setup of Duan et al (2007), Zhang and Clark (2008b) and Huang and Sagae (2010), we split CTB5 into training (secs 001 815 and 1001-1136), development (secs 886-931and 1148-1151), and test (secs 816-885 and 1137 1147) sets.</S> | Reference Offset:  ['50','140'] | Reference Text:  <S sid = 50 ssid = >Other morphological features from Tseng et al. (2005) are not used because they require extra web corpora besides the training data.</S><S sid = 140 ssid = >The error analysis for the development test is shown in Table 3.</S> | Discourse Facet:  NA | Annotator: Automatic


