Citance Number: 1 | Reference Article:  P07-1030.txt | Citing Article:  D08-1062.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(Davidov et al, 2007) introduce the use of term frequency patterns for relationship discovery.</S> | Reference Offset:  ['35','64'] | Reference Text:  <S sid = 35 ssid = >The key point is that language and domain-dependent preprocessing inwe do not in any manner specify in advance what cluding syntactic parsing (Suchanek et al, 2006) and types of relations we wish to find. named entity tagging (Hasegawa et al, 2004), while 3 Related Work others take advantage of handcrafted databases such As far as we know, no previous work has directly as WordNet (Moldovan et al, 2004; Costello et al, addressed the discovery of generic binary relations 2006) and Wikipedia (Strube and Ponzetto, 2006). in an unrestricted domain without (at least implic- Finally, (Turney, 2006) provided a pattern disitly) pre-specifying relationship types.</S><S sid = 64 ssid = >If S is in fact related to X in some way, there might be a number of S-patterns that capture this relationship.</S> | Discourse Facet:  NA | Annotator: Automatic

Citance Number: 5 | Reference Article:  P07-1030.txt | Citing Article:  P09-1115.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(Davidov et al, 2007) proposed a method for unsupervised discovery of concept specific relations, requiring initial word seeds.</S> | Reference Offset:  ['0','26'] | Reference Text:  <S sid = 0 ssid = >Fully Unsupervised Discovery of Concept-Specific Relationships by Web Mining</S><S sid = 26 ssid = >Although ex- specific relation sub-types, including inter-verb reamination of any such set invariably makes it clear lations (Chklovski and Pantel, 2004) and nounwhy these words have been grouped together into compound relationships (Moldovan et al, 2004). a single concept, it is important to emphasize that Studying relationships between tagged named enthe method itself provides no explicit concept defi- tities, (Hasegawa et al, 2004; Hassan et al, 2006) nition; in some sense, the implied class is in the eye proposed unsupervised clustering methods that asof the beholder.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  P07-1030.txt | Citing Article:  D09-1028.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Pattern driven search engine queries allow to access such information and gather the required data very efficiently (Davidov et al, 2007).</S> | Reference Offset:  ['79','142'] | Reference Text:  <S sid = 79 ssid = >In our implementation we use the Google search engine.</S><S sid = 142 ssid = >Moreover, all this was done using standard search engine methods on the web.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P07-1030.txt | Citing Article:  D09-1028.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For example, (Etzioni et al, 2004) discovered a set of countries and (Davidov et al, 2007) discovered diverse country relationships, including location relationships between a country and its capital and a country and its rivers.</S> | Reference Offset:  ['26','31'] | Reference Text:  <S sid = 26 ssid = >Although ex- specific relation sub-types, including inter-verb reamination of any such set invariably makes it clear lations (Chklovski and Pantel, 2004) and nounwhy these words have been grouped together into compound relationships (Moldovan et al, 2004). a single concept, it is important to emphasize that Studying relationships between tagged named enthe method itself provides no explicit concept defi- tities, (Hasegawa et al, 2004; Hassan et al, 2006) nition; in some sense, the implied class is in the eye proposed unsupervised clustering methods that asof the beholder.</S><S sid = 31 ssid = >Unlike most earlier work, patterns (Agichtein and Gravano, 2000; Pantel et al, the bipartite graphs we wish to generate might be 2004), pattern-based rules (Etzioni et al, 2004), relaone-to-one (for example, countries and their capi- tion keywords (Sekine, 2006), or word pairs exemtals), many-to-one (for example, countries and the plifying relation instances (Pasca et al, 2006; Alfonregions they are in) or many-to-many (for example, seca et al, 2006; Rosenfeld and Feldman, 2006). countries and the products they manufacture).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P07-1030.txt | Citing Article:  E09-1021.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Following (Davidov et al, 2007) we seek symmetric patterns to retrieve concept terms.</S> | Reference Offset:  ['31','43'] | Reference Text:  <S sid = 31 ssid = >Unlike most earlier work, patterns (Agichtein and Gravano, 2000; Pantel et al, the bipartite graphs we wish to generate might be 2004), pattern-based rules (Etzioni et al, 2004), relaone-to-one (for example, countries and their capi- tion keywords (Sekine, 2006), or word pairs exemtals), many-to-one (for example, countries and the plifying relation instances (Pasca et al, 2006; Alfonregions they are in) or many-to-many (for example, seca et al, 2006; Rosenfeld and Feldman, 2006). countries and the products they manufacture).</S><S sid = 43 ssid = >Of these, we keep all those patof contexts in which the word appears together with terns, which we call symmetric patterns, for which one other content word.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P07-1030.txt | Citing Article:  P08-1027.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >To use clusters for classification we define a HITS measure similar to that of (Davidov et al, 2007), reflecting the affinity of a given nominal pair to a given cluster.</S> | Reference Offset:  ['41','54'] | Reference Text:  <S sid = 41 ssid = >For any pair of seed words words.</S><S sid = 54 ssid = >Note that our method differs from that of Davidov Step 5: For each cluster, output the relation con- and Rappoport (2006) in that here we provide an inisisting of all <concept word, target word> pairs that tial seed pair, representing our target concept, while appear together in a context included in the cluster. there the goal is grouping of as many words as pos(The cluster considered above would result in a set sible into concept classes.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P07-1030.txt | Citing Article:  W10-0913.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Davidov et al (2007) developed a web mining approach for discovering relations in which a specified concept participates based on clustering patterns in which the concept words and other words appear.</S> | Reference Offset:  ['1','3'] | Reference Text:  <S sid = 1 ssid = >We present a web mining method for discovering and enhancing relationships in which a specified concept (word class) participates.</S><S sid = 3 ssid = >Our method is based on clustering patterns that contain concept words and other words related to them.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P07-1030.txt | Citing Article:  C10-1028.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The precision observed for this task is comparable to precision obtained for Country-Capital and Country-Language in a previous single-language acquisition study (Davidov et al, 2007).</S> | Reference Offset:  ['35','55'] | Reference Text:  <S sid = 35 ssid = >The key point is that language and domain-dependent preprocessing inwe do not in any manner specify in advance what cluding syntactic parsing (Suchanek et al, 2006) and types of relations we wish to find. named entity tagging (Hasegawa et al, 2004), while 3 Related Work others take advantage of handcrafted databases such As far as we know, no previous work has directly as WordNet (Moldovan et al, 2004; Costello et al, addressed the discovery of generic binary relations 2006) and Wikipedia (Strube and Ponzetto, 2006). in an unrestricted domain without (at least implic- Finally, (Turney, 2006) provided a pattern disitly) pre-specifying relationship types.</S><S sid = 55 ssid = >The focus of our paper is of pairs consisting of a country and its capital.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P07-1030.txt | Citing Article:  C10-2146.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >On-line usage of web queries is less frequent and was used mainly in semantic acquisition applications: the discovery of semantic verb relations (Chklovski and Pantel, 2004), the acquisition of entailment relations (Szpektor et al, 2004), and the discovery of concept-specific relationships (Davidov et al, 2007).</S> | Reference Offset:  ['0','26'] | Reference Text:  <S sid = 0 ssid = >Fully Unsupervised Discovery of Concept-Specific Relationships by Web Mining</S><S sid = 26 ssid = >Although ex- specific relation sub-types, including inter-verb reamination of any such set invariably makes it clear lations (Chklovski and Pantel, 2004) and nounwhy these words have been grouped together into compound relationships (Moldovan et al, 2004). a single concept, it is important to emphasize that Studying relationships between tagged named enthe method itself provides no explicit concept defi- tities, (Hasegawa et al, 2004; Hassan et al, 2006) nition; in some sense, the implied class is in the eye proposed unsupervised clustering methods that asof the beholder.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P07-1030.txt | Citing Article:  P10-1133.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our web mining part follows common pattern based retrieval practice (Davidov et al, 2007).</S> | Reference Offset:  ['0','19'] | Reference Text:  <S sid = 0 ssid = >Fully Unsupervised Discovery of Concept-Specific Relationships by Web Mining</S><S sid = 19 ssid = >The outline of the paper is as follows.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P07-1030.txt | Citing Article:  D09-1089.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Following (Davidov et al, 2007), we seek symmetric patterns to retrieve concept terms.</S> | Reference Offset:  ['31','43'] | Reference Text:  <S sid = 31 ssid = >Unlike most earlier work, patterns (Agichtein and Gravano, 2000; Pantel et al, the bipartite graphs we wish to generate might be 2004), pattern-based rules (Etzioni et al, 2004), relaone-to-one (for example, countries and their capi- tion keywords (Sekine, 2006), or word pairs exemtals), many-to-one (for example, countries and the plifying relation instances (Pasca et al, 2006; Alfonregions they are in) or many-to-many (for example, seca et al, 2006; Rosenfeld and Feldman, 2006). countries and the products they manufacture).</S><S sid = 43 ssid = >Of these, we keep all those patof contexts in which the word appears together with terns, which we call symmetric patterns, for which one other content word.</S> | Discourse Facet:  NA | Annotator: Automatic


