Citance Number: 1 | Reference Article:  M95-1005.txt | Citing Article:  P99-1042.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Using the MUC co reference scoring algorithm (see Vilain et al 1995).</S> | Reference Offset:  ['20','80'] | Reference Text:  <S sid = 20 ssid = >For recall, Sundheim et al .</S><S sid = 80 ssid = >Table 1 shows the precision and recall scores, using the model-theoretic measures , for al l of the examples given in Sundheim et al.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  M95-1005.txt | Citing Article:  P03-1023.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For this purpose, we obtain the recall, the precision and the F-measure using the standard MUC scoring program (Vilain et al 1995) for the coreference resolution task.</S> | Reference Offset:  ['20','80'] | Reference Text:  <S sid = 20 ssid = >For recall, Sundheim et al .</S><S sid = 80 ssid = >Table 1 shows the precision and recall scores, using the model-theoretic measures , for al l of the examples given in Sundheim et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  M95-1005.txt | Citing Article:  P04-1018.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For tests on the MUC data, we report both F-measure using the official MUC score (Vilain et al, 1995 ) and ECM-F.</S> | Reference Offset:  ['20','80'] | Reference Text:  <S sid = 20 ssid = >For recall, Sundheim et al .</S><S sid = 80 ssid = >Table 1 shows the precision and recall scores, using the model-theoretic measures , for al l of the examples given in Sundheim et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  M95-1005.txt | Citing Article:  W12-4501.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Three metrics have been commonly used for evaluating coreference performance over an unrestricted set of entity types: i) The link based MUC metric (Vilain et al, 1995), ii) The mention based B-CUBED metric (Bagga and Baldwin, 1998) and iii) The entity based CEAF (Constrained Entity Aligned F-measure) metric (Luo, 2005).</S> | Reference Offset:  ['93','102'] | Reference Text:  <S sid = 93 ssid = >A Evaluating for recall : R _ ISI ?</S><S sid = 102 ssid = >Based on this, we can compute recall using the corpus-wide formula for recall .</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  M95-1005.txt | Citing Article:  W11-1901.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['28','114'] | Reference Text:  <S sid = 28 ssid = >The score then follows by simple arithmetic .</S><S sid = 114 ssid = >Not often does attention to model theory yield efficient algorithms, but in this particular case the effort was well worth the while .</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  M95-1005.txt | Citing Article:  W09-2421.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >So, the evaluation programs, in an obvious extension of what was pro posed in (Vilain et al, 1995) for identity.</S> | Reference Offset:  ['20','80'] | Reference Text:  <S sid = 20 ssid = >For recall, Sundheim et al .</S><S sid = 80 ssid = >Table 1 shows the precision and recall scores, using the model-theoretic measures , for al l of the examples given in Sundheim et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  M95-1005.txt | Citing Article:  D12-1114.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For coreference resolution, MUC (Vilain et al 1995), B-CUBED (Bagga and Baldwin, 1998) and CEAF-E (Luo, 2005) are used for evaluation.</S> | Reference Offset:  ['20','80'] | Reference Text:  <S sid = 20 ssid = >For recall, Sundheim et al .</S><S sid = 80 ssid = >Table 1 shows the precision and recall scores, using the model-theoretic measures , for al l of the examples given in Sundheim et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  M95-1005.txt | Citing Article:  H05-1083.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Another possible choice is the MUC F-measure (Vilain et al., 1995).</S> | Reference Offset:  ['20','80'] | Reference Text:  <S sid = 20 ssid = >For recall, Sundheim et al .</S><S sid = 80 ssid = >Table 1 shows the precision and recall scores, using the model-theoretic measures , for al l of the examples given in Sundheim et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  M95-1005.txt | Citing Article:  D09-1102.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For coreference resolution, we report the performance in terms of recall, precision, and F1-measure using the commonly-used model theoretic MUC scoring program (Vilain et al, 1995).</S> | Reference Offset:  ['59','80'] | Reference Text:  <S sid = 59 ssid = >How may we use our model-theoretic notions to provide a scoring mechanism for precision?</S><S sid = 80 ssid = >Table 1 shows the precision and recall scores, using the model-theoretic measures , for al l of the examples given in Sundheim et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  M95-1005.txt | Citing Article:  N09-1065.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Results are reported in terms of recall (R), precision (P), and F-measure (F), obtained using two coreference scoring programs: the MUC scorer (Vilain et al., 1995).</S> | Reference Offset:  ['20','21'] | Reference Text:  <S sid = 20 ssid = >For recall, Sundheim et al .</S><S sid = 21 ssid = >advance the desirable score of 2/3, which is not obtained by the syntacti c scoring measure.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  M95-1005.txt | Citing Article:  P11-1079.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We report recall, precision, and F1 for MUC (Vilain et al, 1995).</S> | Reference Offset:  ['20','80'] | Reference Text:  <S sid = 20 ssid = >For recall, Sundheim et al .</S><S sid = 80 ssid = >Table 1 shows the precision and recall scores, using the model-theoretic measures , for al l of the examples given in Sundheim et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  M95-1005.txt | Citing Article:  C10-1147.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Vilain et al (1995) introduced the link-based MUC evaluation metric for the MUC-6 and MUC 7 coreference tasks.</S> | Reference Offset:  ['20','80'] | Reference Text:  <S sid = 20 ssid = >For recall, Sundheim et al .</S><S sid = 80 ssid = >Table 1 shows the precision and recall scores, using the model-theoretic measures , for al l of the examples given in Sundheim et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  M95-1005.txt | Citing Article:  P10-2029.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['28','114'] | Reference Text:  <S sid = 28 ssid = >The score then follows by simple arithmetic .</S><S sid = 114 ssid = >Not often does attention to model theory yield efficient algorithms, but in this particular case the effort was well worth the while .</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  M95-1005.txt | Citing Article:  P02-1014.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Results are shown in Table 2 (Duplicated Soon Baseline) where performance is reported in terms of recall, precision, and F-measure using the model theoretic MUC scoring program (Vilain et al, 1995).</S> | Reference Offset:  ['59','80'] | Reference Text:  <S sid = 59 ssid = >How may we use our model-theoretic notions to provide a scoring mechanism for precision?</S><S sid = 80 ssid = >Table 1 shows the precision and recall scores, using the model-theoretic measures , for al l of the examples given in Sundheim et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  M95-1005.txt | Citing Article:  E06-2015.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We report in the following tables the MUC score (Vilain et al, 1995).</S> | Reference Offset:  ['20','96'] | Reference Text:  <S sid = 20 ssid = >For recall, Sundheim et al .</S><S sid = 96 ssid = >These are shown in thick lines in the following figure .</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  M95-1005.txt | Citing Article:  D09-1120.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >MUC (Vilain et al, 1995).</S> | Reference Offset:  ['20','80'] | Reference Text:  <S sid = 20 ssid = >For recall, Sundheim et al .</S><S sid = 80 ssid = >Table 1 shows the precision and recall scores, using the model-theoretic measures , for al l of the examples given in Sundheim et al.</S> | Discourse Facet:  NA | Annotator: Automatic


